index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.308,9.509,Okay great.,0,,
1,0.97,9.509,18.852,Good morning everyone the January 22nd 2021 special meeting will come to order.,0,,
2,0.97,18.852,21.254,It is 9:32 A.M.,0,,
3,0.97,21.254,26.159,I am chair of the committee please call the role.,0,,
4,0.97,27.293,37.537,[roll call],1,,
5,0.97,46.346,50.784,Three in attendance.,2,,
6,0.97,50.784,53.553,"I should say I am here, Councilmember Juarez is here.",3,,
7,0.97,53.553,56.79,Welcome.,4,,
8,0.97,56.79,57.057,Okay.,4,,
9,0.97,57.057,62.962,If there is no objection today's agenda will be adopted.,4,,
10,0.97,62.962,67.467,Hearing on today's agenda is adopted.,4,,
11,0.97,67.467,69.869,I do not believe we have anyone signed up for public comment.,4,,
12,0.97,69.869,73.673,Can you confirm?,4,,
13,0.97,73.673,76.576,There are no public Commenters.,5,,
14,0.97,76.576,85.285,Given we have nobody signed up will move on to the next part of the agenda.,6,,
15,0.97,85.285,93.56,Before we begin to want to welcome my colleagues and the public back to the community economic development committee.,6,,
16,0.97,93.56,108.007,"We had big plans for spending 2020 discussing ways to build community wealth, ways to bolster race and social justice work in the city to support workforce development and small business.",6,,
17,0.97,108.007,113.913,The universe had other plans for us last year so we only convened a few times.,6,,
18,0.97,113.913,135.835,I am hopeful we can pick up where we left off and today I'm excited today we will be hearing about an opportunity for preserving cultural space and thinking creatively about tools that can facilitate more community ownership in our city.,6,,
19,0.97,135.835,138.071,We will get into that later in the agenda.,6,,
20,0.97,138.071,152.886,Before we do I'm excited to hear from the office of civil rights and from many neighbors who are eager to lend their time and talent to supporting the work of the city by volunteering on some of the city Commission's.,6,,
21,0.97,152.886,156.089,So as we move on will the clerk please read item one into the record?,6,,
22,0.97,156.089,172.005,Agenda item 1 appointment 1772 the appointment of Nathaniel Higby as member of the Seattle Lgbtq Commission for a term to April 30th 2022.,6,,
23,0.97,172.005,175.208,Thank you.,7,,
24,0.97,175.208,182.115,I will send this over to Molly brewer from the office of civil rights to present to the committee.,7,,
25,0.97,182.115,190.089,A little introduction of Nate and I will turn it over to them.,8,,
26,0.97,190.089,211.344,"Nathaniel Higby has been serving as a Commissioner for the Seattle Lgbtq Commission, graduating with a bachelor's degree in sociology and currently works at the Virginia Mason medical center where he does continuous improvement consulting and is an active member of the Lgbtq staff committee.",8,,
27,0.97,211.344,215.615,Currently Cochair of the outreach Committee for the Commission and look forward to continuing work as a regular Commissioner.,8,,
28,0.97,215.615,223.556,I will handed over to Nate or to you Councilmember.,8,,
29,0.97,223.556,226.025,Please go ahead.,9,,
30,0.97,226.025,249.382,Thank you for having me once again my name is Nate I work at Virginia Mason and I have had the pleasure of serving on the Lgbtq Commission as a Commissioner up until recently and have really enjoyed my experience.,10,,
31,0.97,249.382,253.653,I really enjoyed being able to learn more about the city and the Lgbtq community in the city.,10,,
32,0.97,253.653,260.96,And I am really eager to continue doing the work that we started previously.,10,,
33,0.97,260.96,281.514,Some of the highlights of working on the Commission the past year has been cheering the community outreach committee and being able to lead that committee through our pandemic response and the responding to the black lives matter protests in the summer.,10,,
34,0.97,281.514,290.423,And being able to work with community organizations impacted by the issues that have happened this last year to see how we can support them.,10,,
35,0.97,290.423,322.322,"My favorite milestone has been working with Hannah from the disabilities Commission on putting together a panel, a Townhall panel featuring activists who are Lgbtq and who have disabilities speaking to life at the intersection of those identities and as somebody with a disability this is a topic of interest that I'm hoping we can continue to push on into next year.",10,,
36,0.97,322.322,327.16,"That was a great highlight, I really enjoyed working with Hannah.",10,,
37,0.97,327.16,335.468,Some of the reasons I'm hoping to stay on the Commission is I'm hoping to increase transparency between the Commission and the Lgbtq community.,10,,
38,0.97,335.468,351.484,We have had a lot of feedback last year that transparency is not there and a lot of people do not trust the work we did or the thought process so I'm hoping we can kind of Demystify some of that for the Lgbtq community.,10,,
39,0.97,351.484,381.214,"Hoping to keep experiences and perspectives in decision-making processes and continue on and Antiracist journey and also personal interests of mine are Healthcare, we are lucky to live in a Lgbtq friendly city with a lot of great Healthcare resources for them but that does not mean they are Lgbtq competent.",10,,
40,0.97,381.214,401.2,"So trying to work on what does it mean to be competent when providing care meaning you don't ever to a Trans patient by their dead name, those types of things and working with community organizations to come up with standards that can be adopted by Healthcare organizations like what does it mean to be competent when providing care?",10,,
41,0.97,401.2,403.936,Not just friendly.,10,,
42,0.97,403.936,407.607,So that's some of the reasons why am hoping to stay on the Commission.,10,,
43,0.97,407.607,409.642,Thank you for your time.,10,,
44,0.97,409.642,429.762,"Thank you, . really appreciate your perspective bringing the Intersectional lens to this work, so important to bring your identity to this.",11,,
45,0.97,429.762,438.871,"I would be interested, so you have spent a lot of time working on this Commission already.",11,,
46,0.97,438.871,450.249,As somebody who thinks a lot about how we support our young people better can you talk about what you think the city could be doing better to support Lgbtq youth?,11,,
47,0.97,450.249,455.755,"Yes, so I think there are several things.",12,,
48,0.97,455.755,512.245,"First increasing transparency by using social media or other platforms that are utilized by younger demographics and really trying to foster a two-way dialogue through those platforms . So, before joining the Commission, it was hard to find information about the Lgbtq Commission or just the Commission in general, different commissions in general so I think one of the things that the city and the Commission could be doing better is again Leveraging those platforms and trying to communicate through those and soliciting feedback from people using Instagram, Tiktok and Facebook.",12,,
49,0.97,512.245,513.846,"Great, thank you.",13,,
50,0.97,513.846,521.754,"Colleagues, any questions?",13,,
51,0.97,521.754,522.154,Okay terrific.,13,,
52,0.97,522.154,524.957,Thank you very much.,13,,
53,0.97,524.957,534.267,Councilmembers I will move that the committee recommend confirmation of appointment 1772 a second?,13,,
54,0.97,534.267,535.167,Second.,14,,
55,0.97,535.167,541.574,Moved and Seconded are there any other comments?,15,,
56,0.97,541.574,545.678,Okay will occur please call the role?,15,,
57,0.97,545.678,559.158,Councilmember Juarez aye Councilmember Pedersen aye Councilmember Sawant yes.,15,,
58,0.97,559.158,562.595,Councilmember Morales yes.,15,,
59,0.97,562.595,564.196,"Four in favor, not opposed.",15,,
60,0.97,564.196,572.438,Motion carries in the recommendation that the appointment be confirmed will be sent to the February 1ST city council meeting.,15,,
61,0.97,572.438,582.715,Thank you very much okay will the clerk please read items two and three into the record?,15,,
62,0.97,582.715,598.731,Agenda items two and three appointments 1618 and 1627 the appointments of Rebecca Bryant and Abriel Johnny as members of the Seattle women's Commission terms to July 1ST 2022.,16,,
