index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.747,16.082,Good afternoon.,0,,
1,0.97,16.082,21.321,This is generate 27.,0,,
2,0.97,21.321,24.224,2020 and the meeting of the Seattle city council will come to order.,0,,
3,0.97,24.224,27.826999999999998,It is 2:0 5 PM.,0,,
4,0.97,27.826999999999998,32.532,Will the clerk please call the role?,0,,
5,0.97,41.975,51.851,I am not aware of a presentation for today.,1,,
6,0.97,51.851,53.453,And next we have the approval of the minutes.,1,,
7,0.97,53.453,57.457,"The minutes of the January 13, 2020 city council meeting have been reviewed.",1,,
8,0.97,57.457,61.361,There are no objections and they will be signed.,1,,
9,0.97,61.361,65.031,"Hearing no objections, the minutes will be signed.",1,,
10,0.97,65.031,72.138,If there is no objection the introduction and referral calendar will be adopted.,1,,
11,0.97,72.138,81.681,"Seeing no objection, and hearing no objection, the introduction and referral calendar is inducted.",1,,
12,0.97,81.681,86.352,"There is no objected, the agenda will be adopted.",1,,
13,0.97,86.352,87.787,"Hearing no objection, the agenda is adopted.",1,,
14,0.97,87.787,93.793,At this time we will take public comment on items that appear on today's agenda.,1,,
15,0.97,93.793,98.765,And on the introduction and referral calendar.,1,,
16,0.97,98.765,113.179,"And first we have Reverend Harriet Walden followed by comment, two minutes per person.",1,,
17,0.97,113.179,114.981,Keep an eye on the city clerk.,1,,
18,0.97,114.981,117.417,She will let you know when your time is up.,1,,
19,0.97,117.417,117.817,Thank you.,1,,
20,0.97,117.817,120.019,Good afternoon and happy new year to the Council.,2,,
21,0.97,120.019,127.126,"My name is Reverend Walden, I am also on the Commission but not speaking as a Commissioner today.",2,,
22,0.97,127.126,140.74,"I am speaking, I like to give my Condolence to the family of the victim that got shot here in Seattle and also a speedy recovery also to the victims and to the people who got shot here the other day.",2,,
23,0.97,140.74,148.047,One thing I want to talk about is mothers have been calling for cameras in high-profile areas for a few years now.,2,,
24,0.97,148.047,155.622,"With a sunset date, I think we have people in the daytime because sometimes they don't think they will get caught.",2,,
25,0.97,155.622,171.804,"And we have a variety of programs downtown, initiatives to help stem violence off and on and so I actually, it worked for a while, everything does and that we have to keep it going.",2,,
26,0.97,171.804,173.773,We have to keep the initiatives going.,2,,
27,0.97,173.773,176.743,"You know, hats off to the police Department.",2,,
28,0.97,176.743,179.579,They have done a good job.,2,,
29,0.97,179.579,193.793,"And so, that is one thing I want to talk about but the other thing I want to talk about really is we have a violent that is in Seattle and across the country.",2,,
30,0.97,193.793,206.806,"We have a culture of death that people are living on so we have a culture of life and one thing we can do about creating a culture of life is that we have to speak what we want, sometimes.",2,,
31,0.97,206.806,208.808,We talk about what we don't want and we get that.,2,,
32,0.97,208.808,210.276,I want to bless the city today.,2,,
33,0.97,210.276,216.549,"I will spend my next minutes here, seconds doing what I do best.",2,,
34,0.97,216.549,218.184,I'm a spiritual person and I'm a minister.,2,,
35,0.97,218.184,237.704,I don't have a church but my work is that I do in the world is my Ministry.,2,,
36,0.97,237.704,239.105,So I want to bless the city.,2,,
37,0.97,239.105,240.74,I want to bless all of you all.,2,,
38,0.97,240.74,243.142,I want to bless all the people who live in this city.,2,,
39,0.97,243.142,245.178,I want to call us to a higher standard.,2,,
40,0.97,245.178,249.248,"I want to raise the energy, the Vibrations because we cannot solve the problem on the level that it was created.",2,,
41,0.97,249.248,252.919,I want to speak a blessing today and I speak a blessing to Seattle and the people here.,2,,
42,0.97,252.919,259.826,All the people who work here at all the people who come here and the visitors who come and all the people who think they come here to do something that is not right.,2,,
43,0.97,259.826,262.996,"We want to bless you, too because you can't bless one group without blessing everybody.",2,,
44,0.97,262.996,269.569,I speak my time and take the rest of my little time to say I bless a blessing on Seattle and all the people here and all the people who are coming here.,2,,
45,0.97,269.569,270.57,This is a great place.,2,,
46,0.97,270.57,271.971,And we can even make it better.,2,,
47,0.97,271.971,272.639,Because we can.,2,,
48,0.97,272.639,273.673,"Yes, we can, thank you.",2,,
49,0.97,273.673,274.24,[Applause],2,,
50,0.97,274.24,276.442,Then coach Kumar followed by David Haynes.,3,,
51,0.97,276.442,283.383,Am a family of four living in the Sandpoint area for the last 50 years.,4,,
52,0.97,283.383,288.454,My wife has been serving in the U.S. Army.,4,,
53,0.97,288.454,291.891,And has reached the position of colonel.,4,,
54,0.97,291.891,321.12,So I am addressing this resolution when time to eight and I welcome and support the resolution of 31928 so long as it does not compromise any similar strong bill to prevent and contain a Cohort tear cell by any group in the Seattle area.,4,,
55,0.97,321.12,328.695,Seattle is one humankind on one planet earth.,4,,
56,0.97,328.695,339.338,I am sure Seattle is known for planting any diversity conflict and terror in any part of the globe.,4,,
57,0.97,339.338,342.642,Thank you.,4,,
58,0.97,342.642,345.545,David Haynes followed by Jason Reid's.,5,,
59,0.97,345.545,358.558,"Good afternoon, a resolution reaffirming Seattle as a welcoming city and condemning all forms of oppression throughout the world.",6,,
60,0.97,358.558,365.131,"It sounds good, after it is passed perhaps Council will personally send a copy to the police chief reminded her that drug pushers sent to jail and destroy lives daily.",6,,
61,0.97,365.131,392.892,"Causing present Implosion of Seattle and maybe send a copy of the resolution to the human services Department government and Nongovernment agencies to remind them he allowed to oppress houses, people, further by using a racist lens to make decisions based on racist past as to whether an innocent houses person is oppressed by sub human services and living conditions is even going to be helped.",6,,
62,0.97,392.892,402.335,"Be aware, the old City Council has been around the block and is responsible for the very policies that Imploded our community and oppress local innocents.",6,,
63,0.97,402.335,407.306,This counsel is setting pace for they Consolations while drug pushers get rich.,6,,
64,0.97,407.306,412.578,"Exempted from jail, justifying rejection of contracts.",6,,
65,0.97,412.578,422.722,We have Jason followed by Roy Wilkie.,7,,
66,0.97,422.722,437.537,"Hello, I am here to ask city Council to work with me across, part of a pay up campaign and help us raise a standard for the gig economy.",8,,
67,0.97,437.537,443.843,Were and I came here today to share our stories and request you take up this important issue.,8,,
68,0.97,443.843,454.02,I been a driver for three years and I have 29 deliveries under my belt.,8,,
69,0.97,454.02,456.856,I did get work because I found traditional work didn't help me attend college.,8,,
70,0.97,456.856,460.259,I felt like I was contributing to the community and making good money on the side.,8,,
71,0.97,460.259,467.266,But after about one year the pay was cut and I wasn't seeing orders over $6 and I found out the actual company was subsidizing our tips.,8,,
72,0.97,467.266,469.669,"Through subsidizing pay through the tips, essentially, still in our tips.",8,,
73,0.97,469.669,481.047,"Low payment that cargo without maintenance and I can't pay bills, I have electors calling and it hinders me from getting the next stage of life.",8,,
74,0.97,481.047,498.297,The campaign is put together a port based on pay reports from Jordache workers across the country and we found on average not including tips and after expenses Jordache workers are taking home just about $1.45 per hour with an active job.,8,,
75,0.97,498.297,511.277,"I see a lot of single parents doing this work and I see children working with the children, I see immigrant workers and members nearly every community somebody probably knows someone.",8,,
76,0.97,511.277,517.483,It's flexible work and good but it can be a lot better.,8,,
77,0.97,517.483,529.662,"That is why I'm representing 10,000 workers across the country we are organizing with the pay up campaign to ask Council members today to work with us to set pay standards for independent contractors.",8,,
78,0.97,529.662,543.342,You want to see standards that require companies to pass a minimum wage plus the cost of our expenses to make sure that tips are always on top of our pay and to transparency about what we are getting paid and why.,8,,
79,0.97,543.342,549.248,I would like to invite you at this time to reach out and meet with us in private or whatever you can.,8,,
80,0.97,549.248,554.153,To help us set higher standards in Seattle.,8,,
81,0.97,554.153,556.155,We should act like it.,8,,
82,0.97,556.155,557.757,Thank you very much for your time.,8,,
83,0.97,557.757,558.224,Thank you.,9,,
84,0.97,558.224,563.262,The last person have signed up is Roy Wilkie.,9,,
85,0.97,563.262,595.895,"And just a comment, even though I mentioned earlier that we ask speakers to begin their comments focused on items on today's agenda and the referral calendar come of the rules allow us to permit people to speak to items on the Council's work plan . We are in a strange time now and that we don't have an adopted work plan for the Council and this is why I am showing some leniency to allow speakers to speak on items that are neither on the information referral calendar nor on today's agenda.",9,,
86,0.97,595.895,597.163,Go ahead.,9,,
87,0.97,597.163,601.067,Item K? other business?,10,,
88,0.97,601.067,605.304,That is one way to look at it but that is not all rules.,11,,
89,0.97,605.304,609.008,Go ahead.,11,,
90,0.97,609.008,614.513,"My name is Roy, I'm here to ask the city Council to take up the issue of under payment and Mistreatment of the gig economy.",12,,
91,0.97,614.513,628.494,"I work for caviar, a delivery company owned by door dash.",12,,
92,0.97,628.761,632.331,I work as a bike courier and at the time the use of independent contractors was breaking out.,12,,
93,0.97,632.331,633.833,It became the only competitive business model.,12,,
94,0.97,633.833,639.605,As I grew my business as a courier I learned about best practices for independent contractors including being clear on every detail of an order.,12,,
95,0.97,639.605,643.943,Allowing workers to reject without penalties and giving workers freedom to work for other companies.,12,,
96,0.97,643.943,654.053,The food delivery companies have come in and to the restaurant delivery industry which is similar in many ways to the rush delivery service.,12,,
97,0.97,654.053,658.958,These get work companies have no best practices except for just making more profit.,12,,
98,0.97,658.958,666.465,Working for caviar I make as little as 10 doll Mac an hour before expenses.,12,,
99,0.97,666.465,679.945,The ability to abuse and exploit the labor situation created a nightmare scenario where we were coursed to work on notices working only for one company while having unlimited competition.,12,,
100,0.97,679.945,685.017,Because they hire anyone . and we never really know how much we'll wait until after the work is done.,12,,
101,0.97,685.017,687.219,All with one of the highest risk of injury job Possibles.,12,,
102,0.97,687.219,694.493,Wrist of all adding insult to injury some of those companies have been caught stealing tips.,12,,
103,0.97,694.493,696.295,Like door dash.,12,,
104,0.97,696.295,701.2,"Tips have, about 40% of my income from this work.",12,,
105,0.97,701.2,709.308,So we are here because gig workers ask for the very basics of compensation which is parity with minimum wage employment.,12,,
106,0.97,709.308,713.479,And would like to work with the city Council to set a new standard in the gig economy in Seattle.,12,,
107,0.97,713.479,713.813,Thank you.,12,,
108,0.97,713.813,724.19,"And I'm sorry, I yelled at you when you called my campaign call, I was on my Motorcycle making deliveries and I didn't think you'd be calling.",12,,
109,0.97,724.19,724.59,Thank you.,12,,
110,0.97,724.59,732.498,With that if this nobody else signed up for public comment will move on to the items of business.,13,,
111,0.97,732.498,734.133,We will start off with payment of bills.,13,,
112,0.97,734.133,736.302,Please read the title.,13,,
113,0.97,736.302,746.712,"Claims for the week of Jenera 13, 2019 through ordering the payment thereof.",14,,
114,0.97,746.712,753.619,"I moved to pass, CB 119736.",14,,
115,0.97,753.619,754.019,Second.,15,,
116,0.97,754.019,757.456,"The bill passed, any comments?",16,,
117,0.97,757.456,762.061,See no comments please call the roll on the passage of the bill.,16,,
118,0.97,762.361,762.795,Not opposed.,17,,
119,0.97,771.937,773.672,The chair will sign it.,17,,
120,0.97,773.672,777.176,We have no reports to be presented today.,17,,
121,0.97,777.176,782.581,And so we will just move right into adoption of other resolutions.,17,,
122,0.97,782.581,783.649,Please read item 1.,17,,
123,0.97,783.649,787.353,Resolution 31928.,18,,
124,0.97,787.353,795.661,A welcoming city condemning all forms of oppression throughout the world.,18,,
125,0.97,795.661,797.496,"Pedersen, do you want to speak to the resolution?",19,,
126,0.97,797.496,809.275,"Thank you, so one week ago we shared this resolution at counsel briefing and it is before us today for a vote.",20,,
127,0.97,809.275,811.51,We have a new City Council and several new members.,20,,
128,0.97,811.51,812.912,This resolution REAFFIRMS Seattle as a welcoming city.,20,,
129,0.97,812.912,826.025,Recognizes the good work of previous city councils and States emphatically we oppose all forms of oppression . I would like to move adoption of the resolution.,20,,
130,0.97,826.025,829.795,31928.,20,,
131,0.97,829.795,831.13,To have a second?,21,,
132,0.97,831.13,832.031,Second.,22,,
133,0.97,832.031,834.833,It has been moved and Seconded.,23,,
134,0.97,834.833,836.235,That the bill passes.,23,,
135,0.97,836.235,837.236,Other comments?,23,,
136,0.97,837.236,838.237,Yes.,24,,
137,0.97,838.237,839.738,I'm sorry.,24,,
138,0.97,839.738,842.141,This strikes me crazy.,24,,
139,0.97,842.141,851.717,I have to say that I really don't support this resolution.,24,,
140,0.97,851.717,852.952,But I want to explain why.,24,,
141,0.97,852.952,862.861,As a former Seattle human rights Commissioner I think it is really important that when there are instances of human rights abuses throughout the world that we be very specific about what we are objecting to.,24,,
142,0.97,862.861,871.136,Represent all the voices of the constituents and it's important that we don't constrain the voices of our elected officials to speak out against issues directly.,24,,
143,0.97,871.136,887.486,"As representative of district 2, the most diverse district in the city it's important that I look at issues that impact our constituents locally and also I stand in solidarity with international communities whose issues and identities are shared with the constituents we serve.",24,,
144,0.97,887.486,889.255,It's important to denounce oppression everywhere throughout the world.,24,,
145,0.97,889.255,896.996,And we must caution against Universalizing the shared experiences of oppression itself.,24,,
146,0.97,896.996,903.302,Doing so can minimize the individual ways that different groups experience oppression by the systems in our society.,24,,
147,0.97,903.302,912.077,There are specific instances that deserve to be called out and the list of resolutions Referenced in this resolution demonstrate that.,24,,
148,0.97,912.077,919.151,We're talking specifically about straightening public safety for immigrants and refugees.,24,,
149,0.97,919.151,925.624,Specifically about supporting immigrants through the doctor program and specifically about opposing the Trump administration separation of families.,24,,
150,0.97,925.624,932.998,Specifically about protecting human rights defenders.,24,,
151,0.97,932.998,936.635,And specifically about upholding the rights and dignity of native people in our city and in our country.,24,,
152,0.97,936.635,954.72,"So while I appreciate the intent behind this to make sure that we are clear that we are as a counsel committed to protecting people, I think it's important that we acknowledge a blanket statement like this can't serve to obscure the violence that is committed intentionally upon marginalized groups.",24,,
153,0.97,954.72,967.966,As elected officials in positions of power we have to continue to lift up the voices of those who have been silenced to the margins with their oppression has been brought to our attention.,24,,
154,0.97,967.966,969.535,"Whether it is local, national or international.",24,,
155,0.97,969.535,972.538,We can't be silent when the issues of human rights are at stake.,24,,
156,0.97,972.538,977.376,"And so, I will not be supporting this resolution.",24,,
157,0.97,977.376,978.477,Thank you.,24,,
158,0.97,978.477,981.28,Would you like to respond?,25,,
159,0.97,981.28,981.747,Yes.,26,,
160,0.97,981.747,983.315,You want to say something?,26,,
161,0.97,983.315,985.584,Council member Lewis?,27,,
162,0.97,985.584,1001.4,"Madam President pro Tem, I want to speak, listen closely to Council members Morales's remarks.",28,,
163,0.97,1001.4,1016.281,"That is why one of the things I do want to move, I don't know if know the appropriate time, there is a proposed amendment 1 that was circulating, and I want to inquire about the procedure and when it would be appropriate to move.",28,,
164,0.97,1016.281,1018.217,Or to speak to it.,28,,
165,0.97,1018.217,1020.319,I don't know.,28,,
166,0.97,1020.319,1036.602,"I do agree that Procedurally it's important to get the amendment on the table but I do want to show, show cuts member Pedersen the courtesy of responding to the comments if he wishes to do so.",29,,
167,0.97,1036.602,1037.403,Thank you.,30,,
168,0.97,1037.403,1038.604,Thank you Councilmember Morales for the comments.,30,,
169,0.97,1038.604,1051.35,"For me it is yes and situation, this is reaffirming Seattle as a welcoming city as one of the key components of the resolution.",30,,
170,0.97,1051.35,1068.867,And we should be having other resolutions about specific instances of oppression . looking on the amnesty International Website right now there are scores of oppressive events occurring right now . human rights watch as well.,30,,
171,0.97,1068.867,1076.975,But that Website has other issues that are being highlighted as instances of oppression.,30,,
172,0.97,1076.975,1082.181,But we don't have resolutions for everything going on . every day.,30,,
173,0.97,1082.181,1088.287,"So, this is reaffirming Seattle as a welcoming city and condemning all forms of oppression throughout the world.",30,,
174,0.97,1088.287,1097.663,And it also asks the office of Intergovernmental relations to continue to alert us about International issues that are Impacting Seattle.,30,,
175,0.97,1097.663,1109.107,"And the other final section does not, it States, it does not impede or limit any city council members ability to introduce future resolutions.",30,,
176,0.97,1109.107,1113.312,Those two sections were added just this week.,30,,
177,0.97,1113.312,1115.114,So I'm not sure everybody saw those.,30,,
178,0.97,1115.114,1123.322,But I think that may help to address the concern that we should be having additional resolutions . We have one scheduled for next week.,30,,
179,0.97,1123.322,1126.325,That will be discussing.,30,,
180,0.97,1126.325,1128.193,It is not an either or situation.,30,,
181,0.97,1128.193,1132.431,It is a Yes and situation.,30,,
182,0.97,1132.431,1137.736,"And again, I added those two Sctions at the end which might've been obscured previously.",30,,
183,0.97,1137.736,1157.856,"And would welcome an amendment that was raised earlier about defining oppression but again, I want to be on the record agreeing with Councilmember Morales we are not meant, not meaning to exclude but actually to cast a wide net and welcome more resolutions that are specific.",30,,
184,0.97,1157.856,1165.764,Often groups are coming to us with specific requests and we want to honor those as well.,30,,
