index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.549,17.217,"Good morning, everyone.",0,,
1,0.97,17.217,24.124,Thank you for joining the Seattle city council budget committee.,0,,
2,0.97,24.124,25.125,"Today is October 21, 2020 20.",0,,
3,0.97,25.125,25.925,I am Teresa Mosqueda.,0,,
4,0.97,25.925,29.929,It is 9: 26 A.M.,0,,
5,0.97,29.929,37.103,Please call role.,0,,
6,0.97,37.103,47.347,Peterson?,1,,
7,0.97,58.725,59.058,Present.,2,,
8,0.97,59.058,62.328,We want to know for the record the Council President is excused for today.,3,,
9,0.97,62.328,65.365,We appreciate her sending in her notification and we continue to hope that she feels well.,3,,
10,0.97,65.365,67.634,"If there is no objection, today's agenda will be adopted.",3,,
11,0.97,67.634,85.418,"Hearing no objection, today's agenda is adopted . I want to note for the record for our viewing public, we do have a presentation.",3,,
12,0.97,85.418,91.791,I want to note that yesterday's Seattle park and recreation related to the central staff memo has been updated Online to correct the percentage change.,3,,
13,0.97,91.791,92.792,That is from the office.,3,,
14,0.97,92.792,94.994,I wanted to make sure that was available for the public.,3,,
15,0.97,94.994,100.5,Yesterday's parks and Rec related to this has been updated Online.,3,,
16,0.97,100.5,111.01,"Also, I want to reflect for the record, thanks to Patty, they sent out a Powerpoint today, deleting one duplicated slide and adding to the conversation one inadvertently left off.",3,,
17,0.97,111.01,123.623,This is a form letter A. there is no change in the agenda but we wanted to make sure you had the information.,3,,
18,0.97,123.623,139.005,We will see the change in the presentation as shared with the public . Thank you for doing that Patty.,3,,
19,0.97,139.005,142.575,I want to welcome you all back to the fourth and final day of the select budget committee.,3,,
20,0.97,142.575,147.247,Today we are here to identify issues in the proposed budget that has been transmitted to Seattle city council from the executive's office.,3,,
21,0.97,147.247,149.149,We will focus on the parks and recreation.,3,,
22,0.97,149.149,150.517,"I am sorry, this is not today's script.",3,,
23,0.97,150.517,150.85,One second.,3,,
24,0.97,150.85,153.119,We are going to focus on our notes.,3,,
25,0.97,153.119,162.862,"Counsel member Lisa Herbold, this starts in your area.",3,,
26,0.97,162.862,164.531,We will start with an overview of public safety.,3,,
27,0.97,164.531,168.968,We will get into the conversation on human services.,3,,
28,0.97,168.968,173.64,In the afternoon we have homelessness response and Covid- 19 response.,3,,
29,0.97,173.64,176.309,"Alley, I see you Online, is there anything else to add?",3,,
30,0.97,176.309,181.981,Okay.,3,,
31,0.97,181.981,184.884,We want to make sure folks know the deadline for form B is Thursday.,3,,
32,0.97,184.884,187.687,Please turn in your form B and your conversation with central staff.,3,,
33,0.97,187.687,200.466,They will be happy to work with you with various ideas.,3,,
34,0.97,200.466,203.303,This is now that we have the chance to walk through the various issues.,3,,
35,0.97,203.303,204.337,Council members have similar ideas.,3,,
36,0.97,204.337,207.774,Maybe there is opportunity to work with colleagues to combine issues and to put forward issues together.,3,,
37,0.97,207.774,211.811,We will streamline the conversation.,3,,
38,0.97,211.811,217.917,The proposed budget will come out in early November.,3,,
39,0.97,217.917,219.118,Thank you so much everyone.,3,,
40,0.97,219.118,238.905,"If there is no questions, sorry for my confusion, why don't we go ahead and go into public comment . We offer folks the chance we offer folks the chance to participate at every select budget committee meeting.",3,,
41,0.97,238.905,261.16,We are offering time for a robust discussion during our longer public hearings.,3,,
42,0.97,261.16,262.829,That is October 27 starting at 5:30 P.M.,3,,
43,0.97,262.829,265.264,We will have a sign up opportunity starting at 3:30 P.M.,3,,
44,0.97,265.264,269.168,We have a lot of folks signed up and we are going to get through as many people as possible.,3,,
45,0.97,269.168,270.737,We are limiting today's testimony to 30 minutes.,3,,
46,0.97,270.737,279.479,"The first three people to speak that are present are bill, Castille, and Kelsey.",3,,
47,0.97,279.479,282.081,I do not see Kelsey so we will go to another individual.,3,,
48,0.97,282.081,285.585,You will have in one minute to testify and we will get there as many people as possible.,3,,
49,0.97,285.585,286.185,Good morning bill.,3,,
50,0.97,286.185,287.387,Thank you for hanging in there.,3,,
51,0.97,287.387,289.789,It looks like you put yourself on mute.,4,,
52,0.97,289.789,291.858,Hello.,5,,
53,0.97,291.858,297.964,We can hear you.,6,,
54,0.97,297.964,298.765,"Hello, good morning.",7,,
55,0.97,298.765,299.599,My name is bill.,7,,
56,0.97,299.599,307.707,I am a Seattle resident and I am in district 4. thank you for giving the opportunity for public comment today.,7,,
57,0.97,307.707,312.412,I would like to speak briefly on an issue in the solidarity budget.,7,,
58,0.97,312.412,328.227,There is an asked to expand the direct offense which means do not convict a person of a crime if they are trying to meet a basic need or struggling with mental health or drug use at the time of the offense.,7,,
59,0.97,328.227,338.738,"I think that you know one part of the role of government is to help as many people as possible meet basic needs and you know, this cannot happen all the time.",7,,
60,0.97,338.738,358.057,"You know, I think that it is reasonable to stop convict being, stop Criminalizing meeting basic needs and that this is doing so.",7,,
61,0.97,358.057,358.458,It is inhumane.,7,,
62,0.97,358.458,364.764,This is a waste of resources and --,7,,
63,0.97,364.764,365.565,Thank you very much.,8,,
64,0.97,365.565,367.333,Thank you for joining us.,8,,
65,0.97,367.333,374.374,"Hello, can you hear me?",9,,
66,0.97,374.374,382.248,"Yes, thank you.",10,,
67,0.97,382.248,390.99,"When my brother was killed by the Seattle police in 2004, he was experiencing a mental health crisis where he should have received the help he needed.",11,,
68,0.97,390.99,395.461,"All too often, people with mental illnesses have encounters with police.",11,,
69,0.97,395.461,396.763,We are fighting for public records.,11,,
70,0.97,396.763,402.969,One in four fatal it incidents with the police involve a mental illness.,11,,
71,0.97,402.969,405.404,Honor his life.,11,,
72,0.97,405.404,406.773,D Fund by 50%.,11,,
73,0.97,406.773,414.347,"Redistribute it in communities that needed including housing, and mental-health.",11,,
74,0.97,414.347,416.983,Make this a priority.,11,,
75,0.97,416.983,423.222,Respond to homelessness and mental illness.,11,,
76,0.97,423.222,437.77,Do not unnecessarily escalate this in the middle of a pandemic that disproportionately Prosecutes black people that makes up 27% of the cases prosecuted.,11,,
77,0.97,437.97,440.94,"Give people a fighting chance to life and liberty, thank you, I yield my time.",11,,
78,0.97,440.94,442.141,Thank you for calling in.,12,,
79,0.97,442.141,447.146,"If Kelsey is not present, we will go to Barbara, Howard and Christopher.",12,,
80,0.97,447.146,449.215,Good morning.,12,,
81,0.97,449.215,459.725,Hello my name is Barbara.,13,,
82,0.97,463.329,464.931,I am a homeowner in district 5.,13,,
83,0.97,464.931,474.674,I am a union member and delegate to the Washington state labor counsel.,13,,
84,0.97,474.674,476.709,I am a member of the people's budget movement.,13,,
85,0.97,476.709,487.286,I urge you to sign on and support Councilmember's proposal to create a democratically elected oversight board with full powers to hold SPD accountable.,13,,
86,0.97,487.286,495.394,The Seattle police have killed 27 people in the last 10 years including various individuals.,13,,
87,0.97,495.394,501.667,Masses of people are protesting for black lives matter.,13,,
88,0.97,501.667,507.373,"Media, medics, legal observers and residents have been abused, injured and their rights have been trampled by the police Department in the last four months.",13,,
89,0.97,507.373,519.452,"Despite various organizations, the current police accountability system does not work.",13,,
90,0.97,519.452,521.988,Our city needs an independent democratically elected civilian controlled police accountability system.,13,,
91,0.97,521.988,527.894,Support Kshama Sawant's proposal to create this.,13,,
92,0.97,527.894,528.494,Thank you.,14,,
93,0.97,528.494,529.328,The next person's Howard.,14,,
94,0.97,529.328,530.263,Good morning.,14,,
95,0.97,530.263,540.573,Good morning.,15,,
96,0.97,546.212,548.447,This is Howard Dale from district 7 speaking on public safety.,15,,
97,0.97,548.447,559.492,This morning we will be considering a proposal from Kshama Sawant to establish a Community-Based police oversight organization.,15,,
98,0.97,559.492,563.095,"This is unlike a system that exists in other cities like Newark, New Jersey and Nashville Tennessee.",15,,
99,0.97,563.095,578.611,"If you believe in the righteousness of the moment we are in, if you believe in justice for George Floyd, how can you not believe in justice for various others?",15,,
100,0.97,585.251,589.422,They were all killed by the Seattle police in the last three years since the Council approved the accountability legislation.,15,,
101,0.97,589.422,591.29,All of these police killings were never properly investigated.,15,,
102,0.97,591.29,593.459,I ask that you be accountable and transparent to your constituents.,15,,
103,0.97,593.459,599.432,"If you do not support the proposal, you must explain what measure of justice or existing accountability issues was brought to the family and loved ones of the victims.",15,,
104,0.97,603.135,603.869,Thank you Howard.,16,,
105,0.97,603.869,614.347,"Christopher, good morning.",16,,
106,0.97,621.187,621.787,Thank you.,17,,
107,0.97,621.787,625.591,"My name is Chris Conley, I am a Renter in district 7. I am a member of sunrise Seattle.",17,,
108,0.97,625.591,633.733,I am calling to urge you to divest by at least 50% and support Distributional funds divested from SPD through a Participatory funding process that creates real public safety.,17,,
109,0.97,633.733,637.503,"This includes increased access to dignified emergency shelters and affordable housing, access to hygiene and Decriminalizing homelessness.",17,,
110,0.97,637.503,641.774,This includes taking measures in the basic needs and the communities.,17,,
111,0.97,641.774,653.252,This does not punish people who are trying to survive.,17,,
112,0.97,657.323,659.925,People make up 27% of the cases prosecuted in 2017 and 18.,17,,
113,0.97,659.925,661.527,They only make up 7% of the population.,17,,
114,0.97,661.527,664.296,"When we say Defund the police, we mean undo a racist system of oppression.",17,,
115,0.97,664.296,667.133,We mean stop wasting money and resources on Criminalizing poverty and mental health struggles.,17,,
116,0.97,667.133,671.871,"We can invest money in meeting people's basic needs like safe and dignified housing, economic stability and health care.",17,,
117,0.97,671.871,675.241,60 other organizations have signed onto a solidarity budget and they are urging this to pass.,17,,
118,0.97,675.241,675.574,Thank you.,17,,
119,0.97,675.574,679.378,"We have Jackson, Kate and Dan.",18,,
120,0.97,679.378,681.18,"Jackson, good morning.",18,,
121,0.97,681.18,691.59,"Hello, good morning.",19,,
122,0.97,695.728,696.295,I am Jackson.,19,,
123,0.97,696.295,697.697,I am a Renter in district 4.,19,,
124,0.97,697.697,701.767,"Thank you for offering comment today and to the people who have given very powerful comments so far, thank you.",19,,
125,0.97,701.767,703.002,I moved to Seattle in February.,19,,
126,0.97,703.002,705.638,I have been very disillusioned by this city that calls itself forward thinking.,19,,
127,0.97,705.638,710.076,My whole time I seen people on the streets struggling and a lack of resources going toward dignified housing and sanitation.,19,,
128,0.97,710.076,714.513,We see the police sweeping temps in the middle of a pandemic.,19,,
129,0.97,714.513,715.981,They refuse accountability for killing people.,19,,
130,0.97,715.981,734.7,This is a government that makes moods years too late and takes credit for stealing down a criminal justice system that helps drive black folks into a permanent underclass and not acknowledging the work of activists in the community.,19,,
131,0.97,734.7,740.74,We have an opportunity to make humane and economically sensible moves that would put us ahead of the game.,19,,
132,0.97,740.74,748.214,We call along the Council and Alex Peterson to make good on commitments and fight for the solidarity budget.,19,,
133,0.97,748.214,751.15,This is especially extending the --,19,,
134,0.97,751.15,763.295,"Thank you, Kate, good morning.",20,,
135,0.97,770.97,771.837,Can you hear me?,21,,
