index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.347,14.814,Good afternoon everyone.,0,,
1,0.97,14.814,28.294,"The September 14, 2020 meeting will come to order.",0,,
2,0.97,28.294,33.299,I'm Lorana Gonzalez president of the city council.,0,,
3,0.97,33.299,37.704,Will the clerk please call the roll.,0,,
4,0.97,37.704,43.71,Council member Peterson.,1,,
5,0.97,43.71,45.845,Here.,2,,
6,0.97,45.845,49.716,Council member Sawant.,3,,
7,0.97,49.716,50.383,Here.,4,,
8,0.97,50.383,53.887,Council member Strauss.,5,,
9,0.97,53.887,57.223,Here.,6,,
10,0.97,57.223,58.224,Council member Lewis.,7,,
11,0.97,58.224,58.525,Present.,8,,
12,0.97,58.525,59.225,Nine present.,9,,
13,0.97,59.225,60.627,Thank you Ma'am clerk.,10,,
14,0.97,60.627,62.028,Presentations I'm not aware of any presentations.,10,,
15,0.97,62.028,68.168,Approval of the minutes there are no minutes for approval at today's meeting.,10,,
16,0.97,68.168,93.86,Adoption of the referral calendar before we move for the adoption of the introduction and referral calendar I want to take an opportunity to recognize Council member Sawant who has a short statement to make regarding Council bill 119981 which appears on today's introduction and referral calendar.,10,,
17,0.97,93.86,103.303,Council member Sawant you're recognized to make comment before we get the referral calendar.,10,,
18,0.97,103.303,111.177,I'm being asked to Recuse myself from any Sroeplts relating to this bill.,11,,
19,0.97,111.177,115.615,I should Recuse myself from this particular vote.,11,,
20,0.97,115.615,123.79,Our ethics officer has indicated that you are ethically able to take a vote on the introduction and referral calendar if you wish.,12,,
21,0.97,123.79,129.696,But if you want to be careful and judicious and would rather not guilty do that.,12,,
22,0.97,129.696,135.401,Then it would be important I think for you to state your preference on the record.,12,,
23,0.97,135.401,149.415,Per that I would prefer to Recuse myself from this particular vote.,13,,
24,0.97,149.415,162.695,So Council member Sawant will be Recusing herself from today's calendar related to legal defense for Council member Sawant.,14,,
25,0.97,162.695,169.102,Okay if there is no objection the introduction referral calendar will be adopted.,14,,
26,0.97,169.102,173.473,Hearing no objection the introduction and referral calendar is adopted.,14,,
27,0.97,173.473,186.819,We do have one small amendment to the approval of the agenda as mentioned by Council member Lewis from today's briefing.,14,,
28,0.97,186.819,195.428,"So we will consider that amendment shortly I will move to adopt the agenda, is there a second.",14,,
29,0.97,195.428,197.263,Second.,15,,
30,0.97,197.263,208.341,It's been moved and Seconded to approve the agenda.,16,,
31,0.97,208.341,213.246,I move to amend the agenda by removing item two from today's meeting agenda.,17,,
32,0.97,213.246,215.048,Is there a second?,18,,
33,0.97,215.048,218.351,It's been moved and Seconded.,18,,
34,0.97,218.351,221.287,Are there any additional comments on the amendment?,18,,
35,0.97,221.287,221.621,Hearing none.,18,,
36,0.97,221.621,242.408,Just for the viewing public we did have an student to hear specific comment from Council member Lewis on the intent to remove agenda item two so we had an opportunity to discuss this particular amendment to no longer consider resolution 3996.,18,,
37,0.97,242.408,256.623,"Hearing no additional comment on the amendment, I would ask the clerk please call the role on the adoption of the amendment.",18,,
38,0.97,256.623,256.99,Juarez.,19,,
39,0.97,256.99,258.992,Aye.,20,,
40,0.97,258.992,261.394,Lewis.,21,,
41,0.97,261.394,262.895,Aye.,22,,
42,0.97,262.895,264.097,Morales.,23,,
43,0.97,264.097,264.43,Aye.,24,,
44,0.97,264.43,264.797,Mosqueda.,25,,
45,0.97,264.797,266.432,Aye.,26,,
46,0.97,266.432,269.769,Pederson.,27,,
47,0.97,269.769,270.036,Aye.,28,,
48,0.97,270.036,270.336,Sawant.,29,,
49,0.97,270.336,271.604,Sawant is Recused.,30,,
50,0.97,271.604,277.744,I thought this was on the agenda.,31,,
51,0.97,277.744,280.313,"I'm sorry, correct.",32,,
52,0.97,280.313,280.546,Go on.,32,,
53,0.97,280.546,281.214,Sawant.,33,,
54,0.97,281.214,283.116,Aye.,34,,
55,0.97,283.116,283.416,Strauss.,35,,
56,0.97,283.416,283.683,Aye.,36,,
57,0.97,283.683,284.017,Herbolt.,37,,
58,0.97,284.017,284.283,Yes.,38,,
59,0.97,284.283,286.219,President Gonzalez.,39,,
60,0.97,286.219,286.486,Aye.,40,,
61,0.97,286.486,287.954,"Nine in favor, none opposed.",41,,
62,0.97,287.954,295.828,The motion carries and the amendment is adopted are there any further comments on the amendment agenda.,42,,
63,0.97,295.828,307.573,Hearing none will the clerk please call the roll on the amended agenda.,43,,
64,0.97,307.573,308.841,Juarez.,44,,
65,0.97,308.841,309.309,Aye.,45,,
66,0.97,309.309,310.376,Lewis.,46,,
67,0.97,310.376,312.345,Aye.,47,,
