index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.316,16.416,.,0,,
1,0.97,16.416,21.821,"September 24, 2021, meeting of the public safety and human services committee will come to order.",1,,
2,0.97,21.821,24.124,It is 9:36 A.M.,1,,
3,0.97,24.124,26.826,"I'm Lisa Herbold, chair of the committee.",1,,
4,0.97,26.826,33.767,Will the clerk please call the role.,1,,
5,0.97,33.767,36.369,Here.Dent Gonzalez.,2,,
6,0.97,36.369,41.775,Councilmember Lewis.,3,,
7,0.97,41.775,42.842,Present.,4,,
8,0.97,42.842,47.18,Councilmember Morales.,5,,
9,0.97,47.18,47.414,Here.,6,,
10,0.97,47.414,47.914,Councilmember Sawant.,7,,
11,0.97,47.914,48.281,Chair Herbold.,7,,
12,0.97,48.281,48.515,Here.,8,,
13,0.97,48.515,49.549,We have four present.,9,,
14,0.97,49.549,50.383,Thank you so much.,10,,
15,0.97,50.383,62.328,So we will be hearing from the office of community task force and they will be making a presentation on the proposed realignment of the criminal legal system.,10,,
16,0.97,62.328,69.202,"We'll be hearing from L.E.A.D., R.E.A.C.H., and the public defenders' Association and their presentation on the L.E.A.D.",10,,
17,0.97,69.202,70.17,Scale study report.,10,,
18,0.97,70.17,81.981,"As background, this report is in response to a statement of intent Council passed last foul requested that the human services Department and L.E.A.D.",10,,
19,0.97,81.981,97.897,Report to Council on the funding required to meet the city's commitment and resolution 39916 to support Pre-Arrest diversion services for all priority qualifying referrals at scale by 2023.,10,,
20,0.97,97.897,113.947,And finally we're going to have a work session on a proposed resolution that affirms Seattle's commitment to Decriminalization of Entheogens.,10,,
21,0.97,113.947,121.154,We'll start with approval of the agenda.,10,,
22,0.97,121.154,123.923,"If there's no objection, the agenda will be adopted.",10,,
23,0.97,123.923,125.859,"Hearing no objection, it will be adopted.",10,,
24,0.97,125.859,128.361,We'll move into the public comment period.,10,,
25,0.97,128.361,136.202,I want to thank everyone on the line for public comment for your patience this morning as we all work together to iron out some technical difficulties.,10,,
26,0.97,136.202,142.375,Happy to have you all with us today.,10,,
27,0.97,142.375,145.011,I'll moderate the public comment period in the following manner.,10,,
28,0.97,145.011,147.013,The Speaker will be given two minutes to speak.,10,,
29,0.97,147.013,154.721,I will call on each Speaker by name and in the order in which they registered on the Council's Website.,10,,
30,0.97,154.721,164.297,"If you've not yet registered to speak but would like to, you can sign up before the end of the public hearing going to the Council's Website.",10,,
31,0.97,164.297,166.032,This is also listed on the agenda.,10,,
32,0.97,166.032,176.175,"Once I call the name, you will hear a prompt and once you've heard that prompt, please press 6--I'm sorry, Star 6 to Unmute yourself.",10,,
33,0.97,176.175,184.05,"After you hear the prompt, in order for us to hear you speaking, you need to hit Star 6 to Unmute yourself.",10,,
34,0.97,184.05,191.491,Please begin speaking by stating your name and the item which you are addressing.,10,,
35,0.97,191.491,197.564,You will hear a tone when 10 seconds are left of your allotted time.,10,,
36,0.97,197.564,213.413,"Once the Speaker hears that time, we ask you to wrap up your public comments, and speakers who do not end their time at the end of the time allotted will have their Speaker Mike muted after 10 seconds to allow us to hear from the next Speaker.",10,,
37,0.97,213.413,224.29,"Once you've completed your public comment, Disconnect from the line and you can keep following the meeting via the Seattle channel or the listening options listed on the agenda.",10,,
38,0.97,224.29,228.328,There are seven people signed up for public comment.,10,,
39,0.97,228.328,234.033,So no need to extend the public comment period.,10,,
40,0.97,234.033,234.901,So that's good news.,10,,
41,0.97,234.901,243.576,We'll hear from everybody and have a full two minutes of time allotted for each Speaker.,10,,
42,0.97,243.576,254.02,"So with that, I will call the speakers in order that they're listed here on the signup sheet, two at a time.",10,,
