index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.012,14.547,Good morning everyone.,0,,
1,0.97,14.547,18.051,Thank you for joining us this budget committee.,0,,
2,0.97,18.051,18.651,Today is November 10th.,0,,
3,0.97,18.651,19.185,2021.,0,,
4,0.97,19.185,21.821,I'm the chair of the select budget committee.,0,,
5,0.97,21.821,28.161,Will the clerk please call the roll?,0,,
6,0.97,28.161,38.405,[roll call],0,,
7,0.97,47.58,47.981,Chair Mosqueda.,1,,
8,0.97,47.981,49.282,Present.,2,,
9,0.97,49.282,49.682,Nine present.,3,,
10,0.97,49.682,52.919,Thank you very much Madame clerk.,4,,
11,0.97,52.919,54.254,"Callers, we have a full agenda this morning.",4,,
12,0.97,54.254,66.199,I want the thank you for your participation in our ongoing select budget committee meetings Andly note that I have a few opening comments I want to make sure that we have an outline for what to expect throughout the day and the process over the next week and a half.,4,,
13,0.97,66.199,74.474,Then we will get into an overview of the presentation that central staff has made available to all of you and will be published to the agenda.,4,,
14,0.97,74.474,75.275,After our committee meeting today.,4,,
15,0.97,75.275,87.454,Want to make sure that we have an opportunity to hear from all the Council members who are interested in calling attention to the various budget actions that they submitted as amendments to the budget.,4,,
16,0.97,87.454,88.021,Over the last two weeks.,4,,
17,0.97,88.021,90.957,And talk about what was included in the budget.,4,,
18,0.97,90.957,95.094,And what folks have any questions about and other desires they'd like to see.,4,,
19,0.97,95.094,98.064,"We'll have about two, two and a half hours today to do that.",4,,
20,0.97,98.064,106.072,We'll also have an opportunity on Friday to continue this conversation if there's any additional questions or issues you'd like to ask of central staff on Friday.,4,,
21,0.97,106.072,111.01,Wanted to make sure that you all had that preference as I go into some opening remarks here.,4,,
22,0.97,111.01,118.651,Just to make sure that you know we will be getting into the city budget actions after my comments here as the chair.,4,,
23,0.97,118.651,131.297,"Callers, this evening at the 5:30 hour as you know we will be holding a public hearing to hear from members of the public solely dedicated to the city's 2022 general revenue resources and the proposed budgets and corresponding legislation.",4,,
24,0.97,131.297,138.071,We are dedicating the entire evening to this so that's why this morning's agenda doesn't include public comment for us to accept public comment.,4,,
25,0.97,138.071,149.249,"I'm going to now move to suspend the rules to allow for the meeting to continue without public comment at this morning's meeting recognizing during this same day, throughout the evening, we will hear directly from members of the public.",4,,
26,0.97,149.249,158.091,"If there's no objection, the Council rules relating to accepting public comment at a committee meeting will be suspended.",4,,
27,0.97,158.091,167.534,Hearing no objection the Council rule is suspended and the public comment will not be accepted at the meeting we felt look forward to hearing from the members of the public.,4,,
28,0.97,167.534,170.837,As a reminder registration for the public hearing begins at 3:30 P.M.,4,,
29,0.97,170.837,176.576,And all of the opportunities to provide public comment are listed on the agenda for this afternoon.,4,,
30,0.97,176.576,178.611,Please do sign up starting at 3:30 P.M.,4,,
31,0.97,178.611,182.048,And we will endeavor to get through everyone who's signed for public comment.,4,,
32,0.97,182.048,187.187,For preparing for your remarks please do NOTE we will have one minute for public comment for each person.,4,,
33,0.97,187.187,200.066,"Regarding the process for the rest of this week, and next week, colleagues, you will note that central staff and I provided a very high level overview of the proposed budget via Seattle channel around 2:00 P.M.",4,,
34,0.97,200.066,200.366,Yesterday.,4,,
35,0.97,200.366,206.105,We wanted to share with you and members of the public that the proposed budget was available for you to review.,4,,
36,0.97,206.105,216.716,And for Council members and members of the public to dive into analyzing that proposed budget before today's select budget committee meeting at 9:00 A.M.,4,,
37,0.97,216.716,221.421,Thank the Council President who had allowed for us to add a select budget committee meeting to today's agenda.,4,,
38,0.97,221.421,224.257,And I want to thank all of you for your participation today.,4,,
39,0.97,224.257,240.373,I think this is going to be a helpful Primer on the budget that we are releasing so we can have conversations about any possible amendments you are going to be considering by this Friday.,4,,
40,0.97,240.373,245.278,And that way we can also reconvene on Friday morning to go into any questions you may have.,4,,
41,0.97,245.278,255.355,But more importantly offer central staff an opportunity to provide any clarification on any themes or issues that have been identified over the next two days.,4,,
