index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.548,17.484,Let me know if Seattle channel is ready to go.,0,,
1,0.97,17.484,21.654,You are good to go.,1,,
2,0.97,21.654,22.322,"Good morning, everyone.",2,,
3,0.97,22.322,27.527,"The December 16, 2020 regular meeting of the transportation utilities Commissioner will come to order.",2,,
4,0.97,27.527,28.428,I'm Alex Pedersen.,2,,
5,0.97,28.428,30.363,Chair of the committee.,2,,
6,0.97,30.363,34.634,Will the clerk please call the roll.,2,,
7,0.97,34.634,37.937,Council President Gonzales.,3,,
8,0.97,37.937,38.638,Here.,4,,
9,0.97,38.638,43.576,Councilmember Herbold.,5,,
10,0.97,43.576,44.778,Here.,6,,
11,0.97,44.778,46.312,Councilmember Morales.,7,,
12,0.97,46.312,46.813,Councilmember Strauss.,7,,
13,0.97,46.813,47.113,Present.,8,,
14,0.97,47.113,48.448,Chair Pedersen.,9,,
15,0.97,48.448,49.249,Here.,10,,
16,0.97,49.249,52.385,"You have four present, you have a Quorum.",11,,
17,0.97,52.385,53.653,Thank you.,12,,
18,0.97,53.653,60.76,"If there's no objection, today's proposed agenda will be adopted.",12,,
19,0.97,60.76,62.562,"Hearing no objection, the agenda is adopted.",12,,
20,0.97,62.562,71.738,"Colleagues, we have 14 items on today's agenda, including two proposed ordinances for which we already had a public hearing during our December 2ND committee.",12,,
21,0.97,71.738,73.873,So those are items 10 and 11 on the agenda.,12,,
22,0.97,73.873,84.851,"To set the table for today's meeting, I want to let you know that I generally support all the items on today's committee agenda.",12,,
23,0.97,84.851,90.623,"Please note that the last item, item 14 is in the early stages and today is just a briefing and discussion on that item.",12,,
24,0.97,90.623,97.397,There will be more time for input and consideration as it moves through the process.,12,,
25,0.97,97.397,103.97,Any items voted on today will advance to the first full city council meeting in January.,12,,
26,0.97,103.97,109.642,"We will have our next meeting of this Committee on Wednesday, January 20.",12,,
27,0.97,109.642,121.488,"We will have our meeting in the afternoon on January 20 to avoid conflict with the inauguration in Washington, D.C. of both President Biden and vice president Harris.",12,,
28,0.97,121.488,129.462,So at this time we will open the remote general public comment period.,12,,
29,0.97,129.462,133.766,I don't see anybody signed up right now but we will give them a couple of minutes here.,12,,
30,0.97,133.766,141.641,I will read what we normally read about the public comment situation that is virtual.,12,,
31,0.97,141.641,148.681,I ask everyone be patient as we learn to operate this system in Realtime and navigate through the growing pages.,12,,
32,0.97,148.681,156.89,We are continuously looking for ways to Fine-Tune this process and adding new features that allow for additional means of public participation in our Council meetings.,12,,
33,0.97,156.89,162.662,It remains the strong intent of the city Council to have public comment regularly included on the Agendas.,12,,
34,0.97,162.662,178.778,"However, the city council reserves the right to modify these public comment periods at any point if we deem this system is being abused or unsuitable for allowing our meetings to be conducted efficiently and in a manner in which we are age to conduct our necessary business.",12,,
35,0.97,178.778,181.781,I will moderate the public comment period in the following manner.,12,,
36,0.97,181.781,184.317,Given up to 20 minutes if needed.,12,,
37,0.97,184.317,185.518,Each Speaker will get two minutes to speak.,12,,
38,0.97,185.518,190.49,I will call on the speakers two at a time in the order in which they registered on the Council Website.,12,,
39,0.97,190.49,196.129,"If you have not registered but would like to speak, please sign up before the end of the public comment period.",12,,
40,0.97,196.129,198.765,The public comment link is also listed on today's agenda.,12,,
41,0.97,198.765,212.679,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of you have been Unmuted will be the Speaker's Cue it is their turn to speak and the Speaker must express Star 6 to begin speaking.",12,,
42,0.97,212.679,216.349,Begin speaking by stating your name and the item you are addressing.,12,,
43,0.97,216.349,220.32,"As a reminder, public comment should relate to an item on today's agenda.",12,,
44,0.97,220.32,225.325,Speakers will hear a Chime when ten seconds are left of the allotted time.,12,,
45,0.97,225.325,230.63,"Once you hear the Chime, we ask you wrap up your commented.",12,,
