index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.908,15.682,"Okay the October 11, 2021 meeting of the Seattle city Council has come to order.",0,,
1,0.97,15.682,20.153,Wilbur clerk please?,0,,
2,0.97,20.153,45.979,[roll being called] nine present.,1,,
3,0.97,45.979,54.521,Thank you so much presentations I am not aware of presentations for the day so I moved to approval of the minutes.,2,,
4,0.97,54.521,71.938,-- have been reviewed--hearing no objection the minutes are being signed will the clerk please affix my signature to the minutes if there is no objection the introduction a referral calendar will be adopted.,2,,
5,0.97,71.938,73.473,"Hearing no objection, it is adopted.",2,,
6,0.97,73.473,78.244,If there is no objection the agenda will be adopted.,2,,
7,0.97,78.244,83.75,Hearing no agenda objection the agenda is adopted.,2,,
8,0.97,83.75,105.472,We will open for a public comment period for items on the--I want to thank everyone for their ongoing patience as we continue to operate--it remains our strong intent to continue to have public comment at all of our Council meetings.,2,,
9,0.97,105.472,138.404,And as a reminder the city council does--I will moderate the public comment period in the following manner public comment period today is--and using the meeting phone number I.D.,2,,
10,0.97,138.404,149.516,And Passcode that was Emailed to them--this is different from the general meeting listen line Call-In information.,2,,
11,0.97,149.516,165.198,-- you can sign up before the end of public comment by going to our Website.,2,,
12,0.97,165.198,207.106,"Public comment link is also listed on today's agenda once I call your name staff will Unmute you, you will hear the prompt that you have been Unmute it and that will be your Cue to press Á6 and then begin speaking please begin by saying your name the item you are addressing and your comment should relate to an item on today's agenda the introduction a referral calendar or--you are going to hear a Chime in about 10 seconds--wrapping up your public comment if you do not and your comments at that allotted time then your microphone is going to be muted so we can call on the next Speaker.",2,,
13,0.97,207.106,226.759,"Once you have concluded your public comment we ask that you Disconnect from the line and--or one of the listening options listed on the agenda, public comment period is now open we will now start with the first Speaker after you hear the prompt that you have been Unmute it, please remember to press Á6 in order to Unmute yourself.",2,,
14,0.97,226.759,236.703,First Speaker is Howard Gail and then we will hear from Daniel Cavanaugh.,2,,
15,0.97,236.703,248.214,Good afternoon Howard Gail district 7 speaking on--around one third of police officers remain Unvaccinated.,3,,
16,0.97,248.214,268.801,-- that is over five times as many as were killed by gunfire knife and assault combined so police can kill a person because of an imaginary fear but they refused to protect themselves and the public from a very real and very deadly fear.,3,,
17,0.97,268.801,335.802,"This makes clear that police culture is so imbued with irrational fear and bias that policy and training will have very little effect on it, there is only accountability--Councilmembers will have to face the consequences of the bullying antisocial--since the start of Federal oversight nearly a decade ago, that severely--it allowed SPD officers to escape accountability guaranteeing a repeat, these are the consequences of failed accountability, now Councilmembers having escaped all of these consequences must face this bullying antisocial and transients head on and--as a clear expression of underlying extreme right wing beliefs and bias.",3,,
18,0.97,335.802,360.393,"Spd officers ruined you of this in 2020 when they many of whom are--the only Union--please give us full civilian community control of police, go to--to find out how . that is Seattle Stop.Org.",3,,
19,0.97,360.393,366.632,Next up is Daniel Cavanaugh followed by Logan's one,4,,
20,0.97,366.632,416.082,-- I am an Organizer with--calling to support--I am calling on you to stand with construction workers in Seattle--by voting in support of--carpenters and other construction workers are required to--but often have to pay $100 or more a week in parking.,5,,
21,0.97,416.082,427.26,"-- I have been working in food service for most of my life, and the one time but I did work downtown I got paid parking as someone who worked in a small bakery.",5,,
22,0.97,427.26,441.14,"If a small bakery can afford it, then these construction corporations who are making millions of dollars every year can absolutely afford it when it is not an option to take public transit for these construction workers.",5,,
23,0.97,441.14,483.115,And most construction workers are forced to drive in and park from outside of Seattle because they cannot afford to live in the building and--that is because the cost of living is so high with the--this is something that the workers are demanding and I really urge Councilmembers to support--I do not want to hear any excuses about--the council must stand with construction workers and not with their millionaire bosses.,5,,
24,0.97,483.115,501.067,Next is Logan swan followed by Sonja--Logan you are still muted so please remember to press Á6.,6,,
25,0.97,501.067,502.735,There you go.,6,,
26,0.97,502.735,504.437,Go ahead.,6,,
27,0.97,504.437,597.463,My name is Logan swan--I am calling to support--some of you said that you support their sisters and Brothers in the carpentry community while they are on strike--this is a primary demand from the rank-and-file--the issue of parking should be handled through legislation here is your chance to walk the walk.,7,,
28,0.97,597.463,618.417,-- we are demanding that the employers--cover that cost rather than being--to require the bosses pay this cost of doing business rather than my sisters and brothers have to pay just to go to work.,7,,
29,0.97,618.417,622.855,--,7,,
30,0.97,622.855,629.695,Next is Sonja and then we will hear from Jordan.,8,,
31,0.97,629.695,668.601,"I am a working mom in district 3 and a landlord and I am calling in support of the bill put forward by Councilmember Sawant .--workers cannot even live in Seattle because the average home price is now over $800,000 or $2300 a month in rent.",9,,
32,0.97,668.601,717.883,"-- the buses do not even operate--I never knew that construction workers had to pay for parking because they are the ones building our city I thought they could park anywhere they wanted and needed to, but the strike by the brave carpenters and workers is really highlighting--I am asking you to pass this legislation without loopholes--the U.S. Billionaires have gotten $1.8 trillion richer, and globally Billionaires are 10.2 trillion dollars richer than they were at the start of this pandemic.",9,,
33,0.97,717.883,721.12,The proposed 2022 budget is completely unacceptable.,9,,
34,0.97,721.12,755.488,-- as an activist with--and I really hope we can work together and push the city Council to increase the Amazon tax by $120 million--and could we please fund public showers and bathrooms --,9,,
35,0.97,755.488,759.925,Next is Jordan followed by Nicholas.,10,,
36,0.97,759.925,763.596,Can you hear me?,11,,
37,0.97,763.596,864.363,"Great, my name is Jordan Quinn, I am a Renter in district 2. I am also an activist with the people's budget movement and I support--calling to urge the Democratic Councilmembers to join Councilmember Sawant to fight for--I signed a petition with over 1000 Union and Nonunion workers--this should also focus on--but paying for your employees parking should be a basic--then you can absolutely afford to pay for parking, the thousands of workers who are actually doing the work every day but cannot afford to work here.",11,,
38,0.97,864.363,869.001,So please pass this legislation--thanks.,11,,
39,0.97,869.001,875.741,"Thank you, next is Nicholas followed by Kevin.",12,,
40,0.97,875.741,893.425,My name is Nicholas and I am another community member calling in support of the bill put forward by Councilmember Sawant to make construction bosses pay 100% of parking costs for all construction workers on job sites.,13,,
41,0.97,893.425,927.092,-- carpenters and other construction workers are required to drive to job sites with vehicles loaded with tools Harnesses and other equipment but often have to pay $100 or more per week--that works out to thousands of dollars a year that construction workers have to pay just to work here.,13,,
42,0.97,927.092,930.596,Construction workers have to drive there.,13,,
43,0.97,930.596,938.337,They have a lot of equipment as I already mentioned--before public transit is even available to them.,13,,
44,0.97,938.337,963.495,"Most construction workers are forced to drive in from outside of the city of Seattle because they cannot afford to live in the buildings that they themselves are building because the--Averagehome prices are over $800,000 in Seattle and over $2300 in rent for a single bedroom apartment.",13,,
45,0.97,963.495,971.37,-- it should be passed to protect workers in the city of Seattle.,13,,
46,0.97,971.37,972.604,Please pass this legislation.,13,,
47,0.97,972.604,978.711,-- thank you.,13,,
48,0.97,978.711,983.816,Next up is Kevin followed by Nina.,14,,
49,0.97,983.816,993.158,My name is Kevin and I am a Seattle education Association member.,15,,
50,0.97,993.158,1018.484,-- I am calling for you to stand in solidarity with construction workers in Seattle and vote in support of--carpenters and other construction workers have paid a lot each week and that amounts to a tax of thousands of dollars a year just to go to work.,15,,
51,0.97,1018.484,1035.1,"Most construction workers cannot afford to live here,--the cost of living is so high in Seattle, especially with the low amounts of affordable housing that we have and the sky high rents they keep going up during the pandemic.",15,,
52,0.97,1035.1,1052.217,-- I am urging you as city Councilmembers to immediately pass Councilmember Sawant's legislation--thank you.,15,,
53,0.97,1052.217,1061.593,"Thank you, next is Nina, followed by Peter Donahue.",16,,
54,0.97,1061.593,1069.535,"My name is Nina, I am a carpenter out of local 30 I am a Renter I live in district 2.",17,,
55,0.97,1069.535,1087.953,"And I am here to push Councilmember Sawant's legislation to pay for the contractors to 100% fully pay our, parking.",17,,
56,0.97,1087.953,1121.887,"A lot of my brothers and sisters on the job are paying upwards of $500 a month which is money that should be going to spending time with their families, and as they spend even less time with their families because they spend so much time on the road as it is because they are forced to drive in our horrific traffic, so at least you Democrats who say that you are Prolabor can do is make sure that they do not have to pay an extra $500 per month out of their own pocket just to go to work.",17,,
57,0.97,1121.887,1141.406,"This will help the carpenters who are in the middle of a strike, this will help Nonunion workers who are stuck paying these costs with their lower wages--we need to help Nonunion people if we are Prolabor, which I heard from Democrats that they say that they are Prolabor but I would like to see it with my own eyes.",17,,
58,0.97,1141.406,1152.184,This will help all of the people who cannot afford to live in the city that they built.,17,,
59,0.97,1152.184,1180.112,"This will take it off of our bargaining committee's plate, we are struggling as it is to ask for the wages that we deserve, and we cannot even pay for parking, so this will free up the committee to actually hopefully ask for the wages that we rightfully are owed.",17,,
60,0.97,1181.513,1189.521,Next is Peter Donahue followed by Shirley Henderson.,18,,
