index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.015,34.434,Good morning I'm the chair of the Finance and housing committee today is Tuesday August 3RD 2021 the time 9:31 A.M.,0,,
1,0.97,34.434,50.65,In the Finance and housing committee meeting will come to order . Leclerc please call the roll?,0,,
2,0.97,50.65,60.96,[roll call],1,,
3,0.97,64.431,67.834,Four present two excused.,2,,
4,0.97,67.834,71.471,Thank you very much.,3,,
5,0.97,71.471,87.487,Councilmember Strauss will be popping into the meeting briefly as we discuss the Seattle rescue plan and the supplemental budget briefly but I understand they are not planning to be here for most of the meeting today.,3,,
6,0.97,87.487,100.7,"We have Councilmember Mireles, thank you very much as you have been present for most meetings as we talk about these topics in your the alternate great to see you again.",3,,
7,0.97,100.7,104.404,We have a packed agenda for today.,3,,
8,0.97,104.404,113.213,I want to give you a chance to hear all the items so you know why we are keeping you at least until 12:30 or 1:00.,3,,
9,0.97,113.213,118.918,I will do my best to get us out before 1:00 but a quick summary of the agenda.,3,,
10,0.97,118.918,137.237,"We will begin with public comment, we have about 25 people signed up so those listening please NOTE you will have one minute to provide public comment, you will hear a 10 second Timer at the end of your comment so prepare your notes now for a one minute presentation.",3,,
11,0.97,137.237,166.032,"First on the agenda we have the signing of the domestic worker standards board recommendation response letter and then a meeting excuse me briefing and possible vote on equitable communities, we will have a brief discussion of possible vote on the Seattle rescue plan number two focusing on transportation senior care and rental assistance.",3,,
12,0.97,166.032,181.948,Will then have a briefing presentation and possible vote on the Interfund loan and the last items include the grant acceptance and midyear supplemental ordinance which we will hold for vote for next meeting.,3,,
13,0.97,181.948,196.062,Last on the agenda is discussion on the multifamily tax exemption annual report with more permission to come on possible legislation on the next meeting so those last three items for discussion.,3,,
14,0.97,196.062,198.598,Any objection?,3,,
15,0.97,198.598,203.303,No objection the agenda is adopted moving into public comment.,3,,
16,0.97,203.303,207.807,To get through this in 30 minutes I will give folks one minute to speak.,3,,
17,0.97,207.807,222.021,"We will call on you in the order in which you are registered, if you're not registered to speak but would like to you can sign up by going to the options listed on today's agenda.",3,,
18,0.97,222.021,237.437,For public comment make sure you are using the same number you dialed in to speak on when you registered for public comment because we look at the phone number so make sure you are on the same number you registered.,3,,
19,0.97,237.437,249.282,"I will call three at a time, you will hear the prompt that says you have been Unmuted and then press Star six on your phone and make sure your phone is off mute so we can hear your.",3,,
20,0.97,249.282,265.465,You will call a Chime at the end of your one minute allotment at 10 seconds that is your indication to wrap up your comment and you are free to send comments in writing.,3,,
21,0.97,265.465,276.075,When you have completed your public comment we will ask you to Disconnect and continue following us on the Seattle channel or other listen in options.,3,,
22,0.97,276.075,282.882,The period is now open for public comment and we will start calling on folks in the order in which they appear.,3,,
23,0.97,282.882,295.194,If you're signed up for public comment not yet there please dial in this is a heads up we will move through these and will start calling for folks in person.,3,,
24,0.97,295.194,304.57,[calling names] my first three good morning.,4,,
25,0.97,304.57,321.821,Hello I'm a district 7 resident calling to ask you to follow through on your commitment and transfer all $50 million in salary savings out of SPD to programs that provide true communities of health and safety.,5,,
26,0.97,321.821,361.16,"Just care for example has a 39% reduction in 911 calls in areas that it serves that is community safety, investing in community seeking more money to SPD is the opposite, there was a horrific but Unsurprising conclusion SPD Harms Harasses and Traumatizes black and indigenous people I will share two of the report findings one black and native men were likely to be searched even though white men were more likely found with a weapon and black people were subjected to force at a per capita rate more than seven times than white people.",5,,
27,0.97,361.16,364.03,These facts are unacceptable and require change to the system.,5,,
28,0.97,364.03,372.939,Strongly urging you to start by listening to the community and transferring all $50 million out of SPD into community.,5,,
29,0.97,372.939,373.773,Think you.,5,,
30,0.97,373.773,381.781,"The next person, good morning Daniel.",6,,
31,0.97,381.781,390.99,Good morning on behalf of of fair Workcenter the ordinance of the recommendations related to affordable benefits and funding community organizations.,7,,
32,0.97,390.99,403.569,Workers Telus lack of access to time off is a huge problem for them is most get no paid sick time even though domestic workers have technically had it since 2011.,7,,
33,0.97,403.569,419.185,Workers know the benefit and everyone in industry can take time off if they needed and we know developing policy depends on expertise and perspective of workers when included from the beginning we can be sure the policies will meet their needs.,7,,
34,0.97,419.185,444.944,"The best way to do that is by working community organizations, we've been working on the program for the last five years with an opportunity to build by Resourcing outreach and education critical to ensuring people work including before and after the ordinance is adopted it is critically important to protect public health throughout the pandemic for equitable recovery once it is over.",7,,
35,0.97,444.944,447.647,Thank you.,7,,
36,0.97,447.647,452.351,Thank you for your time cover the next three speakers are not present so please dial in.,8,,
37,0.97,452.351,489.689,[calling names] [speaking in foreign language] the next three speakers that are listed that are present are [calling names] good morning.,8,,
38,0.97,489.689,494.927,Good morning.,9,,
39,0.97,505.805,546.846,"As you know we have suffered for not having benefits as other workers have so please I am asking you, the community needs to learn how to exercise our rights and the families to know about now we have these organizations that protect some of the rights that other workers have.",9,,
40,0.97,546.846,567.266,"Please come consider to give money and resources enough to please put for benefits that you need to develop, thank you.",9,,
41,0.97,567.266,576.142,Thank you very much.,10,,
42,0.97,576.142,579.912,Sorry about that please go ahead.,10,,
