index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.545,13.012,F0,0,,
1,0.97,18.318,20.019,"Thank you, Mister--what do we call you?",1,,
2,0.97,20.019,20.62,Clerk.,1,,
3,0.97,20.62,20.954,Thank you.,1,,
4,0.97,20.954,27.46,You can call me Mr. G.,2,,
5,0.97,27.46,29.095,"Thank you, Mr. G.",3,,
6,0.97,29.095,34.901,This is the call to order for the public a sets and native communities Commitee.,3,,
7,0.97,34.901,37.437,My name is Debora Juarez.,3,,
8,0.97,37.437,42.008,"I am the chair, and it's December 7 and the time is 2:04.",3,,
9,0.97,42.008,50.617,"Clerk, will you please call the roll?",3,,
10,0.97,50.75,51.351,Herbold.,4,,
11,0.97,51.351,56.856,Here.,5,,
12,0.97,56.856,57.19,Mosqueda.,6,,
13,0.97,57.323,59.225,Present.,7,,
14,0.97,59.225,69.369,Sawant.,8,,
15,0.97,69.369,74.574,Councilmember Sawant?,8,,
16,0.97,74.574,79.546,Councilmember Pedersen?,8,,
17,0.97,79.546,81.381,Here.,9,,
18,0.97,81.381,83.583,Councilmember Strauss?,10,,
19,0.97,83.716,88.221,Present.,11,,
20,0.97,88.354,90.69,Chair Juarez?,12,,
21,0.97,90.824,91.591,Here.,13,,
22,0.97,91.591,92.125,Councilmember Sawant?,14,,
23,0.97,92.258,92.859,Five present.,15,,
24,0.97,92.859,93.226,Thank you.,16,,
25,0.97,93.226,98.531,"We'll move on to the next part of our agenda, the approval of our agenda.",16,,
26,0.97,98.531,105.371,"If there is no objection, the agenda will be adopted.",16,,
27,0.97,105.371,109.776,"Hearing no objection objection, it is adopted.",16,,
28,0.97,109.776,117.517,"Today is the last committee meeting for 2021, and there are three items on the agenda.",16,,
29,0.97,117.517,129.095,Item number one is to renew the agreement between the city of Seattle and the woodland park Swroovment the current agreement is active until February 2022.,16,,
30,0.97,129.095,158.525,"There year, both parties the woodland park zoo and the city have negotiated an agreement to update the policy related to the zoo policy and operations to the care of the zoo animals and setting up meetings between elected lawyers, city attorney's office above the city parks Department and woodland park zoo to establish priorities.",16,,
31,0.97,158.525,176.276,"May 2021, my office received a preliminary high-level meeting on the goals and the benefits and the draft term sheet by the woodland park zoo, and we have been sharing these with our colleagues and constituents.",16,,
