index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.71,15.982,"Thank you,--it is 2 P.M.",0,,
1,0.97,15.982,22.355,-- will the clerk please call the role?,0,,
2,0.97,22.355,45.311,[roll being called] seven present.,1,,
3,0.97,45.311,55.655,"Thank you, and when --",2,,
4,0.97,71.838,83.45,"Thank you, before I do that, can we confirm that our guest is with us?",3,,
5,0.97,83.45,86.753,I do not see a guest.,4,,
6,0.97,86.753,89.956,"That is why I am asking, I do not see their name here.",5,,
7,0.97,89.956,98.932,There is no caller or Video color.,6,,
8,0.97,98.932,108.875,[Indiscernible--low volume] as long as it is okay with --,7,,
9,0.97,108.875,113.146,That is fine.,8,,
10,0.97,113.146,119.886,Okay we will move forward approval of the minutes [Indiscernible--low volume],9,,
11,0.97,168.735,179.312,Let's move into public comment --,10,,
12,0.97,179.312,208.308,-- I do run a very little literal understanding of--and item on the agenda since we are at--either the agenda or the introduction and referral calendar--there is no item on the agenda for police accountability today.,11,,
13,0.97,208.308,309.075,-- when you first begin speaking please state--at this time we will open the remote public comment period for--I thank everyone for their ongoing patience and cooperation--this is different from the general--only seeing one individual not present Jim Wilson again I will call on each Speaker by name in the order in which they registered on the Council's Website if--the public comment link is also listed on today's agenda.,11,,
14,0.97,309.075,372.739,-- please begin speaking by stating your name and the item which you are addressing--so we are just Commenting on today's agenda and the introduction and referral calendar speakers will hear a Chime--we ask that you begin to wrap up your public comment if speakers do not end their public comments--to allow us to call on the next Speaker once you have completed your public comment we ask that you please Disconnect from the line--please remember to press Á6 after you hear the prompt that you have been on muted.,11,,
15,0.97,372.739,395.261,"Mr. Howard Gail you are on muted, I will call on--so we have Howard Gail David Haynes Randall Olson Allison--Susan Davis--and the only one not present currently is Jim Wilson.",11,,
16,0.97,395.261,397.463,Good afternoon Mr. Gail how are you today?,11,,
17,0.97,397.463,433.499,"Good afternoon Howard Gail and I want to--because Councilmember Strauss you have incorrectly stated what the rules are for public comment, public comment for committees are different from the full counsel--so I would like my time to be restarted and I would also like--to state for other listeners that the Stipulations stated by Councilmember Strauss are wholly incorrect.",12,,
18,0.97,433.499,442.775,"Clerk, you can restart the clock, Mr. Gail, we will accept comments on the Workplan today.",13,,
19,0.97,442.775,450.016,Because I would rather us continue in a good way than to have an argument today.,13,,
20,0.97,450.016,452.585,"So your 2 minutes have been restarted, here you go.",13,,
21,0.97,452.585,522.288,"Howard Gail district 7 speaking on--KO W pounded--and a failure of the Oag to perform his mandated function of providing a critical review of--the report also highlights--background as a defender of police abuse and as a lawyer who prior to directing--the response to these revelations has been Slander from--the CPC has engaged in obligation and--the Council remains steadfast in ignoring the scandal in the hopes it would be forgotten, the KO W story proves these matters will not be forgotten.",14,,
22,0.97,522.288,562.828,Faced with the news today that there is a $20 million shortfall in revenue the Council has failed to cut a penny from the police accountability budget and has proposed adding more money to--$10.8 million that is more than half of the $20 million shortfall in addition to other--we must invest these monies in a system that provides full community control over police as--that is Seattle Stop.Org.,14,,
23,0.97,562.828,577.91,Up next we have David . please state your name and the item which you are addressing.,15,,
24,0.97,577.91,584.65,"Thank you, I live in district 7, I want to point out as PD needs to have a law that they need to Prioritize overtime to fight crime in my neighborhood.",16,,
25,0.97,584.65,630.396,"I am sorry I want to address something totally different, I want to point out about the grand Avenue alley--city council should approve the vacated alley with the caveat of better 21St-Century approach to developing housing and community benefits--away from the noisy Street echoing and talk to find one of the most oppressive problems in America is all the inner-city concepts of housing built on--while still forcing--allowing Inconsiderate drivers a shortcut while inviting pedestrians to walk on curb less roads.",16,,
26,0.97,630.396,640.306,-- and Robustly build higher and further away from the road?,16,,
27,0.97,640.306,682.314,"Matey vacating an alley only to--bad interpretation of 21st century first world quality development and it is more proof that government is not qualified to--I think city council needs to vacate the alley with the caveat they have to fill it from the center of the property out, and not--while the rich--another Street gets to divide the property ruining pedestrians days every day.",16,,
28,0.97,682.314,697.763,Please reconsider the demands of all the developers private and public to begin building Robustly higher and not so accommodating to the road forcing people to live too close to it causing all this warehouse echo housing that is causing a mental health crisis --,16,,
29,0.97,697.763,710.176,I do see that the next number of people are signed up for the public hearing on counsel on the clerk file 314459.,17,,
30,0.97,710.176,716.849,"The last person we have signed up for general public comment is Jim Wilson, Jim is not present at this time.",17,,
31,0.97,716.849,732.898,"If you are listening, please use the phone number that was distributed upon confirmation, not the Council listen line.",17,,
32,0.97,732.898,736.402,We will wait just a minute because we would like to take your public comment if possible.,17,,
33,0.97,736.402,737.503,And I.T.,17,,
34,0.97,737.503,741.807,Can you confirm with me that Jim Wilson is not present at this time?,17,,
35,0.97,741.807,746.612,There are no other public comment registrants.,18,,
36,0.97,746.612,751.584,Thank you.,19,,
37,0.97,751.584,764.697,As soon as we have no more public comment registrants ...,19,,
38,0.97,772.171,778.944,"Clerk, I do not have a point in here to close public comments, so hearing no objections public comment is now closed.",19,,
39,0.97,778.944,786.118,Is there anything further I need to do here?,19,,
