index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.945,15.448,The meeting of the transportation committee will come to order.,0,,
1,0.97,15.448,21.321,The time is 2:00 P.M.,0,,
2,0.97,21.321,23.556,I'm Alex Pederson.,0,,
3,0.97,23.556,28.661,The chair of committee.,0,,
4,0.97,28.661,32.165,Please call the role.,0,,
5,0.97,32.165,59.592,"Gonzalez, Councilmember Herbold, Councilmember Morales, Councilmember Juarez hearing no objection, the report will be adopted.",1,,
6,0.97,59.592,59.959,Chair's report.,1,,
7,0.97,59.959,67.534,We have 17 appointments to six different boards.,1,,
8,0.97,67.534,76.109,We will have a review and a presentation from our city auditor's office license plate reader technology.,1,,
9,0.97,76.109,86.319,"I hope everyone had the opportunity to witness the swearing in of our new president of the United States, Joe Biden and vise President Kamala Harris.",1,,
10,0.97,86.319,90.957,At this time we will open the general public comment period.,1,,
11,0.97,90.957,93.726,I understand that we did not have anybody signed up yet.,1,,
12,0.97,93.726,99.632,I will check one more time with our information technology team.,1,,
13,0.97,99.632,104.304,Is it--is it accurate no one signed up as of now?,1,,
14,0.97,104.304,105.839,"That is accurate, thank you.",2,,
15,0.97,105.839,112.946,No one signed up for public comment if you are watching.,3,,
16,0.97,112.946,113.246,E-mail us.,3,,
17,0.97,113.246,122.655,We will--I will close this public comment period and we will go into the first items of business.,3,,
18,0.97,122.655,130.897,Will the clerk please read the first set of six appointments into the record.,3,,
19,0.97,130.897,134.701,Agenda items 1-16.,3,,
20,0.97,134.701,140.039,1749 through 1751 and 1764- 1766.,3,,
21,0.97,140.039,167.433,"The appointment of Nicole joy Espy as community technology advisory board to a term of December 31st, 2021 and Abedayo and shin and Reappointments for terms through December 31st, 2022 for a brief discussion and possible vote.",3,,
22,0.97,167.433,174.674,Thank you.,4,,
23,0.97,174.674,176.276,We have with us Tracy Kantral.,4,,
24,0.97,176.276,188.922,We are excited to have all of these candidates with us.,4,,
25,0.97,188.922,196.262,If you don't mind tell us about the it and then we can have a discussion.,4,,
26,0.97,196.262,196.829,"Go ahead, Tracy.",4,,
27,0.97,196.829,204.137,"Thank you, we are pleased to present 6 appointments for the community technology and advisory board.",5,,
28,0.97,204.137,217.75,Just for a little Recap as the name sounds the community technology advisory board helps guide city strategies and investment information and information and community Technologies.,5,,
29,0.97,217.75,224.257,"So, this is a range of issues that helps support Mayor and city council.",5,,
30,0.97,224.257,234.067,"It could include Digital equity, understanding community engagement, there are many topics that this group takes on.",5,,
31,0.97,234.067,240.707,We are pleased it will be a full appointment for the community technology advisory board.,5,,
32,0.97,240.707,243.509,We did do a competitive process to select these candidates.,5,,
33,0.97,243.509,250.85,We are happy these six are the ones moving forward.,5,,
34,0.97,250.85,254.954,Looking forward to having them join.,5,,
35,0.97,254.954,263.763,Looking forward to hearing them DISCUS why they chose to participate in this manner.,5,,
36,0.97,263.763,268.501,"Thank you, Tracye, Council President Lorena Gonzalez is with us.",6,,
37,0.97,268.501,272.538,"Welcome, president, we just got started.",6,,
38,0.97,272.538,275.141,Tracye please introduce the applicants.,6,,
39,0.97,275.141,288.588,I see today that we have shin joining us.,7,,
40,0.97,288.588,290.023,"Hello, everyone.",8,,
41,0.97,290.023,291.958,I am a lifelong Washingtonian.,8,,
42,0.97,291.958,297.93,Grew up in the greater Seattle area and went to under Grad at University Bothell.,8,,
43,0.97,297.93,299.666,As locals you can get.,8,,
44,0.97,299.666,304.337,I did study interactive media and minor in business.,8,,
45,0.97,304.337,307.14,I began my full time career last September at Microsoft.,8,,
46,0.97,307.14,320.119,"So, I have been here about a year or two now doing product marketing research, product marketing management for M365 Microsoft 65 and windows.",8,,
47,0.97,320.119,326.859,Great to talk about my interest in technology and why I am passionate to join the board.,8,,
48,0.97,326.859,338.271,"The huge reason why I want to inspire more students, recent grads, young professionals to join in the conversations especially pertaining to Digital inclusion.",8,,
