index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.881,15.749,Thank you so much.,0,,
1,0.97,15.749,17.217,"Good morning, everyone.",0,,
2,0.97,17.217,30.296,"Dental before, 2021 council meeting will come to order.",0,,
3,0.97,39.205,44.177,[roll being called],1,,
4,0.97,44.177,48.815,Seven presents.,2,,
5,0.97,48.815,57.19,"If there is no objection, the minutes of September 4, 2021 will be adopted.",3,,
6,0.97,57.19,57.991,The minutes are adapted.,3,,
7,0.97,57.991,59.492,Let me dispense with the President's report.,3,,
8,0.97,59.492,69.602,Other than to say this is just a reminder that we do have two executive session scheduled for the conclusion of our time together this morning at Council briefing.,3,,
9,0.97,69.602,88.321,Just a reminder to folks to hang out after we are done with our reports and city council reports we can do those two segment of sessions.,3,,
10,0.97,88.321,92.125,"Let's start our next discussion which is the preview of today's city council actions, Council and regional committees.",3,,
11,0.97,92.125,94.894,I will: Council members in the roll call order that was just mentioned.,3,,
12,0.97,94.894,97.096,This week's order is as follows.,3,,
13,0.97,97.096,111.244,"Councilmember Herbold and we will hear from Councilmember Juarez, Councilmember Lewis, Councilmember Morales, Councilmember Pedersen, Councilmember Mosqueda and Councilmember Strauss and I will conclude with agenda discussions.",3,,
14,0.97,111.244,113.713,Let me see if we have been joined by Councilmember Herbold.,3,,
15,0.97,113.713,114.914,There she is.,3,,
16,0.97,114.914,123.056,We have Councilmember Herbold and Councilmember Morales joining us now.,3,,
17,0.97,124.457,128.928,Gives it a second.,3,,
18,0.97,128.928,139.072,"Councilmember Herbold's, we are already on regional city Council and regional committees.",3,,
19,0.97,139.072,141.307,I'm happy to hand it over to you.,3,,
20,0.97,141.307,143.143,If you need a few seconds to handed over --,3,,
21,0.97,143.143,144.444,I am ready.,4,,
22,0.97,144.444,147.68,"Why don't you go first, Councilmember Juarez.",5,,
23,0.97,147.68,148.982,Works for me.,6,,
24,0.97,148.982,152.685,No problem.,7,,
25,0.97,152.685,153.286,Short and sweet.,7,,
26,0.97,153.286,153.686,Good morning.,7,,
27,0.97,153.686,159.592,I have three issues starting with public assets.,7,,
28,0.97,159.592,166.9,The next public assets [inaudible] committee meeting is December 7 at 2:00.,7,,
29,0.97,166.9,171.404,The committee will consider legislation to renew the woodland park zoo contract.,7,,
30,0.97,171.404,183.983,"Colleagues, if you have any amendments, please submit them to my office and Brian and central staff by November30.",7,,
31,0.97,183.983,184.584,That's the deadline.,7,,
32,0.97,184.584,202.035,"Draft amendments will need to be approved by the law Department and the woodland park zoo in advance because we are negotiating--with in part sue has legal Council, we have legal counsel and there's things to work out.",7,,
33,0.97,202.035,202.635,Metropolitan park district.,7,,
34,0.97,202.635,211.411,There's a public hearing at the--regarding the metropolitan park district on October 18.,7,,
35,0.97,211.411,212.612,Beginning after the city council meeting concludes.,7,,
36,0.97,212.612,214.08,More to come on that.,7,,
37,0.97,214.08,215.648,Parks.,7,,
38,0.97,215.648,215.982,Update again.,7,,
39,0.97,215.982,227.026,The parks Department served almost 300 community members and their--program between September 22nd through December 28th.,7,,
40,0.97,227.026,241.074,"During the week of September 20, our clean city initiative crew members park employees picked up 72,000 pounds of trash and 4000 needles from 67 Encampments.",7,,
41,0.97,241.074,247.947,Crews are focused on cottage grove and green Lake parks.,7,,
42,0.97,247.947,251.784,"The parks Department picked up over 3 million pounds of trash and over 80,000 needles in 2021.",7,,
