index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.01,13.913,The meeting to order.,0,,
1,0.97,13.98,17.35,The time is 9:31 A.M.,0,,
2,0.97,17.417,20.053,Will the clerk please call the roll?,0,,
3,0.97,20.12,26.025,Council member,1,,
4,0.97,27.994,28.261,Present.,2,,
5,0.97,28.328,29.062,Council member,3,,
6,0.97,29.129,29.462,Here.,4,,
7,0.97,29.529,30.063,Council member Sawant?,4,,
8,0.97,30.13,30.663,Present.,5,,
9,0.97,30.73,31.097,Member Strauss?,5,,
10,0.97,31.164,34.934,Present.,6,,
11,0.97,35.001,35.769,Number Herbold?,7,,
12,0.97,35.835,36.169,Here.,8,,
13,0.97,36.236,36.803,Council member Juarez?,8,,
14,0.97,36.87,37.17,Here.,9,,
15,0.97,37.237,38.171,Council member,10,,
16,0.97,38.238,38.805,Here.,11,,
17,0.97,38.872,39.406,Council member Juarez?,11,,
18,0.97,39.472,41.04,Here.,12,,
19,0.97,41.107,42.242,Council,13,,
20,0.97,42.308,43.009,Present.,14,,
21,0.97,43.076,48.948,Nine present.,14,,
22,0.97,49.015,49.949,Thank you so much.,14,,
23,0.97,50.016,52.719,"If there is no objection, the minutes of March 22, 2021 will be A.That.",14,,
24,0.97,52.786,59.993,"Hearing no objection, the minutes are adopted.",14,,
25,0.97,60.059,61.428,"Colleagues, we have a full agenda today.",14,,
26,0.97,61.494,93.726,"I will go ahead and dispense with the Presidents report with a reminder that we do have an executive session again today . Once you get through our legislative session update, we will go around the zoom room for reports . I am hoping that we will be able to get to executive session's today by no later than 11 am so we can adjourn at approximately 11:30 am.",14,,
27,0.97,93.793,107.574,"With that being said, I will handed over to our team from the office of Intergovenmental relations . I will head over to Lily Wilson-Codega, the director for introductions for the record.",14,,
28,0.97,107.64,109.609,Then I will handed over to them for the presentation.,14,,
29,0.97,109.676,110.543,Morning.,14,,
30,0.97,110.61,115.648,I am Lily Oir.,15,,
31,0.97,115.715,118.885,I will pass it over to Robin Koskey.,15,,
32,0.97,118.952,122.555,"Robin Koskey, deputy director, Oir.",16,,
33,0.97,122.622,128.061,"Quinn director, Oir.",17,,
34,0.97,128.127,136.569,"Hannah Smith, Oir.",17,,
35,0.97,136.636,140.507,We are here with legislative hearing only with one month left in the 21 legislative session.,18,,
36,0.97,140.573,175.575,"We are excited to spend most of our time with the budget as they released their final budgets and supplemental transportation budgets last week, notably with a much more positive revenue outlook that had been anticipated earlier . that being said, as I'm sure when we'll remind us today, while the boats for operating budgets, there are other issues.",18,,
37,0.97,175.642,201.801,"While the more positive revenue has dampened some efforts, we are thrilled to report the capital gains continues to advance in the session and is Referenced in both the house and Senate operating budgets . We are appreciative in the assistance of many of you on this issue, reaching out to key issues as needed to make sure the bill moves through the process the session.",18,,
38,0.97,201.868,208.908,"I will also NOTE some significant investments with assistance to our immigrant and refugee communities, but doubt in much of the Federal aid that our state will receive.",18,,
39,0.97,208.975,213.546,Hannah will report on that in more length in our portfolio today.,18,,
40,0.97,213.613,225.925,Robin has exciting news to report on housing and homelessness investments specific to our capital budget and some exciting news on the expanded capacity for rapid acquisition funding.,18,,
41,0.97,225.992,228.161,"With that, the final reminder on timing.",18,,
42,0.97,228.227,234.2,We are coming up on fiscal cut off this Friday.,18,,
43,0.97,234.267,242.175,"And then the last day of the legislative session is scheduled to be Sunday, April 25.",18,,
44,0.97,242.241,242.609,God willing.,18,,
45,0.97,242.675,261.494,"I will now turn it over to for 35, our state relations director, for a state budget update and counsel priority highlights.",18,,
46,0.97,262.228,264.731,As was already all the budgets were already rolled out.,19,,
47,0.97,264.797,266.366,Includes a housing budget transportation capital and operating.,19,,
48,0.97,266.432,270.436,I will start by providing an overview of the operating budget.,19,,
49,0.97,270.503,279.145,This is a pretty significant document in both the house and the Senate.,19,,
50,0.97,279.212,295.328,I will provide an overview . will provide additional information on all of these budgets and more detailed summaries running out here in the next day or two.,19,,
51,0.97,296.996,304.737,"As we provided in our previous updates, the revenue forecast for the state has continued to improve to the point where there was only a minor shortfall in the current biennium.",19,,
52,0.97,304.804,327.36,"That combined with some assumptions, and the house and Senate don't necessarily agree about how much of the American rescue plan act funds they are appropriating, but they are Doling out some of those in the budgets.",19,,
53,0.97,327.427,335.234,"But we are seeing in both the house and the Senate is actually a pretty stark reversal of fortunes compared to what we saw over the summer, which is a pretty significant and sizable increase in investments and funding.",19,,
54,0.97,335.301,338.871,"I will summarize those now, but more information is forthcoming.",19,,
55,0.97,338.938,369.969,"Specifically, either entirely or principally, Federal funding, both the house and Senate are investing approximately $1.7 billion in K- 12 school assistance . Both include pretty substantial investments in rental assistance.",19,,
56,0.97,370.036,393.593,"When I am done summarizing, I will handed over to Robin to dig more into detail about the housing investments even her expertise their both house and Senate Fund, as Lily mentioned, the continuation of the immigrant relief program, which was started over the summer . The Senate includes $300 million while the House includes $340 million.",19,,
57,0.97,393.659,407.273,"But the house and Senate address the shortfalls in the unemployment insurance program, providing relief to that Fund, which will benefit both workers and businesses.",19,,
58,0.97,407.34,408.741,"The Senate, $500 million, the house, $600 million.",19,,
59,0.97,408.808,418.384,Both include grants for stabilization of funding for child care providers.,19,,
60,0.97,418.451,419.919,"The Senate, $509 million, the house, $490 million.",19,,
61,0.97,419.986,421.721,Both include support for small businesses.,19,,
62,0.97,421.788,434.233,"The Senate gives in the form of tax incentives while the House includes additional funding for small business grants for the house, $250 million, the Senate, $138 million.",19,,
63,0.97,434.3,450.216,"Shifting quickly into funding that is, a lot of funding is a mix of Federal and state to the point where it is difficult and not particularly helpful to separate out.",19,,
64,0.97,450.283,452.952,Most of the remaining funding includes a mix of Federal and state funds.,19,,
65,0.97,453.019,457.69,Both house and Senate fully fund the fair start for kids child care and early learning on the bus legislation.,19,,
66,0.97,457.757,470.903,"Both fully fund the working families tax credit, which is a state version of the EITC . Both include funding for the expansion of paid family and medical leave under House bill 1073.",19,,
67,0.97,470.97,493.492,"Both include increases on a variety of safety net programs, which Hannah will cover more specifically in her portfolio . Both include investments and Foundational public health but the Senate, $150 million . The House, $100 million.",19,,
68,0.97,493.559,511.711,"Support for premium assistance, investments in behavioral health, and support for Wildfire and forest health and Wildfire prevention efforts, there are a handful of differences that I do think are worth mentioning, not to pick the budgets against one another.",19,,
69,0.97,511.777,513.312,They are both very sizable investments.,19,,
70,0.97,513.379,521.52,"The House does specifically fund the 988 system implementation, while the Senate does not.",19,,
71,0.97,521.587,545.478,"The House includes 26 million for housing and essential needs, while the Senate includes funding specifically for the implementation of 5160, the back out for the Eviction moratorium.",19,,
72,0.97,923.922,937.77,"Please use your hand, preferably using the raised hand feature in zoom if you want to get into the Queue to make comments after Oir finishes with presentation.",20,,
73,0.97,937.836,942.241,I will handed to talk about education.,21,,
74,0.97,942.308,951.75,"Thanks, Quinn.",22,,
75,0.97,951.817,961.894,"In addition to the funding been included in both budgets, the vehicles are both alive and out of their respective policy committees and moving into fiscal.",22,,
76,0.97,961.96,968.5,The bills were amended in committee to come a little closer together.,22,,
77,0.97,968.567,972.871,They still vary in implementation Timelines . The Senate bill has a more expedited approach to all of this with the updates.,22,,
78,0.97,972.938,974.84,The final details are still being negotiated.,22,,
79,0.97,974.907,978.711,That includes which will be the final vehicle.,22,,
80,0.97,978.777,987.72,That is the big update in education.,22,,
81,0.97,987.786,990.889,"In the environment, little bit of movement in action last week.",23,,
82,0.97,990.956,1002.134,"On Saturday, the Senate heard, the Senate ways and Means Committee heard the Greenfield standard legislation, House bill 1091.",23,,
83,0.97,1002.201,1004.57,That is scheduled for executive session tomorrow.,23,,
84,0.97,1004.636,1014.046,The climate commitment act last Monday after our briefing was voted out of ways and means . It is now in the rules committee.,23,,
85,0.97,1014.113,1024.857,"And finally, Senate bill 5141 is scheduled for a hearing in appropriations tomorrow.",23,,
86,0.97,1024.923,1030.162,"In general government, just two small updates.",23,,
87,0.97,1030.229,1052.785,"House bill 1173, the state development authority legislation that was voted out of the policy committee and now has a hearing in Senate ways and means coming up tomorrow at 1:30.",23,,
88,0.97,1052.851,1059.825,"Similarly, House bill 1258, the Micro enterprise home kitchen legislation, was voted out of policy committee last week and has a hearing coming up on Wednesday.",23,,
89,0.97,1059.892,1067.199,In ways and means.,23,,
90,0.97,1067.266,1075.674,"In Healthcare, 1273 is scheduled for a public hearing tomorrow in ways and means.",24,,
91,0.97,1075.741,1088.253,"House bill 1477, the National 988 number we were following closely, that has gone to ways and means.",24,,
92,0.97,1088.32,1091.89,"5068, the Postpartum Medicaid, has been placed on second reading.",24,,
93,0.97,1091.957,1105.27,"And Senate bill 5313, which is the health insurance discrimination bill, that past the House last week in a 57-41 vote.",24,,
94,0.97,1105.337,1111.176,I will move on to housing.,24,,
95,0.97,1111.243,1113.011,If you updates on bills for this week.,25,,
96,0.97,1113.078,1141.073,"House bill 1220, that does some things about housing and includes some language on making sure that facilities that serve people experiencing homelessness are as able to be offered in areas that are zoned for short-term rentals has a hearing in the ways and Means Committee on Wednesday afternoon.",25,,
97,0.97,1141.139,1166.265,"House bill 1277, the document recording bill that expands document recording fees by $100 and would generate over $100 million statewide past the house with fairly short debate . in the past, it has been very difficult to get document recording fees increased . It is interesting that it passed quite easily yesterday in the house.",25,,
98,0.97,1166.331,1177.442,"Now it is onto the Senate . There were some amendments made to Senate bill 5160, which provides protections with the ending of the Eviction moratorium.",25,,
99,0.97,1177.509,1195.961,"There were quite a few small changes, but the highlights are that it provides that a property owner may not report a nonpayment of threats to another property owner from March 1, 2020 until six months after the end of the Eviction moratorium.",25,,
100,0.97,1196.028,1207.839,"Also, it says that a prospective property owner cannot deny a 10 and a tendency based on medical history and may not ask for medical records.",25,,
101,0.97,1207.906,1236.735,"It sets the parameters for win landlords must offer a payment plan of that same March 1 date through the expiration of the Eviction moratorium, six months after the expiry of the Eviction moratorium or the end of the public health emergency, whichever is greater.",25,,
102,0.97,1236.802,1244.71,"It also increases how much the landlords can get from the landlord mitigation program up to $15,000 per that bill is scheduled for a public hearing in appropriations on Wednesday . I can move on from housing to police reform.",25,,
103,0.97,1244.776,1258.49,"A couple of updates there . House bill 1267, the governor's request legislation that will establish a statewide centralized investigations entity for use of force.",25,,
104,0.97,1258.557,1276.675,"It has a hearing in the ways and Means Committee on Wednesday, as does House bill 1310 on the establishment of a new standard for use of force . Senate bill 5051, Senator Pedersen's oversight and accountability of peace officers bill has a hearing in the Appropriations Committee on Wednesday.",25,,
105,0.97,1276.742,1281.647,"Senate bill 5066, the duty to intervene bill, is also being heard in appropriations on Wednesday.",25,,
106,0.97,1281.713,1289.121,These are some pretty significant police reform bills that are continuing to move on in both chambers.,25,,
107,0.97,1289.187,1290.822,Switching gears to public safety.,25,,
108,0.97,1290.889,1311.91,This is an area where there is quite a bit of news this week . Senate bill 5038 that eliminates open carry at the state capital and public demonstrations past the House yesterday after an afternoon and evening debate on a Partyline vote.,25,,
109,0.97,1311.977,1315.147,"That is quite a substantial piece of legislation that passed yesterday, quite historic.",25,,
110,0.97,1315.213,1322.187,I wanted to talk briefly about the legislative response to the Blake decision.,25,,
111,0.97,1322.254,1326.925,Conversations between lawmakers are currently ongoing.,25,,
112,0.97,1326.992,1350.949,Two bills have been introduced last week another bill has a public hearing scheduled as of this morning one Senate bill would Decriminalize possession of drugs.,25,,
113,0.97,1351.016,1367.432,It would establish a legislative Workgroup that would hold public meetings to study the impact of the decision.,25,,
114,0.97,1367.499,1404.636,"Another Senate bill has been introduced, which establishes personal use amounts for controlled substances and removes criminal penalties for possession of controlled substances that don't exceed that personal use amount as established in the state law . It also authorizes law enforcement to refer individuals possessing personal use amount to a forensic navigator for the purpose of evaluation and treatment . This is an approach more focused on referring people to services versus Re- Criminalizing.",25,,
115,0.97,1404.703,1414.146,I think that is all that I have for my report this week.,25,,
116,0.97,1414.212,1434.266,"In safety net and rights, it has a public hearing tomorrow in ways and means . House bill 1078 that restores voter eligibility passed the Senate, 27-22.",26,,
117,0.97,1434.332,1440.772,"House bill 1151, a big on the bus public assistance bill, passed off the House floor, 34- 14 last week.",26,,
118,0.97,1440.839,1456.955,And the working family tax credit has a public hearing in ways and means tomorrow.,26,,
119,0.97,1459.591,1472.137,"The big news is on transportation budgets . I do want to distinguish, these are our current law budgets, which don't assume any new revenue.",27,,
120,0.97,1472.204,1500.298,"They are distinct from what we more commonly referred to as a transportation revenue package, which would be where we would be looking at some substantial new funding for projects . in that context, as Lily mentioned at the beginning, while overall operating revenues have continued to increase since the low point in the summer, transportation revenues have not.",27,,
121,0.97,1500.365,1511.743,"They continue to be down almost, actually more than $1 billion over the current biennium and the next.",27,,
122,0.97,1511.81,1525.523,That was addressed . I guess some progress was made with the decision by the Supreme Court on restoring about $300 million . There was still a substantial shortfall in the budget.,27,,
123,0.97,1525.59,1541.339,Both the house and Senate addressed that by appropriating approximately $1 billion in American rescue plan act funding to Backfill that.,27,,
124,0.97,1541.406,1562.727,"That by and large prevented any significant cuts or delays in projects in both the house and Senate budgets, which is good . We have projects that are funded largely through the 2015 package connecting Washington that we do not want to see delayed.",27,,
125,0.97,1562.794,1567.799,"It does not mean that the budget does not include many significant investments, but I think it is worth noting just a handful.",27,,
126,0.97,1567.866,1628.326,"The Senate budget largely directs the small increases in funding that are available to starting a handful of projects around the States, none of which are included in Seattle . It also includes approximately $4.1 million to continue the study of road usage charged by the state as a potential replacement for the gas tax . The House budget includes some increases to funding for Multimodal grants, as well as green transportation grants, approximately $10 million and $15 million for those projects . There are some small differences, but overall, dominantly, a maintenance budget that also meets the obligation of the state to fund fish passage barrier Removals statewide.",27,,
127,0.97,1628.393,1651.516,"The only other update in the Transportations base is House bill 1301, which would allow sound transit to provide alternative fair enforcement, including warnings without citations.",27,,
128,0.97,1651.583,1657.422,That legislation is scheduled for executives possession tomorrow at 1:30.,27,,
129,0.97,1657.489,1658.456,That concludes our presentation.,27,,
130,0.97,1658.523,1659.958,We are happy to take any questions.,27,,
131,0.97,1660.025,1664.796,"Thank you so Robin, Hannah, Lily.",28,,
132,0.97,1664.863,1668.366,We appreciate all of the hard work.,28,,
133,0.97,1668.433,1674.672,There are some great things coming out of the state Legislature as it relates to some of these budget items . I am excited about that.,28,,
134,0.97,1674.739,1682.414,Any comments or questions on this report?,28,,
135,0.97,1682.48,1686.684,"Council member Mosqueda, please.",28,,
136,0.97,1686.751,1687.719,Thank you very much.,29,,
137,0.97,1687.786,1688.086,Good morning.,29,,
138,0.97,1688.153,1691.189,Thanks for the report.,29,,
139,0.97,1691.256,1705.07,"First, on House bill 1220, thank you for reporting out on the progress of that bill . This is a big priority for the city and our region as we try to figure out how we House folks and keep them safely housed.",29,,
140,0.97,1705.136,1718.783,Is there any indication that the Council or our partners need additional assistance in this last leg? or you pretty positive in its passage?,29,,
141,0.97,1718.85,1720.885,There are still some negotiations happening on House bill 1220.,30,,
142,0.97,1720.952,1728.126,"We will certainly let you know . I think right now, we are in an okay position.",30,,
143,0.97,1728.193,1742.807,I will certainly let you and other Councilmembers know if we think there is some help we can do to get it over the finish line.,30,,
144,0.97,1742.874,1743.341,Thank you.,31,,
