index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.646,17.05,Good morning everyone.,0,,
1,0.97,17.05,22.288,"The November 1ST, 2021 out the briefing meeting will come to order.",0,,
2,0.97,22.288,24.557,The time is 9:31 A.M.,0,,
3,0.97,24.557,26.76,Will the clerk please call the roll?,0,,
4,0.97,26.76,28.228,Morales?,1,,
5,0.97,28.228,29.662,Here.,2,,
6,0.97,29.662,30.864,Mosqueda?,3,,
7,0.97,30.864,32.966,Present.,4,,
8,0.97,32.966,34.868,Pedersen?,5,,
9,0.97,34.868,35.735,Here.,6,,
10,0.97,35.735,36.669,Sawant?,7,,
11,0.97,36.669,38.171,Present.,8,,
12,0.97,38.171,39.172,Strauss?,9,,
13,0.97,39.172,41.074,Present.,10,,
14,0.97,41.074,42.275,Herbold?,10,,
15,0.97,42.275,43.743,Here.,11,,
16,0.97,43.743,45.245,Juarez,12,,
17,0.97,45.245,46.079,Here.,13,,
18,0.97,46.079,48.248,Nine present.,14,,
19,0.97,48.248,58.291,"Thank you so much, if there is no objection, the minutes of October 25th, 2021 will be adopted.",15,,
20,0.97,58.291,60.26,"Hearing no objection, the minutes are now adopted.",15,,
21,0.97,60.26,75.542,"President's report, really quickly colleagues, I am just a heads up that I will not be present next Monday, which I believe is November 8th.",16,,
22,0.97,75.542,86.186,"So, I will be leaving this afternoon for an opportunity to be excused at both our Council briefing and our full Consummating.",16,,
23,0.97,86.186,93.026,Councilmember Dan Strauss is the pro Tem for the month of November.,16,,
24,0.97,93.026,101.568,"So, Councilmember Strauss will be your Council President pro Tem at both the Council briefing and city council meeting.",16,,
25,0.97,101.568,108.108,My huge thanks to Councilmember Strauss for stepping up to preside in my absence.,16,,
26,0.97,108.108,124.123,"I'd also like to recognize that today is all saints day work communities around the world, including in Mexico where my family hails from, today is the day that we recognize and honor the passing of our loved ones.",16,,
27,0.97,124.123,139.139,"Traditionally we celebrate by setting up an altar to our past ancestors who have left us, lighting candles, bringing their favorite food and sharing loving memories of the legacy of our ancestors in our present life.",16,,
28,0.97,139.139,169.402,"So, I hope for all of you that are celebrating, that you have a wonderful celebration acknowledging and remembering the lives and the legacy of your loved ones . and Mike culture in particular, we do this as a way to invite the souls of our ancestors back home and commemorate the celebrations by acknowledging that we are celebrating and in their presence.",16,,
29,0.97,169.402,178.411,"So, for all of those individuals who have lost loved ones, we acknowledge our laws, of course Covid-19 pandemic.",16,,
30,0.97,178.411,187.42,This morning it was reported has resulted in over 5 million people dying across our planet.,16,,
31,0.97,187.42,197.73,This particular day of the dead is unlike no other given the amount of deep loss across all of our communities.,16,,
32,0.97,197.73,213.246,"So, in recognition colleagues of the profound loss around the world, that today marks the loss of 5 million souls and family members across the nation.",16,,
33,0.97,213.246,225.758,"Today, day of that, I would like us to just commemorate a moment of silence to acknowledge the loss here in our own community and in our global community, and to acknowledge the presence of all of those that we continue to mourn.",16,,
34,0.97,225.758,235.868,And love.,16,,
35,0.97,235.868,250.25,"Thank you, colleagues, I appreciate you Participting in that and I hope we are able to spend lots of energy to our community members who have lost people either to Covid or two other reasons in the last year in particular.",17,,
36,0.97,250.25,272.071,"Shifting gears, Friday evening colleagues we are received notice late in the workday from Mayor Durkan who issued a civil emergency order entitled immediate hiring incentives for public safety emergency response.",18,,
37,0.97,272.071,278.711,"This is a civil emergency order under the current civil emergency proclamation, which she issued in March of 2020.",18,,
38,0.97,278.711,282.382,To address the Covid-19 public health emergency.,18,,
39,0.97,282.382,300.099,"For those of you who haven't had an opportunity to read it, which would be totally understandable since we received it Friday late in the workday, the order authorizes hiring incentives of up to $10,000 for new hires and up to $25,000 for police Department and community safety communications center.",18,,
40,0.97,300.099,312.845,"As a reminder, the rules provide that Council shall quote, endeavor to act"", within 48 hours of the issuance of any emergency order.",18,,
41,0.97,312.845,320.653,"But that however is not a constraining Timeline, and the Council may act outside of that Timeframe to do three things.",18,,
42,0.97,320.653,334.233,"The Council may accept the emergency order, the Council may amend the emergency order, or the Council may reject the emergency order.",18,,
43,0.97,334.233,339.038,"The Council has a fourth option which is to take no action, which is effectively accepting the emergency order.",18,,
44,0.97,339.038,347.58,"So, I want to ask that my colleagues spent some time with the emergency order.",18,,
45,0.97,347.58,355.988,I'd like to ask that colleagues direct any questions you may have related to the emergency order to central staff by the end of the day.,18,,
46,0.97,355.988,364.464,There are two--three individuals excuse me on central staff who will be fielding questions if any from Councilmembers.,18,,
47,0.97,364.464,380.012,"So, please send your questions to director Esther handy, central staff analyst Freeman and Greg Doss, as they are the primary--primarily responsive for legislative analysis on this particular subject.",18,,
48,0.97,380.012,393.126,"Central staff is going to Collate all Councilmember questions, again if there are any, and refer them to the city attorney's office, Mayor's office or the Seattle police Department, as deemed necessary and appropriate.",18,,
49,0.97,393.126,405.138,"So again, my request is that any colleagues who have any questions send those to Esther handy, Freeman, Greg Doss, and to do so by 5:00 today.",18,,
50,0.97,405.138,407.14,It would be greatly appreciated.,18,,
51,0.97,407.14,432.765,"I apologize for the slightly expedited schedule, but if it appears to me based on consultation with the central staff director that the Council would like to take some action, as previously described, then that does require us to act rather quickly to engage in any of that public discourse.",18,,
52,0.97,432.765,447.88,"So again, I apologize for the quick Timeline, but it is very necessary for us to turn this around quickly if the Council--if the majority of the Council appear to want to take specific actions.",18,,
53,0.97,447.88,451.35,"So, if you have any questions, please send those over to central staff by 5:00 P.M.",18,,
54,0.97,451.35,451.584,Today.,18,,
55,0.97,451.584,463.095,"I do appreciate you all agreeing to this course of action, so that Council is in the best position to analyze the order and respond to individual Councilmember questions, if any.",18,,
56,0.97,463.095,469.468,"And then, have a more informed judicious approach on what to do next.",18,,
57,0.97,469.468,474.373,"Are there any questions, colleagues?",18,,
58,0.97,474.373,479.612,"I'm not seeing any hands raised, thank you so much.",19,,
59,0.97,479.612,484.317,That's a longer President's report for me.,19,,
60,0.97,484.317,485.918,I appreciate your indulgence.,19,,
61,0.97,485.918,488.921,I will keep my actually Committee report notes much shorter.,19,,
62,0.97,488.921,496.028,We are going to move to the preview of today's city council action my Council and regional committees.,19,,
63,0.97,496.028,509.041,"The order for today's report out will be Morales followed by Mosqueda, Pedersen, Sawant, Strauss, Herbold, Juarez, Lewis, and then I will conclude.",19,,
64,0.97,509.041,511.31,"Without further Ado, I'm going to headed over to Councilmember Morales.",19,,
65,0.97,511.31,513.012,After that will be Councilmember Mosqueda.,19,,
66,0.97,513.012,513.646,Good morning.,19,,
67,0.97,513.646,515.514,"Good morning, colleagues.",20,,
68,0.97,515.514,524.557,"Happy [speaking in foreign language], my daughter has already set up our altar as she does every year.",20,,
69,0.97,524.557,529.328,"Not sure how she decided that that was her job, but you love to do it, so--Yeah.",20,,
70,0.97,529.328,531.33,We will be enjoying that today.,20,,
71,0.97,531.33,539.572,"And remembering our family members and cats, lots of cats, who have gone.",20,,
72,0.97,539.572,543.242,I have no committee updates.,20,,
73,0.97,543.242,545.478,We will have a community economic development committee meeting in December.,20,,
74,0.97,545.478,554.387,"Before Recess, but we have not been able to finalize that yet so as soon as I have a final date I will make sure to announce that.",20,,
75,0.97,554.387,562.194,My office is working to review our budget amendments.,20,,
76,0.97,562.194,567.3,"We've got a few things we might want to massage a little bit, and then we will be working to finalize over the next week.",20,,
77,0.97,567.3,586.018,"We are hearing from a lot of constituents across our district and from folks across the city, about their priorities and really, really want to appreciate the community organizations who have reached out to express their support, particularly for some of the infrastructure amendments that we have put in.",20,,
78,0.97,586.018,595.728,As well as the kind of--vision for a different way to do housing.,20,,
79,0.97,595.728,599.031,"Or, another additional way for us to do housing here.",20,,
80,0.97,599.031,607.239,"Colleagues, I do want to address that yesterday there were two shootings in the Chinatown International district.",20,,
81,0.97,607.239,614.547,There was also two shootings last week in the Chinatown International district.,20,,
82,0.97,614.547,622.054,My office met with constituents last week to discuss the issues that are happening at that intersection.,20,,
83,0.97,622.054,635.768,"We will be going out on November 9th to meet with business owners and neighbors, and with Street outreach workers, to talk about strategies to improve safety in the surrounding area.",20,,
84,0.97,635.768,646.545,"My office will also be reaching out to Sdot and city light because one of the things we know is that there are several Streetlights that are out, and have been out along South Jackson as well.",20,,
85,0.97,646.545,653.919,"On Friday, I attended an organizing meeting with tenants from the Ranier court apartments here in the district.",20,,
86,0.97,653.919,668.801,"Also attending were Councilmembers Sawant, and organizers from two organizations that contract with SDC I to help tenants organize when they are facing issues.",20,,
87,0.97,668.801,676.308,"My office was contacted by organizers two weeks ago about ongoing repair issues, pest issues, restrictions on Internet.",20,,
88,0.97,676.308,677.376,Excuse me.,20,,
89,0.97,677.376,679.912,Internet access.,20,,
