index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.075,9.809,Hello.,0,,
1,0.97,9.809,11.277,We are now recording.,1,,
2,0.97,12.645,12.946,Great.,2,,
3,0.97,12.946,14.013,Thank you.,2,,
4,0.97,16.983,17.384,Good afternoon.,2,,
5,0.97,17.384,20.387,I will call to order the Seattle city council meeting.,2,,
6,0.97,20.387,23.656,My name is Debra Juarez.,2,,
7,0.97,23.656,24.624,And it's 2:01.,2,,
8,0.97,24.624,28.928,Will the clerk please call the roll.,2,,
9,0.97,28.928,30.163,Councilmember Pedersen.,3,,
10,0.97,30.163,33.333,Councilmember Sawant.,4,,
11,0.97,33.333,33.666,Ppresent.,5,,
12,0.97,33.666,34.601,Councilmember Strauss.,6,,
13,0.97,34.601,35.668,Present.,7,,
14,0.97,35.668,36.936,Councilmember Herbold.,8,,
15,0.97,36.936,38.004,Here.,9,,
16,0.97,38.004,41.708,Councilmember Lewis.,10,,
17,0.97,41.708,43.309,Present.,11,,
18,0.97,43.309,45.845,Councilmember Mosqueda.,12,,
19,0.97,45.845,47.68,Councilmember Nelson.,12,,
20,0.97,47.68,48.181,Present.,13,,
21,0.97,48.181,49.249,Council President Juarez.,14,,
22,0.97,49.249,50.15,Here.,15,,
23,0.97,50.15,51.584,Seven present.,16,,
24,0.97,51.584,53.219,"Thank you, Madame clerk.",17,,
25,0.97,53.219,56.723,Let's Mve on to our agenda to presentations.,17,,
26,0.97,56.723,58.925,There are no presentations today.,17,,
27,0.97,58.925,62.195,"And going through public comment, colleagues, we're doing the hybrid system.",17,,
28,0.97,62.195,65.365,And we'll take the Repoet callers first.,17,,
29,0.97,65.365,70.103,And then the In-Person folks that have showed up for public comment second.,17,,
30,0.97,70.103,72.205,"Madame clerk, how many speakers do we have for remote?",17,,
31,0.97,72.205,75.108,And how many speakers do we have for In-Person?,17,,
32,0.97,75.108,78.945,We have eight remote speakers and five In-Person.,18,,
33,0.97,78.945,79.312,Okay.,19,,
34,0.97,79.312,82.081,So we have eight and five.,19,,
35,0.97,82.081,83.049,And is that 13?,19,,
36,0.97,83.049,83.917,Yes.,20,,
37,0.97,83.917,86.119,Is it?,21,,
38,0.97,86.119,88.188,[Laughter] I'm sorry.,21,,
39,0.97,88.188,89.689,So let's do this.,21,,
40,0.97,89.689,91.057,Let's give everybody two minutes.,21,,
41,0.97,91.057,95.128,And we will start with the remote speakers.,21,,
42,0.97,95.128,96.863,Everybody you have two minutes.,21,,
43,0.97,96.863,104.103,"And Madame clerk, I will now hand this over to you and you can start the recording and the instructions.",21,,
44,0.97,104.103,112.579,Thank you.,22,,
45,0.97,112.579,113.546,Hello Seattle.,23,,
46,0.97,113.546,114.914,We are the Emerald city.,23,,
47,0.97,114.914,118.351,The city of flowers and the city of good will.,23,,
48,0.97,118.351,125.225,Built on indigenous land of traditional territory of the Cosalus peoples.,23,,
49,0.97,125.225,129.696,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,23,,
50,0.97,129.696,139.939,"If you would like to be a Speaker and provide a verbal public comment, register two hours prior to the meeting via the Seattle city council Website.",23,,
51,0.97,139.939,143.109,Here is some information about the public comment proceedings.,23,,
52,0.97,143.109,148.114,Speakers are called upon in the order in which they registered on the Council's Website.,23,,
53,0.97,148.114,160.026,Each Speaker must call in from the phone number provided when they registered Online and used the meeting Id and pass code that was Emailed upon confirmation.,23,,
54,0.97,160.026,166.366,"If you did not receive an Email confirmation, please check your Spam or junk mail folders.",23,,
55,0.97,166.366,174.307,"A remind E, the Speaker heating Id is different from the general listen line meeting Id provided on the agenda.",23,,
56,0.97,174.307,184.951,Once a Speaker's name is called the speak Rer's microphone will be Unmuted and an automatic prompt will say the host would like you to Unmute your microphone.,23,,
57,0.97,184.951,187.62,That is your Cue that it's your turn to speak.,23,,
58,0.97,187.62,190.223,"At that time, you must press Star six.",23,,
59,0.97,190.223,193.826,You are then hear a prompt of you are Unmuted.,23,,
60,0.97,193.826,205.371,"Be sure your phone is Unmuted on your end so that you will be heard as a Speaker, you should begin by stating your name and the item that you are addressing.",23,,
61,0.97,205.371,209.342,A Chime will sound when ten seconds are left in your allotted time.,23,,
62,0.97,209.342,212.312,As a gentle reminder to wrap up your public comments.,23,,
63,0.97,212.312,220.153,"At the end of the allotted time, your microphone will be muted and the next Speaker registered will be called.",23,,
64,0.97,220.153,233.933,"Once speakers have completed providing public comment, please Disconnect from the public comment line and join us by following the meeting via Seattle channel broadcast or through the listening line option listed on the agenda.",23,,
65,0.97,233.933,247.08,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council's ability to conduct its business on behalf of residents of the city.,23,,
66,0.97,247.08,259.993,Any offensive language that is disruptive to these proceedings or that is not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer.,23,,
67,0.97,259.993,268.968,Our hope is to provide an opportunity for productive discussions that will assist our orderly consideration of issues before the Council.,23,,
68,0.97,268.968,271.904,The public comment period is now open.,23,,
69,0.97,271.904,275.475,And we will begin with the first Speaker on the list.,23,,
70,0.97,275.475,282.515,Please remember to press Star six after you hear the prompt of you have been Unmuted.,23,,
71,0.97,282.515,285.618,"Thank you, Seattle.",23,,
72,0.97,286.252,293.092,For the remote public comment period is Howard Gail.,24,,
73,0.97,293.092,294.827,Good afternoon.,25,,
74,0.97,294.827,303.202,Howard Gail with Seattle Stop.Org Commenting on our failed police accountability system.,25,,
75,0.97,303.202,308.007,Today is day four into the inquest of the murder of Charlina Lyles.,25,,
76,0.97,308.007,316.516,The murder of four was murdered in her home by Seattle police four weeks after Seattle's police accountability legislation was passed.,25,,
77,0.97,316.516,332.098,By Op-Ed in the South Seattle Emerald last week documented how twice as many people experiencing a behavioral health crisis were killed by the SPD over the last nine years are verses the nine years prior to that.,25,,
78,0.97,332.098,341.941,"Five years ago, Councilmember Herbold Promisedto quote find a new way of doing things so that we actually get different results, Unquote.",25,,
79,0.97,341.941,351.217,"Council President Juarez, you said at the time that quote, we will demand accountability, transparency, and community over sight and not allow this to happen, Unquote.",25,,
80,0.97,351.217,361.928,"Yet your police Department went on to kill al Jr., Danny Rodriguez, Ryan Smith, Terry, Derek Hayden, and the person still unnamed on beacon hill in January.",25,,
81,0.97,361.928,370.937,All people experiencing a behavioral health crisis just like Charleena Lyle.,25,,
82,0.97,370.937,374.474,You promised after Charleena the results will be different.,25,,
83,0.97,374.474,375.975,And they have been.,25,,
84,0.97,375.975,376.509,They've been worse.,25,,
85,0.97,376.509,394.26,"If you want to pay justice to Charleena Lyles then embrace the future of police accountability that dozens of other U.S. cities have post George Floyd by creating direct community control of police abuse investigations, police discipline, and police policy.",25,,
86,0.97,394.26,408.641,"Look forward to a future of justice and not backwards to a Mythical past and promises that we now know, five years later, were clearly false.",25,,
87,0.97,408.641,415.848,See Seattlestop.Org for how to do an initiate Seattle.,25,,
88,0.97,415.848,422.789,The next Speaker will be followed by Delma Veloria.,25,,
89,0.97,422.789,427.126,The next Speaker is Yvette Dinish.,25,,
90,0.97,427.126,429.962,"Good afternoon, Councilmembers, Yvette Dinish district two.",26,,
91,0.97,429.962,435.568,I never got the chance to congratulate Council President Juarez on being Council President.,26,,
92,0.97,435.568,448.815,"I signed up for transportation with my concern and succinctly I've been asking for quite some time whatever happened to the prompt--with that being said, if we have somewhere in the city to disperse them.",26,,
93,0.97,448.815,452.485,I have my own nonprofit and space to help with this.,26,,
94,0.97,452.485,457.423,And the rainy Beach linked Lake project has been going on since 2017.,26,,
95,0.97,457.423,458.624,The money is there finally.,26,,
96,0.97,458.624,463.83,How can we get the permit process to move quickly so they can go ahead and get this built.,26,,
97,0.97,463.83,464.43,That's all I have.,26,,
98,0.97,464.43,466.766,Thank you for listening.,26,,
99,0.97,466.766,482.715,Our next Speaker is Velma Veloria.,27,,
100,0.97,482.715,486.619,Velma?,27,,
101,0.97,486.619,494.494,"Velma, you may need to press Star six.",27,,
102,0.97,494.494,501.067,"Madame chair, and members of the Council, my name is Velma Veloria.",28,,
103,0.97,501.067,504.303,"Former state representative, here today representing Filipino community of Seattle.",28,,
104,0.97,504.303,514.547,Thank you for the opportunity to testify in favor of Council bill 120343.,28,,
