index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.9,2.001,Good morning.,0,,
1,0.97,2.001,7.34,"The July 22nd, 2020 meeting of the land use and neighborhoods committee will come to order.",0,,
2,0.97,7.34,8.508,It is now 9:31 A.M.,0,,
3,0.97,8.508,12.245,"I'm Dan Strauss, chair of the committee.",0,,
4,0.97,12.245,19.085,Will the clerk please call the roll.,0,,
5,0.97,19.085,20.453,Juarez.,1,,
6,0.97,20.453,20.72,Here.,2,,
7,0.97,20.72,21.354,Pedersen.,3,,
8,0.97,21.354,21.688,Here.,4,,
9,0.97,21.688,21.988,Strauss.,5,,
10,0.97,21.988,22.288,Present.,6,,
11,0.97,22.288,22.722,Three present.,7,,
12,0.97,22.722,23.123,Thank you.,8,,
13,0.97,23.123,34.501,I would like to begin by acknowledging we are on the traditional land of the first people of Seattle.,8,,
14,0.97,34.501,39.706,And honor with gratitude the land itself of the tribes.,8,,
15,0.97,39.706,45.178,We have three items on the agenda today.,8,,
16,0.97,45.178,51.651,A briefing and public hearing on the child care near you legislation.,8,,
17,0.97,51.651,55.088,"Council member Mosqueda, welcome.",8,,
18,0.97,55.088,62.028,A briefing in public hearing on the annual land use bill.,8,,
19,0.97,62.028,67.901,And a briefing on their work to strengthen tree protections here in the city of Seattle.,8,,
20,0.97,67.901,75.308,"The next regularly scheduled meeting of the committee is on Wednesday, August 12th, starting at 9:30 A.M.",8,,
21,0.97,75.308,84.517,"Before we begin, if there's objection, the agenda will be adopted.",8,,
22,0.97,84.517,88.087,"Hearing no objection, the agenda is adopted.",8,,
23,0.97,88.087,92.926,And I see that Council member Lewis has joined us.,8,,
24,0.97,92.926,100.667,"Before we open public comment, there is an important agenda item not before us.",8,,
25,0.97,100.667,104.37,It is our own Council member Juarez's birthday.,8,,
26,0.97,104.37,104.737,Thank you.,9,,
27,0.97,104.737,112.412,I remember from our last public hearing and have been alluding to it for the last month or so.,10,,
28,0.97,112.412,119.085,If as the chair I have prerogative to now sing with my colleagues happy birthday.,10,,
29,0.97,119.085,122.388,"Oh, my God.",11,,
30,0.97,122.388,122.689,Oh my God.,11,,
31,0.97,122.689,126.226,"One, two, three.",12,,
32,0.97,126.226,128.127,Happy birthday to you.,13,,
33,0.97,128.127,133.066,Happy birthday to you.,13,,
34,0.97,133.066,141.474,Happy birthday dear Debora.,13,,
35,0.97,141.474,146.279,Happy birthday to you.,13,,
36,0.97,146.279,147.413,"Thanks, guys.",14,,
37,0.97,147.413,147.814,Thank you.,14,,
38,0.97,147.814,148.882,It really made my day.,14,,
39,0.97,148.882,151.184,"It is very, very kind of you.",14,,
40,0.97,151.184,156.723,I'm so glad to be 39 for the 20th time.,14,,
41,0.97,156.723,157.39,"Awesome feeling, folks.",14,,
42,0.97,157.39,161.327,"I have just got up early this morning and ran eight miles, you know.",14,,
43,0.97,161.327,165.131,That's what you have to get to look forward to.,14,,
44,0.97,165.131,165.832,So thank you.,14,,
45,0.97,165.832,168.368,I can't even run 8 miles right now.,15,,
46,0.97,168.368,171.037,I'm looking forward to being 39.,15,,
47,0.97,171.037,172.639,You know I'm kidding.,16,,
48,0.97,172.639,175.508,There is no way that I would run eight miles.,16,,
49,0.97,175.508,176.342,I may walk one.,16,,
50,0.97,176.342,178.144,But thank you so much.,16,,
51,0.97,178.144,180.346,It was very kind of you.,16,,
52,0.97,180.346,184.817,In these times it is nice to hear kind words.,16,,
53,0.97,184.817,185.118,Thank you.,16,,
54,0.97,185.118,186.553,Thank you.,17,,
55,0.97,186.553,187.053,Thank you.,18,,
56,0.97,187.053,194.661,"And with that, at this time we will open the remote public comment period for items on today's agenda.",19,,
57,0.97,194.661,200.667,"Before we begin, I ask everyone please be patient as we learn to operate this new system in real time.",19,,
58,0.97,200.667,220.587,"While our remains are strong to have public comment regularly, the city council reserves right to end or eliminate the public comments at any point if the system is being abuse or unsuitable to allow our meetings to be conducted efficiently and in a matter that we are able to conduct our necessary business.",19,,
59,0.97,220.587,229.062,At every public comment I have made it very clear that the comments need to be directed to items on the agenda.,19,,
60,0.97,229.062,232.265,I want to flag that we have two public hearings.,19,,
61,0.97,232.265,241.207,"If you have signed up for public comment and should have signed up for public hearing, it is important that your comments are reflected on the appropriate agenda item.",19,,
62,0.97,241.207,243.91,We can make changes in real time if that is the case.,19,,
63,0.97,243.91,255.822,So the public comment period for this meeting is up to ten minutes and each Speaker will be given two minutes to speak.,19,,
64,0.97,255.822,261.261,I will call on each Speaker by name and the order in which they are registered on the counsel's Website.,19,,
65,0.97,261.261,268.167,"If you would like to speak, sign up for the end of public comment by going to the Website.",19,,
66,0.97,268.167,281.214,It is also listed on the agenda.,19,,
67,0.97,281.214,285.885,Please begin speaking by saying your name and the agenda item that you're addressing.,19,,
68,0.97,285.885,289.656,You will hear a Chime when 10 seconds is left of the allotted time.,19,,
69,0.97,289.656,293.359,Then we ask that you begin to wrap up your comments.,19,,
70,0.97,293.359,302.201,"If you do not end the comments by the allotted time, the Speaker's microphone will be muted to allow us to call on the next Speaker.",19,,
71,0.97,302.201,319.252,"We ask that you Disconnect from the line once you have completed and if you have a plan to continue following the meeting, please do so via the Seattle Channel.",19,,
72,0.97,319.252,322.322,We have several comments on the agenda for you.,19,,
73,0.97,322.322,326.492,I ask that you hold them for the relevant public hearing.,19,,
74,0.97,326.492,327.894,Public comment period is now open.,19,,
75,0.97,327.894,336.869,And let me pull up the list.,19,,
76,0.97,336.869,347.08,First up we have--I will read names in groups of three.,19,,
77,0.97,347.08,347.28,Suzanne.,19,,
78,0.97,350.149,357.023,Let me see if it can you please put the Timer on the screen.,19,,
79,0.97,357.023,357.423,Hello.,20,,
80,0.97,357.423,359.992,"Hang on just a second, Suzanne.",21,,
81,0.97,359.992,360.293,Hello.,22,,
82,0.97,360.293,363.796,"Hang on just a second, Suzanne.",23,,
83,0.97,363.796,374.64,"It, can you please put the Timer on the screen.",23,,
84,0.97,374.64,376.109,Thank you.,23,,
85,0.97,376.109,376.642,"Suzanne, please begin.",23,,
86,0.97,376.642,377.944,Hello.,24,,
87,0.97,377.944,378.411,I am Suzanne grant.,24,,
88,0.97,378.411,383.516,And I'm here to speak about the tree ordinance.,24,,
89,0.97,383.516,389.255,First I appreciate Y'all being there today in July and what has been done so far with the ordinance.,24,,
90,0.97,389.255,393.059,I appreciate all of the participants.,24,,
91,0.97,393.059,395.228,Happy birthday Council member Juarez.,24,,
92,0.97,395.228,411.11,"Required mitigation for allowed tree removal where it says all Evergreens must be replaced by eye Evergreen, on-site it says the property owner shall ensure that the trees planted remain healthy.",24,,
93,0.97,411.11,412.345,I have definitely seen otherwise.,24,,
94,0.97,412.345,417.817,Will it be written into the sales agreement for the property owner to agree to take care of the trees?,24,,
95,0.97,417.817,419.886,Who will ensure this happens?,24,,
96,0.97,419.886,427.627,"If the replacement is on public property, where?",24,,
97,0.97,427.627,428.027,The Right-Of-Way?,24,,
98,0.97,428.027,428.261,S-Dot?,24,,
99,0.97,428.261,431.864,S-Dot has specific trees for Sprite trees and they do not include large Evergreens.,24,,
100,0.97,431.864,438.704,"On parks property, is this part of the parks budget, maintenance.",24,,
101,0.97,438.704,442.909,They barely maintain what is already there.,24,,
102,0.97,442.909,448.014,Two huge significant Poplars are proposed to be removed and several exceptional trees.,24,,
103,0.97,448.014,450.616,Where would this size of tree be replaced.,24,,
104,0.97,450.616,456.456,It takes too long for the tree that is plant today replace the canopy.,24,,
105,0.97,456.456,460.092,Climate is changing and the benefits to our air cannot wait.,24,,
106,0.97,460.092,469.468,The tree ordinance needs to require that the equivalent replacement canopy area and volume be reached in 25 years.,24,,
107,0.97,469.468,469.836,Very important.,24,,
108,0.97,469.836,470.236,Area and volume.,24,,
109,0.97,470.236,475.641,There need to be strong protections for existing mature trees.,24,,
110,0.97,475.641,483.316,Our problem with retaining a 09- year-old exceptional tulip tree is the developer could not achieve its potential.,24,,
111,0.97,483.316,484.817,So he was allowed to cut it down.,24,,
112,0.97,484.817,497.33,I don't see any change to the code that allows tree removal when the developer can't get what he wants.,24,,
113,0.97,497.33,503.069,Real tree production needs to be written in actual code and enforced.,24,,
114,0.97,503.069,503.369,Thank you.,24,,
115,0.97,503.369,504.103,"Thank you, Suzanne.",25,,
116,0.97,504.103,510.343,Up next is Steve followed by Juanita and Woody Wheeler.,25,,
117,0.97,510.343,512.311,"Steve, please go ahead.",25,,
118,0.97,512.311,514.58,Okay.,26,,
119,0.97,514.58,517.216,My name is Steve Zemke.,26,,
120,0.97,517.216,524.423,I'm speaking today as chair of tree pact.,26,,
121,0.97,524.423,529.262,We want to thank you for your efforts going forward.,26,,
122,0.97,529.262,532.131,The updates of the resolution that you passed.,26,,
123,0.97,532.131,542.375,"I want to note that the resolution States that at the end of the process that legislation be submitted to the Council, I want to speak to that particularly.",26,,
124,0.97,542.375,567.099,"Because of the regulations that are being updated today, the problem is that the question of having a diverse--diversity of old tree species and ages, the Seattle municipal code 23 in terms of land use States during plotting that all trees that are six inches and larger need to be shown on the site.",26,,
125,0.97,567.099,572.772,And there needs to be an effort made to maximize their attention to existing trees.,26,,
126,0.97,572.772,582.248,"We think this process needs to continue through the whole development process, not just deal with exceptional trees at the end of the process that is occurring now.",26,,
127,0.97,582.248,590.156,Second issue I want to reference to the Council is the urban forestry letter.,26,,
128,0.97,590.156,608.441,"Already raised the question it appears that the administration enforcement of the tree ordinance and other provisions in SBCI, that there is no clear Department section or division that is responsible for the overall tree protection.",26,,
129,0.97,608.441,619.952,"And we believe that we need--the SBCI needs to establish a separate division to have a clear path for urban forestry decision making, resolution and increase in accountability.",26,,
130,0.97,619.952,635.134,And Lastly we want to urge that you use the draft tree protection ordinance by the urban forestry Commission as your starting point in terms of moving towards final ordinance passage by the Council.,26,,
131,0.97,642.141,644.61,"Thank you, Steve.",27,,
132,0.97,644.61,651.45,Up next we have Juanita Salinas followed by Woody Wheeler and Andrew Kitty.,27,,
133,0.97,651.45,654.487,Apologies.,27,,
134,0.97,654.487,660.393,"Good morning, everyone.",28,,
135,0.97,660.393,662.194,Thank you.,28,,
136,0.97,662.194,662.428,Hello.,28,,
137,0.97,662.428,662.928,"Good morning, everyone.",28,,
138,0.97,662.928,663.562,I'm Juanita Salinas.,28,,
139,0.97,663.562,667.233,I'm here today in support of the child care near you proposal.,28,,
140,0.97,667.233,675.775,We believe the changes outlined in the proposal will reap many benefits for our early learning community.,28,,
141,0.97,675.775,684.116,Proven and Pourful nonprofit that improves communities and people's lives by creating well designed affordable homes.,28,,
142,0.97,684.116,699.031,We recognize the critical importance to access quality safe and affordable early child care and how it impacts growth Exponentially for the child and family when we have a safe and affordable and quality home.,28,,
143,0.97,699.031,703.936,Our initiative is centered on the promise of opportunity.,28,,
144,0.97,703.936,712.578,"So long before Covid-19 pandemic, Washington state ranked 6th in the nation for people living in child care deserts.",28,,
145,0.97,712.578,716.415,Today the state is reporting 20% or more of child care centers have closed.,28,,
146,0.97,716.415,729.428,"For some time now, the city of Seattle has already been facing we continue to deal with these implications and the impacts of Covid-19 and assess our recovery.",28,,
147,0.97,729.428,736.035,We need to make sure that we have ample adequate and accessible child care.,28,,
148,0.97,736.035,740.306,It is Eaccepttial for bringing back our workforce.,28,,
149,0.97,740.306,749.482,"So we support the proposal because we believe it will, one, allow child care centers to open at a time when many are struggling to stay open.",28,,
150,0.97,749.482,757.49,And will help support those who have closed their doors permanently to have a possibility to reopen.,28,,
151,0.97,757.49,768.701,We also support this proposal because it can renew potentially cumbersome barriers for taxed providers.,28,,
152,0.97,768.701,776.442,We believe it will create opportunities for children and families to receive care especially now when families are working from home long- term.,28,,
153,0.97,776.442,782.047,And we believe it will allow provider toes more innovative in creating centers across the city.,28,,
154,0.97,782.047,794.426,We ask that the land use and neighborhoods committee today vote yes to advance this proposal for approval.,28,,
155,0.97,794.426,798.697,This is a Tenu tenuous time for our workforce.,28,,
156,0.97,798.697,799.298,Thank you.,29,,
157,0.97,799.298,805.771,"If you want to make a short comment during the public hearing on child care near you, we have heard all of your words.",29,,
158,0.97,805.771,811.877,"If you want to let the record reflect on the next section, we would love to have your voice recorded there.",29,,
159,0.97,811.877,818.784,Up next is Woody Wheeler followed by Andrew Kitty and then Michael Oxman.,29,,
160,0.97,818.784,830.095,"Again, if you are here to speak on child care near you or the land--omnibus bill, we have separate public hearings for those two items.",29,,
161,0.97,830.095,833.399,Woody.,29,,
162,0.97,833.399,838.404,Are you ready?,29,,
163,0.97,838.404,842.107,Hello.,30,,
164,0.97,842.107,843.676,This is Woody Wheeler.,30,,
165,0.97,843.676,844.076,Good morning.,31,,
166,0.97,844.076,844.543,Good morning.,32,,
167,0.97,844.543,848.414,So I'm speaking on the tree ordinance.,32,,
168,0.97,848.414,849.014,Thank you for listening.,32,,
169,0.97,849.014,855.921,It is high time for Seattle to pass a new and improved tree ordinance that addresses comments made here today.,32,,
170,0.97,855.921,866.732,Every day we delay as passage more trees fall and tree canopy decreases while heat Islands increase and the city becomes less livable for everyone.,32,,
171,0.97,866.732,874.94,In particular the city needs to close loopholes to adequately protect exceptional trees and tree groves.,32,,
172,0.97,874.94,890.789,"I am referring especially to the loophole that says on city Website and I quote, if you are developing your property, you may remove trees if retaining them prevents you from achieving the allowed lot coverage, end of quote.",32,,
173,0.97,890.789,899.265,"On December 27th, 2019, I witnessed with horror the taking of an exceptional Western Hemlock by a neighbor due to this loophole.",32,,
174,0.97,899.265,906.572,"It was one of Seattle's last 6,000 and now part of the increasing heat Island.",32,,
175,0.97,906.572,910.309,This incremental destruction of our most important trees is happening all over town.,32,,
176,0.97,910.309,923.389,"I would also like to point out that there is a nexus between tree removal, climate change and social justice that this ordinance addresses.",32,,
177,0.97,923.389,928.694,"First quote by Dr. Robert Bollard, professor at Southern Texas University.",32,,
178,0.97,928.694,934.199,"If it is going to be too hot outside, we know who going to be affected.",32,,
179,0.97,934.199,945.11,"If we're talking about urban heat Islands, we know who cannot afford to run their air conditioners 24/7, end quote.",32,,
180,0.97,945.11,951.15,Second quote author of the best selling how to be an Anti- racist book.,32,,
181,0.97,951.15,957.222,"His quote reads as follows, do nothing climate policy is racist.",32,,
182,0.97,957.222,957.756,End of quote.,32,,
183,0.97,957.756,966.398,"In conclusion, I recommend that we pass the revised tree ordinance in 2020 for social and environmental justice.",32,,
184,0.97,966.398,967.933,Thank you for listening.,32,,
185,0.97,967.933,971.27,"Thank you, Woody.",33,,
186,0.97,971.27,972.738,Up next is Andrew Kitty.,33,,
187,0.97,972.738,975.941,I apologize if I'm saying that incorrectly.,33,,
188,0.97,975.941,977.843,Followed by Michael and David.,33,,
189,0.97,977.843,995.861,"At the end of Andrew's public comment, we will have reached the--reach Thed end of our public comment and I will need to extend public comment for my colleagues' awareness.",33,,
190,0.97,995.861,996.095,Andrew.,33,,
191,0.97,996.095,996.462,I'm Andrew.,34,,
192,0.97,996.462,1003.902,And I'm here to talk about the child care near you ordinance.,34,,
193,0.97,1003.902,1007.74,I'm curious before I get started if I should be Testifying at a different time.,34,,
194,0.97,1007.74,1013.345,Please remind me the item that you are referring?,35,,
195,0.97,1013.345,1014.346,There was background noise.,35,,
196,0.97,1014.346,1017.683,The child care near you ordinance.,36,,
197,0.97,1017.683,1018.083,Yes.,37,,
198,0.97,1018.083,1019.718,There is a separate public hearing for that.,37,,
199,0.97,1019.718,1022.254,Let's have you move over there.,37,,
200,0.97,1022.254,1022.521,Okay.,38,,
201,0.97,1022.521,1024.857,I want to check with it.,39,,
202,0.97,1024.857,1038.404,Can we make that change internally?,39,,
203,0.97,1038.404,1039.071,Yes.,40,,
