index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.65,19.285,Good afternoon everybody.,0,,
1,0.97,19.285,20.687,"Today is Monday, January 10.",0,,
2,0.97,20.687,23.99,Council meeting will come to order.,0,,
3,0.97,23.99,24.424,The time is 2:00.,0,,
4,0.97,24.424,29.596,Will the clerk please call the roll.,0,,
5,0.97,29.596,29.863,Lewis?,1,,
6,0.97,29.863,34.768,Present.,2,,
7,0.97,34.768,37.937,Morales?,3,,
8,0.97,37.937,38.171,Here.,4,,
9,0.97,38.171,38.438,Nelson?,5,,
10,0.97,38.438,39.472,Here.,6,,
11,0.97,39.472,40.473,Pedersen?,7,,
12,0.97,40.473,41.307,Here.,8,,
13,0.97,41.307,42.776,Sawant?,9,,
14,0.97,42.776,47.814,Present.,10,,
15,0.97,47.814,49.783,Strauss?,11,,
16,0.97,49.783,50.083,Present.,12,,
17,0.97,50.083,50.383,Herbold?,13,,
18,0.97,50.383,53.019,Herbold?,13,,
19,0.97,53.019,54.621,You're muted Council member Herbold.,13,,
20,0.97,54.621,57.757,"Sorry, I'm so sorry, here.",14,,
21,0.97,57.757,60.393,And Council member President Juarez?,15,,
22,0.97,60.393,60.627,Here.,16,,
23,0.97,60.627,62.362,Eight present.,17,,
24,0.97,62.362,68.902,"Before we begin, I should NOTE Council member Mosqueda is sick today, so we are sending her good medicine and hope she gets well soon.",18,,
25,0.97,68.902,71.805,We'll move to approval of the minutes.,18,,
26,0.97,71.805,77.71,"If there's no objections, the minutes of December 13, 2021 will be adopted.",18,,
27,0.97,77.71,81.147,"Hearing or seeing no objection, the minutes are adopted.",18,,
28,0.97,81.147,85.418,"I move to the President's report, and I do not have a report today.",18,,
29,0.97,85.418,88.955,So after that we will move to--what's next on the agenda?,18,,
30,0.97,88.955,91.891,"Oh, signing of letters and proclamations.",18,,
31,0.97,91.891,95.929,So Council member Herbold has a proclamation for signature.,18,,
32,0.97,95.929,104.804,"Council member Herbold, please lead the discussion on the proclamation for any additional feedback for requesting signatures to be affixed to the proclamation.",18,,
33,0.97,104.804,113.646,My understanding is it has to do with human trafficking--I'm sorry human trafficking awareness proclamation.,18,,
34,0.97,113.646,114.447,"Go ahead, Councilman Herbold.",18,,
35,0.97,114.447,116.716,Thank you so much.,19,,
36,0.97,116.716,117.183,Really appreciate it.,19,,
37,0.97,117.183,124.224,On Friday we declared January to be human trafficking awareness month.,19,,
38,0.97,124.224,127.727,"And specifically January 11, tomorrow, to be human trafficking awareness day.",19,,
39,0.97,127.727,135.969,This is a joint effort with the city's Multi-Branch domestic violence prevention Council and human services Department.,19,,
40,0.97,135.969,145.078,"We learned this morning Mayor Harrell will also be Concurring, and I appreciate that report from Mayor Harrell.",19,,
41,0.97,145.078,159.926,"People of color, youth, and young adults, Trans, and Lgbt populations, and those made vulnerable through socioeconomic barriers are affected by trafficking here in Seattle and elsewhere.",19,,
42,0.97,159.926,177.744,The city of Seattle invests over $1 million and a comprehensive network of social services and commits to a specialized criminal justice response to human trafficking that addresses the needs of survivors and holds Perpetrators accountable.,19,,
43,0.97,177.744,189.989,"More than 400 clients received advocacy, counseling, flexible client assistance, shelter, housing, and therapeutic services as a result of this important investment.",19,,
44,0.97,189.989,194.661,"Colleagues, are there any questions or comments about the proclamation?",19,,
45,0.97,194.661,198.164,"I would just add Councilman Herbold, thank you for bringing this.",20,,
46,0.97,198.164,204.27,This will work really well with missing women and indigenous girls.,20,,
47,0.97,204.27,207.774,Any other questions or comments people would like to make?,20,,
48,0.97,207.774,210.243,"All right, not seeing none.",20,,
49,0.97,210.243,222.388,"Seeing there's no further discussion, will the clerk please call the roll to determine which Council members would like their signatures affixed to the human trafficking awareness proclamation?",20,,
50,0.97,222.388,223.189,Lewis?,21,,
51,0.97,223.189,224.39,Yes.,22,,
52,0.97,224.39,225.258,Morales?,23,,
53,0.97,225.258,226.859,Yes.,24,,
54,0.97,226.859,227.86,Nelson?,25,,
55,0.97,227.86,229.862,Yes.,26,,
56,0.97,229.862,230.997,Pedersen?,27,,
57,0.97,230.997,231.664,Yes.,28,,
58,0.97,231.664,233.466,Sawant?,29,,
59,0.97,233.466,233.7,Yes.,30,,
60,0.97,233.7,235.468,Strauss?,31,,
61,0.97,235.468,235.702,Yes.,32,,
62,0.97,235.702,236.002,Herbold?,33,,
63,0.97,236.002,240.873,Yes.,34,,
64,0.97,240.873,242.375,And Council President Juarez?,35,,
65,0.97,242.375,243.209,Aye.,36,,
66,0.97,243.209,250.016,"We'll move to item number 4, which is preview of city council action, Council, and regional committees.",37,,
67,0.97,250.016,266.532,"So we will begin our next discussion on, of course, the preview of your city council actions and other matters in the order of discussion is established by the rotated roll call for city council meetings, which is designated Alphabetically by last name and with the Council President called last.",37,,
68,0.97,266.532,269.135,We'll do it a little bit different.,37,,
69,0.97,269.135,275.642,This week's roll call rotation will begin with Council member Lewis.,37,,
70,0.97,275.642,283.549,"So before we begin, we're going to move forward, kind of replicating what we used to do going around the table.",37,,
71,0.97,283.549,300.099,"When Council member Lewis finishes his report, he will asked his colleagues if they have any questions or concerns, and then he will hand off--he'll be ready to hand it off to his next colleague, which is Council member Morales, so on and so forth.",37,,
72,0.97,300.099,310.443,"On Friday, January 7 you received a memo with an overview on how we will do Council briefings on Mondays and Council meetings on Tuesday.",37,,
73,0.97,310.443,316.683,You got the order of the roll call right up until the end of February.,37,,
74,0.97,316.683,322.989,"And also in the memo we laid out the deadlines for proclamations letters, etc.",37,,
75,0.97,322.989,327.06,"So with that Council member Lewis, you will be starting us off.",37,,
76,0.97,327.06,331.864,I'm hoping what we have is an opportunity to be a little bit more conversational.,37,,
77,0.97,331.864,337.67,"Allow the person that's speaking to kind of control, you know, and ask people what their thoughts and concerns are.",37,,
78,0.97,337.67,341.007,"And then, you know, hand it off to their next colleague.",37,,
79,0.97,341.007,344.277,With that Council member Lewis?,37,,
80,0.97,344.277,346.045,Thank you so much Council member Juarez.,38,,
81,0.97,346.045,352.218,"It's good to be back here, having briefings, kicking off the first session of the new year.",38,,
82,0.97,352.218,356.522,Congratulations on seeing you in this new role presiding over the new Council briefing on a new day.,38,,
83,0.97,356.522,361.961,"It's great to be here, and I appreciate the opportunity to kick us off this afternoon.",38,,
84,0.97,361.961,371.404,"I don't have a whole lot of items, so I will put the brief back in briefing here and be able to hand it off to Council member Morales in short order.",38,,
85,0.97,371.404,373.773,First I wanted to flag.,38,,
86,0.97,373.773,378.211,Coming up soon on February 8 we are going to be going back to the ballot box.,38,,
87,0.97,378.211,393.059,"I know it feels like we're voting a lot these days, but we'll be voting in a special election in February for the upcoming school district levy renewals, proposition one, the operating levy and proposition two the capital levy.",38,,
88,0.97,393.059,413.479,"In the past the Seattle city council under the leadership of former Council members have passed a resolution with the Mayor Concurring, endorsing those levies, working with some of the advocates of the levy and in particular the former school board District director Peter Mayor.",38,,
89,0.97,413.479,434.167,My office has put together a draft resolution for the consideration of the Council that I'm hoping to bring forward on introduction referral for discussion among colleagues and what the Council President's office on potentially having the city weigh in as we have in the past supporting the renewal of those critical levies.,38,,
90,0.97,434.167,441.941,I mean the school district just flagging my intention to bring that forward and look forward to having a conversation.,38,,
91,0.97,441.941,455.655,"If that is something the Council will be willing to do, of course, I'm hoping that we will give them the critical importance of those levies to our partnership with the Seattle school district.",38,,
92,0.97,455.655,465.565,"Hopefully I will be distributing that resolution in a short order for plenty of consideration and process in advance of that February 8 deadline, which is coming up.",38,,
93,0.97,465.565,469.836,"Ballots will be going out soon, like it feels like they always are.",38,,
94,0.97,469.836,478.978,I do also want to recognize that I believe is it today or tomorrow that Washington state legislative session is going to be Gaveling in.,38,,
95,0.97,478.978,482.048,"Of course, there's a number of bills.",38,,
96,0.97,482.048,490.122,The one that's very relevant and we have been working on for a series of cycles and partnership with the Senator.,38,,
97,0.97,490.122,509.275,"The Senate bill 54-28, this is a bill that would exempt from review and emergency sheltering asset such as tiny House villages, but also other types of emergency shelters that might implicate needing review.",38,,
98,0.97,509.275,528.261,Just very briefly it would help the city of Seattle's homelessness response immensely if we were able to wave review in a Seemless and unambiguous way for a lot of these homeless shelters and assets where she been working to stand up.,38,,
99,0.97,528.261,535.434,Tiny House village should only take five to six weeks to build.,38,,
100,0.97,535.434,536.836,Last year it took 11 months.,38,,
101,0.97,536.836,539.605,A big reason for that is the Timeline.,38,,
102,0.97,539.605,544.543,There were other reasons we don't need to go into dealing with the logistics of getting those set up.,38,,
103,0.97,544.543,548.314,The review is a big part to our legislative delegation.,38,,
104,0.97,548.314,565.865,If there is a way you're looking to be a significant partner in waiving red tape and waiving regulatory hurdles that are free and of no cost to speed this up and speed up the homelessness response.,38,,
105,0.97,565.865,567.767,I know we got pretty close last session.,38,,
106,0.97,567.767,573.172,I'd like to get it over the finish line this session if possible.,38,,
107,0.97,573.172,577.576,It will be a big boost to respond with urgency.,38,,
108,0.97,577.576,603.302,I would remind folks the reason we were able to move in the fall and get everyone to move into some kind of shelter option out of the elements in advance I might add of a massive snow Tam is because we were able to stand up a large amount of tiny House villages.,38,,
109,0.97,603.302,608.674,We can do more of that and Senator bill 5428 will help us do that.,38,,
110,0.97,608.674,621.454,"So strongly, strongly urge our legislative partners to work with us on that and look forward to talking to the government relations and how we can move that ball forward.",38,,
111,0.97,621.454,623.122,Finally King County regional homeless authorities.,38,,
