index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.711,13.713,Are we rolling?,0,,
1,0.97,13.713,15.181,We are recording.,1,,
2,0.97,15.181,27.727,"Good morning, the March 23rd, 2021 meeting of the public safety and human services committee will come to order.",2,,
3,0.97,27.727,28.328,It is 9:32 A.M.,2,,
4,0.97,28.328,29.028,I'm Lisa Herbold.,2,,
5,0.97,29.028,39.072,Will the clerk please call the roll.,2,,
6,0.97,39.072,44.11,Councilmember Gonzalez.,3,,
7,0.97,44.11,44.377,Here.,4,,
8,0.97,44.377,47.814,Councilmember Lewis.,5,,
9,0.97,47.814,48.181,Here.,6,,
10,0.97,48.181,48.815,Councilmember Sawant.,7,,
11,0.97,48.815,49.082,Here.,8,,
12,0.97,49.082,49.249,,9,,
13,0.97,49.249,49.649,Five present.,10,,
14,0.97,49.649,57.957,We'll have the presentation from the office of emergency management on their 2021 report.,11,,
15,0.97,57.957,66.366,"And we'll discuss Council bill 119981 again, and consider a substitute version of that bill.",11,,
16,0.97,66.366,79.846,"Before we get started, I would like to recognize that yesterday the Council began its Monday morning meeting with recognition of our collective sadness and anger over last week's mass shooting in Atlanta.",11,,
17,0.97,79.846,84.35,"A hate crime, where eight souls lost their lives.",11,,
18,0.97,84.35,85.685,"Six of them, Asian-American women.",11,,
19,0.97,85.685,102.635,"Today we start our meeting with yet another recognition of our collective sadness and anger over yesterday's senseless mass shooting in boulder, Colorado, that left eight people dead, including police officer Eric Talley.",11,,
20,0.97,102.635,103.102,A father of seven.,11,,
21,0.97,103.102,115.482,"Gun violence is discouraged in the United States, particularly in the face of so many sensible policy options available to policymakers.",11,,
22,0.97,115.482,126.326,"These shootings are absolutely heartbreaking, and we grieve with the people of boulder.",11,,
23,0.97,126.326,130.597,We'll now approve our agenda with committee meeting.,11,,
24,0.97,130.597,139.139,"If there is no objection, today's agenda will be adopted.",11,,
25,0.97,139.139,141.341,"Hearing no objection, today's agenda is adopted.",11,,
26,0.97,141.341,145.845,"At this time, we will transition into public comment.",11,,
27,0.97,145.845,149.349,I'll moderate the public comment period in the following manner.,11,,
28,0.97,149.349,153.019,Each Speaker will begin one and a half minutes to speak.,11,,
29,0.97,153.019,155.655,"Normally, it would be two.",11,,
30,0.97,155.655,162.962,"But because we have 51 people signed up, we are limiting the individual speakers to one and a half minutes.",11,,
31,0.97,162.962,170.203,"I will call on each Speaker by name, and in the order in which you've registered on the Council's Website.",11,,
32,0.97,170.203,178.344,"If you haven't registered to speak, but would like to, you can sign up before the end of the public hearing, by going to the Council's Website.",11,,
33,0.97,178.344,179.712,We'll try to get you in.,11,,
34,0.97,179.712,183.249,The link for public comment is listed on today's agenda.,11,,
35,0.97,183.249,188.555,"Once I call a Speaker's name, you will hear a prompt.",11,,
36,0.97,188.555,195.061,"Once you've heard that prompt, you need to press Star 6.",11,,
37,0.97,195.061,198.765,Please begin speaking by stating your name and the item which you are addressing.,11,,
38,0.97,198.765,203.736,Speakers will hear a time when 10 seconds are left of the allotted time.,11,,
39,0.97,203.736,209.409,"Once the Speaker hears the Chime, we ask that you begin to wrap up your public comments.",11,,
40,0.97,209.409,220.219,"If speakers do not end their comments at the end of the allotted time provided, the Speaker's Mic will be muted after 10 seconds to allow us to hear from the next Speaker.",11,,
41,0.97,220.219,224.123,"Once you've completed your public comment, please Disconnect from the line.",11,,
42,0.97,224.123,236.269,"And if you plan to continue following the Ming, please do so, but do so via the Seattle channel or the listening options listed on the agenda.",11,,
43,0.97,236.269,240.039,"Again, there are 51 people signed up for comment this morning.",11,,
44,0.97,240.039,256.222,"In order to allow as as many speakers as possible, if there are no objections, I will amend to allow for 20 minutes of speaking public comment.",11,,
45,0.97,256.222,266.599,We've amended the agenda to allow for an additional 30 minutes of public comment in addition to the 20 that are listed on the agenda.,11,,
46,0.97,266.599,270.903,"So with that, we will move into public comment.",11,,
47,0.97,270.903,276.409,And the first Speaker who had signed up is Howard gale.,11,,
48,0.97,276.409,283.249,Howard gale will be followed by Kaley Condit.,11,,
49,0.97,283.249,283.616,Good morning.,11,,
50,0.97,283.616,284.183,Good morning.,12,,
51,0.97,284.183,289.555,"Howard gale, District 7, commenting on continuing police abuse and failed accountability.",12,,
52,0.97,289.555,296.596,The pandemic has afforded me the opportunity to virtually sit in on the meetings of police community Oversite boards in other cities.,12,,
53,0.97,296.596,319.986,"In Nashville I have attended meetings which are notable in that both the main board meetings as well as work meetings are all streamed live, and preserved for later viewing, in complete Counterdistinction to our police meeting which preserves very few meetings Online and intentionally blocks public access to work group meetings.",12,,
54,0.97,319.986,327.86,"Nashville, San Diego, long Beach, California, Newark, Portland, Oregon, Columbus, salt Lake City, Atlanta, Honolulu, Philadelphia, Pittsburgh.",12,,
55,0.97,327.86,337.57,"These are 14 of the many cities that have recently established robust police accountability, built on the foundation of 100% civilian investigation, policy development, and discipline.",12,,
56,0.97,337.57,347.08,"Almost all of these systems have come about in the last few months via citizen initiative, because politicians in these places found it far easier.",12,,
57,0.97,347.08,361.461,"As we approach the one year mark post George Floyd, it is Aabundantly apparent that the Council will not deliver on its 50% or any level of Defunding or it's promises to limit the abuse of us.",12,,
58,0.97,361.461,384.65,"Given the reality with the complete lack of police accountability will guarantee more death and abuse at the hands of SPD in the coming month, does Seattle at least not deserve full oversight of police Oversite, moving beyond police --",12,,
59,0.97,384.65,388.02,"Thank you, Howard.",13,,
60,0.97,388.02,394.56,"Our next Speaker is Kaley Condit, followed by Mayor Cana.",13,,
61,0.97,394.56,397.964,My name is Kaley Condit.,14,,
62,0.97,397.964,412.812,"I'm calling because I want to encourage city Council to pass the original version of Cb119981, to reduce the 2021 police budget by the full $5.4 million that was Overspent in 2020 by the police Department.",14,,
63,0.97,412.812,417.216,I believe these funds should be allocated to Participatory budgeting.,14,,
64,0.97,417.216,422.688,"Last year, city council made a commitment to shift resources to community solutions.",14,,
65,0.97,422.688,432.265,"Part of this commitment was resolution 31962, which said city council would not grant SPD any more funding to cover excess overtime.",14,,
66,0.97,432.265,438.171,"Spd defied this by overspending the overtime, and asking city council for more money, which city council granted.",14,,
67,0.97,438.171,445.511,I believe city council needs to honor its commitment to hold SPD accountable.,14,,
68,0.97,445.511,451.617,This means transferring the funds to Participatory budgeting.,14,,
69,0.97,451.617,454.487,We need police budget accountability now.,14,,
70,0.97,454.487,462.261,Anything less than 5.4 going toward Participatory budgeting would betray that commitment.,14,,
71,0.97,462.261,462.562,Thank you.,14,,
72,0.97,462.562,463.129,Thank you.,15,,
73,0.97,463.129,469.368,Samir Ana will be followed by Peter Condit.,15,,
74,0.97,469.368,471.604,"Hi, my name is Samir tan.",16,,
75,0.97,471.604,474.74,"I'm also an employee of Amazon, thank you for the time.",16,,
76,0.97,474.74,487.62,"I'm also calling to ask city Council to pass the original version of 11981, and reduce the is SPD budget by $5.4 million that it Overspent in 2020.",16,,
77,0.97,487.62,492.992,"Personally, it's very disappointing that we're even talking about going back on this commitment.",16,,
78,0.97,492.992,501.467,"Nothing has changed since the ACLU, internal auditors have indicated SPD overspending, significant gaps in controls and fraud.",16,,
79,0.97,501.467,522.188,It does not even come close to the frustration that we're going back on part of the commitment we made to on the ground organizations and committees.,16,,
80,0.97,522.188,526.792,Reiterated the need for funding.,16,,
81,0.97,526.792,533.733,City Council needs to hold SPD accountable and transfer these funds to Participatory budgeting.,16,,
82,0.97,533.733,535.001,Anything else would betray that commitment.,16,,
83,0.97,535.001,538.237,It would also betray the true needs of our community.,16,,
84,0.97,538.237,541.741,"Please, I'm something the city Council to show leadership here.",16,,
85,0.97,541.741,544.844,"This is our chance, and help build back trust from our community.",16,,
86,0.97,544.844,546.712,Thank you.,16,,
87,0.97,546.712,547.547,Thank you.,17,,
88,0.97,547.547,551.951,Peter Condit will be followed by Walker Thomas.,17,,
89,0.97,551.951,552.184,Peter.,17,,
90,0.97,552.184,555.321,"Hello, my name is Peter Condit.",18,,
91,0.97,555.321,569.869,"I use he him pro nouns and I'm a small farmer abolitionist in district 4. speaking the truth matters, expressing intent matters.",18,,
92,0.97,569.869,581.08,"If you intend to hold SPD accountable to its overtime budget, which you expressed in 31962, you must then hold SPD accountable to its overtime budget.",18,,
93,0.97,581.08,584.784,Today is the day that you must provide budget accountability.,18,,
94,0.97,584.784,592.925,"If SPD does not respect the budget you set for them, how will you expect them to respect any of the other asks you have made of them?",18,,
95,0.97,592.925,598.331,There is no police accountability without budget accountability.,18,,
96,0.97,598.331,608.174,"Pass the original version of Sb119981, and reduce the Seattle police Department's 2021 budget by the full $5.4 million that it Overspent in 2020.",18,,
97,0.97,608.174,621.754,"Send those funds to Participatory budgeting, where it can be used by populations most likely to be harmed by police violence.",18,,
98,0.97,621.754,640.473,"The full time participation of such individuals on the PB steering committee will provide success as a true alternative to policing, and as an effective structure for providing public safety that serves everyone.",18,,
99,0.97,640.473,640.773,Defund SPD.,18,,
100,0.97,640.773,643.142,"There's no police accountability, without budget accountability.",18,,
101,0.97,643.142,643.442,Thank you.,18,,
102,0.97,643.442,652.752,"Thank you, our next Speaker is Walker Thomas, followed by BJ last.",19,,
103,0.97,652.752,652.985,Walker.,19,,
104,0.97,652.985,659.558,"Hello, my name is Walker Thomas.",20,,
105,0.97,659.558,661.727,I live in a home shelter right now.,20,,
106,0.97,661.727,665.765,It is Rekick loss that we have to call you to make deeper promises.,20,,
107,0.97,665.765,669.735,Of course you need to Defund the police by $5.4 million.,20,,
108,0.97,669.735,673.773,They should not get money for overtime to abuse and hurt protesters.,20,,
109,0.97,673.773,676.075,"Again, I work at a homeless shelter.",20,,
110,0.97,676.075,677.576,We don't have money tore overtime.,20,,
111,0.97,677.576,682.615,"We are so stressed for money, and to work right now, we just don't have enough resources.",20,,
112,0.97,682.615,694.927,"And the reason we don't have enough resources, is Y'all won't take the resources from the most useless unit in our city, that is the SPD.",20,,
113,0.97,694.927,699.165,They can't just do whatever they wasn't.,20,,
114,0.97,699.165,705.171,"They can't just take overtime, and repay it forever.",20,,
115,0.97,705.171,707.44,That is a completely ridiculous system.,20,,
116,0.97,707.44,715.347,"All of you made various promises last summer, when it was popular to do so.",20,,
117,0.97,715.347,717.817,And you start by taking $5.4 million out.,20,,
118,0.97,717.817,721.32,And you put that money into Participatory budgets.,20,,
119,0.97,721.32,723.322,Budgeting so the community can actually spend it.,20,,
120,0.97,723.322,726.058,"Again, we need this money for real thing.",20,,
121,0.97,726.058,728.327,We need it for homeless people.,20,,
122,0.97,728.327,731.23,We need it for our schools.,20,,
123,0.97,731.23,733.432,The SPD does not need it.,20,,
124,0.97,733.432,735.101,"Get serious, Defund them.",20,,
125,0.97,735.101,735.835,Thank you.,21,,
126,0.97,735.835,744.844,Our next Speaker is BJ last followed by Laura Lowe Burnstein.,21,,
127,0.97,744.844,749.749,"Hello my name is BJ last, I'm a Ballard resident, and a business owner.",22,,
128,0.97,749.749,758.057,I'm calling on counselor to pass the original Spd11981.,22,,
129,0.97,758.057,762.461,These funds inside to go to Participatory budgeting.,22,,
130,0.97,762.461,771.57,Lowering SPD's 2021 budget by a smaller amount be would be a failure to hold SPD accountability.,22,,
131,0.97,771.57,774.106,This actually increases SPD's spending authority.,22,,
132,0.97,774.106,777.176,Section 2 removes less than $3 million from SPD.,22,,
133,0.97,777.176,791.056,"Section 3 immediately gives some of that money back to SPD, and section 5 Affectful grants SPD $5 million spending authority that it did not previously have.",22,,
134,0.97,791.056,798.063,I can see why Councilmember Herbold kept the bill from the public until last night.,22,,
135,0.97,798.063,803.402,Why will SPD ever come into compliance with the consent decree?,22,,
136,0.97,803.402,814.446,"If city council refuses to hold them accountable for Spendin, why should anyone ever expect city Council to hold SPD accountable for anything?",22,,
137,0.97,814.446,815.815,Pass the original without amendment.,22,,
138,0.97,815.815,820.82,"We don't have budget accountability, we don't have any accountability.",22,,
139,0.97,820.82,821.12,Thank you.,22,,
140,0.97,821.12,822.354,I yield my time.,22,,
141,0.97,822.354,823.322,Thank you.,23,,
142,0.97,823.322,833.766,The next Speaker is Laura Lowe Burnstein followed by Jacob sheer.,23,,
143,0.97,833.766,833.999,Laura.,23,,
144,0.97,833.999,834.466,"Hello, everybody.",24,,
145,0.97,834.466,834.9,I'm Laura Lowe.,24,,
146,0.97,834.9,838.07,I'm a Northwest Queen Anne resident and Renter.,24,,
147,0.97,838.07,840.539,I'm calling on behalf of the city's action Fund.,24,,
148,0.97,840.539,850.783,"We have members in our Cmmunity from every Council district, and many of them are not able to call in and so I represent their voices as well.",24,,
149,0.97,850.783,855.254,We asked counsel for a Yes vote on 11981.,24,,
150,0.97,855.254,860.96,We need true accountability for SPD spending.,24,,
151,0.97,860.96,869.068,"Without a Yes vote, Seattle city Council, you're stepping back from assurances made.",24,,
152,0.97,869.068,872.771,"Defunding SPD by 50% isn't a slogan, it's a policy proposal.",24,,
153,0.97,872.771,879.278,A Yes vote gets us the investment from public safety that is making people feel less safe.,24,,
154,0.97,879.278,883.782,We need investments including creating a path to real safety.,24,,
155,0.97,883.782,890.155,"A black designed, black led, real Participatory process is a step we support toward a better Seattle future.",24,,
156,0.97,890.155,897.663,Please take the promises that you've made to so many Seattle residents and turn them into action.,24,,
157,0.97,897.663,898.264,Please vote yes.,24,,
158,0.97,898.264,899.198,Thank you.,24,,
159,0.97,899.198,900.399,Thank you.,25,,
160,0.97,900.399,907.806,"Our next Speaker is Jacob sheer, followed by Erin Mannedle.",25,,
161,0.97,907.806,908.674,"Thank you, Hi.",26,,
162,0.97,908.674,910.576,My name is Jacob sheer.,26,,
163,0.97,910.576,912.544,I'm an Organizer for real change.,26,,
164,0.97,912.544,933.499,"I'm calling to stand with our committee and demand that all city council members pass the original version of counsel bill 119981, and make good by reducing the SPD budget by $5.4 million that SPD Overspent in 2020.",26,,
165,0.97,933.499,945.678,"Spd's overspending can be traced directly to their handling of the uprising for black lives this summer, where we saw a brutal Militarized police response to residents.",26,,
166,0.97,945.678,957.823,"Spd's overtime budget was used to target protesters with tear gas, pepper spray, and rubber bullets.",26,,
167,0.97,957.823,969.668,To reduce SP B's budget by anything less than the [inaudible] will send a direct message to SPD that there will continue to be no actions for their Rep Rehencable actions.,26,,
168,0.97,969.668,977.242,Each of you made a commitment to reduce the budget by no less than $5.4 million.,26,,
169,0.97,977.242,988.22,It will show thaw are committing to true public safety with the Disinvestment of policing our center.,26,,
170,0.97,988.22,990.422,Please pass the original Cb19981 without amendment.,26,,
171,0.97,990.422,994.026,"Thank you, I yield my tame.",26,,
172,0.97,994.026,1000.232,Our next Speaker is Erin followed by Jess walk.,27,,
173,0.97,1000.232,1000.466,Hi.,28,,
174,0.97,1000.466,1002.134,My name is Aaron Mandel.,28,,
175,0.97,1002.134,1012.444,"I'm a life long D6 resident, and I'm calling to ask city Council to pass the original version of Cb119981.",28,,
176,0.97,1012.444,1023.188,And reduce the Seattle police Department's 2021 budget by the full $5.4 million that Spb Overspent in 2020.,28,,
177,0.97,1023.188,1032.03,"As I've heard everyone else say, last year city council made a commitment to shift resources from SPD to community solutions.",28,,
178,0.97,1032.03,1042.674,"Part of this commitment was resolution 31962, which stated that they would not grant funding for overtime.",28,,
179,0.97,1042.674,1054.153,"City Council needs to hold SPD accountable by reducing SPD's 2021 budget by the full $5.4 million, and transferring the funds to Participatory budgeting.",28,,
180,0.97,1054.153,1057.089,We need police budget accountability now.,28,,
181,0.97,1057.089,1080.145,"Anything less than $5.4 million, or going anywhere else than Participatory budgeting would be try that commitment and the community, who heard the commitment of all of the city council members to do this and the $5.4 million as I recall was all for overtime, which was so much time of police Brutalizing protesters during the uprising this summer.",28,,
182,0.97,1080.145,1084.817,And this money needs to go to Participatory budgeting.,28,,
183,0.97,1084.817,1085.05,Thanks.,28,,
184,0.97,1085.05,1087.619,Thank you.,29,,
185,0.97,1087.619,1096.728,"Our next Speaker is Jess Wallock, followed by Deandre Doakes.",29,,
186,0.97,1096.728,1106.405,Jess.,29,,
187,0.97,1106.405,1109.041,Do we have Jess with us?,29,,
188,0.97,1109.041,1112.311,Remember to press Star 6.,30,,
189,0.97,1112.311,1114.58,"Thank you, Alex.",31,,
190,0.97,1114.58,1114.847,Hello?,32,,
191,0.97,1114.847,1116.048,"There we go, thank you.",33,,
192,0.97,1116.048,1120.252,"Thanks for your patience, and good morning, council.",34,,
193,0.97,1120.252,1126.625,My name is Jess Wallack.,34,,
194,0.97,1126.625,1128.827,We build grassroots for justice in Seattle's green new deal.,34,,
195,0.97,1128.827,1139.905,"We know a healthy climate starts with taking care of people now, which includes Devesting from Harms like pollution and military policing.",34,,
196,0.97,1139.905,1153.318,"That's why we supported counsel's commitment this fall to not granting excess overtime, and instead shift to community led public solutions.",34,,
197,0.97,1153.318,1161.76,"That's why I'm calling today, to urge you to pass Council bill 11981 without comment.",34,,
198,0.97,1161.76,1167.466,S PD should be held accountable to its budget.,34,,
199,0.97,1167.466,1173.605,So continuing to facilitate gross overtime budget is just fiscally irresponsible.,34,,
200,0.97,1173.605,1182.181,"After police brutalized protesters last year, including folks I love, holding them accountable for this overtime spending that pays for this is the bare minimum.",34,,
201,0.97,1182.181,1190.389,Taking $5.4 million out of SPD's 2021 budget shows Council is serious about police budget accountability.,34,,
202,0.97,1190.389,1204.303,"And shifting this money stored Participatory budgeting, shows that Council is serious about shifting.",34,,
203,0.97,1204.303,1213.712,"Thank you, the next Speaker is Deandre Doke, followed by Yanna Butler.",35,,
204,0.97,1213.712,1214.813,Thank you.,36,,
205,0.97,1214.813,1217.983,"Deandre Dokes, District 6.",36,,
206,0.97,1217.983,1218.617,You're doing this backwards.,36,,
