index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.77,8.942,The July meeting will come to order.,0,,
1,0.97,8.942,17.317,I'm Alex Pedersen chair of the select Committee on Seattle transportation benefit district funding.,0,,
2,0.97,17.317,21.021,Will the clerk call roll.,0,,
3,0.97,21.021,22.689,Councilmember Juarez.,1,,
4,0.97,22.689,24.09,Here.,2,,
5,0.97,24.09,29.529,Councilmember Lewis.,3,,
6,0.97,29.529,35.668,Could be Morales.,3,,
7,0.97,35.668,40.039,"Councilmember Mosqueda, Councilmember Sawant, Councilmember Strauss.",3,,
8,0.97,40.039,41.241,Present.,4,,
9,0.97,41.241,45.378,Councilmember Herbold.,5,,
10,0.97,45.378,48.248,Chair Pedersen.,6,,
11,0.97,48.248,49.115,4 present.,7,,
12,0.97,49.115,52.619,"5 present, thank you.",8,,
13,0.97,52.619,57.791,"Thank you, Councilmember Sawant.",9,,
14,0.97,57.791,62.695,"If there's no objection, the agenda will be adopted?",10,,
15,0.97,62.695,70.069,There is an amendment that would be locked on from Councilmember Morales.,10,,
16,0.97,70.069,73.873,"Hearing no objection, the agenda is adopted.",10,,
17,0.97,73.873,78.211,"At this time, we'll open the remote public comment period.",10,,
18,0.97,78.211,86.92,I ask that everyone please be patient as we learn to operate this system and navigate the growing pains.,10,,
19,0.97,86.92,96.596,We are looking for ways to add new features that allow for public participation in our Council meetings.,10,,
20,0.97,96.596,105.238,It remains the strong intent to have public comment regularly on the meeting Agendas.,10,,
21,0.97,105.238,114.647,Reserve the right to modify the periods if it's not allowing the meetings to be conducted effectively.,10,,
22,0.97,114.647,116.416,I'll moderate in the following manner.,10,,
23,0.97,116.416,120.153,We have 14 people signed up now.,10,,
24,0.97,120.153,128.461,The public comment meeting for this meeting will be 20 minutes and each Speaker will have 2 minutes to speak.,10,,
25,0.97,128.461,132.232,I will call on 2 speakers at a time.,10,,
26,0.97,132.232,136.369,Once I call a Speaker's name.,10,,
27,0.97,136.369,143.543,Staff will Unmute the appropriate microphone and the automatic prompt that you have been Unmuted will be the Speaker's Cue.,10,,
28,0.97,143.543,149.048,Please begin by stating your name and the item that you are addressing.,10,,
29,0.97,149.048,154.654,Public comment should relate to an item on today's agenda.,10,,
30,0.97,154.654,159.692,Speakers will hear a Chime when 10 seconds are left.,10,,
31,0.97,159.692,163.062,Wrap up your public comment once you hear the Chime.,10,,
32,0.97,163.062,170.303,"If speakers do not end at the allotted time, the Speaker's microphone will be muted.",10,,
33,0.97,170.303,181.581,Please Disconnect from the line and if you plan to continue following the line do so via the Seattle channel or the listening options on the agenda.,10,,
34,0.97,181.581,184.717,The public comment period is now open.,10,,
35,0.97,184.717,189.188,And we'll begin with the first 2 speakers on the list.,10,,
36,0.97,189.188,202.335,We'd like to start with Megan Murphy followed by Brittany.,10,,
37,0.97,202.335,210.543,"I'm disappointed because Mosqueda skipped over me on Wednesday, I was handing out flyers for the police.",11,,
38,0.97,210.543,216.816,"As far as transportation goes, and she knows, instead of her.",11,,
39,0.97,216.816,227.16,"And the police force I'm sorry, the transportation I heard that they were cutting 300,000 trips a day to 75,000.",11,,
40,0.97,227.16,239.172,And we need to be cleaning the infrastructure and increasing public transit given global warming and austerity towards people who use that.,11,,
41,0.97,239.172,253.386,"If I would have spoken on Wednesday I believe in increasing housing choice vouchers, permanent for people who need it and invest in the property because I feel like the housing.",11,,
42,0.97,253.386,258.758,Will you keep your comments to the transportation measure please.,12,,
