index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.041,11.177,Thank you.,0,,
1,0.97,11.177,15.648,Good afternoon.,0,,
2,0.97,15.648,18.151,Today is April 26th.,0,,
3,0.97,18.151,21.855,This is the meeting of the Seattle city council.,0,,
4,0.97,21.855,23.423,Well it please come to order?,0,,
5,0.97,23.423,28.328,It is now 2:00.,0,,
6,0.97,28.328,31.064,Councilmember Mosqueda?,1,,
7,0.97,31.064,33.133,Present.,2,,
8,0.97,33.133,34.567,Councilmember Nelson?,3,,
9,0.97,34.567,35.235,Present.,4,,
10,0.97,35.235,38.438,Councilmember Pedersen?,5,,
11,0.97,38.438,40.673,Present.,6,,
12,0.97,40.673,42.509,Councilmember Strauss?,7,,
13,0.97,42.509,47.68,Present.,8,,
14,0.97,47.68,48.248,Councilmember Herbold?,9,,
15,0.97,48.248,48.681,Here.,10,,
16,0.97,48.681,49.582,Councilmember Lewis?,11,,
17,0.97,49.582,50.683,Resin.,12,,
18,0.97,50.683,54.354,Councilmember Morales?,13,,
19,0.97,54.354,56.322,Here.,14,,
20,0.97,56.322,60.326,Council number war is?,15,,
21,0.97,60.326,65.498,Here.,16,,
22,0.97,65.498,69.235,Moving on to our agenda of the presentations.,17,,
23,0.97,69.235,71.471,We have Councilmember Herbold here.,17,,
24,0.97,71.471,79.779,A proclamation on the Seattle denim day.,17,,
25,0.97,79.779,87.387,After the Councilmember comments we will's a--suspend the rules.,17,,
26,0.97,87.387,88.621,"Councilmember Herbold, the floor is yours.",17,,
27,0.97,88.621,90.156,Thank you so much.,18,,
28,0.97,90.156,102.769,"I'm very glad today to welcome members of the Seattle women's Commission to accept the proclamation declaring tomorrow, April 27th, to be denim day in Seattle.",18,,
29,0.97,102.769,108.908,This proclamation was signed by the members of the Council and by the Mayor.,18,,
30,0.97,108.908,112.345,Denim day was founded to call attention to the misconception about and sexual assault.,18,,
31,0.97,112.345,119.252,It is created after the Italian Supreme Court overturned a conviction.,18,,
32,0.97,119.252,140.039,Adjusted's--the judges decided that because the victim wore tight jeans it helped the--they all came to work wearing jeans in solidarity with the victim in that case.,18,,
33,0.97,140.039,149.849,Tomorrow I hope everyone will wear their genes in solidarity and take the opportunity to educate others that there is never an invitation to rape.,18,,
34,0.97,149.849,159.158,Today we are joined by Tonya of the Seattle women's Commission.,18,,
35,0.97,159.158,161.027,"Sarah Liu, the get engaged Commissioner.",18,,
36,0.97,161.027,168.635,"And Parker, a Commissioner with the Seattle women's Commission.",18,,
37,0.97,168.635,183.216,It is my honor to virtually present this proclamation declaring April 27th to be denim day here in Seattle.,18,,
38,0.97,184.017,184.417,Thank you.,18,,
39,0.97,184.417,185.518,Thank you Councilmember Herbold.,19,,
40,0.97,185.518,191.257,Would any of my colleagues like to speak to Councilmember Herbold's proclamation before I move to suspend the rules to allow our guests to speak?,19,,
41,0.97,191.257,195.595,I'm not seeing any.,19,,
42,0.97,195.595,200.366,If there are no objections the Council rules will be suspended to allow our guests to accept the proclamation and provide remarks.,19,,
43,0.97,200.366,200.633,Welcome.,19,,
44,0.97,200.633,201.167,The floor is yours.,19,,
45,0.97,201.167,204.404,I'm trying to see who else we have here.,19,,
46,0.97,204.404,205.371,Greetings.,20,,
47,0.97,205.371,207.64,There you are.,21,,
48,0.97,207.64,208.541,That's helpful.,21,,
49,0.97,208.541,210.543,Now we can hear you.,21,,
50,0.97,210.543,215.882,Yes.,22,,
51,0.97,215.882,231.297,Thank you so much . I'm honored on the behalf of the Seattle women's Commission to set this proclamation for denim day.,22,,
52,0.97,231.297,237.07,I have five years on the Seattle Commission.,22,,
53,0.97,237.07,241.107,I would like to introduce some of our newest commissioners.,22,,
54,0.97,241.107,247.58,"Sarah Liu, counsel for Herbold already mentioned this.",22,,
55,0.97,247.58,254.687,We want to have some time to share the floor because--do the things we do.,22,,
56,0.97,254.687,257.957,Share your remarks please.,22,,
57,0.97,257.957,260.226,Definitely.,23,,
58,0.97,260.226,263.396,Hello again.,23,,
59,0.97,263.396,269.302,Thank you for the introduction.,23,,
60,0.97,269.302,272.772,My name is Sarah Liu.,23,,
61,0.97,272.772,278.745,My pronouns are She/Her.,23,,
62,0.97,278.745,281.014,I am they get engaged Commissioner for the Seattle women's Commission.,23,,
63,0.97,281.014,284.517,I just want to say that I'm really proud of us as a city for adopting this proclamation.,23,,
64,0.97,284.517,294.227,I think it really speaks to the values that Seattle holds as a city and how we are standing in solidarity with survivors of sexual assault.,23,,
65,0.97,294.227,297.497,This is especially pertinent now during the pandemic.,23,,
66,0.97,297.497,310.343,I know we have all been affected by the pandemic but it has especially had an adverse effect on survivors of sexual assault and domestic violence.,23,,
67,0.97,310.343,312.178,We have seen a rise in cases.,23,,
68,0.97,312.178,329.462,"I would also say, speaking as someone from the younger generation, I believe if we do want to fully eradicate sexual assault it is crucial that there is a greater focus on sexual assault prevention.",23,,
69,0.97,329.462,336.836,And that we start educating people on how to do that at a young age and Instilling those values in them.,23,,
70,0.97,336.836,340.973,There's Deftly a lot of work to do on that front.,23,,
71,0.97,340.973,344.043,This proclamation would help with furthering that goal and spreading awareness.,23,,
72,0.97,344.043,347.113,I will definitely be wearing denim tomorrow.,23,,
73,0.97,347.113,360.593,On top of that I would encourage people to also explain why you are wearing denim to educate people and support survivors and challenge misconceptions around sexual assault.,23,,
74,0.97,360.593,376.776,Just send a message that no matter what a person wears it's never a sign of consent and it's never an excuse to . Thank you again for adopting this problem nation--proclamation.,23,,
