index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,677.009,737.269,"Represents a net change . This proposed budget actually adds six FTE to the Department, and s 3.5 FTE, which are sunset positions, or 2.5 of which are G are Sunsetting, and one is being being advocated as it's no Longr needed . and is an offset for Onf the other ads . of the ads for SPD specifically, we're going Te to exclude the any OPA ads for this presentation here . We do have an ad for a mental health L health professional that the chief Referenced in his opening, a program manager for the relational police seen, for the badge program . a public disclose position, and then two incoming positions, which are transferring from another Department . The other appropriation here is for the school safety traffic and pedestrian improvement Fund, Whh Fund, which pays for automated--a portion of our automated traffic enforcement program.",0,,
1,0.97,737.269,752.952,"Next slide . all right . First Upe up, these two change requests are Foundational to our proposed proposed budget . They reduce our our general fund budget by $28.N $28.4 million from our baseline.",0,,
2,0.97,752.952,775.841,"Baseline level . The first item satisfies our 3% cut target to address the city's projected revenue shortfall . The second item here reduces our budget, specifically vacant sworn positions, to offset the cost of of number of ads that we're Goig to discuss further in the Prese.",0,,
3,0.97,775.841,787.653,"Next slide, please . looks like there's a question.",0,,
4,0.97,787.653,790.723,"Yeah, thank you . Let's go ahead and have Councilmember --",1,,
5,0.97,790.723,805.538,"Just Superquick, a baseline R me . that last, last point on the the previous slide about the vacant positions, is, is that---- are those the positions that are Colloquially referred to as ghost positions?",2,,
6,0.97,805.538,808.774,"Ghost, as in, positions Thate that are unfilled?",3,,
7,0.97,808.774,822.421,"That are, that are unfilled, unfunded but are used as a baseline for the next year's proposed budget, as I understand understand the conversation was last year.",4,,
8,0.97,822.421,878.744,"Yeah . So we have a number of authorized positions, our baseline is held on the number of authorized positions, and from there, we make incremental changes to account for the positions that are filled . Some departments use a vacancy rate to account for the differences N differences between their funded, budgeted positions, and authorized positions, but in this particular case, going into into the budget process, our baseline budget funded approximately 1317 sworn Positis sworn positions, and in 2022, we we were funded for 1200 through our initial budget process . We looked at how many positions were funded in the baseline budget, and then built the proposed budget around that.",5,,
9,0.97,878.744,892.291,"Thanks . director handy, something to add to that?",6,,
10,0.97,892.291,902.868,"Yeah, I'll add, I'll add, when Greg I, he'll do a more thorough breakdown of the staffing plan, but I just want to note that item number one here, this 11 million reduction for 80 FTE, is 80 FTE, is an ongoing reduction,, and has not happened in the.",7,,
11,0.97,902.868,932.765,"This is something Council has pointed to in the last two cycles of the budget, where there was not an ongoing cut Tan for any portion of the unfilled positions, and so item number one there is, is an ongoing cut that we, the position stays at SPD, but we would not expect that in 24, '25 . item number two two here is a, a Runtime use of salary savings to reinvest in the Department.",7,,
12,0.97,932.765,954.687,"All right . I saw Councilman D Councilman Herbold--Aic, and so this is the, the slide that folks should look at if They'Reg that there were 80 positions Tht were actually reduced from the overall budget positions, not filled, nobody's getting cut.",8,,
13,0.97,954.687,962.461,But these are positions that are are traditionally not Pilled.,8,,
14,0.97,962.461,988.42,"These are actually the positions positions that we are hoping to aggregate in previous Discussios that it would be a more accurate of the number of staff that currently are within the Department, and thus the amount of money needed Year-Over-Year.T Year-Over-Year . But item number two here still shows that there is 120 positions that are also not being filled, but that there that there is an assumption that that those Ftes will stay at the the Department . The funding staying at the Department, but being used for something else L, this proposed by annual budget.",8,,
15,0.97,988.42,991.557,Is that correct?,8,,
16,0.97,991.557,993.359,"Yes, that's almost precisely.",9,,
17,0.97,993.359,1015.314,"Precisely correct . The only piece that I will update is that, technically, all 200 pockets stay vacant at the, at the Department . It is the Fundig the funding for 80 of them that is cut in an ongoing way, and the savings from the other 120 is a one time reinvestment this year.",9,,
18,0.97,1015.314,1060.459,"Okay . So not technically aggregation . But actual transparency on reducing the Fug the funding, having that be seen as a budget item, being moved into the general fund for the PS of something else, at least as it relates to the 80. okay . and, and, and Greg, I know that this was information that we were Rey trying to lift up over the last two years to get greater transparency on where those dollars were going, and Whethers were being filled, and whether they were remaining at the Depat the Department, just, chronically unfilled . So thank you for your work to help continue to surface these issues issues for the city council . do you have something to add?",10,,
19,0.97,1060.459,1130.562,"Yeah . All I did was, was bugged the Department to, to be a little bit more pension with it, and director Sochi and director Tingley have, have really, really been very transparent in this, and, and it's really easy to follow and understand, and that is so fantastic . I, I would point out that on, on item number two, the the 16.9 million, a number of these items, as director so Shes through her, through her Presen, her presentation, a number of them are ongoing . So when we talk about this being one time, it is a one time use of salary savings . But SPD will need, in the future, to fund these, and, and likely will be using Salarys salary savings, you know, is using salary savings in '24, and and will probably have to you salary savings ongoing . as, as it hires officers in the future, future, if it were to actually t up to hire 120 officers, it would need to start adding money money to its budget, but that is is probably a long way off.",11,,
20,0.97,1131.23,1134.867,All right . please go ahead.,12,,
21,0.97,1134.867,1170.569,"All right . Thank you . So with with this, I might be reiterating some points that, that we've made here, but just so it's very clear for everyone, to determine available Vacancys vacancy savings for the budget changes we just discussed, we used our sworn staffing model to to estimate our future Staffings staffing models . In any given year, SPD's budget is made up of of 75% to 80% personnel costs, so it's hugely Impactful as we're developing our budget.",13,,
22,0.97,1170.569,1173.939,"Unlike other departments, we DOT apply a standard vacancy rate.",13,,
23,0.97,1173.939,1177.876,"Instead, we try to anticipate hires and separations and build the budget around that target.",13,,
24,0.97,1177.876,1181.947,2023 and 2024 were no different.,13,,
25,0.97,1181.947,1205.604,". This information is shared Wih central staff to, to validate and confirm our assumptions in the budget . The proposed budget for '23 is over 75% salary benefit costs . In 2023, as currently written, the proposed budget supports 1115 sworn FTE, which is down from 1200 in 2022.",13,,
26,0.97,1205.604,1226.592,". If you look at the blue and green chart lines in the table here, you will see how the funded and filled FTE aligned in in both 2023 and 2024. we've included the fully trained officer counts, and the officers officers in service count as well, just for comparison . next.",13,,
27,0.97,1226.592,1254.486,"Next slide . all right . This table shows our hiring assumptions for 2023 and 2024 alongside historic Actuals . in both years, we set a sworn hiring target of 120 new hires and 105 separations . again, this incredibly important for the budget, because we build our proposed budget around these assumptions using our staffing.",13,,
28,0.97,1254.486,1278.81,"Staffing model . We, historically, we used to base tt separation number on average separations . We no longer do that for two reasons . First, our our annual separations have Flud dramatically in recent years, and the average rate of Separats is no longer a reliable metric.",13,,
29,0.97,1278.81,1339.571,"Second, as noted on the Previou, we do not use a standard vacancy vacancy rate like other departments . When building our L budget . and if we overestimate R sworn separations, we're at risk risk of Underfunding our personnel budget if our, if our predictions are off at all . and, you can see in this chart that separations specifically have fluctuated widely in the last five to 10 years, and we are, from 2020 and 2021, obviously, seeing, we saw an incredible Dee incredible departure of our sworn personnel . If we achieve our hiring and separation targets in risk 23 and '24, we're looking to have around 1090 fully trained officers by the end of '24 . up from, up from 1050 in August of this year.",13,,
30,0.97,1339.571,1343.875,This is just an indication that it will take time for us to return to Pre-Pandemic staffing.,13,,
31,0.97,1343.875,1344.876,Staffing levels.,13,,
32,0.97,1344.876,1377.642,"A question, Socci . We know that a number of these officers who also left the force in 202, 2021, possibly even this year, is do it to not wanting to comply with the public health GE health guidance for getting a vaccine . can you remind us how Y of these officers have left because of their inability to get a vaccine, or inability to have a different position to accommodate them?",14,,
33,0.97,1377.642,1380.145,"Councilmember, I--Councilmember, I can answer Tha.",15,,
34,0.97,1380.145,1392.29,"That question . We've only had four administrative separations for vaccine mandate . so as much as others have said there's a whole lot more, there's actually four that have been Administraty separated.",15,,
35,0.97,1392.29,1412.511,"So when we hear numbers of, like, 80 to 90 people who refuse refuse to to get their vaccines in one year alone, and they've t been put on hold, or leave, Ands and that's affecting the number of officers that are available on actual patrol, that's not what this number is representing?",16,,
36,0.97,1412.511,1427.392,"So there are a number of Peoe that have requested religious and medical exemptions, and there--people also have left, or not left the Department, but they're on long-term leave for a for a variety of different REAS.",17,,
37,0.97,1427.392,1437.736,"Different reasons . You have people that are on maternity leave, you have people that are on military leave that have not provided any information on exemptions, because they could be deployed out to another Coun.",17,,
38,0.97,1437.736,1495.393,"So we can't give you the exact, because there's a variety of different reasons why somebody might not have already provided some level of an exemption . What what we do know is, is that we E we have a small number of Peoplt are in medical exemptions, probably under 10, and we have a a small number of people that are under religious exemptions, Y exemptions, probably in around, I believe, 25 that are requesting it . There is no access to a new type of shot that is different from--that doesn't use stem cells, I Beliee stem cells, and that's, some people have returned since that, that, since that access to that new shot . But those are the kind the kind of basic numbers that E looking at right now.",17,,
39,0.97,1495.393,1496.328,Okay . Let's continue.,18,,
40,0.97,1496.328,1498.63,"All right . next slide, pleas.",19,,
41,0.97,1498.63,1546.344,"Slide, please . all right . Now to to get to our ads . These items E items here represent investments for recruitment retention and officer wellness, Interrelational policing, also known as hour before the badge M badge program . again, these items are funded sworn vacancy s vacancy savings . As Greg noted, some of these are one-time investments, and others are ongoing investments . He is Corrt that we will, for the ongoing items, need to continue to use vacancy savings, or completely redirect that vacancy saving on an ongoing basis, or identify additional resources to fund this budget on an ongoing basis.",19,,
42,0.97,1546.344,1569.167,"Ongoing basis . There are two FTE FTE being added, two SPD for the items, as noted earlier . four possessions are also being Addeo the Department of human Resourcs in connection with the Recruitmt retention item . next slide.",19,,
43,0.97,1569.167,1573.305,These items represent operational investments for SPD.,19,,
44,0.97,1573.305,1610.709,"The proposed budget includes $N for planning efforts related toe region's first gun fire detection system with evidence collection capabilities such ass as cameras or automated license plate readers . to address increased gun violence . Second, we're requesting 1.3 million, a mix of ongoing and one-time funding for police equipment to address policy changes and cost increases for some of our standard issue equipment . This also includes a $500,000 Investt $500,000 investment, one-time investment upgrade for needed upgrades at our range facility.",19,,
45,0.97,1610.709,1617.115,"And Lastly, there's ongoing support from maintenance of our data ANALYTICS platform, totaling $3 million here . next.",19,,
46,0.97,1617.115,1622.554,Next slide.,19,,
