index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,34.934,36.669,This is the first meeting of the year.,0,,
1,0.97,36.669,38.304,The Seattle's public assets and homelessness committee.,0,,
2,0.97,38.304,39.139,It is to: 01 P.M.,0,,
3,0.97,39.139,41.007,"I am Andrew Lewis, chair of this Committee.",0,,
4,0.97,41.007,46.746,Can we please call the role?,0,,
5,0.97,46.746,51.284,Councilmember Herbal?,1,,
6,0.97,51.284,51.551,Here.,2,,
7,0.97,51.551,53.319,Councilmember war is?,3,,
8,0.97,53.319,56.156,Here.,4,,
9,0.97,56.156,59.459,Councilmember morale?,5,,
10,0.97,59.459,60.46,Year.,6,,
11,0.97,60.46,70.537,Councilmember Mosqueda?,7,,
12,0.97,70.537,72.105,"Chair, there are four Councilmembers present.",8,,
13,0.97,72.105,73.039,Thank you Mr. clerk.,9,,
14,0.97,73.039,80.68,I will add that Councilmember Mosqueda did contact my office this afternoon letting us know that she would be about an hour late due to a previously scheduled conflict.,9,,
15,0.97,80.68,86.586,I also want to announce for the viewing public that Councilman Peterson is attending the committee as a guest today.,9,,
16,0.97,86.586,90.924,He will be here as well.,9,,
17,0.97,90.924,92.759,Moving forward now to approval of the agenda.,9,,
18,0.97,92.759,95.628,If there is no objection the amendment will be adopted.,9,,
19,0.97,95.628,97.063,I'm hearing no objection.,9,,
20,0.97,97.063,107.34,The agenda is adopted.,9,,
21,0.97,107.34,112.045,I just have a quick overview here of what we are going to be doing today.,9,,
22,0.97,112.045,125.191,"We are going to be hearing a presentation, as was alluded to in the committee Meetingthis morning from the regional homelessness authority, the regional service apartment, and the office of the Mayor.",9,,
23,0.97,125.191,133.366,Regarding the current approach to the city's involvement in the regional homelessness response.,9,,
24,0.97,133.366,134.267,I'm looking forward to that.,9,,
25,0.97,134.267,140.006,I know the Council members have had the opportunity to engage through the regional homelessness historic board.,9,,
26,0.97,140.006,141.474,Which Councilmember Herbal and I serve on.,9,,
27,0.97,141.474,151.384,"As well as the regional policy Committee, with similar presentations from the regional homelessness authority.",9,,
28,0.97,151.384,151.885,In recent weeks.,9,,
29,0.97,151.885,154.12,"Last week, in particular.",9,,
30,0.97,154.12,182.115,"I will add that last week the governing committee unanimously, along with Councilmember Herbal and I, voted further regional authority and approved the 2022 budget so that the Ceo authority, mark Dunn's and the leadership team --",9,,
31,0.97,223.122,226.192,It will be great to have him at the virtual table in this Committee.,10,,
32,0.97,226.192,227.393,The second item on the agenda.,10,,
33,0.97,227.393,234.033,We are going to have our first hearing on some legislation being requested from the Seattle public library.,10,,
34,0.97,234.033,237.37,One of the public entities that falls under the jurisdiction of this Committee.,10,,
35,0.97,237.37,255.622,"That is going to be the first hearing on counsel bill 102258, which is going to be legislation accepting some sites in the Georgetown neighborhood at 933 South Doris street.",10,,
36,0.97,255.622,264.831,It will be good to hear from the Seattle public library in the presentation they prepared for the committee.,10,,
37,0.97,264.831,267.7,With that I will move on to the public comment.,10,,
38,0.97,267.7,272.271,I will moderate this public comment period.,10,,
39,0.97,272.271,279.879,The public comment period.,10,,
40,0.97,279.879,281.981,It's going to be for the next 20 minutes.,10,,
41,0.97,281.981,283.583,I believe we only have two folks signed up.,10,,
42,0.97,283.583,284.817,"Is that still the case, Mr.",10,,
43,0.97,284.817,285.051,Clerk?,10,,
44,0.97,285.051,288.821,There are two public comment registers.,11,,
45,0.97,288.821,289.122,Okay.,12,,
46,0.97,289.122,289.522,Great.,12,,
47,0.97,289.522,303.603,"For the two folks that are signed up, if you are familiar with our meetings procedure I will call on each of you by name and in the order of which you registered.",12,,
48,0.97,303.603,310.677,"For folks that are watching, if you would still like to register in the next few minutes to speak, you can do so at Seattle.Gov/Counsel.",12,,
49,0.97,310.677,312.445,The public comment a link is listed on today's agenda.,12,,
50,0.97,312.445,319.285,Once I call your name the staff will Unmute you and you will get a prompt if you have been Unmute it.,12,,
51,0.97,319.285,321.821,That will begin your Q to speak.,12,,
52,0.97,321.821,327.827,The speaking time is going to be for one minute today.,12,,
53,0.97,327.827,330.697,Please begin speaking by stating your name and the item you are addressing.,12,,
54,0.97,330.697,340.773,"As a reminder, public comment should relate to today's agenda.",12,,
55,0.97,340.773,357.69,Once you hear the Chime we ask that you wrap up your public comment.,12,,
56,0.97,357.69,361.16,Once you have completed your public comment we ask you to please Disconnect from the line.,12,,
57,0.97,361.16,366.065,"If you plan to continue following the meeting, please do so via the Seattle channel or the listing options listing on the to do.",12,,
58,0.97,366.065,367.467,The public comment period is now open.,12,,
59,0.97,367.467,369.335,We will begin with the first Speaker on the list.,12,,
60,0.97,369.335,370.77,"Please remember to press, Star six.",12,,
