index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,11.644,14.013,Good morning everyone.,0,,
1,0.97,14.013,23.156,"Today is November 23, 2020, and select budget committee of Seattle city Council, welcome to order.",0,,
2,0.97,23.156,26.793,My name is Teresa Mosqu EDA.,0,,
3,0.97,26.793,36.302,"Clerk, please call the role.",0,,
4,0.97,36.302,36.603,Morales.,1,,
5,0.97,36.603,36.87,Here.,2,,
6,0.97,36.87,43.076,Pedersen.,3,,
7,0.97,43.076,43.343,Sawant.,3,,
8,0.97,43.343,43.61,Here.,4,,
9,0.97,43.61,43.91,Strauss.,5,,
10,0.97,43.91,49.048,Present.,6,,
11,0.97,49.048,49.382,Gonzalez.,7,,
12,0.97,49.382,49.682,Here.,8,,
13,0.97,49.682,54.687,Herbold.,9,,
14,0.97,54.687,54.954,Here.,10,,
15,0.97,54.954,55.255,Juarez.,11,,
16,0.97,55.255,56.156,Here.,12,,
17,0.97,56.156,61.928,Lewis.,13,,
18,0.97,61.928,62.328,Present.,14,,
19,0.97,62.328,67.534,Chair Mosqueda.,15,,
20,0.97,67.534,70.17,Councilmember Pedersen.,15,,
21,0.97,70.17,71.571,Here.,16,,
22,0.97,71.571,72.338,Nine present.,17,,
23,0.97,72.338,75.742,"Thank you very much, Madam clerk.",18,,
24,0.97,75.742,76.81,Appreciate it.,18,,
25,0.97,76.81,77.877,Thank you all for learning.,18,,
26,0.97,77.877,91.825,"The last and final select budget committee meeting of 2021's deliberations, really appreciate all the hard work that's gone into the budget.",18,,
27,0.97,91.825,94.861,We will be wrapping up quarter three discussions.,18,,
28,0.97,94.861,102.402,This is a long day so I will keep my comments short to say we have testimony.,18,,
29,0.97,102.402,108.775,We will give folks 45 seconds to testify to try to get through everyone in our last day.,18,,
30,0.97,108.775,114.114,"Today's agenda is published, includes a few items that are technical in nature as we wrap up our discussion.",18,,
31,0.97,114.114,121.988,We will then roll into full council where Council President will lead us through the afternoon's final vote on the budget in front of us.,18,,
32,0.97,121.988,133.733,"As we have every day, we will start with public comment and get right into it, have central staff walk us through the items on the agenda and then we'll take the votes.",18,,
33,0.97,133.733,137.837,"If there is no objection, today's agenda will be adopted.",18,,
34,0.97,137.837,140.139,"Hearing no objection, today's agenda is adopted.",18,,
35,0.97,140.139,146.145,Let's go to public comment.,18,,
36,0.97,146.145,152.352,"The first three speakers, as a reminder, you will hear a Chime that says you have been Unmuted.",18,,
37,0.97,152.352,157.157,That is your prompt to individually push Star 6. that Unmutes your line as well.,18,,
38,0.97,157.157,169.068,"We will ask you to speak for 45 seconds, will give you a 10 second reminder so we can be sure you have the Chime to know to wrap up comments.",18,,
39,0.97,169.068,173.439,This is the heels of now over almost I believe 15 hours of public testimony.,18,,
40,0.97,173.439,177.577,So a lot of appreciation for everyone who has called a few times.,18,,
41,0.97,177.577,181.981,"For anybody calling for the first time, we really appreciate you dialing in.",18,,
42,0.97,181.981,190.29,"After you provide public testimony as a reminder, please hang up and then call in on any of the listen in options provided on today's agenda.",18,,
43,0.97,190.29,202.001,"If you don't get a chance to get through your comments, we are happy to receive those as we will be considering many items throughout upcoming months even though budget deliberations are coming to a close.",18,,
44,0.97,202.001,207.106,"With that, if we can get the Timer on the clock, we will do 45 seconds.",18,,
45,0.97,207.106,209.609,"Lucas, I see you up first.",18,,
46,0.97,209.609,218.685,"Before you start, let me confirm with our Tech team that we have all the Chimers in place.",18,,
47,0.97,218.685,220.286,One second.,19,,
48,0.97,220.286,222.922,No problem.,20,,
49,0.97,222.922,224.123,Thank you.,21,,
50,0.97,224.123,225.158,Excellent.,22,,
51,0.97,225.158,225.925,"Good morning, Lucas.",22,,
52,0.97,225.925,226.759,Thanks for waiting.,22,,
53,0.97,226.759,227.827,Thanks.,23,,
54,0.97,227.827,233.166,I am a volunteer with 350 Seattle and member of UAW.,23,,
55,0.97,233.166,241.407,I am calling to support the amendment putting $2 million earmarked to the hiring budget towards community safety solution.,23,,
56,0.97,241.407,245.078,The level is immense possibly more than any other time in our city's industry.,23,,
57,0.97,245.078,254.287,More police officers is the last thing we need and Council should make good on the commitment to scale up currently under funded community solutions for public safety.,23,,
58,0.97,254.287,261.261,As a resident and frequent Protester I have seen SPD's behavior up close and personal.,23,,
59,0.97,261.261,265.698,They don't deserve benefit of the doubt from the city council.,23,,
60,0.97,265.698,279.412,The amendment would send the message that the city is willing and able to fund solutions that can keep us safe ...,23,,
61,0.97,279.412,280.613,Please pass Councilmember Mosqueda's amendment today.,23,,
