index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.902,5.605,Today is January 24 and it is 2:00.,0,,
1,0.97,5.605,8.575,This meeting will come to order.,0,,
2,0.97,8.575,10.81,Will the clerk called the role.,0,,
3,0.97,10.81,13.513,Nelson.,1,,
4,0.97,13.513,16.349,Present.,1,,
5,0.97,16.349,16.616,Peterson.,1,,
6,0.97,16.616,18.351,Present.,1,,
7,0.97,18.351,19.219,Councilmember Sawant.,1,,
8,0.97,19.219,21.588,Present . Councilmember Strauss.,1,,
9,0.97,21.588,23.323,Here.,1,,
10,0.97,23.323,24.19,Councilmember Strauss.,1,,
11,0.97,24.19,29.996,Here.,1,,
12,0.97,29.996,34.033,Council President Juarez.,1,,
13,0.97,34.033,34.801,Here.,1,,
14,0.97,34.801,36.269,Seven present.,1,,
15,0.97,36.269,43.309,Will be loop back to Councilmember Morales?,1,,
16,0.97,43.309,43.543,Yes.,2,,
17,0.97,43.543,51.484,We will move to approval of the minutes.,3,,
18,0.97,51.484,58.825,Hearing no objection the minutes armed adopted.,3,,
19,0.97,58.825,59.692,I will go to the Presidents report.,3,,
20,0.97,59.692,63.963,On today's agenda we will hear from the office of Intergovernmental relations.,3,,
21,0.97,63.963,65.532,You should have received their memo this morning or last night.,3,,
22,0.97,65.532,71.838,Outlining the 10 topic areas that will be addressed during this year's legislative session.,3,,
23,0.97,71.838,77.977,We will welcome the team.,3,,
24,0.97,77.977,86.352,After that we will go to the individual Council member briefings and after that executive session.,3,,
25,0.97,86.352,98.264,"When you do your Council briefings, can you remember before you and your presentation over to make sure you ask your colleagues if they have any questions or concerns on your presentation that you just shared with us?",3,,
26,0.97,98.264,101.067,Before we get started I have a few updates.,3,,
27,0.97,101.067,105.572,Starting first with the Council work plan.,3,,
28,0.97,105.572,111.611,Our goal is to adopt the councils 2022 committee work program at council meeting on February 22.,3,,
29,0.97,111.611,124.09,Is all a draft of the work program for each committee is due by February 4. central staff needs to assemble the entire Workplan and have it reviewed by our law Department.,3,,
30,0.97,124.09,132.899,There needs to be time to circulate it and publish in advance.,3,,
31,0.97,132.899,133.566,Your timeliness is appreciated.,3,,
32,0.97,133.566,143.776,"If there are projects or policies you would like included in the work plan that fall outside of the committee you chair, please work with and check with the Councilmember who chairs the committee with the oversight of the topic.",3,,
33,0.97,143.776,170.069,I am emphasizing more of a team approach and more collaborative approach in our committees that we are more of a team . and giving each Councilmember an opportunity within that committee to have a balanced voice and some structure and collaborative process to moving forward issues.,3,,
34,0.97,170.069,171.104,Regarding the legislative branch Telework policy.,3,,
35,0.97,171.104,179.078,Our community is continuing to face Covid-19 and its Variants and it remains unclear what a safe return to office can be established . Therefore I'm extending until further notice the directive within the legislative Department to work remotely.,3,,
36,0.97,179.078,190.123,"The legislative Department will also continue to Telework, will continue the Telework Stipend to eligible employees.",3,,
37,0.97,190.123,191.257,Please continue to code your Timesheets accordingly.,3,,
38,0.97,191.257,197.43,A memo to this effect will be sent out today.,3,,
39,0.97,197.43,201.501,"Next, there are no proclamations or letters to sign today.",3,,
40,0.97,201.501,215.848,I believe Councilmember Strauss will have something for us next week . I would like to welcome our new director of the office of Intergovernmental relations.,3,,
41,0.97,215.848,221.854,She has kindly agreed to keep the overview brief.,3,,
42,0.97,221.854,222.855,But I want you to have time for questions.,3,,
43,0.97,222.855,224.657,I know we just got the memo with the 10 topic issues today.,3,,
44,0.97,224.657,237.503,We plan to have brief weekly updates from them every Monday from February 7 until March 7 as well as a follow-up report after the end of this year short of 60 day session on March 12.,3,,
45,0.97,237.503,241.507,Are you here?,3,,
46,0.97,241.507,243.409,No.,3,,
47,0.97,243.409,245.912,I will take it.,4,,
48,0.97,245.912,253.152,Thank you Council President Juarez and members of the Council.,4,,
