index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.006,11.077,"June 16th, 2021 will come to order.",0,,
1,0.97,11.144,14.147,The time is 9:30 A.M.,0,,
2,0.97,14.214,17.117,Will the clerk please call the role?,0,,
3,0.97,17.183,28.161,Council Council member Herbold.,1,,
4,0.97,29.629,32.365,Council member,2,,
5,0.97,32.432,34.2,Here.,3,,
6,0.97,34.267,37.404,Council member,4,,
7,0.97,37.47,38.605,Present.,5,,
8,0.97,38.671,43.81,Chair Pedersen.,6,,
9,0.97,43.877,44.21,Here.,7,,
10,0.97,44.277,45.211,Four are present.,8,,
11,0.97,45.278,45.879,Thank you.,9,,
12,0.97,45.945,51.184,If there is no today's agenda will be adopted for the committee.,10,,
13,0.97,51.251,54.487,"Hearing no objection, the agenda is adopted.",10,,
14,0.97,54.554,68.301,"A quick chairs report, an overview of today's agenda, we have three new appointments in the Advisory board, legislation to proceed with a loan for Seattle public utilities, the ship Canal project.",10,,
15,0.97,68.368,86.519,"We have two presentations, one from Seattle city light, the strategic plan, and then sound transit is here, we will talk about what they are calling the realignment process, and asking them questions.",10,,
16,0.97,86.586,86.92,I H.O.P.E.,10,,
17,0.97,86.986,107.04,"This is just the first of several visits with sound transit here and the transportation committee . at this time we will open the remote general comment period . I ask that everyone please be patient as we operate the Online sytem, we are looking to Fine-Tune the process of public participation.",10,,
18,0.97,107.106,127.026,"It remains a strong intent to have public--regularly, however we reserve the right to--the public comment period if it is being abused or unsuitable for allowing our meetings to run efficiently and run necessary business.",10,,
19,0.97,127.093,130.897,I will moderate the public comment period in the following manner.,10,,
20,0.97,130.964,137.27,Public comment is 20 minutes and it looks like we have got 13 or 14 speakers.,10,,
21,0.97,137.337,143.877,"We are going to have the time of a minute and a half, for the speakers.",10,,
22,0.97,143.943,154.521,"We have a full agenda today . So we will have, everybody will get a chance to speak, it will be for a minute and a half, 90 seconds.",10,,
23,0.97,154.587,158.958,"I will call on two speakers at a time, in the order of the Council Website.",10,,
24,0.97,159.025,173.306,If you have not yet registered to speak but would like to you can sign up by going to the Council Website at Seattle.Gov/ counsel.,10,,
25,0.97,173.373,192.191,"The stuff will Unmute the appropriate microphone and the prompt of ""You have been Unmute it"" is your turn to speak and then you must press Star 6 to begin speaking.",10,,
26,0.97,192.258,194.294,State your name and the item that you are addressing.,10,,
27,0.97,194.36,196.863,As a reminder public comments relate to an item on today's agenda.,10,,
28,0.97,196.93,202.902,Speaker was will hear a time when there is 10 seconds allotted and we ask you to wrap up your public comment.,10,,
29,0.97,202.969,211.978,"If the speakers do not end their comments at the end of the allotted time, the speakers microphone will be muted to allow us to call on the next Speaker.",10,,
30,0.97,212.045,216.649,Once you have completed your public comment we ask that you please Disconnect from the line.,10,,
31,0.97,216.716,223.189,And if you want to continue with the meeting please continue the other listening options on the agenda.,10,,
32,0.97,223.256,228.895,The Council President Gonzalez has joined the meeting.,10,,
33,0.97,228.962,233.8,The regular public comment period is open.,10,,
34,0.97,233.866,236.436,We will begin with the first Speaker on the list.,10,,
35,0.97,236.502,237.604,One moment.,10,,
36,0.97,240.94,244.477,Good morning.,11,,
