index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.982,16.783,"Good afternoon, colleagues.",0,,
1,0.97,16.783,18.451,November 16th 2020 meeting will come to order.,0,,
2,0.97,18.451,19.486,It is 2:00 P.M.,0,,
3,0.97,19.486,21.654,With the clerk please call the role?,0,,
4,0.97,21.654,24.791,Lewis?,1,,
5,0.97,24.791,25.091,Present.,2,,
6,0.97,25.091,29.696,Mosqueda?,3,,
7,0.97,29.696,30.063,Here.,4,,
8,0.97,30.063,33.466,Morales?,5,,
9,0.97,33.466,33.8,Here.,6,,
10,0.97,33.8,38.505,Sawant?,7,,
11,0.97,38.505,38.805,Here.,8,,
12,0.97,38.805,39.406,Strauss?,9,,
13,0.97,39.406,39.906,Here.,10,,
14,0.97,39.906,42.008,Herbold?,11,,
15,0.97,42.008,43.476,Here.,12,,
16,0.97,43.476,46.012,Thank you.,13,,
17,0.97,46.012,56.289,Councilmember Juarez will be excused from today's city council meeting.,13,,
18,0.97,56.289,66.533,"Hearing no objection, Councilmember Juarez is excused from today's meeting.",13,,
19,0.97,66.533,73.473,The governor and state legislator leadership extended the open public meetings act of act proclamation which limits In-Person meetings during this ongoing pandemic.,14,,
20,0.97,73.473,97.764,"The city council rules are silent allowing remote meetings . City Council and community meetings, the city council does anticipate continuing to meet electronically and remotely through at least December 7th, 2020. in order to allow for that to occur, we will need to make a formal suspension of our Council rules.",14,,
21,0.97,97.764,103.47,"If there is no objection, council rules will be objected to allow Councilmembers to participate electronically through at least December 7th, 2020.",14,,
22,0.97,103.47,116.349,"Hearing objection, the Council worlds are suspected.",14,,
23,0.97,119.652,128.561,"Presentations, I am not aware of any presentations so we will move to approval of the minutes.",15,,
24,0.97,128.561,129.863,"November 9th, 2020 have been reviewed.",15,,
25,0.97,129.863,131.865,"If there is no objection, the minutes will be signed.",15,,
26,0.97,131.865,135.702,"Hearing objection, the minutes are being signed.",15,,
27,0.97,135.702,137.904,With the clerk please affix my signature to the minutes?,15,,
28,0.97,137.904,139.139,Adoption of the referral calendar.,16,,
29,0.97,139.139,144.077,"If there is no objection, the referral calendar will be adopted.",16,,
30,0.97,144.077,147.213,"Hearing no objection, the introduction and referral calendar is adopted.",16,,
31,0.97,147.213,148.081,Approval of the agenda.,17,,
32,0.97,148.081,151.017,"If there is no objection, the agenda will be Abducted.",17,,
33,0.97,151.017,160.293,"Hearing no objection, the agenda is adopted.",17,,
34,0.97,160.293,160.894,Public comment.,18,,
35,0.97,160.894,166.733,"Colleagues, at this time we will open the public comment period.",18,,
36,0.97,166.733,176.242,"As a reminder, there is a separate public hearing on Council bill 119907, which is agenda item 1 on this afternoon's agenda.",18,,
37,0.97,176.242,183.216,That bill relates to the more bowl home extension.,18,,
38,0.97,183.216,186.252,I want to thank everybody for their patients.,18,,
39,0.97,186.252,227.36,"As a reminder, for the public hearing portion, we won't be calling on those individuals until we have arrived at agenda item 1. at that time the clerk will read the agenda item into the record and at that point we will hear brief remarks from a Councilmember Strauss . This afternoon at the top of the agenda we will just hear general public comment and those who signed up to call in on one 19907 will be called on when I open the public hearing in relation to agenda item 1.",18,,
40,0.97,227.36,230.897,It does remain our strong intent to continue to have remote public comment on our meeting Agendas.,18,,
41,0.97,230.897,242.008,"As a reminder, the city Council has the right to end any comment if we deem the system is being abused.",18,,
42,0.97,242.008,257.123,"I will moderate the public comment period in the following manner, this portion of the meeting is 20 minutes and each Speaker will be given two minutes to speak.",18,,
43,0.97,257.123,261.294,I will call in each Speaker by name and in the order in which they registered on the Council's Website.,18,,
44,0.97,261.294,268.501,"If you have registered, you can visit our Website.",18,,
45,0.97,268.501,270.003,The link is posted on today's agenda.,18,,
46,0.97,270.003,285.151,"Once I call a Speaker's name, staff will Un-Meet the appropriate microphone and an automatic prompt of ""You have been on muted"" will be the Speaker's Queue that it is their time to speak.",18,,
47,0.97,285.151,289.455,Press Star six to begin speaking.,18,,
48,0.97,289.455,300.433,"Again, speakers that have signed up to speak today, wait for that prompt and then press Star six and then we will be able to hear you.",18,,
49,0.97,300.433,305.571,Please begin speaking by stating her name and the item you are addressing.,18,,
50,0.97,305.571,309.409,"As a reminder, public comment should relate to an item in today's agenda or the Council's 2020 work program.",18,,
51,0.97,309.409,316.049,Speakers will hear a Chime at about 10 seconds . that means you have 10 seconds to wrap up your public comment.,18,,
52,0.97,316.049,327.593,"If you don't wrap up your public comment in that period of time, your Speaker will be muted to allow us to call on the next Speaker.",18,,
53,0.97,327.593,334.167,"Once you have completed your public comment, we ask that you please Disconnect from the line and if you plan on continuing to follow this meeting please do so via the Seattle Channel.",18,,
54,0.97,334.167,336.769,I will now go ahead and open up the public comment period.,18,,
55,0.97,336.769,338.604,We will begin with the first Speaker on the list.,18,,
56,0.97,338.604,355.488,"Again, press Star six after you hear the prompt of you have been on muted . The first Speaker is Melissa Purcell followed by--give me just a minute.",18,,
57,0.97,355.488,356.889,Melissa Purcell followed by Barbara Lee.,18,,
58,0.97,356.889,360.426,"Hello, my name is Melissa Purcell.",19,,
59,0.97,360.426,373.339,I am a business agent for local 48.,19,,
60,0.97,373.339,376.509,"Local 48 represents the crews that work on commercials, films, TV shows, corporate and web content.",19,,
61,0.97,376.509,378.044,I am here to address budget issues.,19,,
62,0.97,378.044,400.166,I want to thank Councilmember Strauss and Councilmember Lewis . I would like to ask the full Council to support retaining these positions and all staff positions as each one is integral to the success of the other and their work with the creative industry.,19,,
63,0.97,400.166,407.64,I would like to ask for support of the budget of the work Commission.,19,,
64,0.97,407.64,417.85,We will focus on economic recovery for our region and it is of the utmost importance that we are lined up for success in supporting our industries of work.,19,,
65,0.97,417.85,424.157,Additionally I would like to speak about our traffic coordination for our line of work as well as special events.,19,,
