index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.679,20.186,"Good morning, and welcome to the February 11, 2020, meeting of the public safety and human services committee.",0,,
1,0.97,20.186,41.808,"It's 9:36A.M., and I am Lisa Herbold, the chair of this Committee and Councilmember to District 1. I call the meeting to order, welcome to my Cocommittee members, council member Morales and Councilmember Lewis.",0,,
2,0.97,41.808,45.178,"I want to go over the agenda, quickly.",0,,
3,0.97,45.178,47.914,Today we will start with approval of agenda.,0,,
4,0.97,47.914,86.453,"Followed by public comment and the items of business include, appoint of two members of the community police Commission, hearing from the office of the inspector general about her 2020 work plan, and also a presentation from the human services Department that will include a focus on the Hsd, the human services director's report, and then a focus exclusively on the Nonhomelessness investments side of the human services side of the portfolio.",0,,
5,0.97,86.453,92.225,"If there are no objections, I would like to approve the agenda.",0,,
6,0.97,92.225,95.228,"Seeing no objections, the agenda is approved.",1,,
7,0.97,95.228,97.464,We will move into public comment.,1,,
8,0.97,97.464,102.068,"I have, let's see four folks signed up for public comment.",1,,
9,0.97,102.068,111.144,"Alex will be keeping time, and you will have 2 minutes, and he will let you know when you have a minute, 30 seconds, and when your time is up.",1,,
10,0.97,111.144,118.117,"If you could come to the Mic when you hear your name called, we will get started.",1,,
11,0.97,118.117,121.221,We will start with Ruby Holland followed by Howard Gail.,1,,
12,0.97,132.232,133.867,"Sorry, one second.",2,,
13,0.97,133.867,135.902,The Mics are not on.,2,,
14,0.97,135.902,139.005,Let me make sure they are on we want to hear you.,2,,
15,0.97,139.005,147.38,"As the leader of this city and Seattle's drug cartel, the buck stops with you.",3,,
16,0.97,147.38,159.893,This is your--inner face and use of heroin that you have sanctioned and allowed is what attracts gang members and other Undesirables to 3RD and pine.,3,,
17,0.97,159.893,179.412,"Addicts--police themselves are shooting up in public, committing crimes against people and businesses in order to feed their habits, Defecating and Urinating everywhere, they are living like animals with your permission this is not compassion, it's cruel and inhumane.",3,,
18,0.97,179.412,201.501,"Many people have notified you of the safety and health concerns, and yet you have chosen to ignore their pleas, allowing the dangerous criminal behavior to put thousands of--workers shoppers, tourists, and risks at risk every day.",3,,
19,0.97,201.501,204.404,"Mayor Durkan, you have blood on your hands.",3,,
20,0.97,204.404,213.479,"As long as you allow this in downtown Seattle, you are a Coconspirator for whatever crimes are committed.",3,,
21,0.97,213.479,220.587,"The homeless problem may be difficult to deal with, but the problem of drug addiction in downtown Seattle is not.",3,,
22,0.97,220.587,223.489,It's not rocket science to clean the mess up.,3,,
23,0.97,223.489,226.993,Just enforce the law.,3,,
24,0.97,226.993,236.035,"We all know that you work--can have the drug problem cleaned up in no time, one call, that's all.",3,,
25,0.97,236.035,243.209,Compassion and accountability is what is needed for anyone addicted to heroin.,3,,
26,0.97,243.209,246.045,"Lastly, move them out!",3,,
27,0.97,246.045,264.297,If you can't--people of color to sell their homes and leave Seattle because of the land grant disguised as--hundreds of drug addicts and Undesirables that follow them from downtown Seattle is a piece of cake.,3,,
