index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.872,6.239,[music],0,,
1,0.97,11.044,12.278,Good afternoon.,1,,
2,0.97,12.278,22.188,"The September 21, 2020 meeting of the site city council will come to order at 2:05:00 P.M.",1,,
3,0.97,22.188,26.192,"Clerk, please call the roll.",1,,
4,0.97,26.192,29.896,Councilmember Lewis?,2,,
5,0.97,29.896,30.83,Present.,3,,
6,0.97,30.83,33.733,Councilmember Morales?,4,,
7,0.97,33.733,35.135,Here.,5,,
8,0.97,35.135,36.669,Councilmember Mosqueda?,6,,
9,0.97,36.669,37.437,Present.,7,,
10,0.97,37.437,39.372,Councilmember Pedersen.,8,,
11,0.97,39.372,42.208,Here.,9,,
12,0.97,42.208,43.843,Councilmember Sawant.,10,,
13,0.97,43.843,45.245,Here.,11,,
14,0.97,45.245,47.213,Councilmember Strauss.,12,,
15,0.97,47.213,49.215,Present.,13,,
16,0.97,49.215,49.783,Councilmember Herbold.,14,,
17,0.97,49.783,50.216,Here.,15,,
18,0.97,50.216,54.421,Councilmember Juarez.,16,,
19,0.97,54.421,58.258,Here.,17,,
20,0.97,58.258,59.359,Council President Gonzalez.,17,,
21,0.97,59.359,59.659,Here.,18,,
22,0.97,59.659,63.997,"Thank you, Madam clerk.",19,,
23,0.97,63.997,65.064,Presentations.,19,,
24,0.97,65.064,91.691,"Councilmember Herbold, you are recommending the presentation on Diaper need awareness week and then after you present your proclamation, I will need to suspend the rules to allow the guests to attend the Council, and if you could have a quick cause to address the guests, appreciate it.",19,,
25,0.97,91.691,93.893,You are on mute.,19,,
26,0.97,93.893,96.162,"Thank you, Council President Gonzalez.",20,,
27,0.97,96.162,117.65,"As of the chair on the oversight committee, I am super proud to present an annual proclamation signed by all nine Councilmembers with the Mayor Concurring declaring September 21 through September 27 to be Diaper need awareness week in the city of Seattle.",20,,
28,0.97,117.65,122.355,I thank my colleagues and the Mayor in the support of the effort.,20,,
29,0.97,122.355,129.229,"It's a lack of efficient supply of diapers to keep the baby clean, dry, and would healthy.",20,,
30,0.97,129.229,141.04,This proclamation is part of a national effort to bring attention to the health issue that affects one in three families in the state.,20,,
31,0.97,141.04,156.856,"Westside baby estimates that a healthy supply of diapers for a newborn costs approximately $75 to $100 a month, much too costly for many families making minimum wage.",20,,
32,0.97,156.856,167.333,A 2017 survey showed 23% of King County families found it difficult to afford diapers for children.,20,,
33,0.97,167.333,189.055,"Black families, in indigenous families and low income families find it difficult, and 42% of blacks, African- American families are experiencing need at 19% higher than the national average.",20,,
34,0.97,189.055,201.2,"Non-profit baby is the District I represent, District 1 that, meets the need for diapers amongst families across the whole city.",20,,
35,0.97,201.2,211.144,"Last year, Westside baby distributed 1.5 million diapers to families in the first six months of the year, 1.Typhoon million diapers.",20,,
36,0.97,211.144,217.617,Covid and the socio-economic effects of the pandemic have severely amplified the need.,20,,
37,0.97,217.617,221.12,"To meet the need, Westside baby is collecting diapers now.",20,,
38,0.97,221.12,258.224,"You can participate in one of Twoways, one Online through the wish list or Secondly by dropping off items at the West center--I'm sorry, yes, white Seattle--white center Hub at 100--1--let's see, 1002 14th Avenue Southwest or at the South Lake Union branch at 435 8 North on Monday from 10:00 A.M.",20,,
39,0.97,258.224,260.259,To 2:00 P.M.,20,,
40,0.97,260.259,263.129,Unopened boxes of diapers are requested.,20,,
