index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.575,12.278,Let's start roll.,0,,
1,0.97,12.278,13.646,Hold on.,1,,
2,0.97,13.646,14.28,We live yet?,1,,
3,0.97,14.28,20.787,I'm not sure we are live yet and that's why I asked to start the meeting.,1,,
4,0.97,20.787,25.458,I am still waiting for Seattle Channel.,2,,
5,0.97,25.458,27.06,We are live.,2,,
6,0.97,27.06,30.296,Go ahead.,2,,
7,0.97,30.296,31.965,I will go ahead.,3,,
8,0.97,31.965,38.004,This is Councilmember Lorena Gonzalez.,3,,
9,0.97,38.004,41.908,Good morning of March 23 of 2020 the cuts of briefing meeting that will come to order.,3,,
10,0.97,41.908,43.309,This is Council President Lorena Gonzalez.,3,,
11,0.97,43.309,44.611,With the clerk please call the roll.,3,,
12,0.97,44.611,47.514,"Councilmember Lisa Herbold, here.",4,,
13,0.97,47.514,50.817,"Councilmember Debora Juarez, here.",4,,
14,0.97,50.817,55.889,"Councilmember Andrew Lewis, here.",4,,
15,0.97,55.889,62.195,"Councilmember Tammy Morales, here.",4,,
16,0.97,62.195,79.512,"Councilmember Teresa Mosqueda, here . Councilmember Alex Pedersen, here . Councilmember Kshama Sawant . Councilmember Dan Strauss, present.",4,,
17,0.97,79.512,85.552,"Council President Lorena Gonzalez, here.",4,,
18,0.97,85.552,87.42,10.,4,,
19,0.97,87.42,99.966,It is 9:33 am and this is a regularly scheduled meeting of the Council at our Council briefing.,4,,
20,0.97,99.966,105.071,"Cancel members, the Council rules are silent on allowing electronic participation accounts of briefing meetings.",4,,
21,0.97,105.071,116.683,"In order for us to continue participating remotely, I'm going to move to suspend the Council rules through March 31 of 2020.",4,,
22,0.97,116.683,119.118,To allow this meeting to occur while participating through electronic meetings.,4,,
23,0.97,119.118,130.897,"If there is no objection, the Council will be suspended to allow electronic Dissipation and counsel briefing meetings through March 31 of 2020.",4,,
24,0.97,130.897,136.603,"Hearing no objection, the Council rules are suspended and counsel briefing meetings will be held with Council members participating electronically through March 31 of 2020.",4,,
25,0.97,136.603,136.903,All right.,4,,
26,0.97,136.97,140.473,Et's go ahead and dig into our agenda.,4,,
27,0.97,140.473,141.074,It's a short agenda.,4,,
28,0.97,141.074,142.876,We don't have any presentations.,4,,
29,0.97,142.876,156.289,But we do have reports from each of the Council members that are present.,4,,
30,0.97,156.289,163.396,We will begin with agenda item one which is approval of the minutes and there are no minutes for approval today which means we will quickly move into agenda item 2. which is the President's report.,4,,
31,0.97,163.396,169.702,I will endeavor to keep this report short and concise.,4,,
32,0.97,169.702,176.976,"First, the legislative Department including the city council continues to perform a critical work via Telecommuting.",4,,
33,0.97,176.976,182.582,"As a Department and is individual Councilmember offices, we're learning to adapt in order to help flatten the curve and stop the spread of Coronavirus throughout her community.",4,,
34,0.97,182.582,201.467,"In the coming week as we up Roach March 31 of 2020, I will stay in close contact with each of you and the Mayor and public health officials and the state and regional partners as I evaluate whether the Telecommute directive will be extended beyond March 31 of 2020.",4,,
35,0.97,201.467,209.075,"And if so, for how long the extension might be.",4,,
36,0.97,209.075,220.486,"Given the ongoing data of new confirmed cases and having been published every day by the Department of health in Seattle Kinkaid County and public health, I do believe each of us should be prepared to operate in this fashion beyond March 31 of 2020.",4,,
37,0.97,220.486,226.693,"Again, more to come as information out of our public health partners and agencies are released.",4,,
38,0.97,226.693,250.516,"Second, since ending my maternity leave I have had an opportunity to reach out to be individually and for purposes of discussing with you at your work programs with the goal of identifying time sensitive legislation that is not related to emergency response.",4,,
39,0.97,250.516,260.493,I think I will be able to complete this information gathering process earlier this week and we will then be prepared to evaluate a potential modified community schedule that will facilitate the consideration of truly time sensitive legislation that requires committee hearings.,4,,
40,0.97,260.493,265.932,"In doing so, it's important for us to understand that it is likely that any reinstated community meetings will occur Telephonically.",4,,
41,0.97,265.932,274.507,And I also have to take into consideration the burden that Telephonic meetings place on a .'s and stuff and central stuff.,4,,
42,0.97,274.507,292.158,I appreciate that this will be tricky needle for us to thread but my hope is that we will be able to find an arrangement that will allow this city Council to continue to advance advance legislation that is not related to the Covid-19 emergency response and consistent with their.,4,,
43,0.97,292.158,295.295,Program and the need to continue meeting the Pre- existing and ongoing needs of our constituents.,4,,
44,0.97,295.295,297.03,That is my Presidents report.,4,,
45,0.97,297.03,307.373,More to come on these issues in the coming days.,4,,
46,0.97,307.373,312.679,"It's go ahead and move into agenda item 3 which is a preview of today's city council actions, counsel and regional committees.",4,,
47,0.97,312.679,330.363,"Of course colleagues in the city of Seattle declared the civil emergency on Covid-19 on March 3 of 2020 and on March 6 of 2020, along with the Council President we set a protocol that is in place until March 31 of 2020.",4,,
48,0.97,330.363,343.409,This protocol included a request that community members cancel meetings to preserve the health and safety of our work force and to Prioritize legislation related to the current emergency and other emergency business needs.,4,,
49,0.97,343.409,353.052,I will start the next discussion on today's city council actions with the Council and regional committees by calling on the Council members by district number.,4,,
50,0.97,353.052,355.955,Starting with district one and concluding with the two citywide positions of eight and nine.,4,,
51,0.97,355.955,363.496,"If you have a question or comment about the Council members report, I would ask that you make a note of that.",4,,
52,0.97,363.496,370.336,"When I call your name for your report, you can make your comment and can ask a question of a Councilmember about his or her report that that time.",4,,
53,0.97,370.336,388.654,That is just sort of Unfortunately not the prettiest seamless way to do it but I do think it will allow for us to not talk over each other in the Teleconference format.,4,,
54,0.97,388.654,398.431,"So if you could all just hold your questions and put them in the parking lot and then when it's your turn to provide a report, if you have questions of a previous Council members report, that would be the time to bring it up.",4,,
55,0.97,398.431,402.969,"And so, let's go through our reports.",4,,
56,0.97,402.969,406.672,Again I am going to go by district.,4,,
57,0.97,406.672,407.673,District one.,4,,
58,0.97,407.673,416.249,"Councilmember Lisa Herbold, the floor is yours.",4,,
59,0.97,416.249,420.42,Think so much and before I go into my report I would like to have a little bit more clarity.,5,,
60,0.97,420.42,429.896,"For those of us who have already given a report and we have questions about the Council members report to come after hours, can we raise those questions?",5,,
61,0.97,429.896,430.396,Yes.,6,,
62,0.97,430.396,446.646,I appreciate that there is a new numerical challenge of sequence here so I will go back and make sure that we have an opportunity for everybody to ask questions should they have any.,6,,
63,0.97,446.646,447.78,Perfect in thing so much.,7,,
64,0.97,447.78,459.525,I have no business from the public safety and human services Committee on today's Council agenda.,7,,
65,0.97,459.525,462.829,I just want to flag a couple of issues that have come up over the weekend.,7,,
66,0.97,462.829,488.754,I have heard from a lot of constituents about people Congregating on Beach drive as well as Winston park and not advising the social distancing recommendations of staying at least six feet apart from public health to prevent the spread of Covid-19.,7,,
67,0.97,488.754,497.73,I think folks noticed the they have issued an emergency Stay- At-Home order issued yesterday.,7,,
68,0.97,497.73,503.436,With a special recognition of the challenges related to their Marina beaches.,7,,
69,0.97,503.436,506.272,Because of the weather drawing people out.,7,,
70,0.97,506.272,521.687,And I know that district 1 is not the only area of the city challenged with people gathering in public spaces and not observing social distancing recommendations.,7,,
71,0.97,521.687,547.079,I am interested to know a little bit more of what the Council's authority is in the instance where we don't have either an executive order from the Mayor or from King county or the state regarding the closure of our parks.,7,,
72,0.97,547.079,548.514,And beaches.,7,,
73,0.97,548.514,554.22,And so I will be following up with staff to get some more information on that.,7,,
74,0.97,554.22,562.128,I have also reached out to King County.,7,,
75,0.97,562.128,583.082,But licking County Councilmember Mcdermitt as well as Dwight as the chief executive office to express my concern with the lack of clarity under the current state emergency orders . and I look forward to continuing the conversation.,7,,
76,0.97,583.082,618.784,"Basically, I think it's really about making sure we have a clarity of message and without understanding the we still have to allow for people to go to central places and to go out and get exercise . But I am concerned that what has been characterized as a plea for folks to stay home is not clear enough for the public and for our expectations for social distancing.",7,,
77,0.97,618.784,651.517,"Also I just want to add as well that I have been contacted by the Bia President as well as the West Seattle Bia about increased smash and grab crime in the district, since there are so few people out and about and they have raise that issue.",7,,
78,0.97,651.517,662.695,There is a rumor going around that they are going to end the enforcement control in all areas except for third and Pike.,7,,
79,0.97,662.695,674.24,I have been told that they have not been stop . But that they might be in the near future.,7,,
80,0.97,674.24,688.454,But the emphasis of control I think it is good to remember that the patrol is sort of a term of art and that it refers to the type of officers that are on patrol and specifically on overtime.,7,,
81,0.97,688.454,710.409,"So even if they decide to stop using overtime officers and instead they use officers on regular time, they can still look at doing what they call directed patrols in a neighborhood in the district that have these challenges.",7,,
82,0.97,710.409,716.882,So I am expecting to hear more of the chief on that in the near future.,7,,
83,0.97,716.882,727.693,"And then Lastly, I just want to flag a concern that I know the Councilmember Gonzalez has also been made aware of.",7,,
84,0.97,727.693,736.402,I really appreciate the expansion of state unemployment benefits to more people in need in our state.,7,,
85,0.97,736.402,752.017,Not only are people receiving false denials and I understand the state has come forward and has said that those false denials will be corrected.,7,,
86,0.97,752.017,757.923,But I'm really concerned about the huge number of people who are unable to access the system whatsoever.,7,,
87,0.97,757.923,776.442,They had some interactions with Oir over the weekend about my hopes that the state will quickly bring on more staff with the family lead claim as well as state employment insurance claims.,7,,
88,0.97,776.442,791.857,These funds and resources are there for the use of our workers and is it relates specifically to both courses of funds.,7,,
89,0.97,791.857,796.729,Along with the right to access them.,7,,
90,0.97,796.729,800.533,So we just want to flag that that is another big concern that I'm hearing from the public.,7,,
91,0.97,800.533,802.234,That's all I have to say and,7,,
92,0.97,802.234,808.674,Things for that report.,8,,
93,0.97,808.674,827.393,We will modify a little bit the direction here to make sure that we can expedite the briefing process and I will go ahead at the end of each Council members report to see if anyone on the phone has any questions or comment.,8,,
94,0.97,827.393,832.665,Does anyone have any comments or questions for the Councilmember?,8,,
95,0.97,832.665,835.301,Yes.,9,,
96,0.97,835.301,838.871,This is Councilmember Lisa Herbold.,9,,
97,0.97,838.871,842.508,You have the floor.,10,,
98,0.97,842.508,849.315,Thank you Council members a two for that part.,11,,
99,0.97,849.315,850.983,Lots of frustrations in the community for sure.,11,,
100,0.97,850.983,869.835,I have a question about whether the Seattle police Department has received any sort of directive or any particular Ind of training about how to engage with community members.,11,,
101,0.97,869.835,872.705,I know that we are not in a shelter and play situation yet.,11,,
102,0.97,872.705,910.276,"But should one arrive, there is a lot of concern in my community and particularly among folks who don't speak English . black and Brown communities who are worried that if there is not information provided in ways and in languages that they understand, how people are supposed to get information that they are to shelter in place.",11,,
103,0.97,910.276,914.747,And the potential risk of engaging with the law enforcement officer because they don't know that that information is out there.,11,,
