index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.607,10.477,[music],0,,
1,0.97,10.477,19.819,"Welcome everyone to the July 22, 2022 meeting of neighborhoods, education, civil rights, and culture will come to order.",1,,
2,0.97,19.819,22.722,"I am Tammy Morales, chair of the committee.",1,,
3,0.97,22.722,26.359,Will you please call the roll.,1,,
4,0.97,26.359,41.875,[roll being called .] four present.,2,,
5,0.97,41.875,42.542,Thank you.,3,,
6,0.97,42.542,49.983,If there's no objection today's agenda will be adopted.,3,,
7,0.97,49.983,51.618,Hearing no objection today's agenda will be adopted.,3,,
8,0.97,51.618,54.721,At this time we will open for public comment.,3,,
9,0.97,54.721,62.829,It is the strong intent of the Council do have public comment at regularly scheduled meetings.,3,,
10,0.97,62.829,66.166,We reserve the right to modify the comment period if we deem the system being abused.,3,,
11,0.97,66.166,70.136,I will modify the public comment period in the following manner.,3,,
12,0.97,70.136,77.41,We have up to 20 minutes and each Speaker will be given up to two minutes.,3,,
13,0.97,77.41,90.723,Will start with I believe one person Online and one person present . Let's go ahead and start in chambers here.,3,,
14,0.97,90.723,97.096,"Mr. Tsimerman, you have two minutes.",3,,
15,0.97,105.338,114.147,My name is Alex Tsimerman.,4,,
16,0.97,114.147,121.254,I want to speak about agenda number one because it is about human rights.,4,,
17,0.97,121.254,128.061,Honestly I have not seen human rights in the Chamber for many years and assumed he disappeared totally.,4,,
18,0.97,128.061,133.833,A woman of color and why? I am totally confused.,4,,
19,0.97,133.833,139.739,Is that human rights when somebody has a right and somebody don't have a right.,4,,
20,0.97,139.739,144.644,I see this every time and I come to see the Council chairman.,4,,
21,0.97,144.644,153.753,"Board examples, they never show my face probably because I have this great face and I am Jewish.",4,,
22,0.97,153.753,155.321,"No problem, no problem.",4,,
23,0.97,155.321,160.293,"It is out right Judaism and why, I don't understand it.",4,,
24,0.97,160.293,164.13,Right now I speak to everybody to listen to me.,4,,
25,0.97,164.13,177.844,It is like Estoppel principal and I had spoken for 3000 times and nothing has changed for the last 15 or 20 years.,4,,
26,0.97,177.844,182.882,"Can we do something and civil rights for everybody, yes we can.",4,,
27,0.97,182.882,201.834,"But before we are doing this, when we are doing it, it is Transitioning from this and they support people that are Democrat.",4,,
28,0.97,201.834,202.569,I'm not Democrat or Republican.,4,,
29,0.97,202.569,205.004,I am not independent.,4,,
30,0.97,205.004,211.678,I am a Jewish old man.,4,,
31,0.97,211.678,214.28,"Rights like everybody and why they never show my face, they are probably scared.",4,,
32,0.97,214.28,215.815,So I come every meeting.,4,,
33,0.97,215.815,225.058,"Asked them where issue, and stand up America and cleans this dirty Chamber from this cycle.",4,,
34,0.97,225.058,226.326,Thank you.,4,,
35,0.97,226.326,239.005,"We have one Online Commentor, David Haynes but I show him as not present.",5,,
36,0.97,239.005,240.94,"Okay, I think we are done with public comment.",5,,
37,0.97,240.94,244.243,In that case I will close the comment period.,5,,
38,0.97,244.243,254.954,"Before we move on to the policy discussion, if there's no objection I would like to invite two community advocates able to join us sort of Last- minute so they are not on the agenda.",5,,
39,0.97,254.954,266.266,But I would like to invite Kier and Yvette.,5,,
40,0.97,266.266,274.14,"Hearing no objection, Councilmember Strauss is here.",6,,
41,0.97,274.14,280.58,No objection at all but I wanted to let you know I was able to join just as the public comment began.,7,,
42,0.97,280.58,282.515,Thank you very much and I appreciate it.,8,,
43,0.97,282.515,299.232,Hearing no objection I would like to invite Kia and Yvette to join us and then we will begin.,8,,
44,0.97,299.232,301.668,Would you like to start and introduce yourself?,8,,
45,0.97,301.668,302.702,Good morning.,9,,
46,0.97,302.702,324.457,I am executive director of per choice Washington and we are the leading organization focus specifically on political and legislative advocacy to advance reproductive freedom in Washington state . We been organizing in communities for nearly 50 years to take down the barriers for abortion access and to prepare for the moment we find ourselves in today.,9,,
47,0.97,324.457,343.476,"Thank you Councilmember Morales and Herbold for your leadership on this critical issue where talking about today, and all of you in this committee supporting this work . We deeply appreciate your continued commitment to ensure that everyone has abortion access in Seattle that needs it.",9,,
48,0.97,343.476,350.316,We are grateful to live in a city and state that recognizes that abortion is health care.,9,,
49,0.97,350.316,353.753,The social economic impact of banning abortion are astronomical.,9,,
50,0.97,353.753,362.762,This important legislation affirms state law by Codifying protection for patients and health care facilities at the city level.,9,,
51,0.97,362.762,372.438,This with continued investment on abortion funding and local clinics to meet the unprecedented patient needs we are facing are crucial.,9,,
52,0.97,372.438,397.029,Even with lawmaker support and years of activism patients in Washington continue to face barriers to receiving quality care and this will only be exacerbated when we face a nearly four times increase in patients seeking care from Out- Of-State here in Washington . We also know that it has taken a great deal of work and time to ensure that data protects abortion today.,9,,
53,0.97,397.029,408.808,It is all of our responsibilities as individuals to continue to make it easier for everyone to get care and to speak openly and Unapologetically about the importance of abortion as health care.,9,,
54,0.97,408.808,426.993,"Even in a city and state police in abortion care patients face cost and transportation barriers, biases within the health care system, rampant and Digital Harassment, and continue stigma of seeking care.",9,,
55,0.97,426.993,440.106,"We must continue to work on ensuring quality care for everyone, and even now patients in hospitals across the state are dying died, denied critical care due to hospital policies.",9,,
56,0.97,440.106,447.547,That includes actively Miscarrying patients that come here seeking care from other states.,9,,
57,0.97,447.547,449.148,We are supposed to be the safety net.,9,,
58,0.97,449.148,464.197,Over the past decade under regulated health systems emerging in Washington leading to fewer and more expensive reproductive health care options and particularly in rural communities and King County as well.,9,,
59,0.97,464.197,472.305,"Today at nearly 50% of hospital beds set within facilities with restrictive policies, 26% increase from the last decade.",9,,
60,0.97,472.305,486.385,This has resulted in near death experiences for patience and consequences for medical providers working to provide the best standards of care.,9,,
61,0.97,486.385,493.993,We must continue to hold a hospitals to the high standards of care and ensure that mergers do not result in a loss of patient light or denial of care for those seeking services from out-of-state.,9,,
62,0.97,493.993,497.196,We also need to do more to ensure that patients receive accurate information.,9,,
63,0.97,497.196,512.044,Crisis pregnancy centers or clinics are intentionally set up to look like real clinics and many are located directly next to real reproductive health clinics and specifically targeting low income and communities of color and young people.,9,,
64,0.97,512.044,529.729,Because the Cpcs rarely are Curate and early signs of dangerous medical issues May and have been missed.,9,,
65,0.97,529.729,548.414,We are also seeing a rise in privacy concerns with the laws in other states actively seeking to Persecute people in Washington for a variety of care to patients from their States and unlike medical clinics the Cpcs are not required to keep your personal and medical information confidential.,9,,
66,0.97,548.414,558.324,The personal information gathered by Cpcs could be used as evidence in civil or criminal cases against people getting an abortion or that help them get abortions.,9,,
67,0.97,558.324,575.107,As a result we must continue to explore consumer protections to fight misleading and harmful practices at Cpcs . In this unprecedented moment we must continue to work together to unlock all financial and structural barriers that the patients are facing.,9,,
