index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.65,23.923000000000002,C1.,0,,
1,0.97,23.923000000000002,25.759,"Today is February 16, 2022.",1,,
2,0.97,25.759,30.764,"I'm Teresa Mosqueda, the committee will come to or.",1,,
3,0.97,30.764,42.342,Madam clerk please call the roll.,1,,
4,0.97,42.342,42.909,Council member Herbold?,2,,
5,0.97,42.909,43.109,Here.,2,,
6,0.97,43.109,47.08,Pedersen?,3,,
7,0.97,47.08,47.28,Here.,3,,
8,0.97,47.28,47.947,"Nelson, Lewis.",4,,
9,0.97,47.947,48.281,Present.,5,,
10,0.97,48.281,48.681,Madam chair?,6,,
11,0.97,48.681,49.015,Present.,7,,
12,0.97,49.015,52.919,"Madam chair, that is four present, one absolute sent.",8,,
13,0.97,52.919,57.023,"Thank you so much, we will go ahead and excuse Council member Nelson.",9,,
14,0.97,57.023,62.395,She let us know she might not be able to join us this morning and appreciate the heads up on that.,9,,
15,0.97,62.395,62.862,Okay colleagues.,10,,
16,0.97,62.862,67.801,We have a full agenda here with us today.,10,,
17,0.97,67.801,68.268,Thanks for joining.,10,,
18,0.97,68.268,82.048,"We have the appointment of Kristin little Sukys as member of the Advisory board, the appointment of Julie Dingily as director of the city budget office.",10,,
19,0.97,82.048,117.45,"Our third agenda item is a briefing and POM vote on the Seattle rescue plan number 4. I don't and finally looking at the Cannabis industry after Legalization of Cannabis and its impact on taxes and revenue, as well as worker safety and other equity related issues in this sector, especially as we think about how to right some wrongs during the war on drugs.",11,,
20,0.97,117.45,123.056,"If there is no objection, today's agenda will be adopted.",12,,
21,0.97,123.056,124.257,"Hearing no objection, today's agenda is adopted.",12,,
22,0.97,124.257,127.427,We have a few folks on the line here for public comment.,13,,
23,0.97,127.427,129.829,We are going to move right on into public comment.,13,,
24,0.97,129.829,135.568,"As we have done before, we want to make sure we get through everybody signed up for public Ken.",13,,
25,0.97,135.568,141.307,We'll give folks two minutes to speak and offer a chance to from void comments on our agenda are work plan.,13,,
26,0.97,141.307,146.179,You are going to hear an indication that you have been Unmuted when our name is called.,13,,
27,0.97,146.179,150.45,"That is your clue, speakers, to go ahead and hit Star 6 on your own phone.",13,,
28,0.97,150.45,154.687,Please make sure your own phone is not on mute itself as well.,13,,
29,0.97,154.687,160.026,"After you hit Star 6, please start with your name and you can go ahead and have the full two minutes.",13,,
30,0.97,160.026,162.729,At this point we are going to open up public Ken.,14,,
31,0.97,162.729,183.516,"I have two people listed on today's sign in sheet to provide public comment, and if the clerks could go ahead and tee up those folks who are in the Witting roll and our clock, it'll be great.",14,,
32,0.97,183.516,187.754,The first Speaker is Adan he Isy know your and the 2 John than Warren.,14,,
33,0.97,187.754,188.154,Good morning.,15,,
34,0.97,188.154,189.789,I see you are on mute.,15,,
35,0.97,189.789,199.599,If you can hit Star 6 to Unmute yourself that would be great.,15,,
36,0.97,199.599,200.166,Perfect.,16,,
37,0.97,200.166,200.9,Can you hear me.,16,,
38,0.97,200.9,201.501,Where yes.,17,,
39,0.97,201.501,206.372,Thank you so much.,18,,
40,0.97,206.372,209.275,"Good morning, Council members.",19,,
41,0.97,209.275,222.055,My name is aid Dan he is Exposito tow Jr. I am here to offer some comments regarding the upcoming community panel on Cannabis equity.,19,,
