index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,12.412,16.716,I see we have the recording light up.,0,,
1,0.97,16.716,27.293,"Understanding that we have a form, we will come to order.",0,,
2,0.97,27.293,30.73,"Good morning, the December 9, 2020 meeting of the Land-Use neighborhood committee meeting will come to order.",0,,
3,0.97,30.73,31.998,It is time for you to start.,0,,
4,0.97,31.998,33.666,Will the clerks call the role?,0,,
5,0.97,33.666,37.036,Andrew J. Lewis?,1,,
6,0.97,37.036,40.039,Present.,2,,
7,0.97,40.039,47.814,Dan Strauss?,3,,
8,0.97,47.814,48.882,Thank you.,4,,
9,0.97,48.882,61.628,The prison Council rules are not allowing you to have your cell phone on.,4,,
10,0.97,61.628,63.196,The Council rules will need to be suspended.,4,,
11,0.97,63.196,75.442,"If there is no objection, the Council rules will be suspended to allow the committee to meet remotely and participate electronically.",4,,
12,0.97,75.442,78.678,"Hearing no objection, the Council rules are suspended and the committee will continue the remote meeting.",4,,
13,0.97,78.678,89.355,"The Land-Use and neighborhood committee of the city of Seattle, begins this committee by acknowledging that we are in the traditional and ancestral lands of the first people of this meeting.",4,,
14,0.97,89.355,98.364,They are representative and a number of tribes and as urban natives.,4,,
15,0.97,98.364,103.47,We start with this acknowledgment to recognize the fact that we are guests on this land and should steward our land as such as guests.,4,,
16,0.97,103.47,105.305,Today we have three to items on the agenda.,4,,
17,0.97,105.305,111.778,We have a public hearing and briefing on 314461.,4,,
18,0.97,111.778,116.082,This is an application for an extension of contract Rezoning of 1106 34Th Avenue.,4,,
19,0.97,116.082,140.406,We have a briefing and discussion on Sdci quarterly progress report on tree protections and a briefing and discussion on extending interim Floodplain regulations that the Council adopted earlier in this year to comply with requirements.,4,,
20,0.97,140.406,142.242,The next regularly scheduled meeting falls during Council recess.,4,,
21,0.97,142.242,143.81,This will be the final meeting of 2020.,4,,
22,0.97,143.81,147.547,"Our next meeting of the Land- use and neighborhood Committee is on Wednesday, January 13 starting at 930 A.M.",4,,
23,0.97,147.547,155.455,"Before we begin, if there is no objection, the agenda will be adopted.",4,,
24,0.97,155.455,156.89,"Hearing no objection, the agenda is adopted.",4,,
25,0.97,156.89,161.761,"At this time, we will open remote public comment for items on today's agenda.",4,,
26,0.97,161.761,167.834,"Before we begin, I asked that everyone be patient as we learn to operate the new system in real time.",4,,
27,0.97,167.834,181.614,"It is our intent to have public comment regularly included, the city council reserves the right to eliminate these public comment periods if we deem the system is being abused or is unsuitable for allowing meetings to be conducted efficiently.",4,,
28,0.97,181.614,185.552,I will moderate the public comment period in the following manner.,4,,
29,0.97,185.552,195.361,Public comment is up to 10 minutes.,4,,
30,0.97,195.361,197.096,Each Speaker will be given two minutes to speak.,4,,
31,0.97,197.096,201.167,I will con each Speaker by name and in the order in which they register on the Council's Website.,4,,
32,0.97,201.167,208.908,"If you have not yet registered to speak, you can sign up by going to the Council's Website.",4,,
33,0.97,208.908,210.71,The link is also listed on today's agenda.,4,,
34,0.97,210.71,220.687,"Once I call a Speaker's name, a staff will Unmute the microphone and if you have been Unmute it, the Speaker will have a turn to speak.",4,,
35,0.97,220.687,223.289,"Please begin speaking by stating your name, the item you are addressing.",4,,
36,0.97,223.289,225.124,Speakers will hear a time when 10 seconds are left.,4,,
37,0.97,225.124,228.194,"When speakers hear the Chime, we ask that you begin to end your public comments.",4,,
38,0.97,228.194,240.873,"If speakers do not end, the speakers microphone will be muted after 10 seconds to allow them to call on the next Speaker.",4,,
39,0.97,240.873,242.609,"Once you have completed, please Disconnect from the line.",4,,
40,0.97,242.609,260.326,"If you continue following the meeting, please do so via the Seattle channel or the options on the agenda.",4,,
41,0.97,260.326,263.363,There is a separate public hearing on the agenda for item one it is 314461.,4,,
42,0.97,263.363,264.631,The contract Rezoning extension is this.,4,,
43,0.97,264.631,266.833,The public hearing is being conducted on the quasijudicial report.,4,,
44,0.97,266.833,269.435,Only establish parties on record are eligible to provide comment at the public hearing.,4,,
45,0.97,269.435,271.904,Parties of record will be notified of this opportunity by Email.,4,,
46,0.97,271.904,278.544,"If you are not a part of the record, the judicial rules prohibit you from providing comment at either the public hearing or public comment.",4,,
47,0.97,278.544,282.048,The public comment is now open.,4,,
48,0.97,282.048,284.05,We will begin with the first Speaker on the list.,4,,
49,0.97,284.05,291.858,I do see Max listed for the public comment.,4,,
50,0.97,291.858,293.793,"However, I see Max, you are listed as not present.",4,,
51,0.97,293.793,297.93,I also notice that you have signed up to speak about the item which is quasijudicial.,4,,
52,0.97,297.93,305.972,It is my understanding that you are not a party of record.,4,,
53,0.97,305.972,311.678,"It, can you confirm that Max is not present?",4,,
54,0.97,311.678,312.478,That is correct.,5,,
55,0.97,312.478,330.129,Can you confirm we have no further individual signed up for public comment?,6,,
56,0.97,330.129,330.596,Confirmed.,7,,
57,0.97,330.596,332.198,No other individuals are signed up for public comment.,7,,
58,0.97,332.198,332.999,Thank you.,8,,
59,0.97,332.999,336.102,"We have no speakers signed up nor remotely present, the public comment period is now closed.",8,,
60,0.97,336.102,338.137,We will move on to the next agenda item.,8,,
61,0.97,347.747,349.849,Our first item of business today is a public hearing.,8,,
62,0.97,349.849,351.517,We will have a discussion on clerk file 314461.,8,,
63,0.97,351.517,353.92,This is an application to extend the property at 1106 34Th Avenue.,8,,
64,0.97,353.92,365.431,Will you please read this item into the record?,8,,
65,0.97,366.399,371.337,"Clerk file 314461, application of Martin Leibowitz and 34Th and spring, LLC, for an extension of the contract Rezoning the property at 1106 34Th Avenue.",8,,
66,0.97,371.337,377.276,Original contract Rezoning application approved through clerk file 314 325 and ordinance 125-3433.,8,,
67,0.97,377.276,384.784,This item is being considered under the quasijudicial rules.,9,,
68,0.97,384.784,388.755,Council members should refrain from hearing arguments for or against the merits of this application outside of today's hearing.,9,,
69,0.97,388.755,393.159,We have our counsel central staff here.,9,,
70,0.97,393.159,396.162,Can you provide us an overview of this application and the process for considering it?,9,,
71,0.97,396.162,406.172,Tell us how this is Nonstandard.,9,,
72,0.97,406.172,407.573,We do not extend these contract free zones.,9,,
73,0.97,407.573,410.143,Speak to how the extension is different from a standard contract Rezoning.,9,,
74,0.97,410.143,414.881,Thank you.,10,,
75,0.97,414.881,416.282,I am with counsel central staff.,10,,
76,0.97,416.282,419.352,I am happy to distinguish this from other quasijudicial actions and walk through some background here.,10,,
77,0.97,419.352,440.673,Materials that you have that are attached to the agenda is a brief memorandum from me that describes some background.,10,,
78,0.97,440.673,443.109,There is a recommendation on the contract Rezoning extension from Sdci.,10,,
79,0.97,443.109,444.31,There is written comment received by Sdci.,10,,
80,0.97,444.31,445.645,This is on the contract extension.,10,,
81,0.97,445.645,449.816,There is a draft bill that would extend the contract for an additional two years and adopt an amended property use.,10,,
82,0.97,449.816,456.122,"So as Councilmember Dan Strauss requested, I will talk about this and distinguish it.",10,,
83,0.97,456.122,459.659,I will talk about the criteria that the Seattle municipal code provides for consideration.,10,,
84,0.97,459.659,474.14,"So by way of background, as mentioned in the introduction, this property was Rezoned in 2017.",10,,
85,0.97,474.14,478.444,"It was a contract Rezoning, this means that it was a Site- specific reason with an adopted property use and development agreement.",10,,
86,0.97,478.444,479.445,This is the contract Rezoning.,10,,
87,0.97,479.445,480.279,I will share my screen.,10,,
88,0.97,480.279,487.186,"I will show you in the world, where in the world this is.",10,,
89,0.97,488.921,494.26,Can you all see that?,10,,
90,0.97,494.26,496.095,I am not totally sure here.,10,,
91,0.97,496.095,512.178,"We are looking at Sdci, we are looking at their GIS projected on an aerial photograph.",10,,
92,0.97,512.178,513.379,The property is right down here.,10,,
93,0.97,513.379,518.15,The reason in 2017 was from Lausanne to commercial one with a 30 foot high limit.,10,,
94,0.97,518.15,524.724,They were related to the Affordability program.,10,,
95,0.97,524.724,530.396,"For those of you who are familiar or not familiar, this is not an urban village.",10,,
96,0.97,530.396,542.775,This is not for the purpose of any comprehensive plan designation.,10,,
97,0.97,542.775,543.809,The mustard color is neighborhood commercial.,10,,
98,0.97,543.809,546.512,All of that zoning was absorbed through the MH letter a in 2018.,10,,
