index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.787,28.361,Thank you for joining the Finance and housing committee.,0,,
1,0.97,28.361,33.466,Would you please call the role?,0,,
2,0.97,39.039,47.68,You are still on mute.,1,,
3,0.97,47.68,48.281,Councilmember Herbold?,2,,
4,0.97,48.281,48.681,Here.,3,,
5,0.97,48.681,49.282,Councilmember Pedersen?,4,,
6,0.97,49.282,50.15,Here.,5,,
7,0.97,50.15,52.352,Councilmember Nelson?,6,,
8,0.97,52.352,53.253,Present.,7,,
9,0.97,53.253,56.322,Councilmember Lewis?,8,,
10,0.97,56.322,58.024,Present.,9,,
11,0.97,58.024,68.168,"Chair, five present, Non- absent.",10,,
12,0.97,68.168,68.568,Wonderful.,11,,
13,0.97,68.568,69.402,Thank you very much.,11,,
14,0.97,69.402,70.603,"Colleagues, thanks for joining us today.",11,,
15,0.97,70.603,72.238,We have a full panel conversation for Usk.,11,,
16,0.97,72.238,83.65,A panel from representatives across the nation to talk about Cannabis equity policies . They are excited to hear from the local jurisdictions in the process they went through.,11,,
17,0.97,83.65,103.736,"We will have a presentation from the Finance and administrative services Department, our very own Department who Previewed some of the work they are doing on Cannabis equity and how to make sure there are greater opportunities for small businesses, workers, and we are looking at the post initiative world how we can create better equity across the region.",11,,
18,0.97,103.736,105.572,I am excited to have our guests here today.,11,,
19,0.97,105.572,111.744,We will build on the committee meetings we had last discussion.,11,,
20,0.97,111.744,116.316,"We will hear how Seattle is Eading on a number of issues, especially with the Finance and administrative services office.",11,,
21,0.97,116.316,125.492,"We have a chance to hear directly from folks in the community . in the upcoming meetings, we will have a chance to hear from additional small business owners as well as community members.",11,,
22,0.97,125.492,132.765,I want to pause here to make sure that folks get a chance to look at the agenda.,11,,
23,0.97,132.765,138.671,"If there is no objection, today's agenda will be adopted.",11,,
24,0.97,138.671,140.306,"Hearing no objection, today's agenda will be adopted.",11,,
25,0.97,140.306,154.921,I want to take a prerogative to offer a chance for Devin Alisa Abdullah to say a few words to welcome us before we hear from public comment.,11,,
26,0.97,154.921,166.499,These representatives from a Mayor Harold office who have expressed interest in sharing words here today and encouragement for the community and Committee as we consider this conversation.,11,,
27,0.97,166.499,167.1,Icu off mute.,11,,
28,0.97,167.1,168.368,Please take it away.,11,,
29,0.97,168.368,175.441,I am Devin from a Mayor Harrell's office.,12,,
30,0.97,175.441,189.656,He is excited to be Partnering with Councilmember Mosqueda on increasing Cannabis equity in our city and hopefully work on legislation to prove it.,12,,
31,0.97,189.656,193.092,"Thank you, Councilmember Mosqueda.",13,,
32,0.97,193.092,197.697,I work for Mayor Harrell's office.,13,,
33,0.97,197.697,204.671,We are excited to be here today to make great legislative action for the city of Seattle.,13,,
34,0.97,204.671,205.104,Wonderful.,14,,
35,0.97,205.104,206.873,Thank you for those opening comments.,14,,
36,0.97,206.873,211.578,"With that, please lead us into the public comment and discussion here today.",14,,
37,0.97,211.578,217.283,Then we will hear more on the two topics after public comment.,14,,
38,0.97,217.283,223.389,"Colleagues, at this time I would like to open public comment.",14,,
39,0.97,223.389,231.297,"For those that are calling it for the first time, please NOTE you use the same number you registered with to sign up for public comment.",14,,
40,0.97,231.297,237.804,You will hear an indication when it is your time to speak that you have been Unmuted . You will hear that phrase.,14,,
41,0.97,237.804,246.112,That is your indication that you need to hit Star six on your own mind to Unmute yourself and make sure your phone is off mute.,14,,
42,0.97,246.112,250.183,You will have two minutes to provide public comment.,14,,
43,0.97,250.183,252.018,"With that, we will jump right into public comment.",14,,
44,0.97,252.018,264.197,"Please NOTE when you are done with public comment, that is also the best way to continue listening is to hang up and dial in on the listen in line or watch on the Seattle Channel, who is Broadcasting live right now.",14,,
45,0.97,264.197,272.138,"The first speakers are Cody, Lynn, and Gabrielle.",14,,
46,0.97,272.138,272.739,"Good morning, Cody.",14,,
47,0.97,272.739,273.539,You have two minutes.,14,,
48,0.97,273.539,274.641,Please go ahead.,14,,
49,0.97,274.641,277.21,Hi.,15,,
50,0.97,277.21,277.61,Thank you.,15,,
51,0.97,277.61,278.011,"Hello, everyone.",15,,
52,0.97,278.011,284.617,My name is Cody and I am a bartender at a small dispensary.,15,,
53,0.97,284.617,292.458,Nine months ago we officially Beame a union store and we are in the process of bargaining and negotiating our Union contracts.,15,,
54,0.97,292.458,300.166,Many of the challenges we face as industry workers stem from a lack of protection.,15,,
55,0.97,300.166,307.473,"At a store that was recently robbed at Gunpoint, we have a need for workplace training.",15,,
56,0.97,307.473,326.159,"For example, by using Crypto currency and by requiring secure access entry points, we can prevent violent robberies without wasting more money on SPD's Overinflated budget.",15,,
57,0.97,326.159,344.243,Our Cannabis industry in Seattle is falling behind and we are long overdue for Cannabis equity . We must be aware of the extensive legacy of the war on drugs and the war on Cannabis in particular in perpetuating cycles of Incarceration among predominately black and Brown communities.,15,,
58,0.97,344.243,356.222,These disparities persist today and clearly affect the demographic outcome of ownership in the Cannabis industry.,15,,
59,0.97,356.222,366.599,"Nearly all retail Dispensaries in Seattle are owned by white men, which is a symptom of generation of inequities that cultivated in . The owner has been threatening to close the business and put the property up for sale.",15,,
60,0.97,366.599,378.578,Our rights of workers are undermined if we aren't able to strengthen worker protections in the event of the business being sold.,15,,
61,0.97,378.578,388.321,I will conclude my thoughts by urging local Cannabis activists to address these issues and correct the racist legacy and the war on Cannabis.,15,,
62,0.97,388.321,388.721,Thank you.,15,,
63,0.97,388.721,389.756,"Thank you, Cody.",16,,
64,0.97,389.756,392.191,"Good morning, Lynn.",16,,
65,0.97,392.191,394.46,Lynn will be followed by Gabrielle.,16,,
66,0.97,394.46,399.098,Good morning.,17,,
67,0.97,399.098,403.603,My name is Lynn Domingo and I am a representative of Seattle.,17,,
68,0.97,403.603,409.442,I am here to comment on Seattle's equity policy on Cannabis.,17,,
69,0.97,409.442,420.653,I am an advocate for Cannabis who believes in expanding the knowledge of medical marijuana.,17,,
70,0.97,420.653,437.904,"I began using marijuana, or Cannabis, as an alternative to pain Relievers, Anti-Anxiety, and other Medications.",17,,
71,0.97,442.508,458.624,"I have advocated for increased access to Cannabis for several years, even before the end of the Federal level as well.",18,,
72,0.97,458.624,471.604,"It is important to end the prohibition on marijuana because it is safer than Opioids, pain Relievers, street drugs.",18,,
73,0.97,471.604,504.103,"As I come off the loss of a kidney, I have chosen not to use pain Meds . in the wider community, we have seen other people have successfully beaten an addiction with the use of other alternatives to pain Relievers.",18,,
74,0.97,504.103,513.045,I care about my community and I care about the industry.,18,,
75,0.97,513.045,520.953,I live in North Seattle and I'm horrified to hear about the recent robberies of the Cannabis shops.,18,,
76,0.97,520.953,537.403,"I support safer working conditions . much of the Cannabis policy is left out of the community of callers, like me.",18,,
77,0.97,537.403,538.471,Thank you.,19,,
78,0.97,538.471,544.944,I am excited to be part of this.,20,,
79,0.97,544.944,545.344,Thank you.,20,,
80,0.97,545.344,546.946,"Next will be Gabrielle, followed by Dustin.",21,,
81,0.97,546.946,547.58,"Good morning, Gabrielle.",21,,
82,0.97,547.58,553.019,Good morning.,22,,
83,0.97,553.019,569.101,"City Councilmembers, I represent workers in the Cannabis community.",22,,
84,0.97,569.101,577.843,"10 years ago, this was disproportionately harmed.",22,,
85,0.97,577.843,583.316,The ones that have profit the most are in the industry.,22,,
86,0.97,583.316,594.427,Store owners are normally white men and the people they hire are black and indigenous peoples of color.,22,,
87,0.97,594.427,600.9,Most workers in the industry do not make more than minimum wage.,22,,
88,0.97,600.9,603.97,Most do not have health insurance.,22,,
89,0.97,603.97,618.384,"By ensuring everyone succeeds in the industry, Stakeholders have engaged in a long process to come up with ideas for all of this work can be accomplished.",22,,
90,0.97,618.384,622.922,We look forward to continuing to engage with each other.,22,,
91,0.97,622.922,624.924,We need to move forward with urgency.,22,,
92,0.97,624.924,635.134,I would like to leave you with this . 12 million Africans were in the bottom of ships.,22,,
93,0.97,635.134,638.571,2 million died.,22,,
94,0.97,638.571,642.842,We are treated like cattle and a commodity.,22,,
95,0.97,642.842,648.08,We have paved the way for millions today.,22,,
96,0.97,648.08,649.482,No compensation.,22,,
97,0.97,649.482,653.552,No reparation.,22,,
98,0.97,653.552,673.906,"Today in the 21st century, you, members of the Council, have a chance to change, to make it better with social and economic justice for workers and an education for young people.",22,,
99,0.97,673.906,676.776,Thank you very much for your time.,22,,
100,0.97,676.776,678.344,Thank you very much.,23,,
101,0.97,678.344,681.647,The next person is Dustin.,23,,
