index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.708,12.445,"The AG 16, 2021 meeting will now come to order.",0,,
1,0.97,12.445,13.68,It is 2:01 P.M.,0,,
2,0.97,13.68,17.851,Will the clerk please call the role.,0,,
3,0.97,17.851,20.253,Mosqueda.,1,,
4,0.97,20.253,25.191,Present.,2,,
5,0.97,25.191,27.761,Pedersen.,3,,
6,0.97,27.761,28.061,Present.,4,,
7,0.97,28.061,28.495,Strauss.,5,,
8,0.97,28.495,30.764,Council member Strauss.,5,,
9,0.97,30.764,32.766,Present.,6,,
10,0.97,32.766,34.3,Herbold.,7,,
11,0.97,34.3,34.567,Here.,8,,
12,0.97,34.567,34.834,Juarez?,9,,
13,0.97,34.834,36.036,Here.,9,,
14,0.97,36.036,38.605,Lewis.,10,,
15,0.97,38.605,38.938,Yes.,11,,
16,0.97,38.938,41.274,And Council President Gonzalez?,12,,
17,0.97,41.274,41.508,Here.,13,,
18,0.97,41.508,41.741,Here.,14,,
19,0.97,41.741,65.698,"Zen--[Indiscernible] Council member Mosqueda will present the proclamation and then after after she presents it, I will open up the floor for comments from other Council members.",15,,
20,0.97,65.698,73.173,After Council members I will suspect the rules to allow our two guests to accept the proclamation and provide comments.,15,,
21,0.97,73.173,79.612,I will hand it over to Council member Mosqueda to present to proclamation.,15,,
22,0.97,79.612,80.113,Thank you very much.,16,,
23,0.97,80.113,89.589,Colleagues again I'm here on the behalf of Council member Morales today to present and to honor August as black Philanthropy month.,16,,
24,0.97,89.589,105.271,This is the tenth anniversary of this designation originally originally started in 2011 by Dr. Jackie and the pan African women's Philanthropy network.,16,,
25,0.97,105.271,143.176,"In Washington state this is the first year celebrating black Philanthropy month as black fill an Developic leaders--philanthropic leaders--[Indiscernible] they have a series of virtual events that will be taking place during the rest of August that are free and open to anyone to Rsvp to discuss how we invest in a liberated future by, for and with black Washingtonons.",16,,
26,0.97,143.176,156.222,A quote from the organizers of the event they state quote it is no secret that Anti-Black racism has purposefully and persistently undermined the opportunity for black people to build wealth over generations.,16,,
27,0.97,156.222,177.377,Since its founding in the early 20th century predominantly white led institutional fill an Developy--[Indiscernible] institutional fill an throw by invest only 1.8% in black communities.,16,,
28,0.97,177.677,181.414,Philanthropy invest only 1.8% in black communities.,16,,
29,0.97,181.714,191.391,We must invest in resources to down the legacy of injustice.,16,,
30,0.97,191.391,205.805,I'm honored to be bringing this forward on down--Council member Morales' behalf.,16,,
31,0.97,205.805,215.848,Council member Morales wanted to welcome them to the meeting today.,16,,
32,0.97,215.848,239.906,As philanthropic advisor--[Indiscernible] he works with a wide variety of Philanthropists to ensure they receive a personal approach to their community.,16,,
33,0.97,239.906,254.687,Andrea leads the organization in its efforts to build an equitable Washington through innovative programs and services.,16,,
34,0.97,254.687,269.936,She is Irnsmental in designing resources that focus attention on the adverse impacts of racism and advocating for approximately and systems change.,16,,
35,0.97,269.936,273.606,They launched the black future co-op Fund.,16,,
36,0.97,273.606,281.247,"Washington's first all black led Philanthropy to ignite black generational prosperity, health and well being throughout the state.",16,,
37,0.97,281.247,297.063,"Near the same time she also joined with three other women of color to create an executive director coalition of Washington state bringing together their non-profit leaders of color to promote unity, reparation and restoration for communities.",16,,
38,0.97,297.063,307.974,"Serving as Commissioner of the Washington state Commission on American affairs, on the board of craft 3, crescent collaborative and community land trust.",16,,
39,0.97,307.974,316.182,I'm excited to be here with you all today on Council member Morales' behalf.,16,,
40,0.97,316.182,318.151,.,16,,
41,0.97,318.151,319.552,Thanks so much.,17,,
42,0.97,319.552,331.998,"Before we hand it over to our guests, we will have an opportunity to hear from them in a moment after I us fend rules.",17,,
43,0.97,331.998,339.038,-- I suspend the rules.,17,,
44,0.97,339.038,343.71,Let me suspend the rules and then we can hear from them.,17,,
45,0.97,343.71,349.382,The Council rules will be suspended to allow our guest to accept the proclamation and allow remarks.,17,,
46,0.97,349.382,355.288,The Council rules are suspended and I want to welcome Cedric Davis and Andrea.,17,,
47,0.97,355.288,356.856,Welcome to the city council meeting today.,17,,
48,0.97,356.856,364.731,I will hand it over to you two to make any comments you wish.,17,,
49,0.97,364.731,372.805,I see that Cedric is off of mute first so I assuming that means you will get to go first.,17,,
50,0.97,372.805,373.573,It does.,18,,
51,0.97,373.573,375.408,Thank you Council President.,18,,
52,0.97,375.408,392.291,"I want to first thank extend my gratitude to the city of Seattle, Seattle city Council, your staff and just all of you for acknowledging and proclaiming August as black Philanthropy month in the city of Seattle.",18,,
53,0.97,392.291,407.24,"Second I want to thank my black Philanthropy month Co-Organizers who are all giving their time, talent and treasure to advance this effort for Washington state.",18,,
54,0.97,407.24,414.58,Black Philanthropy month is an annual global celebration of giving.,18,,
55,0.97,414.58,431.898,This is the tenth year we are getting an opportunity to celebrate this effort and black Philanthropy month is August and black giving day is August 28th.,18,,
56,0.97,431.898,443.075,The month long observance invites all people to take August and beyond the promote the power of giving to transform lives.,18,,
57,0.97,443.075,459.125,"During August we will uplift the history of black Philanthropy in Seattle, address elements of the time, talent and treasure as well as the Despairties of giving, capacity across communities.",18,,
