index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.352,23.623,Good morning everyone welcome to the Finance and housing committee.,0,,
1,0.97,23.623,26.726,"Today is March 16, 2021.",0,,
2,0.97,26.726,36.336,Will the clerk please call the role?,0,,
3,0.97,36.336,46.646,[roll call],1,,
4,0.97,47.914,76.075,"Thank you very much, we will make sure to announcer, we have a full agenda today and I want to thank you for your time, on the calendar today we have an overview of the American recovery act plan from central staff, we have the resolution on the Federal funding that we discussed in the last meeting and have been introduced, this is the opportunity for amendments, discussion and possible vote.",2,,
5,0.97,76.075,110.343,"Will have a conversation on the Council bill for Federal appropriations, sorry, we will have a discussion on the bill that allocate $12 million for Noncognitive shelter for people experiencing homelessness and finally the rental assistance bill that we discussed yesterday which we were anticipating given the passage in December allowing for us to continue to expand and expand rental assistance, those items on today's agenda will be adopted if there is no objection.",2,,
6,0.97,110.343,113.012,Today's agenda is adopted.,2,,
7,0.97,113.012,116.916,"Wonderful, we have public comment.",2,,
8,0.97,116.916,135.001,"Today we have the opportunity to hears that have signed up, I only see one person signed up so if you're interested in signing up please go ahead and dial in, I will make sure to give the instructions for how to call in right now.",2,,
9,0.97,135.001,137.237,As I do that you will have time to sign up.,2,,
10,0.97,137.237,154.921,For those who are interested we are offering two minutes please make sure to say your name at the beginning of the meeting make sure to note the enemy are here to speak toward and you will hear a 10 second time at the end of your time which is your indication to wrap up.,2,,
11,0.97,154.921,157.557,Please go ahead and Wrap-Up your comments.,2,,
12,0.97,157.557,176.042,At the end of two minutes the microphone will be cut off so we don't want to Miss your last closing comments and if you do get caught off you can call back in to listen on the listen in line and watch on Seattle channel you can Email public comments if you do not get through them all.,2,,
13,0.97,176.042,178.478,With that the public comment period is now open.,2,,
14,0.97,178.478,189.789,"There is one person signed up, good morning Alisha, the first person to sign up and the only person listed so, thank you for being with us and please go ahead.",2,,
15,0.97,189.789,217.884,"Good morning everybody I am with the coalition against violence, I am speaking to say thank you to Councilmember Herbold for proposing the amendment . Councilmember Herbold we appreciate your swift action and continued championship for survivor and survivor services.",3,,
16,0.97,217.884,245.511,"The amendment is a response to anticipated 25% reduction in Federal victim crime act funding allocated for services in 2021 and 22 92, we anticipate a loss across the state and many organizations providing services such as housing, relocation assistance, mobile housing, bilingual advocacy services, emergency financial assistance will all be affected in Seattle.",3,,
17,0.97,245.511,260.76,We are hearing about Federal lift in the spring but that will be too late for the anticipated gap year as the funding process gears up.,3,,
18,0.97,260.76,278.077,"As local leaders we know you're working hard every day to tackle pressing issues, domestic and sexual violent are the root of many problems like homelessness which we identify safety gaps within the region response to these issues.",3,,
19,0.97,278.077,285.051,"As you know, Covid has created Úcomplex needs for survivors an their families so this comes at a time when demand has never been greater.",3,,
20,0.97,285.051,293.76,"Again, thank you so much to Councilmember Herbold and thank you for considering the amendment to include services within your priority for Federal funding.",3,,
21,0.97,293.76,298.798,Thank you very much and well said.,4,,
22,0.97,298.798,308.574,Alisha was our only person signed up for public comment and I want to confirm that there's nobody we're missing right now.,4,,
23,0.97,308.574,311.11,There are no more public comment registrants.,5,,
24,0.97,311.11,313.713,Wonderful.,6,,
25,0.97,313.713,315.682,Colleagues that brings us to the end of public comment.,6,,
26,0.97,315.682,330.096,"I want to welcome Council President Gonzalez who is with us, thank you very much for joining, she was here at the beginning of the public comment period as well.",6,,
27,0.97,330.096,333.933,Am going to move us into the next items on the agenda.,6,,
28,0.97,333.933,340.84,My computer is not cooperating so let me see if I can go back to the paper.,6,,
29,0.97,340.84,343.91,Madam clerk could you please read item one into the record?,6,,
30,0.97,343.91,360.159,Item number one resolution 31999 a resolution identifying the city council priority to maximize use of future Federal funding to support Covid-19 relief and recovery efforts for briefing discussion.,7,,
31,0.97,360.159,361.36,Thank you very much.,8,,
32,0.97,361.36,387.787,"I want to thank central staff, there have been no less than six people working on this resolution over the last two weeks and working with a sense of urgency as we try to anticipate the passage of the plan and to make sure that we reviewed materials from the passage of the congressional act to get ready for today.",8,,
33,0.97,387.787,402.201,This is great timing we are having a conversation about the resolution as we jump into the meat of the actual Federal bill that will direct how we as a city want to respond and deploy dollars with urgency.,8,,
34,0.97,402.201,408.307,I will turn to your first but instead of jumping into the presentation we can have folks introduce themselves for the record.,8,,
35,0.97,408.307,415.615,Thank you good morning I am Aly Pennucci with Council central staff and I will turn it over.,9,,
36,0.97,415.615,420.42,"Good morning, Yolanda Council central staff.",10,,
37,0.97,420.42,425.324,Traci Ratzliff.,11,,
38,0.97,425.324,428.394,Emily Alvarado.,12,,
39,0.97,428.394,431.23,"Great, thank you.",13,,
40,0.97,431.23,445.411,I will go ahead and share my screen and then we will turn it back to Yolanda to walk you through the presentation.,13,,
41,0.97,445.411,455.822,All right so we're going to just do a quick Recap as we discussed a draft of the resolution a couple weeks ago.,14,,
42,0.97,455.822,465.565,Know we have the introduced version that incorporates feedback from a number of Councilmembers.,14,,
