index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.216,18.918,Good morning.,0,,
1,0.97,18.918,23.022,"The March 17th, 2021 meeting will come to order.",0,,
2,0.97,23.022,24.224,The time is 9:30.,0,,
3,0.97,24.224,28.928,"I am Pedersen, chairman of the committee.",0,,
4,0.97,28.928,33.733,Council President Gonzalez?,1,,
5,0.97,33.733,36.102,Council member Herbold.,1,,
6,0.97,36.102,38.204,Council member Morales.,1,,
7,0.97,38.204,39.139,Here.,2,,
8,0.97,39.139,43.042,Council member Strauss?,3,,
9,0.97,43.042,44.144,Present.,4,,
10,0.97,44.144,47.647,Chair Pedersen.,5,,
11,0.97,47.647,48.214,Present.,6,,
12,0.97,48.214,49.716,Three are present.,7,,
13,0.97,49.716,50.316,Thank you.,8,,
14,0.97,50.316,56.356,I am expecting the other Council members to join shortly.,8,,
15,0.97,56.356,61.161,I will let everybody know when they are here.,8,,
16,0.97,61.161,63.863,"If there is no objection, today's proposed agenda will be Adducted.",8,,
17,0.97,63.863,79.779,"I do want to note that the last Council bill that deals with the surveillance on police technology is likely to be discussed today, but held until the April 7th committee meeting.",8,,
18,0.97,79.779,81.514,To give folks more time on that.,8,,
19,0.97,81.514,86.886,I would also like to recognize the Council President Gonzalez is present.,8,,
20,0.97,86.886,89.589,Good morning.,8,,
21,0.97,89.589,99.399,"So, if there is no objection to today's proposed agenda, hearing no objection, the agenda is adopted.",8,,
22,0.97,99.399,112.312,"We have another patch agenda today, we will sit on the city light partial easement to the city of Kirkland, we had a required public hearing last week or two weeks ago at the last committee meeting.",8,,
23,0.97,112.312,127.227,"We will have a presentation and vote on the lights ordinance, the Seattle Department of Transportation will provide an update on the bridge, and a proposal for the bridge.",8,,
24,0.97,127.227,130.964,And we will continue to work to review the surveillance impact reports.,8,,
25,0.97,130.964,140.039,"This particular group, two of those reports are from Seattle city lights, Seattle fire Department and Seattle PD.",8,,
26,0.97,140.039,147.013,I would like to note that Council member Herbold is here and all members are present at this time.,8,,
27,0.97,147.013,149.415,Now we will go to public comment.,8,,
28,0.97,149.415,153.386,At this time we will open the remote general public comment period.,8,,
29,0.97,153.386,156.222,It looks like there is just one Speaker at this time.,8,,
30,0.97,156.222,164.163,I ask that everyone be patient as we operate the Online system and continually looking for ways to Fine-Tune the process of public participation.,8,,
31,0.97,164.163,183.883,It remains strong for the city Council to have public comment however we reserve the right--for allowing the meetings to be conducted efficiently and the manner to conduct our business.,8,,
32,0.97,183.883,191.591,The public comment period for this period is up to 20 minutes in each Speaker given two minutes to speak.,8,,
33,0.97,191.591,199.799,I will call on the speakers two at a time and in the order in which registered on the Council's Website.,8,,
34,0.97,199.799,206.673,If you have not yet registered to speak but would like to you can sign up before the end of the Council to go to the Website.,8,,
35,0.97,206.673,212.512,The public link is also listed on today's agenda.,8,,
36,0.97,212.512,227.594,"Once I will call the name the microphone will be Unmute it and then the prompt that you have been Unmuted, then press Star 6 to begin speaking.",8,,
37,0.97,227.594,234.133,Please state your name and the item you are addressing and as a reminder it should be related to today's agenda.,8,,
38,0.97,234.133,240.106,Speakers will Hill a time when there are 10 seconds left of the allocated time and want to hear the time we ask you to wrap up public comment.,8,,
39,0.97,240.106,245.945,If speakers do not end there public comment than the I phone will be muted to allow us to call the next Speaker.,8,,
40,0.97,245.945,258.324,"Once you have completed your comment, we ask that you please Disconnect from the line and if you plan to continue following the meeting, please do so via Seattle channel or the listening options listed on the agenda.",8,,
41,0.97,258.324,262.962,The regular public comment period for the meeting is now open.,8,,
42,0.97,262.962,264.931,We will begin with the first Speaker on the list.,8,,
43,0.97,264.931,267.767,Please remember to press Star 6 before speaking.,8,,
44,0.97,267.767,268.735,Go ahead.,8,,
45,0.97,268.735,274.34,"We have sent Dsps, go ahead, Cynthia.",8,,
46,0.97,274.34,275.975,Hello.,9,,
