index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.51,16.916,Special meeting of the transportation and utilities meeting will come to order.,0,,
1,0.97,16.916,19.786,"I'm Alex Pedersen, chair of the committee.",0,,
2,0.97,19.786,30.93,Will the clerk please call the role?,0,,
3,0.97,30.93,31.197,Gonzalez?,0,,
4,0.97,31.197,31.431,Here.,1,,
5,0.97,31.431,31.731,Herbold?,2,,
6,0.97,31.731,35.902,Morales?,2,,
7,0.97,35.902,36.136,Here.,3,,
8,0.97,36.136,36.436,Strauss?,4,,
9,0.97,36.436,36.97,Present.,5,,
10,0.97,36.97,41.441,Chair Pedersen?,6,,
11,0.97,41.441,41.641,Here.,6,,
12,0.97,41.641,48.948,Great.,6,,
13,0.97,48.948,55.021,"So we have a forum, if there's no objection the agenda will be adopted.",6,,
14,0.97,55.021,58.391,"Hearing no objection, the agenda is adopted.",6,,
15,0.97,58.391,62.195,This will be an electrifying meeting because it's all Seattle city light's.,6,,
16,0.97,62.195,71.271,I want to thank the workers from Seattle city light who have been restoring power during these Rainstorms.,6,,
17,0.97,71.271,75.108,"You know, we see the--their occasional outage, downed trees, et cetera.",6,,
18,0.97,75.108,80.447,And those crews are out there in the middle of the night in the pouring rain fixing things for all of us.,6,,
19,0.97,80.447,85.585,And so just want to have a Shout-Out to them.,6,,
20,0.97,85.585,93.46,"The city of Seattle's fortunate to operate two major utility enterprises, Seattle public utilities and Seattle city light.",6,,
21,0.97,93.46,109.542,"And this also keeps the city council busy with a large volume of legislation, which is why we're here today as we get ready for our fall budget season to handle some of this business that Seattle city light's been working on and presenting to us today.",6,,
22,0.97,109.542,117.917,"The first three items, there are five items on the agenda, the first three relate to the Electrication of the transportation infrastructure.",6,,
23,0.97,117.917,123.456,The second half of the agenda concerns two technical items for Seattle city light.,6,,
24,0.97,123.456,129.395,"So at this time, I'd like to open up the remote public comment period.",6,,
25,0.97,129.395,136.669,I'll ask that everyone please be patient as we learn to operate this new system in Realtime and navigate through inevitable growing pains.,6,,
26,0.97,136.669,145.578,We're always looking for ways to fine tune this process and add new features to allow different ways for public participation in our Council meetings.,6,,
27,0.97,145.578,151.151,It remains the strong intent of the city Council to have public comment regularly included on meeting Agendas.,6,,
28,0.97,151.151,168.568,"However, the city council reserves the right to modify these public comment periods at any point if we deem that the system is being abused or it's unsuitable for allowing our meetings to be conducted efficiently and in a manner in which we're able to conduct our necessary business.",6,,
29,0.97,168.568,172.105,I'll moderate the public comment period in the following manner.,6,,
30,0.97,172.105,178.077,"We'll have it up to 20 minutes, and each Speaker will be given two minutes to speak.",6,,
31,0.97,178.077,184.217,I'll call on two speakers at a time and in the order in which they're registered on the Council's Website.,6,,
32,0.97,184.217,195.295,"If you have not registered to speak but would like to, you can sign up before the end of this public comment period by going to Seattle.Gov/Council.",6,,
33,0.97,195.295,197.697,Public comment links also listed on today's agenda.,6,,
34,0.97,197.697,208.541,"Once I call a Speaker's name, staff will Unmute the appropriate microphone and an automatic prompt of you have been Unmuted will be the Speaker's Cue that it is their turn to speak.",6,,
35,0.97,208.541,212.679,The Speaker must press Star six to begin speaking.,6,,
36,0.97,212.679,215.548,Please remember to press Star six to begin speaking.,6,,
