index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,111.344,121.921,"Good morning, June 20th, 2021 Council briefing meeting will now come to order.",0,,
1,0.97,121.921,125.225,The time is 9:31 A.M.,0,,
2,0.97,125.225,128.328,Will the clerk please call the roll.,0,,
3,0.97,143.576,146.746,Eight present.,1,,
4,0.97,146.746,150.35,Thank you so much.,2,,
5,0.97,150.35,155.021,"If there is no objection, the minutes of June 21st will be adopted.",2,,
6,0.97,155.021,159.058,"Hearing no objection, the minutes are adopted.",2,,
7,0.97,159.058,161.561,I don't have anything to report on the President's report this morning.,2,,
8,0.97,161.561,164.23,Let's move right into the Federal legislative briefing.,2,,
9,0.97,164.23,176.075,We do have Sierra Howlett Browne from our office of Intergovernmental relations with us as well as Leslie Pollner from Holland and knight.,2,,
10,0.97,176.075,181.981,"Before I handed over to Sierra and Leslie, just want to acknowledge that we have been joined by Councilmember Juarez.",2,,
11,0.97,181.981,183.349,Sierra?,2,,
12,0.97,183.349,187.086,"Thank you, good morning everybody.",3,,
13,0.97,187.086,194.093,"Like a few of you, I have several [Indiscernible] if there is any sound issues.",3,,
14,0.97,194.093,197.197,Hopefully everybody is staying cool.,3,,
15,0.97,197.197,199.766,Thank you for allowing us some time this morning.,3,,
16,0.97,199.766,203.203,I know this is a very timely update.,3,,
17,0.97,203.203,211.611,We were just intending to do a general update but late last week we had a bipartisan infrastructure package agreement.,3,,
18,0.97,211.611,215.181,We would love to talk to that a little bit and give a little more detail on that.,3,,
19,0.97,215.181,225.024,"Leslie is here, she's going to join us and tell us a little bit about the bipartisan infrastructure package.",3,,
20,0.97,225.024,226.926,An update on the surface transportation reauthorization.,3,,
21,0.97,226.926,232.298,An update on the FY 22 appropriations process and a few more policy updates of note.,3,,
22,0.97,232.298,236.736,I would just let Leslie kick it off and please let us know if you have any questions.,3,,
23,0.97,236.736,237.837,"Great, thanks.",4,,
24,0.97,237.837,244.21,Nice to see everyone and hope that your families are staying safe through the heat.,4,,
25,0.97,244.21,249.549,I'm going to share my screen.,4,,
26,0.97,249.549,252.252,Are you able to see it?,4,,
27,0.97,252.252,255.755,We can see it.,5,,
28,0.97,255.755,256.322,"Okay, terrific.",6,,
29,0.97,256.322,260.226,Excited to be here with you this morning.,6,,
30,0.97,260.226,265.164,"First and foremost, really exciting news for the city.",6,,
31,0.97,265.164,273.439,You may have seen the great news over the weekend that the city is going to be receiving an $11.2 million grant for the West Seattle bridge which is very exciting.,6,,
32,0.97,273.439,282.882,"Huge thank you to our delegation Senator Murray, Senator Cantwell, and our Congressmen.",6,,
33,0.97,282.882,287.887,"All of them were extremely, extremely focused and active to make this all happen.",6,,
34,0.97,287.887,301.1,"Then, of Porkers a huge Kudos to Sdot who have played a huge role in getting this over the finish line.",6,,
35,0.97,301.1,304.704,Really exciting news as we start our infrastructure update with some good news from home.,6,,
36,0.97,304.704,314.013,"Let me just say that we are definitely in a very fluid situation, as I'm sure you all saw in the news.",6,,
37,0.97,314.013,322.221,The bipartisan agreement was announced the President immediately had to make some clarifying comments about it.,6,,
38,0.97,322.221,329.095,"So, as we are discussing this this morning, some of this is dynamic and changing.",6,,
39,0.97,329.095,335.935,"At the moment, it's really--we really don't have a ton of details.",6,,
40,0.97,335.935,341.441,Let me see if I'm able to hopefully move this along here.,6,,
41,0.97,341.441,343.509,"Okay, are you able to see that?",6,,
42,0.97,343.509,344.844,Okay.,6,,
43,0.97,344.844,347.213,Terrific.,6,,
44,0.97,347.213,358.257,"So, president Biden and a bipartisan group of senators have reached a deal on a $1.2 trillion infrastructure package.",6,,
45,0.97,358.257,367.834,"The infrastructure plan is really a modified version of the American jobs plans, and includes funding for roads, transit, bridges, Broadband, clean energy and water.",6,,
46,0.97,367.834,373.94,"There are definitely things that were included in the American jobs plan that are not included here, notably for example housing.",6,,
47,0.97,373.94,375.441,Is not a part of this plan.,6,,
48,0.97,375.441,392.191,"So, you're seeing the President and his remarks on Friday say that reconciliation, a reconciliation package is also going to be needed to address some of these additional, broader priorities.",6,,
49,0.97,392.191,401.667,The President on Friday of course said that he would veto legislation unless he received both reconciliation and the bipartisan package on his desk.,6,,
50,0.97,401.667,404.07,He has since walked that back.,6,,
