index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,7.574,12.579,Please call role.,0,,
1,0.97,12.579,44.511,[roll call] you.,1,,
2,0.97,44.511,45.278,Thank you so much.,2,,
3,0.97,45.278,52.185,"If there is no objection, the minutes of May 18, 2020 will be adopted.",2,,
4,0.97,52.185,53.219,"Hearing no objection, the minutes are adopted.",2,,
5,0.97,53.219,53.853,The President's report.,2,,
6,0.97,53.853,58.525,I don't have anything related for operations to report today.,2,,
7,0.97,58.525,70.203,"I do, colleagues, want to take a quick moment at the top of the time together this morning to note a couple of things.",2,,
8,0.97,70.203,77.61,One is a reminder is that Councilmember Juarez will not be joining us.,2,,
9,0.97,77.61,100.433,"Secondly, I received a note over the weekend that we will have another Councilmember not with us so we will make sure her absence is excused at 2:00 P.M.",2,,
10,0.97,100.433,105.805,But she wanted me to make sure I let folks know that she wouldn't be here today.,2,,
11,0.97,105.805,122.956,"And Lastly, folks, I just wan to acknowledge that over the weekend, there were some pretty disturbing news reports about some potential hate crimes are actual hate crimes against members of the Asian community.",2,,
12,0.97,122.956,128.995,A few out in Ballard.,2,,
13,0.97,128.995,136.269,And we continue to hear about other incidents also and one at the Sodo parking lot of home Depot.,2,,
14,0.97,136.269,148.948,There is this poignant behavior to target people based on their Ethnicity in response to the run a virus.,2,,
15,0.97,148.948,160.293,We have an obligation to speak loudly against those types of behaviors and that type of racism.,2,,
16,0.97,160.293,164.664,And it will not be tolerated.,2,,
17,0.97,164.664,165.465,This virus impacts all of us the.,2,,
18,0.97,165.465,170.236,No one is to blame for it.,2,,
19,0.97,170.236,177.41,On we are not going to allow hate to drive our response in the city.,2,,
20,0.97,177.41,199.566,And I as Council president and is a resident of the city call upon all of our constituents to exercise vigilance and protecting each other and protecting our neighbors and in speaking out against these types of racist attacks on our neighbors throughout the city of Seattle and across the country.,2,,
21,0.97,199.566,214.647,It is important for us to take a moment to acknowledge that there have been these really disturbing incidents happening across the city.,2,,
22,0.97,214.647,229.829,I want to encourage the police Department to continue to investigate those cases and cool and folks who may have relation or any information on this to collaborate and provide information to law enforcement to make sure those folks are held accountable.,2,,
23,0.97,229.829,247.046,And my most sincere thoughts and concerns continue to go out to those who were impacted by these atrocious acts and to all members of the community in the city of Seattle.,2,,
24,0.97,247.046,260.46,And for them to know that we stand with them and we are ready to support them in the face of these extremely horrific acts that are happening in our community.,2,,
25,0.97,260.46,267.5,I will end my remarks there and provide folks an opportunity to also provide remarks if you are interested in providing reaction or comments.,2,,
26,0.97,267.5,275.008,"To that point, just raise your hand and let me know.",2,,
27,0.97,275.008,278.811,It looks like we don't have anybody that wants to make comments right now.,2,,
28,0.97,278.811,289.589,Let's move into the presentation on counsel bill 119799 related to premium pay for gig workers.,2,,
29,0.97,289.589,297.63,We have Karina bull who is prepared to make the presentation.,2,,
30,0.97,297.63,306.339,Both the bill and the presentation are on the published agenda for counsel briefing.,2,,
31,0.97,306.339,321.788,I'm going to go ahead and hand it over to Councilmember Lewis for some introductory remarks and then we will go ahead and hear from Karina Bull.,2,,
32,0.97,321.788,327.193,Thank you counsel.,3,,
33,0.97,327.193,332.098,And I want to give Councilmember Herbold an opportunity to make a few remarks as well before we hear from Karina Bull.,3,,
34,0.97,332.098,341.874,And I want to thank Karina bull for her diligence and assistance with this.,3,,
35,0.97,341.874,349.849,But has been two weeks of really heavy work and I look forward to discussing the final product.,3,,
36,0.97,349.849,371.037,"As everyone is aware, about a month ago, we ratified the historic executive order capping restaurant fees for a lot of our neighborhood small business restaurants who have been facing exuberant fees being passed on to them in this climate and where Take- out is there only option.",3,,
37,0.97,371.037,380.279,Part of the discussion had been a lot of the economy workers.,3,,
38,0.97,380.279,381.447,And I call it the economy rather than the gig economy.,3,,
39,0.97,381.447,391.324,"Because with Covid-19, what we refer to is a massive share of how all of us are getting goods and how a lot of people are being employed to do it.",3,,
40,0.97,391.324,429.662,"And really learning about the barriers from continuing those conversations after that and we heard from people who are doing the work that in a lot of cases, since they are Mischaracterized as independent contractors, they need to buy cleaning supplies and take Uncompensated time between deliveries to clean vehicles can these are all things they are not compensated for and it has been a burden to the bottom line in this environment.",3,,
41,0.97,429.662,453.653,"And increasingly, while there are a lot of considerations for other folks working in this economy, no jurisdictions yet have really taken on some kind of consideration in the form of pay, that these uniquely situated workers were not hourly employees who are not collectively bargained contract holders.",3,,
42,0.97,453.653,475.074,And this legislation will take a large step towards having a more equitable treatment for these essential front-line workers and I'm proud to sponsor this today and be working with Karina Bull and Councilmember Herbold who helped put this together.,3,,
43,0.97,475.074,486.385,"With that, I think I will hand over to Councilmember Herbold and I look forward to Karina bull's presentation.",3,,
44,0.97,486.385,486.519,.,3,,
45,0.97,486.519,496.295,"Councilmember Lewis, thank you for the overview.",4,,
46,0.97,496.295,508.741,It is very helpful for the context of the public health emergency and the fact that these workers are not hourly workers whereas many workers who are considered essential workers are hourly workers.,4,,
47,0.97,508.741,514.213,Some of them are receiving premium pay.,4,,
48,0.97,514.213,526.292,It is important that people get paid for their time and the materials they use practicing best practices as it relates to public health.,4,,
49,0.97,526.292,536.402,I also want to thank all of the Stakeholders who have been involved thus far . Both on the labor side.,4,,
50,0.97,536.402,544.277,"We have had strong participation from Washington, the teamsters.",4,,
51,0.97,544.277,564.463,We also have spent a lot of time over the last couple of weeks talking with industry Stakeholders and have had probably about six individual meetings with the impacted industry to talk through their concerns around the bill.,4,,
52,0.97,564.463,567.9,That is all I have right now.,4,,
53,0.97,567.9,577.176,I'm happy to answer questions that folks might have after Karina's presentation.,4,,
54,0.97,577.176,578.21,Thank you Councilmembers Herbold and Lewis.,5,,
55,0.97,578.21,586.485,Let's go ahead and have Karina go through her presentation.,5,,
56,0.97,586.485,589.989,We are scheduled to be here for about 30 minutes.,5,,
57,0.97,589.989,601.1,"I'm going to ask Councilmembers to hold their questions until Karina has gone all the way through her presentation and then if you have questions, I will call for them at the end.",5,,
58,0.97,601.1,613.679,"You also can send me a quick text message or use the chat function to let me know that you will have questions and I will make sure to start the Q. so Karina, off to you.",5,,
59,0.97,613.679,614.18,Thank you so much.,6,,
60,0.97,614.18,614.547,Good morning.,6,,
61,0.97,614.547,618.417,I'm Karina Bull.,6,,
62,0.97,618.417,623.122,I'm supporting the drafting of this bill.,6,,
63,0.97,623.122,646.345,"To begin, as Councilmembers Herbold and Lewis already Teed up for listeners and watchers, the legislation would essentially require delivery network companies and transportation network companies to provide gig workers who are providing services for their businesses with premium pay for work that is performed and Seattle.",6,,
64,0.97,646.345,653.285,And the legislation would declare an emergency which means it would have an immediately effective date.,6,,
65,0.97,653.285,654.62,Here is the roadmap for the short presentation this morning.,6,,
66,0.97,654.62,665.331,We will begin with coverage . This will be familiar to folks who have been following the paid gig workers legislation.,6,,
67,0.97,665.331,669.835,The covering hiring entities and gig workers are the same.,6,,
68,0.97,669.835,683.315,And so the entities covered are the food delivery network companies with 250 or more gig workers worldwide and the gig workers accepting offers and providing delivery and transportation services.,6,,
69,0.97,683.315,693.726,The definitions of these entities again are the same as for the time legislation.,6,,
70,0.97,693.726,695.127,And you can see the definitions on the Powerpoint presentation.,6,,
71,0.97,695.127,711.844,"The food delivery network company, it is an Online enabled application or platform to connect customers with workers for delivery from one or more of the following institutions.",6,,
72,0.97,711.844,726.959,"Eating and drinking establishment, food processing establishment, grocery store or any facility, whether or not it is open to the public, that is intended to fulfill customer orders from a business that is delivering groceries or prepared food and beverages.",6,,
73,0.97,726.959,727.593,Transportation network company.,6,,
74,0.97,727.726,732.865,That is the same definition also in the tea and see Deactivation rights ordinance.,6,,
75,0.97,732.865,743.275,"That would be Uber, Lyft, a Nonexhaustive lift.",6,,
76,0.97,743.275,748.647,"Uber Eades, grill, Doordash, Instacart, post mates and others.",6,,
77,0.97,748.647,757.089,The workers are providing the services and this is the heart of the bill.,6,,
78,0.97,757.089,767.366,This would require $5 payment for each Online order with a Work-Related stop in Seattle that they get a worker performs.,6,,
79,0.97,767.366,784.783,This stop in Seattle would mean any kind of commercial stop and Seattle to define it in the negative would not include personal Errands or refueling or driving through Seattle from a beginning point and end point outside of Seattle.,6,,
80,0.97,784.783,798.798,"If there is any Online order that has associated services with it that involves stopping in Seattle, it would be covered and it would require $5 payment to the worker.",6,,
81,0.97,798.798,808.14,"It is in addition to what they are already being paid for providing the services, bonuses, Commission and also separate from any tips they might earn from a customer.",6,,
82,0.97,808.14,822.655,So an example might be that a delivery driver has an Online order for delivery in Everett and they are shopping at a grocery store in North Seattle.,6,,
83,0.97,822.655,823.489,That would incur the $5 premium pay.,6,,
84,0.97,823.489,831.297,"Even though the delivery point is in Everett, the shopping is actually taking place in Seattle.",6,,
85,0.97,831.297,849.949,"If there was an Online order that involves shopping at a store in Seattle or anywhere that had one or more delivery points, there would be $5 for the first amount of work that happened in Seattle and then an additional $5 for any additional Jumpoff point in Seattle.",6,,
86,0.97,849.949,861.927,"So if someone is shopping in Seattle, the four delivery points and Seattle, that would be $20 and premium pay.",6,,
87,0.97,861.927,876.709,"If one of the drop off points was south of Seattle, the additional drop off point would not incur the charge because it was happening outside of Seattle.",6,,
88,0.97,876.709,879.879,There also are transparency requirements with this legislation.,6,,
89,0.97,879.879,892.558,"When I gig worker is being paid, the premium pay, the hiring entity must include notification of which Online orders qualify for the premium pay and then itemize the premium pay separate from other compensation.",6,,
90,0.97,892.558,901.7,This would allow the gig workers to know that they have earned it and they have been paying for it as well.,6,,
91,0.97,901.7,908.007,The other requirements in the legislation are typical for Seattle labor standards.,7,,
92,0.97,908.007,909.608,A notice of rights that must be provided to each gig worker.,7,,
93,0.97,909.608,917.917,Record-Keeping by the hiring entities for three years.,7,,
94,0.97,917.917,920.152,Retaliation is Cohabited.,7,,
95,0.97,920.152,921.053,And enforcement standard for Seattle.,7,,
96,0.97,921.053,925.991,Labor standards and the office of labor standards would be authorized to conduct outreach and develop rules.,7,,
97,0.97,925.991,926.926,There would be a private right of action.,7,,
98,0.97,926.926,942.942,The remedies would include any unpaid compensation which means any premium pay owed pick up to three times that amount depending on the severity of the violation.,7,,
99,0.97,942.942,947.379,"Penalties payable to the city, the gig worker . The duration of the legislation has two components.",7,,
