index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.709,10.443,"Good afternoon, colleagues.",0,,
1,0.97,10.443,15.482,"The May 26, 2020 Seattle city council meeting will come to order.",0,,
2,0.97,15.482,18.084,It is 2:02 P.M.,0,,
3,0.97,18.084,19.519,"I am Lorena Gonzalez, president of the Council.",0,,
4,0.97,19.519,23.823,Will the clerk please call the roll?,0,,
5,0.97,30.83,57.657,[roll call] seven present.,1,,
6,0.97,57.657,58.725,Thank you so much.,2,,
7,0.97,58.725,69.669,"If there is no objection, callings, Councilmember Sawant excused from today's meeting.",2,,
8,0.97,69.669,75.375,"Hearing no objection, Councilmember Sawant is excused from today's meeting.",2,,
9,0.97,75.375,78.778,I am not aware of any meetings so we will move to approval of minutes.,2,,
10,0.97,78.778,81.681,"Minutes for May 11 and may 18, 2020 have been reviewed.",2,,
11,0.97,81.681,85.952,"If there is no objection, the minutes will be signed.",2,,
12,0.97,85.952,94.26,"Hearing no objection, the minutes are being signed, and will the clerk please affix my signature to those minutes?",2,,
13,0.97,94.26,103.403,"Moving on to the adoption of the referral calendar, if there is no introduction, the proposed introduction and referral calendar will be adopted.",2,,
14,0.97,103.403,109.709,"Hearing no objection, the introduction and referral calendar is adopted.",2,,
15,0.97,109.709,113.78,"If there is no objection, the agenda will be adopted.",2,,
16,0.97,113.78,116.216,"Hearing no objection, the agenda is adopted.",2,,
17,0.97,116.216,126.793,"At this time, we will go ahead and open the public comment period for items on the city council agenda, referrals, and the 2020 work program.",2,,
18,0.97,126.793,158.525,"If remains the strong intent of the city Council to have city council meetings on our Dundas, however the city council reserves the right to eliminate these public comment periods at any point if we deem the system is being abused or is no longer suitable to allowing us to conduct our meetings efficiently and in a manner that makes us able to conduct our national official business.",2,,
19,0.97,158.525,161.528,I will conduct the public comment period.,2,,
20,0.97,161.528,166.366,This is a total of 20 minutes and each Speaker will be given two minutes to speak.,2,,
21,0.97,166.366,173.273,I will call in each Speaker by name and in the order by which the registered on the city council Website.,2,,
22,0.97,173.273,186.686,"If you have not yet registered to speak but would like to, you can sign up before the end of public comment by going to the Council Website at Www.Seattle.Gov/Counsel.",2,,
23,0.97,186.686,192.192,The public comment link is also listed on today's Pre-Published agenda.,2,,
24,0.97,192.192,207.073,"Once I call the Speaker's name, staff will Unmute the proper microphone and ""You have been Unmute it"" will be your Cue to speak.",2,,
25,0.97,207.073,211.911,"Please, begin by speaking with your name and the item you are addressing.",2,,
26,0.97,211.911,216.416,"Public comment should relate to an item on today's agenda, the introduction and referral calendar, or the Council 2020 work program.",2,,
27,0.97,216.416,222.722,Speak ourselves will hear a time when 10 seconds are left of the allotted time.,2,,
28,0.97,222.722,230.563,"Once you hear the Chime, we would ask that you please begin to wrap up your public comments.",2,,
29,0.97,230.563,241.341,"If speakers do not and make their comments at the end of the allotted time, which is two minutes, the Speaker's microphone will be muted to allow us to call on the next Speaker.",2,,
30,0.97,241.341,252.552,"Once you have completed public comment, I would ask that you please Disconnect from the line and if you plan to continue following this meeting, I ask that you do so via Seattle channel or the listing options on the agenda.",2,,
31,0.97,252.552,254.554,We will open up the public comment for 20 minutes.,2,,
32,0.97,254.554,264.097,"That will put us at 2:27 p.m., and we will begin with the first Speaker on the list, who is Kimberly Wolf.",2,,
33,0.97,269.502,271.571,I am sorry.,3,,
34,0.97,271.571,277.343,Technical difficulties.,3,,
35,0.97,277.343,278.945,Can you put me at the end my?,3,,
36,0.97,278.945,281.18,"Kimberly, you would like to speak at the end?",4,,
37,0.97,281.18,282.782,"Yeah, can you move me to the end?",5,,
38,0.97,282.782,288.121,I am having difficulties at the moment.,5,,
39,0.97,288.121,288.488,Of course.,6,,
40,0.97,288.488,289.088,Thank you.,7,,
41,0.97,289.088,295.328,Our next Speaker is Jamaal Jarra.,8,,
42,0.97,298.531,301.234,I am thankful for this opportunity to present my advice.,9,,
43,0.97,301.234,308.174,I'm trying to advice you why we need [Indiscernible] within the minutes.,9,,
44,0.97,308.174,310.209,There are three main reasons.,9,,
45,0.97,310.209,319.519,"One, additional resources for other departments or providers.",9,,
46,0.97,319.519,330.53,"For example, I made a living from the Uw about a 30 minute's drive.",9,,
47,0.97,330.53,331.397,We had a great conversation.,9,,
48,0.97,331.397,333.733,I'm also a future medical doctor.,9,,
49,0.97,333.733,346.546,"Unfortunately, I am so scared to death she is without a mask for this long trip because I have six years on time when I go back home.",9,,
50,0.97,346.546,351.15,"Number two, additional time we spent with different customers, for example cleaning.",9,,
51,0.97,351.15,355.121,"Number three, it's expensive.",9,,
52,0.97,355.121,368.267,"During this pandemic, we have to make sure everyone is wearing masks and Disinfecting to minimize high risk.",9,,
53,0.97,368.267,375.675,Thank you for Hard-Working paper Hard-Working class.,9,,
54,0.97,375.675,377.243,We are also examples of first responders.,9,,
55,0.97,377.243,377.543,Thank you.,9,,
56,0.97,377.543,381.08,I appreciate it.,9,,
57,0.97,381.08,382.982,Thank you for calling in today.,10,,
58,0.97,382.982,387.62,Our next Speaker is James Thomas.,10,,
59,0.97,403.202,405.671,"Jamesb Thomas, 65 years old, Uber Eaves, Postmates, Amazon, door dash, and Instacart.",11,,
60,0.97,405.671,407.907,I've been doing gig work since I was nine years old.,11,,
61,0.97,407.907,409.308,Hustling is what we called it.,11,,
62,0.97,409.308,411.711,I would help people get home with their groceries from the supermarket.,11,,
63,0.97,411.711,413.413,"55 years later, this is not news to me.",11,,
64,0.97,413.413,417.283,A lot of newer and recent drivers don't worry about how much we made only two years ago.,11,,
65,0.97,417.283,422.922,It's absurd to be asked to deliver someone's packages for two dollars to customers.,11,,
66,0.97,422.922,429.228,These companies employ need to pay out more for the jobs that we do.,11,,
67,0.97,429.228,441.04,"These companies constantly change the terms of agreement, which always lead to the drivers working more to oblige the company while getting paid less and less to do the trips.",11,,
68,0.97,441.04,444.844,Drivers throw caution to the wind.,11,,
69,0.97,444.844,451.551,"Every time one jumps on a new platform, there's continued risk of transmitting a fatal virus to the members of the home they live in.",11,,
70,0.97,451.551,453.619,"We are essential and at risk, period.",11,,
71,0.97,453.619,465.832,"The delivery industry is growing big time and we need proper working conditions advocated for, like yesterday.",11,,
72,0.97,465.832,473.139,"Therefore, we need someone on our representative Council to advocate for us workers, and get us paid properly.",11,,
73,0.97,473.139,476.175,Thank you for your time.,11,,
74,0.97,476.175,479.579,"Thank you, James for calling in.",12,,
75,0.97,479.579,482.215,Our next Speaker is Jake Miller.,12,,
76,0.97,493.526,493.893,Hello.,13,,
77,0.97,493.893,494.861,My name is Jake Miller.,13,,
78,0.97,494.861,498.097,"I have been doing gig work since August 2018 on Postmates, door dash, and Amazon flex.",13,,
79,0.97,498.097,512.812,I am here to comment in support of CB 119798 in support of good workers.,13,,
80,0.97,512.812,515.615,Workers are being paid below the minimum wage to deliver during this pandemic.,13,,
81,0.97,515.615,520.319,Companies can get away with this because many of these people doing this essential work don't have any other options.,13,,
82,0.97,520.319,524.724,"When I started doing door dash in 2018, the minimum PAYOUT for a delivery was $6.50.",13,,
83,0.97,524.724,535.902,"Over time it has gradually gone down, but since the beginning of this crisis, the massive influx of new drivers has allowed door dash to cut their minimum PAYOUT to as low as three dollars per delivery.",13,,
84,0.97,535.902,538.137,This is simply unacceptable.,13,,
85,0.97,538.137,546.646,"Additionally, companies like door dash and Postmates have not provided personal protective equipment, meaning good workers are required to acquire it for ourselves.",13,,
86,0.97,546.646,555.955,All of this is why we need some sort of essential hazard pay for essential workers for the duration of this crisis.,13,,
87,0.97,555.955,565.565,"This crisis hit, and my regular employer got into the Ppp.",13,,
88,0.97,565.565,578.778,"That means I don't have to depend on get work the way I did in the past, but forget workers who do depend on this income, the current pay structure means they are getting some minimum wage wages while risking their health to provide an essential service.",13,,
89,0.97,578.778,595.194,"If I can get paid my regular wage from my W-2 employer, for doing absolutely nothing, I think it is absolutely absurd that we cannot pay the essential workers in this city a minimum wage to risk their lives and deliver during a crisis.",13,,
90,0.97,595.194,597.863,Thank you for allowing me the time to speak.,13,,
91,0.97,597.863,605.905,"Please, enact this legislation CB 115199.",13,,
92,0.97,605.905,607.239,Thank you.,13,,
93,0.97,612.611,614.313,Thank you so much for calling in today.,14,,
94,0.97,614.313,622.822,Our next Speaker is going to be Zachariah Harataugh.,14,,
95,0.97,622.822,627.293,My name is Zachariah 23.,15,,
96,0.97,627.293,631.998,"I drive for Uber, Postmates, door dash and Grubhub.",15,,
97,0.97,631.998,635.434,I think Mike Council members allowing me to speak.,15,,
