index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.884,20.286,", thank you very much for joining the Finance and housing committee ..",0,,
1,0.97,20.286,22.956,Today is the first meeting of 2022 ..,0,,
2,0.97,22.956,26.726,"Meeting will come to order on January 19th, 2022 ..",0,,
3,0.97,26.726,28.995,The time is 9:31 A.M.,0,,
4,0.97,28.995,41.741,Will the clerk please call the roll.,0,,
5,0.97,41.741,44.944,[roll being called],0,,
6,0.97,44.944,54.988,& GT;,1,,
7,0.97,55.855,58.324,"That is five present, none absent expect that is a bulletin it's for our first meeting of 2022 ..",2,,
8,0.97,58.324,61.694,"I want to welcome new committee members, Councilmember Nelson and Councilmember Peterson.",2,,
9,0.97,61.694,73.773,"It's great to have you on board with us here today because folks know, we have a mix of housing related items, finance, we transition to budget items included in this meeting, our midyear supplemental as well.",2,,
10,0.97,73.773,79.112,Every now and again we have items that relate to our city budget and workplace safety.,2,,
11,0.97,79.112,89.856,"Lots of those workplace safety issues . Those will be handled in the Council President Committee, as she has Governance.",2,,
12,0.97,89.856,91.191,Today we will begin with sort of a ground setting.,2,,
13,0.97,91.191,99.799,Where we are out with spending the funding from the Seattle rescue trend fifth--.,2,,
14,0.97,99.799,104.237,We are pleased to have with the senior deputy Mayor with us ..,2,,
15,0.97,104.237,114.948,"Will also have the interim director for the city budget office, Julie daily, along with our very own central staff team members, Esther and Allie and others on the line with us today.",2,,
16,0.97,114.948,127.427,Thank you very much for all of your presentation as we do some ground setting in terms of where we are at in spending that funding that was passed in partnership with,2,,
17,0.97,127.427,133.533,Reporter: the previous Mayor and previous counsel in 2022.,3,,
18,0.97,133.533,139.539,"In July of last year, but this is a great opportunity for us to understand what has been done and also, more importantly, what is to be done in the near future.",3,,
19,0.97,139.539,146.613,"We will then have a panel presentation, which we have titled equity health for immigrants.",3,,
20,0.97,146.613,148.548,There has been a lot of conversation thanks to the incoming administration.,3,,
21,0.97,148.548,168.334,Maher held talked about how we expend Healthcare to those currently priced out or kept out of Healthcare for both state and Federal programs and who are not able to get Employer-Sponsored insurance.,3,,
22,0.97,168.334,174.073,We all want to know how we can expand health coverage to everyone in our region and make sure everyone is covered and everyone is healthy.,3,,
23,0.97,174.073,183.917,"These two items, we do not have the appointment to the sugary sweet and beverage advisory board as those are still getting finalized.",3,,
24,0.97,183.917,185.785,We have one appointment that will be forthcoming from the Council.,3,,
25,0.97,185.785,190.823,And I believe two more that will soon be coming from that administration.,3,,
26,0.97,190.823,205.972,If there is no objection on these items for today's agenda the agenda will be adopted.,3,,
27,0.97,205.972,206.973,Hearing no objection the agenda is adopted.,3,,
28,0.97,206.973,207.774,Let's begin with public comment.,3,,
29,0.97,207.774,219.852,"It's my understanding we do not have anyone signed up for public comment before I move off of public comment I want to confirm with our clerks and our I.T group . is that correct, there is no one signed up for public public comment?",3,,
30,0.97,219.852,220.353,That is correct.,4,,
31,0.97,220.353,221.421,There's no one for public comment at the moment.,4,,
32,0.97,221.421,224.891,There are no public comment.,5,,
33,0.97,224.891,225.224,Registrants.,5,,
34,0.97,225.224,225.858,Thank you both very much.,6,,
35,0.97,225.858,241.007,"At this point we will go ahead and close public comment . As always, we will keep public comment at the beginning of her meetings at least one medic Madame clerk, please read item number one into the record.",6,,
36,0.97,241.007,247.413,"Agenda item number one, Seattle rescue plan implementation update for briefing on discussion.",7,,
37,0.97,247.413,247.747,Wonderful.,8,,
38,0.97,247.747,249.282,"Again, I want to thank the panel that we have in front of us.",8,,
39,0.97,249.282,251.484,We have senior deputy Mayor Lisa Harold . welcome.,8,,
40,0.97,251.484,257.89,"We have Julie daily, acting director from the city budget office as well as William Chen.",8,,
41,0.97,257.89,258.224,Good morning.,8,,
42,0.97,258.224,264.43,We also have with us Allie Fonoti from central staff.,8,,
43,0.97,264.43,265.465,Allie is our budget from central staff.,8,,
44,0.97,265.465,277.977,"And we always welcome Esther as well, director of central staff who may come in at various parts of the day.",8,,
45,0.97,277.977,279.345,We wanted to note Allie is here with us today.,8,,
46,0.97,279.345,282.515,"Allie, I understand we will not have a formal role in the presentation, but counsel has a number questions and being in central staff.",8,,
47,0.97,282.515,284.917,I'm sure you might have some good answers on hand as well.,8,,
48,0.97,284.917,287.854,Just to get us started.,8,,
49,0.97,287.854,300.767,"I want to see how excited I am to have this item 1ST on our agenda . at the top of the year . again, I'm very thrilled to be able to be your budget chair, to be your chair of finance and housing.",8,,
50,0.97,300.767,307.173,I think colleagues in the Council president for the opportunity to continue to serve in this role ..,8,,
51,0.97,307.173,314.447,"Finance and housing, we continue to try to bridge between what makes our community healthy, investing in core government services ..",8,,
52,0.97,314.447,320.953,"Things that make our community stronger and, hopefully, more resilient against this variant of Covid ..",8,,
53,0.97,320.953,322.722,"Also, stronger against the inequities that we see continuing to grow in Seattle.",8,,
54,0.97,322.722,344.51,"That's what I really see what clues are committed together as we create a budget and care for those currently living in shelter and making sure our community is connected both with infrastructure and the Brick-And-Mortar sense, and also in human infrastructure ..",8,,
