index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,2.88,289.03,[music] everyone the August 12 everyone the August 12 2020 special meeting of the Seattle city 2020 special meeting of the Seattle city council will come to order it is 206 PM Council will come to order it is 206 PM I'm Lorena Gonzalez president of the I'm Lorena Gonzalez president of the Council will the clerk please call the Council will the clerk please call the roll roll roll Council member Peterson here Council Council member Peterson here Council member Sawant member Sawant here Council member Strauss here Council member Strauss President Council member Herbal President Council member Herbal Councilmember Morales here Councilmember Morales here Councilmember Muscata here Council Councilmember Muscata here Council President President President Gonzalez here eight present Gonzalez here eight present thank you Madam clerk if there's no thank you Madam clerk if there's no objection the agenda will objection the agenda will be adopted hearing no objection be adopted hearing no objection the agenda is adopted Uh colleagues will the agenda is adopted Uh colleagues will the agenda is adopted Uh colleagues will go ahead go ahead go ahead and Uh begin public comment at this time and Uh begin public comment at this time and Uh begin public comment at this time we we we will open Uh the remote public comment will open Uh the remote public comment will open Uh the remote public comment period for items on the city council period for items on the city council period for items on the city council agenda and the Council's 2020 work agenda and the Council's 2020 work agenda and the Council's 2020 work program program program I'd ask that everyone who is joining us I'd ask that everyone who is joining us I'd ask that everyone who is joining us for public comment be patient as we for public comment be patient as we for public comment be patient as we continue to learn to operate this new continue to learn to operate this new continue to learn to operate this new system in real time and navigate through system in real time and navigate through system in real time and navigate through the Uh growing pains we are continuously the Uh growing pains we are continuously the Uh growing pains we are continuously looking for ways to Fine-Tune this looking for ways to Fine-Tune this looking for ways to Fine-Tune this remote process and adding new features remote process and adding new features remote process and adding new features that allow for that allow for that allow for additional means of participation in our additional means of participation in our additional means of participation in our Council meetings Council meetings Council meetings it does remain our strong intent to it does remain our strong intent to it does remain our strong intent to continue to have remote public comment continue to have remote public comment continue to have remote public comment regularly included on regularly included on regularly included on our remote meeting Agendas however the our remote meeting Agendas however the our remote meeting Agendas however the city council reserves the right to end city council reserves the right to end city council reserves the right to end or eliminate these public comment or eliminate these public comment or eliminate these public comment periods at any time periods at any time periods at any time if we deem that the system is being if we deem that the system is being if we deem that the system is being abused or is no longer suitable for abused or is no longer suitable for abused or is no longer suitable for allowing our meetings to be conducted allowing our meetings to be conducted allowing our meetings to be conducted efficiently and in a manner efficiently and in a manner efficiently and in a manner in which we are able to conduct our in which we are able to conduct our in which we are able to conduct our necessary business necessary business necessary business I will moderate the public comment I will moderate the public comment I will moderate the public comment period in the following manner the period in the following manner the period in the following manner the public comment period for this meeting public comment period for this meeting public comment period for this meeting is 20 minutes and each Speaker will be is 20 minutes and each Speaker will be is 20 minutes and each Speaker will be given two minutes to speak given two minutes to speak given two minutes to speak I will call on each Speaker by name and I will call on each Speaker by name and I will call on each Speaker by name and in the order in which they registered on in the order in which they registered on in the order in which they registered on the Council's Website the Council's Website the Council's Website if you have not yet registered to speak if you have not yet registered to speak if you have not yet registered to speak but would like to you can sign up before but would like to you can sign up before but would like to you can sign up before the end of public comment by going to the end of public comment by going to the end of public comment by going to the Council's Website at Seattle.Gov the Council's Website at Seattle.Gov the Council's Website at Seattle.Gov forward slash Council that's forward slash Council that's forward slash Council that's C-O-U-N-C-I-L C-O-U-N-C-I-L C-O-U-N-C-I-L the public comment link is also listed the public comment link is also listed the public comment link is also listed on today's agenda on today's agenda on today's agenda once I call a Speaker's name staff will once I call a Speaker's name staff will once I call a Speaker's name staff will Unmute the appropriate microphone and an Unmute the appropriate microphone and an Unmute the appropriate microphone and an automatic prompt of you have been automatic prompt of you have been automatic prompt of you have been Unmuted will be the Speaker's Queue that Unmuted will be the Speaker's Queue that Unmuted will be the Speaker's Queue that it is their turn to speak it is their turn to speak it is their turn to speak and before speaking the Speaker must and before speaking the Speaker must and before speaking the Speaker must also press also press also press Star six to begin speaking Star six to begin speaking Star six to begin speaking please begin speaking by stating your please begin speaking by stating your please begin speaking by stating your name and the item name and the item name and the item that you are addressing after you hit that you are addressing after you hit that you are addressing after you hit Star six Star six Star six and as a reminder public comment should and as a reminder public comment should and as a reminder public comment should relate to an item on today's agenda or relate to an item on today's agenda or relate to an item on today's agenda or the Council's 2020 work program the Council's 2020 work program the Council's 2020 work program speakers will hear a Chime when they speakers will hear a Chime when they speakers will hear a Chime when they have only 10 seconds left have only 10 seconds left have only 10 seconds left of their two minutes once you hear the of their two minutes once you hear the of their two minutes once you hear the Chime Chime Chime we ask that you begin to wrap up your we ask that you begin to wrap up your we ask that you begin to wrap up your public comment if speakers do not end public comment if speakers do not end public comment if speakers do not end their their their comments at the end of the allotted time comments at the end of the allotted time comments at the end of the allotted time period the Speaker's microphone will be period the Speaker's microphone will be period the Speaker's microphone will be muted to allow us to call on the next muted to allow us to call on the next muted to allow us to call on the next person person person once you've completed your public once you've completed your public once you've completed your public comment we ask that you please comment we ask that you please comment we ask that you please Disconnect from the line Disconnect from the line Disconnect from the line and if you plan to continue following and if you plan to continue following and if you plan to continue following this meeting please do so via Seattle this meeting please do so via Seattle this meeting please do so via Seattle channel or the listening options listed channel or the listening options listed channel or the listening options listed on the agenda on the agenda on the agenda the public comment period is now open the public comment period is now open the public comment period is now open and I will begin with the first Speaker and I will begin with the first Speaker and I will begin with the first Speaker on the list again please remember to on the list again please remember to on the list again please remember to press press press Star six before Star six before Star six before um before speaking today okay let's see um before speaking today okay let's see um before speaking today okay let's see first Speaker is Maria Harwell followed first Speaker is Maria Harwell followed first Speaker is Maria Harwell followed by Peter by Peter by Peter Shalito hello my name is Maria Harwell I'm hello my name is Maria Harwell I'm hello my name is Maria Harwell I'm calling today in support of the calling today in support of the calling today in support of the Council bill 11962 Council bill 11962 Council bill 11962 to provide Community-Based organizations to provide Community-Based organizations to provide Community-Based organizations with three million dollars for research with three million dollars for research with three million dollars for research to promote real public safety informed to promote real public safety informed to promote real public safety informed by community needs by community needs by community needs as you know the ordinance provides as you know the ordinance provides as you know the ordinance provides resources for resources for resources for an initial needs assessment including an initial needs assessment including an initial needs assessment including language access needs language access needs language access needs staffing and technical support community staffing and technical support community staffing and technical support community Participatory budgeting data collection Participatory budgeting data collection Participatory budgeting data collection and reporting and development of a and reporting and development of a and reporting and development of a roadmap for future equitable roadmap for future equitable roadmap for future equitable Participatory budget processes Participatory budget processes Participatory budget processes related to public safety your financial related to public safety your financial related to public safety your financial commitment for research commitment for research commitment for research enables community building which is enables community building which is enables community building which is fundamental to real public safety fundamental to real public safety fundamental to real public safety thank you very much my time thank you so thank you very much my time thank you so thank you very much my time thank you so much for calling much for calling much for calling in next up is Peter Celito thank you Hi this is Peter Shalato in thank you Hi this is Peter Shalato in thank you Hi this is Peter Shalato in Seattle district 4.,0,,
1,0.97,289.03,289.04,Seattle district 4.,0,,
2,0.97,289.03,290.79,Seattle district 4.,0,,
3,0.97,289.04,733.566,"It has been a busy couple months and I it has been a busy couple months and I it has been a busy couple months and I want to start by thanking you all for want to start by thanking you all for want to start by thanking you all for doing your job representing the people doing your job representing the people doing your job representing the people of Seattle of Seattle of Seattle engaging in uncomfortable and difficult engaging in uncomfortable and difficult engaging in uncomfortable and difficult conversations conversations conversations and taking action through the budget to and taking action through the budget to and taking action through the budget to remove power from the police remove power from the police remove power from the police power they have shown so much power they have shown so much power they have shown so much willingness to abuse this summer willingness to abuse this summer willingness to abuse this summer we need to continue working towards we need to continue working towards we need to continue working towards Defunding by at least 50 percent Defunding by at least 50 percent Defunding by at least 50 percent I'm calling today in particular to to I'm calling today in particular to to I'm calling today in particular to to support the bill to provide community support the bill to provide community support the bill to provide community based organizations with three million based organizations with three million based organizations with three million dollars for dollars for dollars for research your financial commitment will research your financial commitment will research your financial commitment will enable community building which is so enable community building which is so enable community building which is so fundamental to fundamental to fundamental to public safety as you know this ordinance public safety as you know this ordinance public safety as you know this ordinance provides resources specifically provides resources specifically provides resources specifically for an initial needs assessment staffing for an initial needs assessment staffing for an initial needs assessment staffing training administrative and technical training administrative and technical training administrative and technical support support support community Participatory budgeting data community Participatory budgeting data community Participatory budgeting data collection analysis and reporting and collection analysis and reporting and collection analysis and reporting and development of a roadmap for future development of a roadmap for future development of a roadmap for future equitable Participatory equitable Participatory equitable Participatory budget processes related to public budget processes related to public budget processes related to public safety safety safety and finally this may be beyond your and finally this may be beyond your and finally this may be beyond your powers but after hearing comments from powers but after hearing comments from powers but after hearing comments from chief best yesterday chief best yesterday chief best yesterday I would love to see an investigation I would love to see an investigation I would love to see an investigation into who gave the order for officers to into who gave the order for officers to into who gave the order for officers to leave the East precinct leave the East precinct leave the East precinct on June 8th if the command came from the on June 8th if the command came from the on June 8th if the command came from the Seattle police officers Guild Seattle police officers Guild Seattle police officers Guild then this city is hostage to that group then this city is hostage to that group then this city is hostage to that group even more than I thought even more than I thought even more than I thought the officers effectively carried out a the officers effectively carried out a the officers effectively carried out a strike in plain sight strike in plain sight strike in plain sight that's all I have for today thank you that's all I have for today thank you that's all I have for today thank you again for your hard work black lives again for your hard work black lives again for your hard work black lives matter thank you so much for calling in Peter thank you so much for calling in Peter thank you so much for calling in Peter um that is um that is um that is those are all the names I have for those are all the names I have for those are all the names I have for public comment public comment public comment today so we are going to go ahead and today so we are going to go ahead and today so we are going to go ahead and close close close out our period of Uh public comment out our period of Uh public comment out our period of Uh public comment thank you thank you thank you to the folks who called in to provide to the folks who called in to provide to the folks who called in to provide public comment today public comment today public comment today okay we're going to go ahead and move on okay we're going to go ahead and move on okay we're going to go ahead and move on to items of business to items of business to items of business on our agenda for today the first item on our agenda for today the first item on our agenda for today the first item up is reconsideration of Council bill up is reconsideration of Council bill up is reconsideration of Council bill one one nine eight one two one one nine eight one two one one nine eight one two Uh I would ask the clerk please read the Uh I would ask the clerk please read the Uh I would ask the clerk please read the item item item Uh item one into the record agenda one Council one one nine eight agenda one Council one one nine eight agenda one Council one one nine eight one two MND ordinance one two six zero one two MND ordinance one two six zero one two MND ordinance one two six zero zero zero which adopted the 2020 budget zero zero which adopted the 2020 budget zero zero which adopted the 2020 budget making appropriations from the emergency making appropriations from the emergency making appropriations from the emergency Fund Fund fund for public assistance during the Coven for public assistance during the Coven for public assistance during the Coven 19 civil emergency 19 civil emergency 19 civil emergency making an appropriation from the general making an appropriation from the general making an appropriation from the general fund for public assistance during fund for public assistance during fund for public assistance during civil emergency and making civil emergency and making civil emergency and making appropriations from the revenue appropriations from the revenue appropriations from the revenue stabilization fund stabilization fund stabilization fund for public assistance during civil for public assistance during civil for public assistance during civil emergency all by three-fourths vote of emergency all by three-fourths vote of emergency all by three-fourths vote of the city council the city council the city council thank you Madam clerk um I am thank you Madam clerk um I am thank you Madam clerk um I am colleagues I am calling up the colleagues I am calling up the colleagues I am calling up the reconsideration of passage of Council reconsideration of passage of Council reconsideration of passage of Council bill bill bill 119812 119812 119812 to consider the Mayor's veto the to consider the Mayor's veto the to consider the Mayor's veto the reconsideration of Council bill reconsideration of Council bill reconsideration of Council bill 119812 is now pending before the Council 119812 is now pending before the Council 119812 is now pending before the Council I'm gonNA go ahead and open it up for Uh I'm gonNA go ahead and open it up for Uh I'm gonNA go ahead and open it up for Uh comments comments comments in a moment um and Uh I would ask that in a moment um and Uh I would ask that in a moment um and Uh I would ask that the prime sponsor the prime sponsor the prime sponsor of the bill and the chair of our budget of the bill and the chair of our budget of the bill and the chair of our budget committee Councilmember Moscata committee Councilmember Moscata committee Councilmember Moscata um will be the first person to speak um will be the first person to speak um will be the first person to speak to this particular vote for to this particular vote for to this particular vote for reconsideration and then I will reconsideration and then I will reconsideration and then I will happily open it up to um my other happily open it up to um my other happily open it up to um my other colleagues for any colleagues for any colleagues for any comments on Uh reconsideration of this comments on Uh reconsideration of this comments on Uh reconsideration of this Council bill Council bill Council bill I just like to start by saying that Uh I just like to start by saying that Uh I just like to start by saying that Uh the reason we are taking up the reason we are taking up the reason we are taking up the reconsideration of Council bill 119 the reconsideration of Council bill 119 the reconsideration of Council bill 119 812 812 812 is um because the Charter of the city of is um because the Charter of the city of is um because the Charter of the city of Seattle under section 12 requires the Seattle under section 12 requires the Seattle under section 12 requires the Council Council Council to take up and reconsider to take up and reconsider to take up and reconsider any and all bills that may be vetoed by any and all bills that may be vetoed by any and all bills that may be vetoed by by the Mayor of Seattle we have engaged by the Mayor of Seattle we have engaged by the Mayor of Seattle we have engaged with our law Department and with our law Department and with our law Department and have confirmed that the have confirmed that the have confirmed that the requirement to requirement to requirement to [music] [music] [music] the requirement to reconsider the requirement to reconsider the requirement to reconsider the veto is mandated by the veto is mandated by the veto is mandated by the Charter in other words it is it is the Charter in other words it is it is the Charter in other words it is it is not not not discretionary on our part in terms of discretionary on our part in terms of discretionary on our part in terms of whether we consider whether we consider whether we consider a veto or not and again that's under a veto or not and again that's under a veto or not and again that's under section 12 section 12 section 12 of the city charter and I just want to of the city charter and I just want to of the city charter and I just want to take a moment to take a moment to take a moment to to make sure that the record reflects to make sure that the record reflects to make sure that the record reflects the mandatory language the mandatory language the mandatory language that is included in section 12 of Uh that is included in section 12 of Uh that is included in section 12 of Uh of of the Charter which reads quote the of of the Charter which reads quote the of of the Charter which reads quote the Council shall Council shall Council shall not less than five days after such not less than five days after such not less than five days after such publication and within 30 days after publication and within 30 days after publication and within 30 days after such bill shall have been so returned such bill shall have been so returned such bill shall have been so returned reconsider and vote upon the same reconsider and vote upon the same reconsider and vote upon the same and so I just want to make sure that the and so I just want to make sure that the and so I just want to make sure that the record is clear as to why we are taking record is clear as to why we are taking record is clear as to why we are taking up this vote up this vote up this vote it is rooted in a charter required it is rooted in a charter required it is rooted in a charter required obligation for the obligation for the obligation for the full Council to undergo this exercise full Council to undergo this exercise full Council to undergo this exercise I am looking forward to having a I am looking forward to having a I am looking forward to having a conversation about how to conversation about how to conversation about how to move us forward on Uh Council bill 119 move us forward on Uh Council bill 119 move us forward on Uh Council bill 119 812 which was originally passed 812 which was originally passed 812 which was originally passed unanimously with a 9-0 unanimously with a 9-0 unanimously with a 9-0 vote from the city Council and vote from the city Council and vote from the city Council and I believe Councilmember Moscata and I'm I believe Councilmember Moscata and I'm I believe Councilmember Moscata and I'm also happy to address this Uh also happy to address this Uh also happy to address this Uh have worked over the last 48 hours on have worked over the last 48 hours on have worked over the last 48 hours on identifying potential consensus here identifying potential consensus here identifying potential consensus here to move us forward and identifying some to move us forward and identifying some to move us forward and identifying some compromise opportunities so that we can compromise opportunities so that we can compromise opportunities so that we can go ahead and move forward go ahead and move forward go ahead and move forward and begin the process of getting this and begin the process of getting this and begin the process of getting this important relief important relief important relief out to eligible residents in the city out to eligible residents in the city out to eligible residents in the city of Seattle so in large part Uh today of Seattle so in large part Uh today of Seattle so in large part Uh today and we will reconsider this and my hope and we will reconsider this and my hope and we will reconsider this and my hope is is is Uh consistent with the communication Uh consistent with the communication Uh consistent with the communication that Councilmember mosquito sent out that Councilmember mosquito sent out that Councilmember mosquito sent out this morning this morning this morning that we'll have an opportunity to that we'll have an opportunity to that we'll have an opportunity to immediately amend it immediately amend it immediately amend it with some language that with some language that with some language that will reflect Uh the Council's will reflect Uh the Council's will reflect Uh the Council's willingness to willingness to willingness to take into consideration the new take into consideration the new take into consideration the new financial information that we received financial information that we received financial information that we received on Monday on Monday on Monday and to make sure that that those and to make sure that that those and to make sure that that those financial financial financial realities are reflected memorialized realities are reflected memorialized realities are reflected memorialized and appropriately considered as we look and appropriately considered as we look and appropriately considered as we look at at at um moving forward with this particular um moving forward with this particular um moving forward with this particular Council bill so um hope that Council bill so um hope that Council bill so um hope that you all will um you all will um you all will um share some of your own comments and at share some of your own comments and at share some of your own comments and at this point I'm going to go ahead and this point I'm going to go ahead and this point I'm going to go ahead and hand it over to hand it over to hand it over to Uh Council member Moscata who was the Uh Council member Moscata who was the Uh Council member Moscata who was the prime sponsor of um the bill prime sponsor of um the bill prime sponsor of um the bill and then Uh colleagues for anyone else and then Uh colleagues for anyone else and then Uh colleagues for anyone else who would like to provide who would like to provide who would like to provide comments before we call this to a role comments before we call this to a role comments before we call this to a role please do let me know by please do let me know by please do let me know by raising your hand or by shooting me a raising your hand or by shooting me a raising your hand or by shooting me a quick quick quick message to let me know you'd like to get message to let me know you'd like to get message to let me know you'd like to get in the Queue thank you Councilman in the Queue thank you Councilman in the Queue thank you Councilman mosquito please mosquito please mosquito please Uh thank you very much Madam President I Uh thank you very much Madam President I Uh thank you very much Madam President I want to start today want to start today want to start today by thanking the Mayor the city budget by thanking the Mayor the city budget by thanking the Mayor the city budget office and all of the folks who've been office and all of the folks who've been office and all of the folks who've been involved with this Council over the last involved with this Council over the last involved with this Council over the last few months as we engage in the budget few months as we engage in the budget few months as we engage in the budget process process process especially as we review the revenue especially as we review the revenue especially as we review the revenue forecasts forecasts forecasts given the crisis that we're in we given the crisis that we're in we given the crisis that we're in we understand the realities of the changing understand the realities of the changing understand the realities of the changing revenue forecasts the trying times that revenue forecasts the trying times that revenue forecasts the trying times that we are in to both respond to the we are in to both respond to the emerging emerging emerging and emergent needs in our community and and emergent needs in our community and also to make sure that our city also to make sure that our city and our city employees have the services and our city employees have the services that they need that they need together we are working to identify the needed revenue to address the needs in our community, and to be fiscally prudent with the dollars in front of us.",0,,
4,0.97,733.566,740.339,This effort today is an effort to work together to address the revenue short fall in front of us.,0,,
5,0.97,740.339,747.346,Monday we did get news from the Ceo there was another projected $26 million short fall.,0,,
6,0.97,747.346,755.754,We want to thank CBO director Ben noble for flagging the 26 million that had presented itself in this most recent revenue forecast.,0,,
7,0.97,755.754,781.18,"As we learned about it Monday over the last 48 hours we've been working diligently along with the Councilmember's comments, I and I know vice chair Herble and others have been working on ways we know to close this gap, and to find collaborative creative solutions to make sure we can still get dollars out the door.",0,,
8,0.97,781.18,784.683,All of this is in our joint interest.,0,,
9,0.97,784.683,798.731,"Our interest in the city, everyone in city hall, but also most importantly the residents of the city, that we work to provide immediate relief and to close this revenue gap.",0,,
