index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,22.389,34.868,Good morning and welcome to the April 13th meeting of the public safety and human services committee meeting.,0,,
1,0.97,34.868,36.469,It is 9:31 A.M.,0,,
2,0.97,36.469,43.376,"I am Lisa Herbold, the chair of the committee.",0,,
3,0.97,43.376,47.881,District one with Seattle member.,0,,
4,0.97,47.881,55.789,"Before we get started, my apologies.",0,,
5,0.97,55.789,57.057,Can you please take role.,0,,
6,0.97,57.057,58.792,Council President Gonzales,1,,
7,0.97,58.792,60.66,Here,2,,
8,0.97,60.66,65.498,Councilmember Lewis?,3,,
9,0.97,65.498,66.166,Councilmember morale is?,4,,
10,0.97,66.166,67.1,Here.,5,,
11,0.97,67.1,69.169,Councilmember Sawant?,6,,
12,0.97,69.169,75.308,Chair are bold?,7,,
13,0.97,75.308,75.708,Here.,8,,
14,0.97,75.708,78.278,Four present and one absent.,9,,
15,0.97,78.278,90.924,"Before we move on to the agenda, I just want to really quickly go over a few things on today's agenda.",10,,
16,0.97,90.924,93.293,We will have two Council appointments to the community police Commission.,10,,
17,0.97,93.293,102.702,I just want to note that I had temporarily scheduled a discussion to vote on Council bill 1199 81.,10,,
18,0.97,102.702,108.007,This is legislation pertaining to the Seattle police Department budget.,10,,
19,0.97,108.007,124.557,We cannot hear that legislation at this meeting as the monitor sent questions to the Seattle police Department with specific instructions that the questions be answered as expeditiously as possible.,10,,
20,0.97,124.557,130.396,That direction to the has not yet been fulfilled.,10,,
21,0.97,130.396,132.065,Questions have not been answered.,10,,
22,0.97,132.065,149.449,The monitoring direction was not only that the police Department should answer their questions expeditiously cup but that they should do so prior to further actions by the city on the budget of the Seattle police Department.,10,,
23,0.97,149.449,166.499,"For that reason, we have not brought back the substitute version of Council bill 1199 81 that we spoke about in our left committee meeting.",10,,
24,0.97,166.499,172.505,I'd also like to hear an update on the new safe and dry community division.,10,,
25,0.97,172.505,183.316,I'm excited about elevating their work to consolidate the departments investment and safety prevention.,10,,
26,0.97,183.316,194.527,Me know the Department is out advertising and seeking a new division director for the safe and thriving communities division.,10,,
27,0.97,194.527,222.989,Moving forward in the future the division will house the city's work to Captor domestic violence including a team of victim advocates transferred from the Seattle police Department in 2020 and eight SD existing investments in youth and community safety which will be transferred from the departments existing youth and family empowerment.,10,,
28,0.97,222.989,226.559,I'm excited to hear more about this work in the next upcoming April 27th meeting.,10,,
29,0.97,226.559,235.935,"With that, if there are no objections, I'd like to adopt today's agenda.",10,,
30,0.97,235.935,240.44,Are there any objections?,10,,
31,0.97,240.44,241.908,"Hearing none, today's agenda is adopted.",10,,
32,0.97,241.908,248.348,At this time we will transition into public comments.,10,,
33,0.97,248.348,250.283,Each Speaker will be given two minutes to speak.,10,,
34,0.97,250.283,258.491,I will call on each Speaker by name and in the order in which they registered on the Council's Website.,10,,
35,0.97,258.491,269.469,"If you have not yet registered, but would like to do so, you can sign up before the end of the public hearing by going to the Council's Website.",10,,
36,0.97,269.469,271.271,This link is also listed on today's agenda.,10,,
37,0.97,271.271,273.306,Once I call a Speaker's name you will hear a prompt.,10,,
38,0.97,273.306,289.188,Once you have heard the prompt you need to Unmute yourself.,10,,
39,0.97,289.188,295.828,Please begin by speaking your name and the item which you are addressing that is on the agenda and speakers will hear a Chime when 10 seconds our left of the allotted time.,10,,
40,0.97,295.828,302.535,"When the Speaker hears the Chime, we ask that you begin to wrap up your public comments.",10,,
41,0.97,302.535,309.842,"If speakers do not in their comments at the end of the allotted time provided, the speakers microphone will be muted after 10 seconds to allow us to hear from the next Speaker.",10,,
42,0.97,309.842,316.349,Please Disconnect from the line once you conclude your comments and you can continue following the meeting via the Seattle channel or the listening options that you can find on the agenda.,10,,
43,0.97,316.349,332.231,"It looks like as far as the number of people calling in for public comment, we've got about 14 people.",10,,
44,0.97,332.231,332.865,Let's see here.,10,,
45,0.97,332.865,334.667,Give me a moment.,10,,
46,0.97,334.667,338.738,I'm looking for the link.,10,,
47,0.97,338.738,343.176,It's in a different place every time.,10,,
48,0.97,343.176,353.986,We have 15 people signed up for public comment and we will start with Howard.,10,,
49,0.97,353.986,358.257,Good morning.,11,,
50,0.97,358.257,363.196,Continuing police abuse and accountability.,11,,
51,0.97,363.196,366.299,29 people by STB since John t Williams.,11,,
52,0.97,366.299,374.073,"14 had only a knife, broken bottle or no weapon at all.",11,,
53,0.97,374.073,377.744,10 people killed by SPD since Seattle police account the system was put in place in 2017.,11,,
54,0.97,377.744,388.321,Zero is the number of officers held accountable it was also the number of policy changes and recommendations produced by Seattle so-called accountability partners and response.,11,,
55,0.97,388.321,408.207,79 is tiny number out of hundreds of cases of police abuse and demonstrators over the last year.,11,,
56,0.97,408.207,411.444,16 is the number of disciplinary actions taken so far by the SPD for these cases.,11,,
57,0.97,411.444,415.948,Is the number of disciplinary action so far that go beyond the written or oral Reprimand the egregious cases of police abuse.,11,,
58,0.97,415.948,418.751,10 months post George Floyd it's clear that the abuse cases avoid any accountability.,11,,
59,0.97,418.751,426.058,This lack of accountability is exacerbated by the community police Commission.,11,,
60,0.97,426.058,430.696,In February they held a poorly advertised meeting where for the first time in over six years they got on severed community feedback.,11,,
61,0.97,430.696,431.397,The feedback was overwhelming.,11,,
62,0.97,431.397,447.58,We need 100% civilian oversight of police yet one week later the CPC ignored the test me voting instead to recommend a in OPA investigations thereby keeping cops investigating cops.,11,,
63,0.97,447.58,469.969,Welcome to the ninth year of Seattle's so-called police accountability system where virtual Cigna thing is where community is if not outright ignored easily forgotten.,11,,
64,0.97,469.969,474.44,As we approach the one-year mark post George Floyd this complete lack of accountability will guarantee more abuse in the coming months.,11,,
65,0.97,474.44,479.579,Will need to focus our energy in creating full civilian control of police oversight moving beyond virtual signaling.,11,,
66,0.97,479.579,485.218,Thank you.,11,,
67,0.97,485.218,486.018,Thank you.,12,,
68,0.97,486.018,496.429,The next Speaker is BJ.,12,,
69,0.97,497.463,498.598,My name is BJ.,13,,
70,0.97,498.598,500.032,I'm a resident and small business owner.,13,,
71,0.97,500.032,508.14,I'd like to hold SPD accountable for spending in 9981.,13,,
72,0.97,508.14,511.744,Reduce SPD's 2021 budget by the full 5.4 million that SPD Overspent by in 2020.,13,,
73,0.97,511.744,520.953,This 5.4 million concerns items that create community safety.,13,,
74,0.97,520.953,523.356,The Council committed to holding SPD accountable for spending twice in 2020.,13,,
75,0.97,523.356,536.335,"The Council unanimously approved 31962, Section 7 of which said the city council will not support any budget amendments to increase the SPD budget to offset overtime expenditures above the funds budgeted in 2020 or 2021.",13,,
76,0.97,536.335,557.29,"In December Councilmembers voted for ordinance 126 to 57, section 13 of which said the city council expresses its intent to amend the 2021 adopted budget reducing SPD's appropriation authority at least 5.4 million.",13,,
77,0.97,557.29,566.666,To some degree they did not raise any objections or ask any questions about either of these budgets for accountability.,13,,
78,0.97,566.666,578.544,Councilmembers were proposing only cutting the 2021 budget I 2.8 million.,13,,
79,0.97,578.544,580.88,Roughly 1/2 of the 5.4 million SPD Overspent by in 2020.,13,,
80,0.97,580.88,592.224,Spd has 7.7 million of project salary savings in 2021 producing SPD budget I the full 5.4 million that it Overspent by last year.,13,,
81,0.97,592.224,596.495,That leaves 2.3 million for salary savings to spend on items for current priorities.,13,,
82,0.97,596.495,598.931,We don't have budget accountability and we don't have any accountability.,13,,
83,0.97,598.931,609.208,It needs to be amended to the full 5.4 million they Overspent by and give those funds to Participatory budgeting.,13,,
84,0.97,609.208,610.509,Thank you and I yield my time.,13,,
85,0.97,610.509,611.577,Thank you.,14,,
86,0.97,611.577,614.847,Cody followed by Morgan Kelly.,14,,
87,0.97,614.847,625.224,Can you hear me?,15,,
88,0.97,626.625,626.959,Yes.,16,,
89,0.97,626.959,630.629,My name is Cody and I'm a resident in district 4 and a medical researcher in Seattle.,17,,
90,0.97,630.629,634.867,I'm representing Decriminalize nature Seattle.,17,,
91,0.97,634.867,636.936,I'm suggesting that you listen to law enforcement priority.,17,,
92,0.97,636.936,648.481,We impose the city of Seattle takes up this issue being defined which have a lengthy list of proven medical benefits.,17,,
93,0.97,648.481,656.989,In the decision drug law in Washington state is becoming a massive priority.,17,,
94,0.97,656.989,658.691,Many lock makers are wary of pursuing drug laws.,17,,
95,0.97,658.691,669.235,If the city of Seattle ask now and passes a resolution protecting medical practitioners who prescribed them it can demonstrate there's public appetite for change in the status quo.,17,,
96,0.97,669.235,680.98,A similar law was voted on and passed by double and overwhelmingly passed and Demographically similar city in part this is an incredibly popular issue.,17,,
97,0.97,680.98,689.922,We have dozens of local practitioners and groups and Healers and all three local legislative district Democrat party SEES wheels in with.,17,,
98,0.97,689.922,703.969,Personally I think the efficacy of these plant medicines can help is unparalleled.,17,,
99,0.97,705.805,707.139,Even relative to modern pharmaceutical medicine.,17,,
100,0.97,707.139,710.643,"The city of Seattle should join other legislative bodies such as Washington, D.C., Oakland, Denver and many others.",17,,
101,0.97,710.643,712.645,Thank you and I save my time.,17,,
102,0.97,712.645,715.448,The next Speaker is Morgan Kelly followed by Benjamin.,18,,
103,0.97,715.448,718.951,Morgan?,18,,
104,0.97,718.951,719.351,Hi.,19,,
105,0.97,719.351,720.419,My name is Morgan Kelly.,19,,
106,0.97,720.419,725.858,I live in district 3 in Seattle.,19,,
107,0.97,725.858,741.54,[Indiscernible] I been working for most of my adult life among many Attics.,19,,
108,0.97,741.54,745.745,"Traditional therapies have been useful for some, plant medicines have been life altering for those active to them.",19,,
109,0.97,745.745,755.154,I've seen and experienced bring someone back from the brink of suicide and provide insight and help they needed.,19,,
110,0.97,755.154,764.497,"Plant medicines are the most powerful and underutilized medicine for a host of illnesses, not just addiction.",19,,
