index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.673,10.176,This looks like we are live now.,0,,
1,0.97,10.176,10.577,That's right.,1,,
2,0.97,10.577,15.715,The March 23rd meeting of the city council is in order.,2,,
3,0.97,15.715,20.019,I'm president of the Council.,2,,
4,0.97,20.019,27.227,Would the court please call the role?,2,,
5,0.97,27.227,29.162,Councilmember Herbold?,2,,
6,0.97,29.162,29.529,Here.,3,,
7,0.97,29.529,32.232,Councilmember Juarez.,3,,
8,0.97,32.232,33.233,Here.,4,,
9,0.97,33.233,37.37,Councilmember Lewis?,5,,
10,0.97,37.37,38.004,Councilmember Morales.,5,,
11,0.97,38.004,39.239,Here.,6,,
12,0.97,39.239,45.211,Councilmember Mosqueda?,7,,
13,0.97,45.211,48.915,Here.,8,,
14,0.97,48.915,49.749,Couple member Petersen.,9,,
15,0.97,49.749,51.384,Here.,10,,
16,0.97,51.384,52.018,Councilmember Strauss?,11,,
17,0.97,52.018,52.352,Present.,12,,
18,0.97,52.352,54.621,Council President Gonzelez.,13,,
19,0.97,54.621,55.522,Here.,14,,
20,0.97,55.522,55.922,Eight present.,14,,
21,0.97,55.922,59.225,"Thank you so much, clerk.",15,,
22,0.97,59.225,74.607,The city of Seattle issued a emergency proclamation due to the Coronavirus on March 3RD and Seattle and King County health Department has recommendations.,15,,
23,0.97,74.674,86.319,O comply with the Publi our own employees the Seattle city council is meeting remotely and participating electronically.,15,,
24,0.97,86.319,90.59,They recommend this through March 31st of 2020.,16,,
25,0.97,90.59,94.461,It does not provide the public for comment and we regret that.,16,,
26,0.97,94.461,99.632,The city council is continually available by Email.,16,,
27,0.97,99.632,107.106,You can Email us at Council s Seattle DOT Gov.,16,,
28,0.97,107.106,110.143,Council @ Seattle DOT Gov broad cased live.,16,,
29,0.97,110.143,118.985,You can call the Council Chamber at (206) 684-8566.,16,,
30,0.97,118.985,123.723,This number is also listed on the agenda.,16,,
31,0.97,123.723,127.126,And this can also be heard in Council chambers in person.,16,,
32,0.97,127.126,144.777,Of course we are discouraging the Inperson option again in order to ensure that we are complying strictly with the public health officer orders in terms of stopping the spread of the virus.,16,,
33,0.97,144.777,159.125,"Councilmembers the rules are silent at meetings and the Council will conduct remote meeting as late as March 31, 2020.",16,,
34,0.97,159.125,168.902,It could be extended because of information because of governor Inslee's state.,16,,
35,0.97,168.902,180.647,Public comments is not provided at meeting with the city council is meeting remotely to allow Council to conduct remotely and the obviously rules will need to be suspended.,16,,
36,0.97,180.647,197.73,"There is no ox the Council rules will be suspended to allow Councilmembers to participate electronically through March 31st, to 20 and to not include public comment at meetings for the council as participating remotely.",16,,
37,0.97,197.73,211.711,"Hearing no objection the Council rules are suspended and will participate electronically through March 31st, 2020.",16,,
38,0.97,211.711,220.687,Thank you Councilmember as I go through the important administrative steps before we get into the meat of our agenda.,16,,
39,0.97,220.687,222.689,Our first section is presentations.,16,,
40,0.97,222.689,225.024,I'm not aware of any presentations today.,16,,
41,0.97,225.024,228.228,So move onto the approval of the minutes.,16,,
42,0.97,228.228,237.036,"The minutes of the special city council meeting of March 5th and March 9th, 20 to have been reviewed.",16,,
43,0.97,237.036,242.375,If there is no objection the minutes will be signed.,16,,
44,0.97,242.375,248.448,Hearing no objections the minutes are signed and I will ask that the clerk please affix my signature to the minutes.,16,,
45,0.97,248.448,254.053,We will move to the adoption of the referral of the calendar.,16,,
46,0.97,254.053,256.289,Excuse me adoption of the referral calendar.,16,,
47,0.97,256.289,264.364,If there is no objection it will be adopted.,16,,
