index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,16.683,16.783,.,0,,
1,0.97,16.783,17.751,"Good morning, everyone.",1,,
2,0.97,17.751,28.895,Thanks so much for joining the Seattle city council committee meeting of the Finance and housing committee.,1,,
3,0.97,28.895,37.37,Will the clerk please call the roll?,1,,
4,0.97,37.37,38.638,Herbold?,2,,
5,0.97,38.638,40.073,Council member Pederson.,2,,
6,0.97,40.073,40.907,Present.,3,,
7,0.97,40.907,44.511,Council member Nelson.,4,,
8,0.97,44.511,45.345,Present.,5,,
9,0.97,45.345,46.312,Council member Lewis.,6,,
10,0.97,46.312,46.646,Present.,7,,
11,0.97,46.646,47.08,Chair Mosqueda.,8,,
12,0.97,47.08,47.881,Present.,9,,
13,0.97,47.881,52.819,That is a four present one absent I don't thank you very much and good morning colleagues.,10,,
14,0.97,52.819,55.922,Thanks for joining us again today.,10,,
15,0.97,55.922,58.057,We have three items on our agenda today.,10,,
16,0.97,58.057,58.591,I'll briefly read them.,10,,
17,0.97,58.591,68.735,We will have a briefing on the capital projects watch list that has a presentation and memo from central staff.,10,,
18,0.97,68.735,93.827,This is just a briefly and there is a short presentation from central staff as well ask then we have some community guests Joe Paterno us thanks to Council member Herbold and our vice chair who go ahead to invite Jen pride at pride place to provide an overview of some of the great work they are doing regarding our most vulnerable communities and the most pressing need.,10,,
19,0.97,93.827,97.43,If there is no objection today's agenda will be adopted.,11,,
20,0.97,97.43,99.566,Hearing no objection today's agenda is to want.,11,,
21,0.97,99.566,102.035,Colleagues we would move into public comment.,11,,
22,0.97,102.035,107.273,"I do not see anyone signed up, so I will pause briefly just to confirm.",11,,
23,0.97,107.273,113.546,With our it crew that we don't have anybody signed up for public comment?,11,,
24,0.97,113.546,116.983,There are no public comment registrants.,12,,
25,0.97,116.983,117.25,Okay.,13,,
26,0.97,117.25,119.853,Thanks so much for that.,13,,
27,0.97,119.853,129.362,For anybody who does want to provide us with public comment you can reach us on any topic related to the Finance and housing committee.,13,,
28,0.97,129.362,131.998,And for that matter any topic related to city business.,13,,
29,0.97,131.998,145.178,We will Kip public comment then and encourage folks to send in any comments they may have related to items on our agenda to us electronically.,14,,
30,0.97,145.178,150.083,At this time let's move on to our first item of business.,15,,
31,0.97,150.083,154.053,Madam clerk can you please read item 1 into record.,15,,
32,0.97,154.053,156.789,Capital project watch list for briefing and discussion.,16,,
33,0.97,156.789,159.859,Thank you very much.,17,,
34,0.97,159.859,160.193,Madam clerk.,17,,
35,0.97,160.193,164.197,"And colleagues, I want to welcome to the stage here Brian good night.",17,,
36,0.97,164.197,169.669,Brian is with our central staff team who has provided us with a memo and a presentation.,17,,
37,0.97,169.669,174.407,Both of those are linked on today's agenda and we'll be going over those in today's committee.,17,,
38,0.97,174.407,183.049,Central staff is here to present on the resolution that the capital projects watch list has created.,17,,
39,0.97,183.049,192.225,By way of reminder in 2018 Council passed resolution 318533 Co-Sponsored by Council members bag Shaw and Herbold.,17,,
40,0.97,192.225,198.164,This required the small list of capital projects that require enhanced quarterly reporting from the Mayor to be presented to Council.,17,,
41,0.97,198.164,208.274,Today we are going to hear about some of these proposed items on the list that has been transmitted by Mayor Harrell.,17,,
42,0.97,208.274,214.147,"Do company members have anything to add to the watch list notify Brian good night by March 22, Tuesday.",17,,
43,0.97,214.147,223.189,This is an opportunity for us to have a briefing today for you to see what the watch list includes for this year.,17,,
44,0.97,223.189,231.464,And if you do have any amendments for additional ideas you would like it add you are welcome to do that by notifying central staff next Tuesday.,17,,
45,0.97,231.464,243.242,We will endeavor to bring back to this Committee a final project watch list with any amendments that you all are suggesting.,17,,
46,0.97,243.242,247.313,By April 6. and April 6 woe would love to have a briefing discussion and possible vote.,17,,
