index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,8.074,10.076,Good morning everyone.,0,,
1,0.97,10.076,15.348,Thank you for joining the Seattle city council select budget committee.,0,,
2,0.97,15.348,17.517,"Today is October 30th, 2020.",0,,
3,0.97,17.517,18.618,Time is 9:35 A.M.,0,,
4,0.97,18.618,23.289,I'm chair of the select budget committee.,0,,
5,0.97,23.289,25.125,Will the clerk please call the roll?,0,,
6,0.97,25.125,49.149,[roll call] nine present.,0,,
7,0.97,49.149,50.049,Thank you very much Madame clerk.,1,,
8,0.97,50.049,56.623,Thank you all for joining third and final day of our consideration of form BS.,1,,
9,0.97,56.623,66.633,This is our opportunity to highlight priority items for amendments or additions that we would like to see for the Mayor's proposed budget.,1,,
10,0.97,66.633,68.101,The Council has gone through two days.,1,,
11,0.97,68.101,70.47,Today will be another long day.,1,,
12,0.97,70.47,71.538,Just a quick reminder.,1,,
13,0.97,71.538,74.441,We'll take a break between 1:00 and 2:00 for a lunch break.,1,,
14,0.97,74.441,82.982,We'll endeavour to make sure you get done and back to your community or family obligations by 5:00 P.M.,1,,
15,0.97,82.982,86.486,There's over 50 items on today's agenda.,1,,
16,0.97,86.486,99.099,We'll go through them with all the due conversations necessary for questions for people to be understanding the proposals but also ask you to keep your comments brief.,1,,
17,0.97,99.099,99.532,It's been helpful.,1,,
18,0.97,99.532,111.377,Thank you for keeping comments Breech we've been able to adjourn an hour to hour and a half early.,1,,
19,0.97,111.377,111.978,Thank you.,1,,
20,0.97,111.978,116.483,Want to wish you all an early happy Halloween.,1,,
21,0.97,116.483,126.092,We remind viewing public and our teams as well the form BS in front of us were submitted last week on Thursday at 5:00 P.M.,1,,
22,0.97,126.092,141.307,We did ask for two cosponsors to be list in addition to the one prime spontaneous so this is so they have sufficient time to review and work with central staff or law if necessary.,1,,
23,0.97,141.307,153.453,To make sure they're ready for Z this allows us to have the materials in hand and really make sure there's not a lot of surprise amendments coming forward which helps the viewing public and all of us as well.,1,,
24,0.97,153.453,164.063,"As we have done on the floor the last two days, those amendments that you would like to consider for consideration that did not meet the 5:00 P.M.",1,,
25,0.97,164.063,166.633,"Deadline Thursday, we can still do that.",1,,
26,0.97,166.633,177.577,"To make sure they're ready for discuss, we asked for walk on amendments to be circulated by 5:00 P.M.",1,,
27,0.97,177.577,185.685,"The day better and proposing Councilmember submit the information, whether central staff had time to review, and if necessary, reviewed by law.",1,,
28,0.97,185.685,196.629,This allows press to make sure Council is considering potential amendments that have sufficient research gone into them for our consideration today.,1,,
29,0.97,196.629,209.776,"As a reminder, the discuss about amending the agenda to additional forms is not whether or not individual Councilmembers like the proposal but rather a question about process.",1,,
30,0.97,209.776,214.547,Does the amendment meet the criteria for consideration today by amending the agenda?,1,,
31,0.97,214.547,220.82,Do we have enough information in front of us to make sure it met that criteria?,1,,
32,0.97,220.82,227.961,We are asking those questions merely on a standpoint at this point at the top of the agenda.,1,,
33,0.97,227.961,234.667,"As a reminder, because a proposal might not be deemed for conversation today, that does not mean the conversation is over.",1,,
34,0.97,234.667,244.077,We have form cs or the changed documents to the Council's proposed balancing package that can be nor the upcoming weeks.,1,,
35,0.97,244.077,251.851,"With that, we do know we have at least one Walk-On amendment for consideration this morning.",1,,
36,0.97,251.851,253.92,"Councilmember Morales, I believe that comes from you.",1,,
37,0.97,253.92,258.491,"Before we consider it, I'm going to move to have the agenda in front of us.",1,,
38,0.97,258.491,262.228,I move to adopt the agenda.,1,,
39,0.97,262.228,262.962,Is there a second?,1,,
40,0.97,262.962,263.196,Second.,1,,
41,0.97,263.196,263.997,Thank you.,2,,
42,0.97,263.997,270.603,It's been moved and second to adopt the agenda.,2,,
43,0.97,270.603,279.379,"Counselmember Morales, it is my understanding this amendment 1 was sent to all of our offices before 5:00 P.M.",2,,
44,0.97,279.379,279.679,Yesterday.,2,,
45,0.97,279.679,280.546,Thank you very much.,2,,
46,0.97,280.546,284.751,"For the record, I need to verify with the clerk.",2,,
47,0.97,284.751,296.195,"Madame clerk, can you please verify the amendment, Councilmember Morales amendment 1 did meet the rule for circulation on amendment and circulated before 5:00 P.M.",2,,
48,0.97,296.195,299.198,On the day before the agenda?,2,,
49,0.97,299.198,301.434,"Yes, it was circulated before 5:00 P.M.",2,,
50,0.97,301.434,308.408,"Thank you very much Madame clench with that Councilmember Morales, would you like to move your amendment?",2,,
51,0.97,308.408,312.912,"Yes, I add we move the amendment by adding Walk-On amendment.",2,,
52,0.97,312.912,313.312,I have two.,2,,
53,0.97,313.312,322.155,Allocate funds from s Ispd cuts through the process and placing it at end of the correspond Department section.,2,,
54,0.97,322.155,322.455,Second.,3,,
55,0.97,322.455,322.789,Okay.,4,,
56,0.97,322.789,325.591,It's been moved and Seconded.,4,,
57,0.97,325.591,327.093,Can we take them in individual order?,4,,
58,0.97,327.093,336.602,Can you again tell us the name of the first amendment that you're considering here?,4,,
59,0.97,336.602,338.705,"So, sorry, no.",4,,
60,0.97,338.705,345.578,I have it listed as amendment 2. I believe you said amendment 1. I'm asking for clarification.,4,,
61,0.97,345.578,349.048,"Alli, go ahead.",5,,
62,0.97,349.048,351.451,"Thank you chair Mosqueda, good morning Councilmembers.",6,,
63,0.97,351.451,356.489,We had initially been working with offices on potential Walk-On amendments.,6,,
64,0.97,356.489,359.358,Sometimes this numbering gets out of order.,6,,
65,0.97,359.358,366.265,There's one Walk-On amendment for SPD today.,6,,
66,0.97,366.265,368.367,It is numbered Sbd walk on 2.,6,,
67,0.97,368.367,369.936,That is the only Walk-On today.,6,,
68,0.97,369.936,375.174,That helps me and the viewing public as well.,7,,
69,0.97,375.174,382.248,"Just one amendment to be considered today, one amendment titled amendment 2.",7,,
70,0.97,382.248,383.082,It's moved and Seconded.,7,,
71,0.97,383.082,388.354,"Councilmember Morales, I'll turn over to you to describe amendment 2.",7,,
72,0.97,388.354,388.688,Thank you.,8,,
73,0.97,388.688,392.759,"So this amendment would is--sorry, let me goat my notes.",8,,
74,0.97,392.759,422.021,"This is a budget action that would allocate all savings from cuts to the Seattle police Department's 2021 budget and other sources to fund 55 community led annual Budgetory process where residents would decide how to spend a portion to address safety, fund proposals coming out of that process.",8,,
75,0.97,422.021,422.855,Thank you.,9,,
76,0.97,422.855,424.624,I think that's helpful for right now.,9,,
77,0.97,424.624,432.532,There may be questions and then we'll ask you to continue.,9,,
78,0.97,432.532,434.534,"If you have anything else, feel free.",9,,
79,0.97,434.534,448.815,The idea is we would allocate up to $1 million to Community-Based organizations and city departments to basically run the participate budget process.,10,,
80,0.97,448.815,460.459,This is setting the stage to think about the infrastructure of how we run a process through the course of the year.,10,,
81,0.97,460.459,463.396,"Okay, thank you very much Councilmember Morales.",11,,
82,0.97,463.396,474.74,The cover memo that our office generated to summarize whether or not the Walk-On amendment met the criteria was circulated just to summarize.,11,,
83,0.97,474.74,491.39,"It appears the proposal was Vetted and discussed with key community members such as solidarity, King County equity now and others listed that it was discussed with central staff.",11,,
