index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,13.68,23.223,"Good afternoon this is Mosqueda chair of the budget committee, welcome to our meeting at September 30th, 2021, 2:00.",0,,
1,0.97,23.223,30.063,"I'm Teresa Mosqueda, chair and we will start session two of today's agenda.",0,,
2,0.97,30.063,30.296,Again.,0,,
3,0.97,30.296,45.245,"Madam clerk, can you please call the roll.",0,,
4,0.97,45.245,57.624,[roll called] seven present.,0,,
5,0.97,57.624,61.161,Thank you very much.,1,,
6,0.97,61.161,65.832,Madam clerk and additional Councilmembers call please NOTE their appearance.,1,,
7,0.97,65.832,67.1,We expect all nine this afternoon.,1,,
8,0.97,67.1,79.112,We want you to thank you for coming back on this Thursday afternoon as we go to the budget that has been Transsended by the Mayor's office.,1,,
9,0.97,79.112,86.486,Thanks to George Nobel for staying with us throughout the next session as well as tomorrow as through the afternoon as well.,1,,
10,0.97,86.486,99.132,We are halfway through our budget with each of the presentations and this afternoon we will have a chance to talk to various departments as we consider items related to public safety and Transitioning to the Seattle police Department.,1,,
11,0.97,99.132,101.634,We will have a hard stop at five P.M.,1,,
12,0.97,101.634,103.57,For folks that have additional items after five P.M.,1,,
13,0.97,103.57,111.411,We will make sure to get you out of here by five.,1,,
14,0.97,111.411,112.345,Tomorrow morning at 9:30 A.M.,1,,
15,0.97,112.345,132.365,"I did want to say thanks to all of the Councilmembers this morning, we have had a number of questions and we know there are questions that are not on the record yet for some of the other departments and people may have questions after.",1,,
16,0.97,132.365,148.181,As you in your office consider questions you may have or the Department and anticipation of the Upcome deliberations as we amend the public please do know that we are interested in collecting those questions.,1,,
17,0.97,148.181,154.988,I use home services as an example and to say there were a number of questions for Councilmembers and myself that didn't get to ask.,1,,
18,0.97,154.988,170.737,We want to compile those in one place and turn it to our budget from central staff and to remind us of the process for submitting your questions so we can compile it one place.,1,,
19,0.97,170.737,171.437,Thank you chairman Mosqueda.,2,,
20,0.97,171.437,186.319,"As a reminder in general if you have questions about the proposed budget, you send those questions to the lead central staff analyst if you are unsure send them to myself or Patty and we will get them to the right place.",2,,
21,0.97,186.319,198.531,We have a system in place with the budget office and executive Department to manage those questions and have a shared resource for Councilmembers and their staff to have access to them.,2,,
22,0.97,198.531,207.507,Specifically I will send out an Email today given a number of questions that people were not able to ask to stream line questions.,2,,
23,0.97,207.507,219.719,I will send out an Email asking people to just respond and compile those to the analyst to get answers if that works for you chairman Mosqueda.,2,,
24,0.97,219.719,220.52,I appreciate that.,3,,
25,0.97,220.52,225.892,Seeing the questions already are placed on a list of questions will help.,3,,
26,0.97,225.892,229.295,And that we will anticipate answers to those.,3,,
27,0.97,229.295,241.741,Thanks alley for reminding us of that and before the next item I want to welcome vice member Herbold.,3,,
28,0.97,241.741,247.78,Thank you Madam clerk can you read item number four from session two on today's agenda.,3,,
29,0.97,247.78,264.53,Item four community safety and community lead investments for briefing and discussions.,4,,
30,0.97,264.53,265.198,Okay.,5,,
31,0.97,265.198,270.67,Again we have a large panel.,5,,
32,0.97,270.67,288.388,"Julie Cline and Rick Brown, from the human services doesn't and Cscc, we are happy to have you with us and the chief from the Seattle fire Department.",5,,
33,0.97,288.388,292.025,Welcome and Melissa Lockhart from civil rights.,5,,
34,0.97,292.025,299.699,Welcome director Lockhart and director Ricco Dell Relo from the office of planning and development.,5,,
35,0.97,299.699,318.851,O Pcd and office of planning and community development and again thank you very much for director noble for being with us.,5,,
36,0.97,318.851,322.822,We do not have slides starting for central staff.,5,,
37,0.97,322.822,334.334,Appreciate the last presentation but we will go to the normal practice of directors and the departments report out for the Mayor's proposed budget for 2022.,5,,
38,0.97,334.334,345.311,Before I go to you director noble I want to Welcomal Councilmember Morales.,5,,
39,0.97,345.311,346.346,Thank you.,6,,
40,0.97,346.346,346.779,Chairman Mosqueda.,6,,
41,0.97,346.779,371.871,Moving to the next slide we have broad folks here because of presentation today per your request covers two broad topics one is community led investment and budget action for Participatory budgets and the strategic investment Fund and equitable community initiative task force and recommendations.,6,,
42,0.97,371.871,381.18,We will talk about those items and would you community led investment as a category and switch to talk about community safety.,6,,
43,0.97,381.18,396.796,Some of those investments are also community driven but not exclusively so that is a large cast of characters on a range of topics but look forward to that.,6,,
44,0.97,396.796,410.51,With that I will turn it to director Lockhart to Pawk about Participatory budgeting.,6,,
45,0.97,410.51,410.943,Director Lockhart.,6,,
46,0.97,410.943,413.279,"That, you.",7,,
47,0.97,413.279,419.218,The city is participating on a new Participatory process.,7,,
48,0.97,419.218,419.752,Pp for short.,7,,
49,0.97,419.752,433.332,It gives the city over how they spend a portion of the budget and play a role in monitoring the process following the allocation of funding.,7,,
50,0.97,433.332,446.646,In this case the 2021 budget including $21.8 million for Pp and historic to which the Mayor's 2022 proposed budget adds additional $30 million.,7,,
51,0.97,446.646,458.257,Making the combined investment of over $50 million one of the largest Participatory budget.,7,,
52,0.97,458.257,471.771,It has the potential to be Transformative and a result of significant community organizing out of the protest by the murder of George Floyd and by Minneapolis police officers and in May of 2020.,7,,
53,0.97,471.771,480.012,Following his murder there were calls to Defund police and for victims of black violence.,7,,
54,0.97,480.012,494.961,Locally these calls related in numerous proposals from black and indigenous people of color on police budget and reinvest funding and housing education and health care Directorially to the black community.,7,,
