index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,19.386,27.16,"Thank you so much, all right, good afternoon everyone.",0,,
1,0.97,27.16,40.874,"Welcome to the May 11 2021 Governance and education committee meeting, we are now in order, I am chair of the committee, with the clerk please call the roll.",0,,
2,0.97,40.874,53.086,[roll call] there are three present Madam chair.,1,,
3,0.97,53.086,71.204,I do want to make a note for the record that I received a note from Councilmember Sawant that you cannot make it today.,2,,
4,0.97,71.204,73.206,If there is no objection the agenda will be adopted.,2,,
5,0.97,73.206,81.915,Hearing no objection the objection is adopted.,2,,
6,0.97,81.915,84.217,"I was locked up, I was screaming that I'm here.",3,,
7,0.97,84.217,88.588,"Thank you, sorry.",3,,
8,0.97,88.588,91.424,I hate that part when you are sitting in the waiting room.,4,,
9,0.97,91.424,93.126,Does anybody see me?,4,,
10,0.97,93.126,98.932,"We will have the record reflect that you have joined us just in time, thank you for being here.",4,,
11,0.97,98.932,106.372,We are going to look at the public comment sheet.,4,,
12,0.97,106.372,113.146,I will not subject everybody through the script if we don't have anybody up for public comment.,4,,
13,0.97,113.146,117.117,And I do not see anyone signed up on the public comment sheet.,4,,
14,0.97,117.117,120.153,So I'm just looking to confirm that there is not anybody.,4,,
15,0.97,120.153,123.256,There are no public comment registrants.,5,,
16,0.97,123.256,134.667,"Great, so we will close out public comment given there is nobody in the waiting room to give us public comment.",6,,
17,0.97,134.667,137.137,We can move on to other items of business on our agenda.,6,,
18,0.97,137.137,145.145,"First is item one, with the clerk please read item one into the record.",6,,
19,0.97,145.145,164.464,"Agenda item number one, council vote 12066, commonly referred to as the ordinance for the civil servants for the discretionary paper files in the section 4.1 3.00.",7,,
20,0.97,164.464,166.9,Thank you so much.,8,,
21,0.97,166.9,173.907,I am going to go ahead and introduce this legislation briefly.,8,,
22,0.97,173.907,182.749,This is a routine legislation before us today to address some personnel actions that require legislative action.,8,,
23,0.97,182.749,195.828,And so I am excited to host members of the Seattle Department of human resources and our own analyst to discuss this a particular item.,8,,
24,0.97,195.828,206.94,So I will ask for folks to introduce themselves for the record starting with Karina and then if you can just Popcorn it amongst each other that would be wonderful.,8,,
25,0.97,206.94,210.21,So can you start off for us.,8,,
26,0.97,210.21,216.015,I am Karina Boll and I am with the Council central staff.,9,,
27,0.97,216.015,227.026,"I am Sarah Butler, policy and legislator adviser to the Seattle Department of human resources.",10,,
28,0.97,227.026,235.401,"I am Lisa Gardner, I am the compensation program manager under the Seattle Department of human resources.",11,,
29,0.97,235.401,240.473,I'm with the Seattle Department of human resources.,12,,
30,0.97,240.473,241.074,Welcome everyone.,13,,
31,0.97,241.074,243.81,Thank you for introducing yourselves.,13,,
32,0.97,243.81,250.55,And I will hand it over to you Karina to give a little introduction and that we will hear from the Department.,13,,
33,0.97,250.55,261.694,This legislation which is known as the first quarter employment ordinance is legislation that the Seattle Department of human resources transmits up to four times a year.,14,,
34,0.97,261.694,269.769,And it takes care of or implements personnel actions that require legislation to happen.,14,,
35,0.97,269.769,277.243,"Examples of those kinds of personnel actions can include Civil-Service classification, and reclassification.",14,,
36,0.97,277.243,294.594,"This particular legislation does a little bit of all of those things and it would return six positions to the civil service system in a number of departments like the community police Commission, public utilities, and municipal wards.",14,,
37,0.97,294.594,301.701,It would also adjust the pay bands of three job titles in the legislative Department.,14,,
38,0.97,301.701,305.071,It would reclassify two exam positions.,14,,
39,0.97,305.071,314.514,"So for those positions, one of them for example is currently titled an executive assistant and would be reclassified to executive assistant senior.",14,,
40,0.97,314.514,340.073,"And a quick word about Civil- service in case folks are not familiar with that, it is a classification that is basically the default classification for city employees that provide a range of job protections, requires varied based hiring, so not just appointment.",14,,
41,0.97,340.073,350.783,"And employees who are Civil- service covered have a Probationary period where they can be fired for any reason, and after that Probationary period, they can only be fired for cause.",14,,
42,0.97,350.783,360.46,There has to be a rule they have broken in order to be terminated and it would have to be progressive discipline before termination Happene.,14,,
43,0.97,360.46,382.415,"So the only position or job titles that are exempt include those declared in the Charter and they would include positions like Commission, staff, city attorneys and some others as well.",14,,
44,0.97,382.415,396.529,"There's also a municipal code 4.1.3, which list a number of other job classifications that are exempt such as temporary workers and library employees and a whole range of other positions as well.",14,,
45,0.97,396.529,416.649,Typically the director has the power or authority to recommend when certain positions should be made Civil-Service exempt or covered by Civil-Service if not already determined by the charter.,14,,
