index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,72.238,79.579,Good morning in the March 20 cancel briefing order will come to order.,0,,
1,0.97,79.579,85.585,Will the clerk please call the role?,0,,
2,0.97,85.585,88.888,Councilmember Debora Juarez.,0,,
3,0.97,88.888,89.889,Cancel member Andrew Lewis.,0,,
4,0.97,89.889,92.725,Here . Councilmember Tammy Morales.,0,,
5,0.97,92.725,94.327,Here.,0,,
6,0.97,94.327,96.529,Councilmember Teresa Mosqueda.,0,,
7,0.97,96.529,97.43,Here.,0,,
8,0.97,97.43,98.398,Councilmember Alex Pedersen.,0,,
9,0.97,98.398,103.102,Here . Councilmember Kshama Sawant.,0,,
10,0.97,103.102,108.608,Here Councilmember Dan Strauss . here.,0,,
11,0.97,108.608,109.809,Councilmember Lisa Herbold.,0,,
12,0.97,109.809,111.211,Here.,0,,
13,0.97,111.211,116.549,Council President Lorena Gonzalez . eight present.,0,,
14,0.97,116.549,120.52,Thank you.,1,,
15,0.97,120.52,133.166,If there is no objection than the minutes of the March 2 and 23rd 2020 will be a dock did.,1,,
16,0.97,133.166,143.543,And hearing no objection the minutes are adopted.,1,,
17,0.97,143.543,145.578,We will also go ahead and approve today's agenda.,1,,
18,0.97,145.578,147.38,"If there is no objection, today's agenda will be adopted.",1,,
19,0.97,147.38,159.792,No objection today's agenda is adopted and we will go ahead and go through the Presidents report really quickly.,1,,
20,0.97,159.792,165.331,It's so good to see your faces and I'm really glad we were able to get the technology in place to be able to do Videoconferencing.,1,,
21,0.97,165.331,173.54,I think it makes it a little bit easier to do our business via Telecommuting and so I really appreciate all of the flexibility and willingness to participate in the Video option.,1,,
22,0.97,173.54,189.022,I'm sure many of us had to clean up the corners of our house to make it look presentable during this selfless isolation Quarantined period of time . I want to thank you all for participating.,1,,
23,0.97,189.022,203.203,Secondly I just want to flag that I sent out to the entire legislative Department in a memo updating the legislative Department Telecommuting policy and in that memo it States we will continue to Telecommute through April 24 which is a Friday.,1,,
24,0.97,203.203,213.012,Of course that they could either be extended and I suspect it will not be shortened but it certainly could be extended beyond April 24.,1,,
25,0.97,213.012,222.956,With our regional partners and their executives depart etc.,1,,
26,0.97,222.956,234.667,To set of reevaluate that date as time evolves and as more information comes around related to Covid-19 and how we are doing in terms of flattening the curve.,1,,
27,0.97,234.667,255.254,That includes a reminder resources available to lease throughout the legislative Department I know that right now can be a really stressful period of time for full who are having a hard time with isolation and quarantine and socially distancing in addition to physically distancing.,1,,
28,0.97,255.254,270.269,That are not resources available to our Goalies I just want to make the Council members are also reminding their staff that the resources are available.,1,,
29,0.97,270.269,289.489,Lastly are also want to include a memorandum that we received from the Seattle Department of human resources and the city of Seattle on the executive side has established a protocol and policy for daily self assessments of Covid-19 symptoms for all employees who are showing up and being physically present at City facilities.,1,,
30,0.97,289.489,293.626,Including City Hall.,1,,
31,0.97,293.626,296.429,And these recommendations were included as an attachment to the Email.,1,,
32,0.97,296.429,312.312,Their voluntary but they're strongly recommended guidelines that our employees and visitors are being asked to comply with to consist with Washington State Department of health recommendations.,1,,
33,0.97,312.312,322.055,"Secondly, I want to give folks a quick update on some of the work offices are doing related to house bill 6021.",1,,
34,0.97,322.055,341.641,This is passed on March 8 teens that will require the city of Seattle and other public employers to provide additional paid sick leave and expanded paid family medical leave to employees for qualifying Covid- 19 related reasons.,1,,
35,0.97,341.641,350.683,Where working to finalize the policy decisions and the administration of the new lead requirements by the deadline of the second of 2020.,1,,
36,0.97,350.683,401.534,Once we have a better sense of what the paid sick leave additional requirements would be for public employers like us and we will make sure to share those with the entire legislative Department and of course want to make sure that all of our staff and legislative staff including those staff members in our office that have the information they need and access tat they need for additional paid sick leave for Covid-19 related reasons we will keep you up dated on that and the third and last thing I will report on related to the Presidents report is related to the introduction and referral calendar and a proclamation we received from governor's office related to legislation that we can consider given the changes to the open public meeting act.,1,,
37,0.97,401.534,451.451,Just really quickly on the introductory referral calendar I want to encourage full on the call today to be mindful of the timing of when you are asking the Council and clerk's office to put items on the introduction referral calendar and last Friday we saw a flurry of four to five last-minute request coming in as 2:30 PM on Friday that creates a huge amount of burden for the clerk's office in terms of make sure that we are fulfilling our quality control processes and also making sure that we comply with the governor's new formation as currently interpreted.,1,,
38,0.97,451.451,475.007,For those that have not seen the proclamation by the governor's office there is some language in there that seems to play the only type of legislation that we are allowed to consider currently because we don't currently have public comment is legislation that is routine or related directly to the Covid-19 emergency response.,1,,
39,0.97,475.007,492.925,We are working with the law Department to get additional guidance and clarification from the Attorney General's office to make sure that we have a full and clear understanding of what the proclamation is.,1,,
40,0.97,492.925,505.938,Policy will make it very difficult for us as a city Council to do basic services and legislation required to deliver basic services if we are still severely limited in terms of what legislation we can consider.,1,,
41,0.97,505.938,535.568,Stay tuned for more information on that but we want to remind folks that it takes the clerk's office about 48 hours to review legislation and to make sure it's up to par with quality and to our professional standards because we just really want to make sure that you are robbing conscientious of those limitations and restrictions on our legislative staff.,1,,
42,0.97,535.568,553.653,I know that this is a unique circumstance and sometimes there can be exceptions to this rule but I would really like us to work hard to try to be Proactive and to have enough advanced notice as we are considering preferring to the introduction and referral calendar.,1,,
43,0.97,553.653,582.715,And the last thing I will say is that I'm really grateful to the governor's office for reaching out to my office and to the Councilmember office over in county to institute a weekly call to provide us with direct information and access to the governor's office to get updates about the state's emergency response and ways that we can collaborate.,1,,
44,0.97,582.715,596.128,I want to offer to all of you as my colleagues an opportunity to communicate directly with me and provide me with any sort of questions or concerns or issues that you want me to flag for the governor's office.,1,,
45,0.97,596.128,611.944,We usually meet at the end of the week on Thursday or Friday so just want to provide that opportunity for all of my colleagues so that we can coordinate that type of information.,1,,
46,0.97,611.944,616.315,That is all for the Council Presidents report and I'm happy to take any questions or hear any comments.,1,,
47,0.97,616.315,617.149,Okay.,2,,
48,0.97,617.149,623.522,"Hearing none, we will go ahead.",2,,
49,0.97,623.522,627.36,We will start the presentation.,2,,
50,0.97,627.36,629.362,I do have a comment.,3,,
51,0.97,629.362,631.03,Yes Council members Tammy Morales.,4,,
52,0.97,631.03,639.672,In the phone check I did I had emphasized that we do need to make every effort for public comment.,5,,
53,0.97,639.672,659.091,I stated this knowing that our staff has been doing an incredible job and I just want them to know that this is not something that is direct it at them but the Council is a body that we have to try to get public comment.,5,,
54,0.97,659.091,666.399,"Even if it is legislation related to Coronavirus, and especially so I think it's important to have public input.",5,,
55,0.97,666.399,691.123,And I want to register once again my sense of urgent the to address that issue and especially to that point that we have not extended this and it is possible it will be extended or it's likely that it will be cut short and it will be coming back and so I just want to register that.,5,,
56,0.97,691.123,706.005,Thanks Council members Tammy Morales and I know you and I had a good conversation last week about this issue . in our office we are still committed to see if we can find some sort of technological way to allow the public to comment.,6,,
57,0.97,706.005,716.182,So there are couple of layers and one is figuring out the interpretation of the governor's proclamation about what kind of legislation we can consider as a matter course during the emergency response.,6,,
58,0.97,716.182,724.123,"And then Secondly, figuring out how to Reintegrate public comment into that period.",6,,
59,0.97,724.123,746.178,It's unclear to me whether public comment via phone or Video will allow us to consider any legislation that is not emergency response related based on language we are reading in the proclamation.,6,,
60,0.97,746.178,751.117,But we are actively looking for other examples of how here locally and abroad that people are addressing the comment issues.,6,,
61,0.97,751.117,772.204,I know the board of Seattle has figured out or their test ways to make sure that they can hear from the public and we are looking at those examples and hoping to be able to come up with some sort of resolution so that we can integrate public comment,6,,
62,0.97,772.204,778.31,Any other questions or comments from folks?,7,,
63,0.97,778.31,781.981,We heard from the Council President.,8,,
