index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.333,4.437,The housing and Finance Committee will come together.,0,,
1,0.97,4.437,12.445,I'm chair of the committee.,0,,
2,0.97,12.445,13.046,Will the clerk call the roll.,0,,
3,0.97,13.046,19.119,Positive.,1,,
4,0.97,23.89,29.396,Present.,1,,
5,0.97,29.396,34.2,That is five present.,1,,
6,0.97,34.2,35.902,Thank you very much Madame.,2,,
7,0.97,35.902,43.843,Thank you very much for folks who have not had the pleasure of having this meeting on their calendar for a while.,2,,
8,0.97,43.843,47.58,Want to remind people that our clerk is from our team.,2,,
9,0.97,47.58,51.951,Thank you for helping shepherd through committees and getting us all prepared.,2,,
10,0.97,51.951,53.853,We have a full committee today.,2,,
11,0.97,53.853,57.057,I want to thank our Council colleagues for joining out.,2,,
12,0.97,57.057,63.53,We'll start with public comment and have two items on today's agenda.,2,,
13,0.97,63.53,67.133,"We'll have a briefing, discussion, possible vote on the transferred property.",2,,
14,0.97,67.133,93.626,"We'll hear from the deputy Mayor, director from the office of planning and community development and director Montega from the Department of neighborhoods and also from the Council central staff.",2,,
15,0.97,93.626,108.441,Then we will have a briefing on the transportation network committee.,2,,
16,0.97,108.441,110.31,We will have a briefing on the network Companylabor wage and compensation standards.,2,,
17,0.97,110.31,111.244,We'll stereo from Amy Gore central staff.,2,,
18,0.97,111.244,111.678,That's our agenda.,2,,
19,0.97,111.678,114.147,"Before we move on, Haring no objections.",2,,
20,0.97,114.147,116.182,Our agenda is adopted today.,2,,
21,0.97,116.182,117.951,Let's move on to public comment.,2,,
22,0.97,117.951,124.29,Today we have a handful of folks who have signed up for public comment.,2,,
23,0.97,124.29,125.525,I'll pull up that sheet.,2,,
24,0.97,125.525,133.433,We're working in real time to try to accommodate all of the growing pains that come with working remotely.,2,,
25,0.97,133.433,139.372,We continue to strive to make sure everyone has an opportunity to provide public testimony.,2,,
26,0.97,139.372,144.777,Today we are lucky that we'll be able to have the full two minutes for folks to provide public testimony.,2,,
27,0.97,144.777,157.891,Folks at this time O we have a handful of folks signed up.,2,,
28,0.97,157.891,159.325,We have more than 50 people.,2,,
29,0.97,159.325,163.963,I'll get through as much public testimony as possible.,2,,
30,0.97,163.963,165.899,We'll open up for 30 minutes.,2,,
31,0.97,165.899,170.47,"If we need to go longer, I will extend public comment.",2,,
32,0.97,170.47,172.238,You'll hear a 10 second Timer.,2,,
33,0.97,172.238,182.315,That's your notification to wrap up your comments and make sure you do get your last word in.,2,,
34,0.97,182.315,184.617,Just want to double check here.,2,,
35,0.97,184.617,185.919,I'm sorry for the interruption.,2,,
36,0.97,185.919,188.454,For the clerk and I.T . folks.,2,,
37,0.97,188.454,191.457,I'm looking at the Sign-In sheet.,2,,
38,0.97,191.457,195.228,I want to confirm I'm looking at the right sheet.,2,,
39,0.97,195.228,200.867,Is this the right sheet with 54 signed up?,2,,
40,0.97,200.867,201.434,That is correct.,2,,
41,0.97,201.434,202.435,Okay.,3,,
42,0.97,202.435,204.871,The bottom tab says a slightly different title.,3,,
43,0.97,204.871,207.006,We'll go with the first sheet.,3,,
44,0.97,207.006,208.341,54 people signed up.,3,,
45,0.97,208.341,209.142,Two minutes.,3,,
46,0.97,209.142,211.177,You'll hear a Chime at 10 seconds.,3,,
47,0.97,211.177,212.278,That's your notification to wrap it up.,3,,
48,0.97,212.278,219.652,Please do hang up the line and listen in on our other listen in options.,3,,
49,0.97,219.652,221.721,You will be asked to state your name.,3,,
50,0.97,221.721,227.126,Please keep your comments related to items on today's agenda or our work plan.,3,,
51,0.97,227.126,236.035,"At this point, let's get started with the first three speakers.",3,,
52,0.97,236.035,236.502,"Peter, Ahmad, Moreen.",3,,
53,0.97,236.502,239.839,"Party, good morning.",3,,
54,0.97,239.839,246.312,I believe you need to push Star 6 to Unmute yourself.,3,,
55,0.97,246.312,249.515,"Peter, are you with us?",3,,
56,0.97,249.515,249.882,"Yes, I'm here.",3,,
57,0.97,249.882,251.184,Wonderful.,4,,
58,0.97,251.184,251.584,"Go ahead, Peter.",4,,
59,0.97,251.584,263.196,Thank you very much Council members.,5,,
60,0.97,263.196,264.53,My name is Peter.,5,,
61,0.97,264.53,272.305,I've been driving since 2014.,5,,
62,0.97,272.305,280.546,I come to see the Council for work.,5,,
63,0.97,280.546,287.153,This year has been a long awaiting.,5,,
64,0.97,287.153,300.9,It's been a long seed campaign to get to this point.,5,,
65,0.97,300.9,306.472,We're organizing about the cut going on.,5,,
66,0.97,306.472,309.542,They cut it for now.,5,,
67,0.97,309.542,322.288,Today we are delivering our petition by modern 1600 with demand in it.,5,,
68,0.97,322.288,333.9,One of the issues that we have is less payment.,5,,
69,0.97,333.9,344.777,Also we need company Commission and also short trip minimum.,5,,
70,0.97,344.777,353.052,Also we are asking to unfair vehicle limit which was 12 years before.,5,,
71,0.97,353.052,359.225,Right now it's only five years.,5,,
72,0.97,359.225,359.592,The black Suv.,5,,
73,0.97,359.592,364.33,"Some are 67,000.",5,,
74,0.97,364.33,368.901,The driver payment is so low.,5,,
75,0.97,368.901,370.002,Thank you very much.,5,,
76,0.97,370.002,375.174,Really appreciate it.,5,,
77,0.97,375.174,375.475,Thank you.,5,,
78,0.97,375.475,375.975,Reappreciate your time.,5,,
79,0.97,375.975,376.375,"Thank you, Peter.",5,,
80,0.97,376.375,380.379,"Ahmad, welcome.",5,,
81,0.97,380.379,385.852,The next person is Ahmad Mohamed.,5,,
82,0.97,385.852,398.464,"Yes, thank you very much Council members, Council President, council chair.",6,,
83,0.97,398.464,402.468,My name is Ahad Mohammad.,6,,
84,0.97,402.468,405.872,I'm also a driver.,6,,
85,0.97,405.872,407.673,We support strongly drivers Union demand.,6,,
86,0.97,407.673,423.79,"Since I have been driving and closely working to drivers, we had a lot of complaints of pay.",6,,
87,0.97,423.79,437.47,"When I started driving Uber, every single day when I wake up and try to sign for my chance to drive, I just always realize that it's quiet.",6,,
88,0.97,437.47,443.81,That is real worry taking down and down for the pay.,6,,
89,0.97,443.81,447.78,We just supposed to just work.,6,,
90,0.97,447.78,449.449,We are really invested in this company.,6,,
91,0.97,449.449,452.385,They're not sharing with us at all.,6,,
92,0.97,452.385,462.829,They tried to hide whatever the customer pays.,6,,
93,0.97,462.829,463.496,You never see the same amount.,6,,
94,0.97,463.496,469.535,They just give you little bit close what the limit was.,6,,
95,0.97,469.535,484.25,"Other one, they tell you and never ever just make fair whatever the customer pays.",6,,
96,0.97,484.25,492.258,Remember last time I speak up on airports and not.,6,,
97,0.97,492.258,496.929,They charge $128 and pay me $38.,6,,
98,0.97,496.929,499.665,I asked them why this happened.,6,,
99,0.97,499.665,502.435,I'm the one that had verified charge.,6,,
100,0.97,502.435,506.772,So why is it happening?,6,,
101,0.97,506.772,511.577,They say take it or leave it.,6,,
102,0.97,511.577,516.682,So we need.,6,,
103,0.97,516.682,517.149,Thank you very much.,6,,
104,0.97,517.149,520.519,Thank you.,7,,
105,0.97,520.519,529.095,Good morning.,8,,
106,0.97,529.095,529.528,Please go ahead.,8,,
107,0.97,529.528,530.062,Hello Council members.,9,,
108,0.97,530.062,534.533,Can you hear me?,9,,
109,0.97,534.533,538.204,"Yes, we can.",9,,
110,0.97,538.204,538.538,Thank you.,9,,
111,0.97,538.538,541.073,Good morning Council members.,10,,
112,0.97,541.073,542.074,My name is Noreen.,10,,
113,0.97,542.074,547.346,I'm an Uber and Lyft driver.,10,,
114,0.97,547.346,550.516,I've been driving five years now.,10,,
115,0.97,550.516,556.155,I support the Union fair share demand.,10,,
116,0.97,556.155,557.657,We are drivers and we are independent.,10,,
117,0.97,557.657,570.002,"As drivers, we are out there in the front line like all other essential workers risking our lives working extra time with no pay at all.",10,,
118,0.97,570.002,576.576,Just to protect ourselves and our passengers from the virus.,10,,
119,0.97,576.576,580.813,"As we get rides, we clean our cars.",10,,
120,0.97,580.813,582.448,We don't get any pay.,10,,
121,0.97,582.448,594.226,"We skip rides and clean our cars, Disinfectant just to protect ourselves and our passengers.",10,,
122,0.97,594.226,595.695,We don't get paid for that.,10,,
123,0.97,595.695,602.335,"So, we plead with you to help us let this bill go through.",10,,
124,0.97,602.335,612.511,Let us get a fair share from this job we've been doing.,10,,
125,0.97,612.511,616.282,Drivers are from black and Brown people.,10,,
126,0.97,616.282,623.389,Getting this fair share for our community is part of the racial equity.,10,,
127,0.97,623.389,628.26,Thank you very much Council members.,10,,
128,0.97,628.26,629.095,Help us get.,10,,
129,0.97,629.095,629.428,Thank you.,10,,
130,0.97,629.428,631.364,Thank you very much.,10,,
131,0.97,631.364,636.369,"The next three people will be Michael Wolf, edema.",10,,
132,0.97,636.369,640.072,Do remember to press Star 6 to Unmute yourself.,10,,
133,0.97,640.072,648.28,"Try to get through more folks, we're going to do 1:30.",10,,
134,0.97,648.28,664.13,"If the clock could be 1:30 from here forward, that would be great.",10,,
135,0.97,664.13,664.497,Good morning.,10,,
136,0.97,664.497,665.898,I see you're on mute.,10,,
137,0.97,665.898,666.165,Perfect.,10,,
138,0.97,666.165,666.565,"Go ahead, please.",10,,
139,0.97,666.565,670.036,"Council members, thank you for hearing me.",11,,
140,0.97,670.036,672.338,I came in this country 17 years ago.,11,,
141,0.97,672.338,679.645,Seven of those years I worked for Uber and Lyft.,11,,
142,0.97,679.645,682.515,I came here because of the American dream.,11,,
143,0.97,682.515,690.456,This is to wake up every morning and know that today going to be better than yesterday.,11,,
144,0.97,690.456,695.494,Unfortunately for the last few years it doesn't happen.,11,,
