index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,9.542,11.578,I think I will just stay like this.,0,,
1,0.97,11.578,14.08,You can't tell.,1,,
2,0.97,14.08,21.221,"Okay, so let's go ahead and get the meeting started . all right, folks.",2,,
3,0.97,21.221,27.694,"The December Seventh, 2020 meeting will come to order.",2,,
4,0.97,27.694,30.597,Will the clerk please call the role?,2,,
5,0.97,30.597,34.634,Councilmember Pedersen?,3,,
6,0.97,34.634,36.803,Here.,4,,
7,0.97,36.803,39.839,Councilmember Strauss?,5,,
8,0.97,39.839,40.807,Here.,6,,
9,0.97,40.807,43.109,Councilmember Herbold?,7,,
10,0.97,43.109,44.144,Here.,8,,
11,0.97,44.144,47.514,Councilmember Morales?,9,,
12,0.97,47.514,49.048,Here.,10,,
13,0.97,49.048,51.851,President Gonzalez?,11,,
14,0.97,51.851,56.055,Here.,12,,
15,0.97,56.055,67.534,Councilmember Sawant will be excused from today's meeting.,12,,
16,0.97,67.534,69.536,"Presentations, we will go ahead and move to presentations now.",12,,
17,0.97,69.536,90.623,"Colleagues, Councilmember Morales recognized the proclamation.",13,,
18,0.97,90.623,101.0,We will do that before I recognize the proclamation read into the record.,13,,
19,0.97,101.0,106.573,Are there any questions before I request the rollcall?,13,,
20,0.97,106.573,114.18,"Hearing no questions, will the clerk please call the roll to determine which Councilmembers would like their signatures affixed to the document?",13,,
21,0.97,114.18,115.482,Councilmember Pedersen?,14,,
22,0.97,115.482,118.485,Yes.,15,,
23,0.97,118.485,121.02,Councilmember Juarez?,16,,
24,0.97,121.02,121.387,Yes.,17,,
25,0.97,121.387,123.69,Councilmember Herbold?,18,,
26,0.97,123.69,125.024,Yes.,19,,
27,0.97,125.024,126.793,Councilmember Lewis?,20,,
28,0.97,126.793,129.429,Yes.,21,,
29,0.97,129.429,130.43,Councilmember Mosqueda?,22,,
30,0.97,130.43,132.599,Yes.,23,,
31,0.97,132.599,134.334,President Gonzalez?,24,,
32,0.97,134.334,138.037,Yes.,25,,
33,0.97,138.037,140.807,"Eight in favor, known opposed.",26,,
34,0.97,140.807,144.811,Thank you so much.,27,,
35,0.97,144.811,156.256,"Councilmember Morales, you may present the proclamation and Council Wools will be suspended immediately just prior to our guest making comments.",27,,
36,0.97,156.256,166.633,We will take a quick little pause after your comments to allow for the procedural step to suspend the roles in order to hear from our guests on the proclamation.,27,,
37,0.97,166.633,176.643,"For now, Councilmember Morales, the floor is yours.",27,,
38,0.97,176.643,181.347,This proclamation is to honor the life and impact of your money Gabler Michael on our community.,28,,
39,0.97,181.347,199.465,He was a leader in many circles of community organizers including many that I have had the privilege to participate in over the years.,28,,
40,0.97,199.465,202.969,"Folks that are advocating for access to land, for stronger programs for young people, immigrant rights.",28,,
41,0.97,202.969,210.643,"I am honored to be able to do this for him and his family today and I would like to go ahead and read the proclamation into the record, if I can.",28,,
42,0.97,210.643,214.781,Okay.,28,,
43,0.97,214.781,216.416,So you all have a copy of this.,28,,
44,0.97,216.416,225.191,"We did circulated last week, but I will read it now.",28,,
45,0.97,225.191,252.452,"He was a mentor, friend and community leader in Seattle and Washington state . whereas the city of Seattle recognizes his dedication to youth through Afterschool programs, improving education outcomes for English language learners by advocating for the creation of the Seattle world at school, increasing standards for home Childcare and advocating for every child he met.",28,,
46,0.97,252.452,262.829,"The city of Seattle recognizes his commitment to public health, ensuring access to clean water and food across the globe, educating communities around indoor and outdoor air quality and increasing food security for securities across Washington state.",28,,
47,0.97,262.829,299.666,"The city of Seattle recognizes his devotion to vision of a thriving immigrant and refugees through his 20 years of service to immigrant and refugee community organizations in Seattle, leadership for the creation of the office of immigrant refugee affairs as a strategic advisor to the city, advocacy for the creation of the King County refugee Commission, leadership in the fight to raise minimum wage in Seattle, small business organizing including home Childcare owners and a focus on civil engagement.",28,,
48,0.97,299.666,310.91,"The city of Seattle recognizes his dedication to his family as father to Nathan, and loving grandfather.",28,,
49,0.97,310.91,313.88,He was an elder figure to thousands of community members young and old.,28,,
50,0.97,313.88,323.69,The city of Seattle and its elected leaders mourn the loss of him and graciously celebrate his life and the efforts to affect justice.,28,,
51,0.97,323.69,334.334,"Now for December 7th, 2020, this shall be a day of recognition for friend, mentor, and leader.",28,,
52,0.97,334.334,351.517,"Thank you, Councilmember Morales for the proclamation and wonderful recognition via this proclamation.",29,,
53,0.97,351.517,352.819,We really appreciate you bringing it forward.,29,,
54,0.97,352.819,354.654,"Colleagues, we will go ahead and suspend the rules here.",29,,
55,0.97,354.654,359.225,"I will make a motion to suspend the rules in order to hear from guests who are, as I understand, with us.",29,,
56,0.97,359.225,364.831,I will be looking at I.T.,29,,
57,0.97,364.831,367.433,"To signal to me they are, in fact, on the line and available.",29,,
58,0.97,367.433,368.434,They are not present.,30,,
59,0.97,368.434,369.869,Not currently present.,31,,
60,0.97,369.869,374.44,Okay.,31,,
61,0.97,374.44,385.284,"Councilmember Morales, how would you like to proceed given that our guests are not present to receive the proclamation?",31,,
62,0.97,385.284,392.925,"Well, I will stall for one second here to see if I know what is happening.",32,,
63,0.97,392.925,395.194,I thought they were going to be calling.,32,,
64,0.97,395.194,406.672,"It is possible that they will be calling in during the public comment period instead, but we had let them know we would set aside a couple of minutes here.",32,,
65,0.97,406.672,416.482,"If they are not on the line, then I would ask that we just proceed and we will make sure that family members get a copy of the proclamation.",32,,
66,0.97,416.482,417.617,Okay.,33,,
67,0.97,417.617,423.79,That sounds fair . I will just check one more time with I.T.,33,,
68,0.97,423.79,435.435,"To make sure they haven't called in since we have been chatting and if they haven't, we will go ahead and leave it to you, Councilmember Morales, to resent the proclamation at your discretion to the family.",33,,
69,0.97,435.435,438.437,Thank you.,34,,
70,0.97,440.673,449.115,I.T.,35,,
71,0.97,449.115,452.118,", I just want to confirm one last time that our guests have not called in?",35,,
72,0.97,452.118,453.586,"Sorry, they have not called in.",36,,
73,0.97,453.586,454.353,"Okay, great.",37,,
74,0.97,454.353,464.163,"Folks, we will go ahead and move on.",38,,
75,0.97,464.163,465.765,"Thank you, Councilmember Morales, for that proclamation.",38,,
76,0.97,465.765,467.366,I don't me to cut off discussion here.,38,,
77,0.97,467.366,472.238,"Is there anyone else, colleagues, that would like to make comments on this proclamation before we move to approval of the minutes?",38,,
78,0.97,472.238,474.44,"All right, seeing no one, thanks again, Councilmember Morales.",38,,
79,0.97,474.44,483.449,Will move to the approval of the minutes.,39,,
80,0.97,483.449,484.483,The minutes have been reviewed.,39,,
81,0.97,484.483,486.352,"If there is no objection, the minutes will be signed.",39,,
82,0.97,486.352,487.954,"Hearing no objection, the minutes are being signed.",39,,
83,0.97,487.954,494.193,Will the clerk please affix my signature to the minutes?,39,,
84,0.97,494.193,496.262,I will move to the adoption of the referral calendar.,40,,
85,0.97,496.262,505.671,"If there is no objection, the proposed interjected will be adopted.",40,,
86,0.97,505.671,507.473,"Hearing no objection, the introduction and referral calendar is adopted.",40,,
87,0.97,507.473,508.474,Approval of the agenda.,41,,
88,0.97,508.474,510.476,"If there is no objection, the agenda will be adopted.",41,,
89,0.97,510.476,513.88,"Hearing no objection, the agenda is adopted.",41,,
90,0.97,513.88,516.782,Public comment.,42,,
91,0.97,516.782,527.927,"Colleagues, at this time we will open the public comment period for the agenda and the 2020 work program.",42,,
92,0.97,527.927,540.506,I want to thank everyone for their ongoing patience and cooperation as we continue to operate this remote public comment section.,42,,
93,0.97,540.506,548.848,"As a reminder, the city council reserves the right to end or eliminate these public comment periods if we deem the system is being abused or is no longer suitable for meetings to be conducted efficiently and effectively.",42,,
94,0.97,548.848,552.618,I will moderate the public comment period in the following manner.,42,,
95,0.97,552.618,572.371,The public comment period is 20 minutes and each Speaker will have two minutes to address the city council . I will call on each Speaker by name and in the order in which they registered on the Council's Website.,42,,
96,0.97,572.371,587.954,"If you have not yet registered to speak but would like to, you can sign up by going to the Council's Website at Coucil.Seattle.Gov /Counsel.",42,,
97,0.97,590.423,598.197,"Staff will Unmute the appropriate microphone and you will hear an automatic prompt of ""You have been on muted peer"" after you hear that automatic prompt, you will need to press Star six before speaking.",42,,
98,0.97,598.197,604.971,Please start speaking by stating your name and the ounce you are addressing.,42,,
99,0.97,604.971,611.277,Public comments should relate to an item on today's agenda or the Council's 2020 work program.,42,,
100,0.97,611.277,613.479,Speakers will hear a Chime.,42,,
101,0.97,613.479,621.687,That means you have 10 seconds left of the allotted two minutes.,42,,
102,0.97,621.687,624.991,"Want to hear the Chime, we ask that you please begin to wrap up your public comment.",42,,
103,0.97,624.991,637.436,"If speakers don't end their comments at the end of the allotted time provided, your microphone will be muted to allowing us to call in the next Peaker.",42,,
