index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,0.667,6.272,And the session 1 of those select budget committee meeting is gonNA continue.,0,,
1,0.97,6.272,9.075,We're gonNA take a short Recess.,0,,
2,0.97,9.075,16.716,The committee is now back in order and will proceed with its business.,0,,
3,0.97,16.716,21.755,Again I'm the most senior Seattle city council member and chair of the subcommittee.,0,,
4,0.97,21.755,28.595,Will the clerk please call the roll?,0,,
5,0.97,28.595,29.162,Suarez?,1,,
6,0.97,29.162,29.396,Here.,2,,
7,0.97,29.396,29.662,Lewis.,3,,
8,0.97,29.662,32.999,Morales.,3,,
9,0.97,32.999,33.299,Here.,4,,
10,0.97,33.299,33.9,Pedersen.,5,,
11,0.97,33.9,36.102,Here.,6,,
12,0.97,36.102,36.369,Sawant.,7,,
13,0.97,36.369,39.239,Here.,8,,
14,0.97,39.239,39.539,Straws.,9,,
15,0.97,39.539,42.042,Present.,10,,
16,0.97,42.042,45.045,Council President Gonzcez.,11,,
17,0.97,45.045,49.549,Here.,12,,
18,0.97,49.549,49.783,Herbold.,12,,
19,0.97,49.783,54.02,Here.,13,,
20,0.97,54.02,54.554,Mosqueda.,14,,
21,0.97,54.554,55.688,I am here.,15,,
22,0.97,55.688,56.689,Nine present.,16,,
23,0.97,56.689,57.59,"Thank you, Madame clerk.",17,,
24,0.97,57.59,71.371,And thanks again to our folks from Incn communications who help make all these Remeet motions possible and folks for bearing with us.,17,,
25,0.97,71.371,76.543,"We are on agenda item number 2, with a final vote on amendment 6-A.",17,,
26,0.97,76.543,78.745,We do have a few amendments still to come.,17,,
27,0.97,78.745,84.384,Perhaps you could provide us with a brief update on where we are with amendment seven.,17,,
28,0.97,84.384,89.189,"Thank you, chair Maskweda.",18,,
29,0.97,89.189,104.27,Amendment seven was the amendment I Referenced several hours ago when we were talking about the Covid relief bill that would have got associated with the amendment that Council member Strauss had proposed to 919812.,18,,
30,0.97,104.27,107.373,Amendment seven is no longer needed because that did not pass.,18,,
31,0.97,107.373,109.843,We can move on to amendment eight.,18,,
32,0.97,109.843,112.312,"Okay, Council, I see you nodding.",19,,
33,0.97,112.312,113.046,Any additional comments on that?,19,,
34,0.97,113.046,113.58,"No, thank you.",20,,
35,0.97,113.58,116.816,This was in association with the earlier amendment that did not pass.,20,,
36,0.97,116.816,130.697,Just noting for my colleagues I will likely bring an amendment on Monday allocating $five my 2 million to the $5.2 million to the business Association fund associated with the amendment.,20,,
37,0.97,130.697,137.837,Amendment number seven would be need to be put in place to replenish those funds.,20,,
38,0.97,137.837,138.538,Thank you chair.,20,,
39,0.97,138.538,146.145,Let's go ahead and move onto amendment number eight then.,21,,
40,0.97,146.145,147.714,Thank you.,22,,
41,0.97,147.714,148.715,Chair Mosqueda.,22,,
42,0.97,148.715,155.155,"Amendment number eight, we initially planned to talk about them together because they were sort of working together and there was some overlap.",22,,
43,0.97,155.155,160.126,But now this morning a new version of amendment nine was distributed.,22,,
44,0.97,160.126,164.13,And it eliminated any conflict between the proposals.,22,,
45,0.97,164.13,172.438,"So instead of having this table in 41 of you, I'm going to go ahead and move to the effect statement related to amendment eight.",22,,
46,0.97,172.438,177.977,This amendment is sponsored by Council members Herbold and Mosqueda.,22,,
47,0.97,177.977,198.498,"This ALLOCATES 5% of the funds under the housing and services spending category to investments in permanently affordable home ownership programs serving households with incomes up to 80% of area median income, and decreases by 5% the funds allocated for the affordable rental housing investment.",22,,
48,0.97,198.498,198.831,Investment.,22,,
49,0.97,198.831,207.206,Investments would be Prioritized to affirm Tifl further housing and progress past Discriminator practices.,22,,
50,0.97,212.645,215.782,"Thank you very much, alley.",23,,
51,0.97,215.782,217.483,"Council member Herbold, this is your amendment.",23,,
52,0.97,217.483,224.624,I move to amend resolution 31957 as presented on number eight on the agenda.,24,,
53,0.97,224.624,224.891,Second.,25,,
54,0.97,224.891,225.725,Thank you.,26,,
55,0.97,225.725,238.738,It's been moved and Seconded to adopt amendment eight as presented on the agenda and described by central staff.,27,,
56,0.97,238.738,240.773,"House member Herb Oldold, I will turn it back to you.",27,,
57,0.97,240.773,255.688,Thank you Againism appreciate having the support and Cosponsorship of chair Mosqueda on this amendment and her office's partnership while adopting it.,28,,
58,0.97,255.688,266.766,It would set aside a modest amount of reliable funding for permanent household opportunities for households making up to 80% AMI.,28,,
59,0.97,266.766,276.342,And the funds would specifically be reserved for households at risk of displacement from their communities or have faced barriers to home ownership.,28,,
60,0.97,276.342,279.278,Due to past Discriminator policies and practices.,28,,
61,0.97,279.278,282.548,Deadlining and restrictive racial covenants.,28,,
62,0.97,282.548,292.859,"And the amendment makes it possible to use funds for development, program or operating costs, making it possible to invest in the health and capacity of Community-Based organizations that are leading in this work.",28,,
63,0.97,292.859,300.5,"As we know, home ownership is key to building Intergenerational wealth and a key driver of the racial wealth gap.",28,,
64,0.97,300.5,307.173,While the Finisheds appropriated here would not address that problem at scale.,28,,
65,0.97,307.173,322.922,It would give more households every year the opportunity to bridge that gap for their own families after being shut out from this opportunity by Seattle's own past Discriminator policies.,28,,
66,0.97,322.922,331.23,This funding could result from anywhere to 35 to 100 new permanently affordable home ownership opportunities per year.,28,,
67,0.97,331.23,335.435,"This is, I think, pretty significant of an accomplishment.",28,,
68,0.97,335.435,338.638,Both at the high end and the low end of the scale.,28,,
69,0.97,338.638,344.41,In Seattle's housing market.,28,,
70,0.97,344.41,350.883,"Thank you very much, council member Herbold.",29,,
71,0.97,350.883,355.355,"I would like to thank you for all of your work on this, council member Herbold.",29,,
72,0.97,355.355,374.04,Your collaboration on this amendment and your focus on making sure there's investments going into permanently affordable home ownership for those who have been especially denied home ownership opportunities in the past due to a history of Discriminator practices such as Redlining and racist Cov innocents in Seattle is really impressive.,29,,
73,0.97,374.04,379.679,I think per your long history of your advocacy on this and for your dedication on this amendment here.,29,,
74,0.97,379.679,389.422,"We have heard a call for investments in home ownership for communities who for generations have been harmed by Discriminator practices, particularly among black communities.",29,,
75,0.97,389.422,394.127,And this amendment really works toward a broader Strateg of investing in these communities.,29,,
76,0.97,394.127,412.979,And importantly this funding will also be available for program support and Capacity-Building for Commune-Led organizations who are looking to build out home ownership opportunity programs tailored to those communes they serve.,29,,
77,0.97,412.979,416.282,A huge amount of thanks to you and to your staff as well.,29,,
78,0.97,416.282,420.319,Appreciate your hard work on this and look forward to supporting it.,29,,
79,0.97,420.319,424.09,Any other Council member comments on amendment 8?,29,,
80,0.97,424.09,430.83,"Seeing none, Madame clerk, will you please call the record on amendment 8?",29,,
81,0.97,430.83,432.231,Juarez.,30,,
82,0.97,432.231,432.598,Aye.,31,,
83,0.97,432.598,433.032,Lewis.,32,,
84,0.97,433.032,433.266,Aye.,33,,
85,0.97,433.266,434.033,Morales.,34,,
86,0.97,434.033,437.003,Aye.,35,,
87,0.97,437.003,438.437,Pedersen.,36,,
88,0.97,438.437,441.007,Aye.,37,,
89,0.97,441.007,442.842,Sawant.,38,,
90,0.97,442.842,445.011,"A, ye.",39,,
91,0.97,445.011,445.311,Strauss.,40,,
92,0.97,445.311,450.516,Council President Gonzcez.,41,,
93,0.97,450.516,452.451,"A, ye.",42,,
94,0.97,452.451,453.686,Herbold.,43,,
95,0.97,453.686,455.621,Aye.,44,,
96,0.97,455.621,456.556,Chair Mosqueda.,45,,
97,0.97,456.556,457.056,Aye.,46,,
98,0.97,457.056,457.824,None opposed.,47,,
99,0.97,457.824,463.863,The motion carries and the amendment is adopted.,48,,
100,0.97,463.863,466.265,"Congratulations, council member Herbold and thanks for all your work.",48,,
101,0.97,466.265,473.739,Let us move onto the next amendment for our consideration.,48,,
102,0.97,473.739,484.483,"Alley, would you like to walk us through amendment 9 and the considerations in front of us before we do that?",48,,
