index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.181,25.959,"Good afternoon, everyone January 19, 2021 of the cities that city council come to order pick I'm president of the Council, will the clerk please call the role??",0,,
1,0.97,25.959,26.326,Juarez?,0,,
2,0.97,26.326,26.593,Here.,1,,
3,0.97,26.593,27.861,Councilmember Lewis?,2,,
4,0.97,27.861,29.129,Present.,3,,
5,0.97,29.129,35.168,Councilmember Morales?,4,,
6,0.97,35.168,35.802,Councilmember Mosqueda?,4,,
7,0.97,35.802,36.87,Present Pics?,5,,
8,0.97,36.87,38.338,Councilmember Peterson?,5,,
9,0.97,38.338,39.439,Present.,6,,
10,0.97,39.439,44.077,Councilmember Sawant text,7,,
11,0.97,44.077,44.477,Here.,8,,
12,0.97,44.477,45.378,Councilmember Strauss?,9,,
13,0.97,45.378,46.045,Doesn't.,10,,
14,0.97,46.045,49.749,Councilmember?,11,,
15,0.97,49.749,50.083,Here.,12,,
16,0.97,50.083,51.751,Council President Gonzalez?,13,,
17,0.97,51.751,57.057,Here.,14,,
18,0.97,57.057,57.49,Eight present.,15,,
19,0.97,57.49,59.259,"Thank you so much, Madame clerk.",16,,
20,0.97,59.259,64.664,We will NOTE when our ninth Councilmember joins us.,16,,
21,0.97,64.664,69.803,She may already be here.,16,,
22,0.97,69.803,72.172,Okay.,16,,
23,0.97,72.172,95.762,"So, colleagues, we are going to start off today's opportunity to hear about a proclamation, I'm so sorry, I didn't have it pulled up, so I need to get that pulled up right away here, just a minute.",16,,
24,0.97,103.837,117.65,"So, Council members, I have a proclamation today honoring Martin Luther King Jr. week, unity week, that I would like to read, and then I'm happy to open the floor for comments on the before suspending the rules to allow our guest to accept the proclamation.",16,,
25,0.97,117.65,134.567,"So, colleagues, really excited about being able to have an opportunity to present this joint proclamation that will be signed by all nine Councilmembers, and Mayor Dorgan.",16,,
26,0.97,134.567,177.21,"And the proclamation reads as follows, whereas Dr. King was champion for justice for the voiceless, and for those who were refused access to the American dream, and whereas he was a preacher, teacher, and racial justice Organizer who challenged us to make and create reality for all people, whereas the annual observance of Dr. Martin Luther King Junior day has never been more meaningful than the year following George Floyd murder and delivering Joe Biden to the White House, we are compelled to examine our collective failure for institutional racism as a city an institution, and its impact on the lives of people of color, whereas each year, the holiday has typically brought to member to bring the life, legacy for affable and just society of the incomparable Dr.",16,,
27,0.97,177.21,190.223,"King, and where we will make painful, personal sacrifices and decisions for family, neighbors and friends community staying safe at home.",16,,
28,0.97,190.223,208.207,"Whereas we will also recognize local communal leaders in the cutting edge of Antiracist movements, and activism in the black and Brown public services, particularly black women, a life blood of the body of work.",16,,
29,0.97,208.207,249.182,"Whereas we are committed to racial equity, diversity and inclusion while also holding the gullible, and continuing to do the work, required to address Endemic racism when and where it exists, and whereas Martin Luther King Jr. unity day is an occasion for each branch of government to carry on the tradition and the momentum of Antiracism movement and Seattle is the only authority County to Barrett's name and we find our solemn duty to the fierce commitment dismantling white supremacy, nor is the city of Seattle is proud to observe and remember Dr. King's legacy, even in this virtual environment, and therefore, the Mayor and the Seattle saddle Council Perp came today to be Martin Luther King Junior unity day.",16,,
30,0.97,249.182,257.09,"Thank you, Holly, for allowing me an opportunity to read that into the record for today.",16,,
31,0.97,257.09,261.427,"I do want to open it up for any comments from any Council member, before the rules are submitted did.",16,,
32,0.97,261.427,265.832,40 your city employee to accept this on behalf of our city workers.,16,,
33,0.97,267.533,268.301,Any comments?,16,,
34,0.97,279.345,280.613,"Council member Mosqueda, then Councilmember Morales.",16,,
35,0.97,280.613,282.281,"Thank you very much, Madam President.",17,,
36,0.97,282.281,284.717,"Thank you very much, Madam president for bringing forward the sparkle mission today.",17,,
37,0.97,284.717,287.654,"Thanks to the city of employee members, and our community at large.",17,,
38,0.97,287.654,309.142,"As we grapple with the legacy of Dr. King, and although he fought for, we recognize that he wasn't just an icon for peaceful civil disobedience in some cases, he was a radical thought Provocateur who encouraged us to fight against the status quo, and many of the comments that people remember on the day of Martin Luther King, like too often Whitewash what he stood for.",17,,
39,0.97,309.142,336.035,"He encouraged us to push ourselves out of our comfort zone, be radical in our thinking and radical fight is nature, the actual definition needs to get at the root of the problem, to get justices where they start, and he urged us, through his poor people's movement, and the campaign that was launching in the days that he was assassinated, to look at poverty and racism, the ills of our society that continue to plague generation after generation.",17,,
40,0.97,336.035,345.378,"And here we are, decades later, in a city that is still plagued by the racist roots of covenants that are playing out in zoning law.",17,,
41,0.97,345.378,359.592,"We still have a city that has large numbers of black and Brown folks getting pushed out of the city, and we have not built the housing that we need to make sure that more people have the opportunity to access and stability.",17,,
42,0.97,359.592,373.706,"We are in a time where the Covid pandemic has ravaged through our black and Brown communities, at risk, the lives and health of communities of color, because we have inequities in our health system, to begin with.",17,,
43,0.97,373.706,377.61,"And those who were exposed to Covid on the front line, are more likely to be black and Brown.",17,,
44,0.97,377.61,391.724,"And what comes to creating a better future for young children, black and Brown youth are more likely to not be able to access the high-quality, early learning, and Childcare opportunities that are needed, in order to ensure that they have an opportunity for success.",17,,
45,0.97,391.724,408.04,"The social determinants of health are rooted within those first three years of life, and we know this, and yet we have, in many cases, filled to act in terms of funding and policy decisions.",17,,
46,0.97,408.04,409.342,And we are working to change that.,17,,
47,0.97,409.342,413.946,"We are not fighting on these issues intimately, but we are pushing for both Agendas and we have so much further to go.",17,,
48,0.97,413.946,416.816,"I want to thank our city employees for everything they do, every day.",17,,
49,0.97,416.816,430.363,"Not only for enacting these bold policies, but for being the truth tellers on the front line, to tell us what's working and what's not working, and in many cases, putting ourselves in Harms way, during this pandemic to care for our most mobile.",17,,
