index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,17.35,29.629,"The time is 9:33 a.m., will the clerk please call the roll.",0,,
1,0.97,29.629,29.929,Present.,1,,
2,0.97,29.929,30.63,Vice chair Herbold.,2,,
3,0.97,30.63,36.536,Here.,3,,
4,0.97,36.536,37.203,Councilmember Gonzalez.,4,,
5,0.97,37.203,37.737,Here.,5,,
6,0.97,37.737,38.538,Councilmember Lewis.,6,,
7,0.97,38.538,39.706,Councilmember Strauss.,6,,
8,0.97,39.706,48.048,Councilmember Morales.,6,,
9,0.97,48.048,49.482,"Madam chair, that is five present.",6,,
10,0.97,49.482,50.316,Thank you very much.,7,,
11,0.97,50.316,61.261,"We have a Quorum, so we will begin the meeting and when we have other Councilmembers join us, we are expecting other Councilmembers, including Councilmember Lewis, for sure.",7,,
12,0.97,61.261,62.529,I will announce when they join.,7,,
13,0.97,62.529,70.403,"Thank you for being flexible on a holiday week, to join us on a Friday morning.",7,,
14,0.97,70.403,71.037,I appreciate your time.,7,,
15,0.97,71.037,76.743,Today we're looking at the South Park acquisition legislation for developing affordable housing.,7,,
16,0.97,76.743,87.687,We will then consider the multi family housing property tax exemption program.,7,,
17,0.97,87.687,88.388,Covid-19 specific legislation.,7,,
18,0.97,88.388,90.957,This is legislation made possible from actions in the state Legislature this year.,7,,
19,0.97,90.957,102.902,We will then have a continuation of our hazard pay specific to grocery employees and Lastly we will consider the Jumpstart Seattle payroll tax.,7,,
20,0.97,102.902,103.503,Jumpstart Fund.,7,,
21,0.97,103.503,111.478,"If there is no objection, today's agenda will be adopted.",7,,
22,0.97,111.478,113.213,"Hearing no objection, today's agenda is adopted.",7,,
23,0.97,113.213,118.651,Let's start with public comment.,7,,
24,0.97,118.651,124.023,As always we like to have public comment at the beginning of our meeting and to make sure folks have the chance to dial in remotely.,7,,
25,0.97,124.023,127.126,We have continued to make these possible.,7,,
26,0.97,127.126,129.596,We will move through the public comment in the following manner.,7,,
27,0.97,129.596,133.6,Folks will be given two minutes to speak.,7,,
28,0.97,133.6,134.434,I will call on speakers.,7,,
29,0.97,134.434,136.836,A time in the order in which they are registered to speak.,7,,
30,0.97,136.836,143.943,"If you have not had a chance to sign up and would like to speak, you are welcome to.",7,,
31,0.97,143.943,145.745,The public comment link is listed on today's agenda.,7,,
32,0.97,145.745,149.649,"Once I call your name, you will be prompted by hearing a message that you are muted.",7,,
33,0.97,149.649,161.427,That is your indication that you need to hit Á6 on your line and make sure your phone is off mute.,7,,
34,0.97,161.427,162.262,Then you can start speaking.,7,,
35,0.97,162.262,166.199,Please start with your name and item you are interested in addressing.,7,,
36,0.97,166.199,168.334,"Once you complete your public comment, please Disconnect from the line.",7,,
37,0.97,168.334,177.277,"If you plan to continue following the meeting, which we hope you do, you can follow us on the Seattle channel or the other listen in options on today's agenda.",7,,
38,0.97,177.277,180.947,The public comment period is now open and we will go to the public comment.,7,,
39,0.97,180.947,185.552,"Before I do, welcome Councilmember Lewis.",7,,
40,0.97,185.552,186.386,I appreciate you joining us.,7,,
41,0.97,186.386,187.587,Good morning.,8,,
42,0.97,187.587,192.325,Thanks so much for being here.,9,,
43,0.97,192.325,193.893,We are about to start public comment.,9,,
44,0.97,193.893,195.562,We have to folks signed up to speak.,9,,
45,0.97,195.562,197.664,Theresa Clark and then Tammy Patrick.,9,,
46,0.97,197.664,200.7,"Good morning, Theresa.",9,,
47,0.97,200.7,203.903,Good morning.,10,,
48,0.97,203.903,206.706,Thank you for the opportunity to speak.,10,,
49,0.97,206.706,213.212,My name is Theresa Clark.,10,,
50,0.97,213.212,220.52,I am the deputy director of the Washington low income housing alliance and I am speaking today in support of Council bill 120118.,10,,
51,0.97,220.52,234.234,We support this legislation and think it is necessary because it is critical to further the cities work--investments in these services need to be reliable and predictable.,10,,
52,0.97,234.234,241.441,Providers need to be able to depend on the funds and know that they will not be pulled out from under their feet.,10,,
53,0.97,241.441,256.689,And we know that reductions are extremely disruptive and damaging and can drive inefficiencies that set us back in our efforts to prevent and end homelessness.,10,,
54,0.97,256.689,261.561,"Additionally, Jumpstart is an intervention that addresses staggering income inequality in Seattle and in our region.",10,,
55,0.97,261.561,268.267,Income inequality is one of the biggest drivers of housing insecurity and homelessness.,10,,
56,0.97,268.267,277.777,Those earning less face out of reach housing costs and we know many Seattle Renters are facing a stark reality right now.,10,,
57,0.97,277.777,285.551,As they dig themselves out of pandemic related debt.,10,,
58,0.97,285.551,289.188,So many will need safety net services and affordable housing funded by Jumpstart in order to move forward.,10,,
59,0.97,289.188,295.094,"So, Seattle needs to stay the course on investments in these programs.",10,,
