index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.377,13.246,We are recording.,0,,
1,0.97,13.246,16.883,Good morning.,1,,
2,0.97,16.883,21.154,"The 19, 2021 meeting of the transportation and utilities committee will come to order.",1,,
3,0.97,21.154,22.555,The time is 9:32 A.M.,1,,
4,0.97,22.555,27.26,"I am to 27, chair of the committee.",1,,
5,0.97,27.26,31.898,Will the clerk please call the role?,1,,
6,0.97,31.898,34.501,Syrup Councilmember Herbold?,1,,
7,0.97,34.501,36.102,Here.,2,,
8,0.97,36.102,38.638,Councilmember Morales?,3,,
9,0.97,38.638,39.572,Here.,4,,
10,0.97,39.572,41.674,Councilmember Strauss?,5,,
11,0.97,41.674,43.276,Present.,6,,
12,0.97,43.276,47.58,Chair Pedersen?,7,,
13,0.97,47.58,48.181,Here.,8,,
14,0.97,48.181,51.017,Four present.,9,,
15,0.97,51.017,63.029,"If there is no objection, today's proposed objection that agenda will be adopted.",10,,
16,0.97,63.029,94.227,"On our agenda, we have four limited renewals for bridges and tunnels, every appointment to the traffic safety Committee, a property transfer to Seattle city light, an object on implementing our Internet action plan from the Seattle information technology Department, and our second and final discussion at this committee of the three surveillance impact reports relating to existing police Technologies.",10,,
17,0.97,94.227,96.162,We will be focused on the several amendments to those.,10,,
18,0.97,96.162,97.964,There are several we will be voting on today.,10,,
19,0.97,97.964,106.473,The first four items are relatively routine renewals.,10,,
20,0.97,106.473,109.943,I hope we can get to those quickly so we can get two more substance to of items.,10,,
21,0.97,109.943,112.178,"At this point, we will open the remote general comment period.",10,,
22,0.97,112.178,113.48,I asked that everyone the patient.,10,,
23,0.97,113.48,116.082,We are continuously looking for ways to Fine-Tune this process of public participation.,10,,
24,0.97,116.082,135.468,"It remains the strong intent of the city council that we have public comment, however we reserve the right to modify these comments if we deem the system is being abused or is unsuitable to allow us to conduct our meetings efficiently and in the way to conduct our necessary business.",10,,
25,0.97,135.468,137.57,I will moderate the comment period in the following manner.,10,,
26,0.97,137.57,149.349,It will be up to 20 minutes and will give each person two minutes to speak.,10,,
27,0.97,149.349,154.22,I will call on two speakers at a time in the order in which they registered on the councils red state--councils Website.,10,,
28,0.97,154.22,156.823,You can go to the Website at Seattle.Gov/Council.,10,,
29,0.97,156.823,160.693,The public comment link is also listed on today's agenda.,10,,
30,0.97,160.693,174.34,"The call the name of the Speaker, apple on mute the appropriate microphone and the automatic prompt of you have been Unmuted will be the key with a Speaker that it is their turn to speak.",10,,
31,0.97,174.34,176.142,The Speaker must press Á6 to begin speaking.,10,,
32,0.97,176.142,177.977,State your name and the item you are addressing.,10,,
33,0.97,177.977,185.318,"As a reminder, public comment church--should relate to the item on today's agenda.",10,,
34,0.97,185.318,193.426,"Once you hear the Chime with 10 seconds left, wrap it up so we can move onto the next Speaker.",10,,
35,0.97,193.426,200.133,"If you do not end your comments in the time allotted, the microphone will be muted to allow us to call on the next Speaker.",10,,
36,0.97,200.133,203.97,"Once you have completed the public comment, we ask that you Disconnect from the line.",10,,
37,0.97,203.97,210.91,"If you plan to continue to follow the meeting, do so through the Seattle channel or the listening options on your agenda.",10,,
38,0.97,210.91,217.383,The regular public comment period for this committee meeting is now open.,10,,
39,0.97,217.383,219.586,We will begin with the first Speaker on the list.,10,,
40,0.97,219.586,221.988,Please remember to press Á6 before speaking.,10,,
41,0.97,221.988,223.089,Elixir?,10,,
42,0.97,223.089,229.362,"Have four people signed up, and just one person is present at this time.",10,,
43,0.97,229.362,232.532,"We will go with the person who is present now, and that is Cynthia.",10,,
44,0.97,232.532,233.399,"Good morning, Cynthia.",10,,
45,0.97,233.399,237.403,Please go ahead.,10,,
46,0.97,237.403,238.471,Hello.,11,,
47,0.97,238.471,243.509,My comments are on the three SPD surveillance Technologies.,11,,
48,0.97,243.509,250.283,"Thank you, Councilmembers Pedersen and Herbold for proposing the amendment.",11,,
49,0.97,250.283,253.519,"I support all of the amendments, however, some of them could have gaps.",11,,
50,0.97,253.519,260.026,Amendment number two got to be improved by removing the opportunity for policy damage.,11,,
51,0.97,260.026,267.9,Improved wording might be including a specific incident type and circumstances of reasonable at Dictation of bodily harm.,11,,
52,0.97,267.9,278.745,Amendment number two on the Situational awareness cameras bill doesn't address sound or the use of a cell phone to monitor the feet of the camera.,11,,
53,0.97,278.745,294.594,"Improved wording could be addressed rejections on Downloading, streaming, recording images, video, or Audio with a Situational awareness camera.",11,,
54,0.97,294.594,306.139,"With a Situational awareness camera and video system bills amendment number three is overly narrow, and there are many forms of Biometric identification, not just facial recognition.",11,,
55,0.97,306.139,307.173,They are used by the U.S.,11,,
56,0.97,307.173,309.676,"Government, Chinese government, and private sector companies, among others.",11,,
57,0.97,309.676,316.315,"Since SPD describes only needing to use these cameras to view a physical area, there is no need for any Biometric identification capabilities.",11,,
58,0.97,316.315,326.592,"Improved wording for amendment number three on this bill is, Situational awareness cameras equipped with Biometric identification, facial recognition.",11,,
59,0.97,326.592,338.805,"Approved amendment wording for amendment number three is that any recording systems with Biometric identification, facial recognition capability.",11,,
60,0.97,338.805,345.311,"Lastly, none of the amendments addressed SPD not having their recording systems security CONFIRMS.",11,,
61,0.97,345.311,353.119,Not following best practices is what led to 70% of police cameras in Washington being hacked.,11,,
62,0.97,353.119,359.125,"Please propose amendment four, requesting that SPD conduct a security audit.",11,,
63,0.97,359.125,360.326,Please see my Email.,11,,
64,0.97,360.326,361.194,Thank you.,11,,
65,0.97,361.194,362.628,"Thank you, Cynthia.",12,,
66,0.97,362.628,369.736,I am not seeing any other speakers present who signed up.,12,,
