index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,3.57,8.341,Meeting of the transportation and utilities committee will come to order.,0,,
1,0.97,8.341,10.343,The time is 9:31 am.,0,,
2,0.97,10.343,13.546,With the clerk please call role?,0,,
3,0.97,13.546,19.352,Council President Gonzalez?,1,,
4,0.97,19.352,23.356,Councilmember Herbold?,1,,
5,0.97,23.356,24.324,Councilmember whereas?,1,,
6,0.97,24.324,25.358,Here.,2,,
7,0.97,25.358,27.227,Councilmember Morales?,3,,
8,0.97,27.227,28.061,Here.,4,,
9,0.97,28.061,33.867,Chair Pedersen?,5,,
10,0.97,33.867,35.368,Here.,6,,
11,0.97,35.368,39.773,Three present.,7,,
12,0.97,39.773,40.173,Sorry.,8,,
13,0.97,40.173,41.908,I was trying to get into the meeting.,8,,
14,0.97,41.908,42.442,I am President.,8,,
15,0.97,42.442,43.576,I am present.,8,,
16,0.97,43.576,50.183,"Hello, Council President Gonzalez.",9,,
17,0.97,50.183,51.184,"Thanks, everybody, for being here.",9,,
18,0.97,51.184,52.986,The next item is the approval of the agenda.,9,,
19,0.97,52.986,57.49,"If there is no objection, today's agenda will be adopted.",9,,
20,0.97,57.49,61.561,"Hearing no objection, the agenda is adopted.",9,,
21,0.97,61.561,68.201,We will be considering legislation from each of our four large departments today.,9,,
22,0.97,68.201,83.483,"Sdot and the city auditor are here to present on the status of bridge repair, maintenance, and seismic updates.",9,,
23,0.97,83.483,88.321,"We will consider how to spend the new $20 vehicle license fee revenues, although we are not taking a vote on that today.",9,,
24,0.97,88.321,91.624,We will continue our conversation about Seattle public utilities strategic business plan and path for utility rates.,9,,
25,0.97,91.624,102.535,"We will have a public hearing about an easement from city light King County, which will help us with a trail we are building in South Seattle.",9,,
26,0.97,102.535,110.076,The information technology Department is here to update us on their efforts to implement the Internet for all action plan.,9,,
27,0.97,110.076,116.382,"Finally, we have an ordinance authorizing a partial ownership transfer of a Cable package plan.",9,,
28,0.97,116.382,120.253,I do want to clear up some questions regarding item 2 on today's agenda.,9,,
29,0.97,120.253,130.163,"That is the item for how to invest new details, you dollars for vehicle licensing fees.",9,,
30,0.97,130.163,132.031,We increased that as soon as we could last year.,9,,
31,0.97,132.031,134.067,We know transportation needs are large in our growing city.,9,,
32,0.97,134.067,144.144,The bill before us today from our Seattle Department of transportation was Crafted after meeting with many Stakeholders.,9,,
33,0.97,144.144,146.312,I want to thank everybody for their participation in that process.,9,,
34,0.97,146.312,154.387,"That bill authorizes spending those new dollars just for this year, 2021.",9,,
35,0.97,154.387,159.058,That is what the original underlying bill does.,9,,
36,0.97,159.058,165.632,The amendment before us simply asks Sdot to report back to the Council.,9,,
37,0.97,165.632,166.966,That amendment is very brief.,9,,
38,0.97,166.966,178.311,It says the Seattle Department of transportation director is directed to provide Council a list of transportation projects that could be funded by $100 million in 2022.,9,,
39,0.97,178.311,187.554,"At minimum, the list shall include the title, short description, and cost for each project.",9,,
40,0.97,187.554,194.994,"The project list shall identify a minimum of $75 million of bridge maintenance, bridge repair, and bridge replacement project.",9,,
41,0.97,194.994,206.139,"The project list shall be delivered to city council by September 30, 2021.",9,,
42,0.97,206.139,207.574,That is what the amendment does.,9,,
43,0.97,207.574,209.008,It is not to authorize an issue.,9,,
44,0.97,209.008,215.315,It is asking us to come back with a plan of how we can get more money out the door faster to benefit communities faster Úand create jobs faster.,9,,
45,0.97,215.315,227.26,"We ask for 44 to come back with a plan for investment infrastructure, is that of trickling it out with $700 million each year.",9,,
46,0.97,227.26,232.966,There is an emphasis on bridges for a variety of reason.,9,,
47,0.97,232.966,235.235,The real decision will be made during our fall budget process.,9,,
48,0.97,235.235,239.105,We can see the bigger picture of transportation resources and needs.,9,,
49,0.97,239.105,243.743,"We will talk about the benefits and questions on that amendment, too.",9,,
50,0.97,243.743,247.981,I wanted to clarify the limited scope of the one-year legislation and what the one page amendment would actually do.,9,,
51,0.97,247.981,252.485,We are not voting on that legislation today.,9,,
