index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,15.415,21.688,"Good morning, everyone January 25th, 2021 council meeting will come to order.",0,,
1,0.97,21.688,22.489,It is 9:32 am.,0,,
2,0.97,22.489,24.29,With the clerk please call the role?,0,,
3,0.97,24.29,24.691,Lewis?,1,,
4,0.97,24.691,25.692,Present.,2,,
5,0.97,25.692,35.902,Morales?,3,,
6,0.97,36.936,37.27,Here.,4,,
7,0.97,37.27,37.704,Mosqueda?,5,,
8,0.97,37.704,38.304,Present.,6,,
9,0.97,38.304,38.638,Pedersen?,7,,
10,0.97,38.638,38.905,Here.,8,,
11,0.97,38.905,39.305,Sawant?,9,,
12,0.97,39.305,39.773,Here.,10,,
13,0.97,39.773,42.809,Strauss?,11,,
14,0.97,42.809,43.476,Present.,12,,
15,0.97,43.476,43.91,Herbold?,13,,
16,0.97,43.91,44.31,Here.,14,,
17,0.97,44.31,47.714,Juarez?,15,,
18,0.97,47.714,48.381,Here.,16,,
19,0.97,48.381,50.917,Council President Gonzalez?,17,,
20,0.97,50.917,51.317,Here.,18,,
21,0.97,51.317,57.59,Nine present.,19,,
22,0.97,57.59,60.827,"If there is no objection, the minutes of January 19th, 2021 will be adopted.",20,,
23,0.97,60.827,63.196,"Hearing no objection, the minutes are adopted.",20,,
24,0.97,63.196,63.63,Presidents report?,20,,
25,0.97,63.63,69.402,"I don't have anything to report, this morning.",20,,
26,0.97,69.402,72.872,"So let's go ahead and get into our first presentation, which is the Federal lobbying presentation.",20,,
27,0.97,72.872,84.35,We do have Sierra Howlett Browne with us from the office of Intergovernmental relations and Leslie Pollner from Holland & amp; knight.,20,,
28,0.97,84.35,93.86,"So I'm going to go ahead and handed over to Sierra to make some introduction remarks, then we will kick it over to Leslie.",20,,
29,0.97,93.86,94.727,"In morning, everybody.",21,,
30,0.97,94.727,100.133,"Sierra Howlett Browne, director of Federal affairs for office of Intergovernmental relations.",21,,
31,0.97,100.133,117.45,"Thank you for having us this morning, I know you're usually with our state team, so humor is a little bit without Federal updates, we are trying to come in and meet with you all quarterly, but thought that this was a great opportunity to start off the new year in this new Congress, talking about some of the changes that have been made.",21,,
32,0.97,117.45,119.385,"Leslie, our Federal lobbyists will introduce herself as well.",21,,
33,0.97,119.385,120.887,Most of you have met her.,21,,
34,0.97,120.887,136.402,"Talking about the second stimulus package that pastors briefly, then going into President Biden's recovery plan as well so, Leslie, I will let you kick it off.",21,,
35,0.97,136.402,136.803,Terrific.,22,,
36,0.97,136.803,144.177,And I know that Anna is going to help me with the slides.,22,,
37,0.97,144.177,146.312,"Hopefully you can all see them, are they up?",22,,
38,0.97,146.312,147.08,Perfect.,22,,
39,0.97,147.08,148.581,Thank you.,22,,
40,0.97,148.581,151.718,Next slide.,22,,
41,0.97,151.718,159.392,"So, very happy to be with you in truly a new day in Washington DC.",22,,
42,0.97,159.392,160.026,"Very, very exciting.",22,,
43,0.97,160.026,190.957,"Just to Recap, where we were in December, and December, Congress passed hr 133, which was fy 2021 package, that was a $2.4 trillion of package, 6000 page bill, that included fy 21 appropriations, so all the Federal funding for this fiscal year, along with a $900 billion Coronavirus relief bill.",22,,
44,0.97,190.957,206.439,"The water resources development act authorization, a package extending a number of tax breaks, called the tax Extenders package, and the energy act of 2020.",22,,
45,0.97,206.439,214.08,"And I'm going to focus just for a quick moment, really, on the Coronavirus relief package, as I mentioned, it was quite a large bill, 6000 pages.",22,,
46,0.97,214.08,217.517,It would be a lot to Delve into if we were to do the whole thing.,22,,
47,0.97,217.517,222.889,"But, next slide.",22,,
48,0.97,222.889,256.956,"So just some of the highlights from $900 billion Coronavirus relief package, that came through really touching on a number of areas, you know, I think if you've all seen in the media, you know, $600 checks for individuals an additional round of Ppp, including some targeted funds for arts Venues, that I know are going to be really important to the city of Seattle . 8.75 billion for vaccine development and distribution, 22.4 million for contract excuse me, contact tracing.",22,,
49,0.97,256.956,262.629,"And I think one of the pieces to note about this package, is that, unlike the C.A.R.E.S.",22,,
50,0.97,262.629,277.51,"Act, which really included quite a bit of direct funding for our cities, and in particular, the city of Seattle, this package is less helpful to the city specifically, more helpful to the individuals within it.",22,,
51,0.97,277.51,283.516,"That is what they were able to achieve bipartisan resolution on, and bipartisan compromise on.",22,,
52,0.97,283.516,292.558,"And so, you know, I think sometimes some folks have been surprised to not see quite as much funding coming out to the city.",22,,
53,0.97,292.558,293.192,"Next slide, please.",22,,
54,0.97,293.192,318.885,"One area where there is direct funding is around emergency rental assistance, and housing, and then of course there is a new program, a $638 million program that Seattle public utilities was really involved in helping to advocate and push for, that is providing emergency assistance for Low- income households, for drinking water and wastewater assistance.",22,,
55,0.97,318.885,322.188,Next slide.,22,,
56,0.97,322.188,363.763,"So of course, now with President Biden and vice president Harris Inauguration, we are, we have another opportunity, as you heard, by President Biden's say when he was President elect Biden, that he viewed that December plan as really a down payment on additional assistance, and shortly before he was sworn in, he releases $1.9 trillion American rescue plan, which really has kind of three major categories of proposals . One around Healthcare until the 19 response, one around providing additional response for American workers and families, and then support for small businesses and governments.",22,,
