index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,35360.992,35362.894,Present.,0,,
1,0.97,35362.894,35366.664,Council member Morales.,1,,
2,0.97,35366.664,35369.2,Here.,2,,
3,0.97,35369.2,35372.937,Council member Mosqueda.,3,,
4,0.97,35372.937,35375.173,Council member Sawant.,3,,
5,0.97,35375.173,35375.44,Here.,4,,
6,0.97,35375.44,35377.842,Council member Strauss.,5,,
7,0.97,35377.842,35378.476,Present.,6,,
8,0.97,35378.476,35379.844,Chair Pedersen.,7,,
9,0.97,35379.844,35380.178,Here.,8,,
10,0.97,35380.178,35381.312,Seven present.,9,,
11,0.97,35381.312,35381.679,Thank you.,10,,
12,0.97,35381.679,35390.455,"If there is no objection, the agenda for today's meeting will be adopted.",10,,
13,0.97,35390.455,35392.156,"Hearing no objection, the agenda is adopted.",10,,
14,0.97,35392.156,35394.859,We have just one item on the agenda.,10,,
15,0.97,35394.859,35411.843,I do have a quick chairs report to set some context and then we'll hear public comment and we'll get to the presentation from the executive Calvin chow from central staff is on the line.,10,,
16,0.97,35411.843,35415.546,We can direct questions to central staff and also to Calvin.,10,,
17,0.97,35415.546,35415.88,Good morning.,10,,
18,0.97,35415.88,35423.921,Thank you for being here today for the first meeting of this select Committee on Seattle transportation benefit district funding.,10,,
19,0.97,35423.921,35435.066,"Allow me to use opening remarks as chair to highlight the purpose of the committee, schedule initial support for Stakeholders and initial thoughts on funding.",10,,
20,0.97,35435.066,35449.68,For the benefit of the general public Council member Gonzalez established this committee of nine Council members so we can put in front of voters the opportunity to renew the funding that's expiring for our successful Seattle transportation benefit district.,10,,
21,0.97,35449.68,35458.523,"As we know, a benefit district is a key tool Washington state law provides to cities to raise money for transportation needs.",10,,
22,0.97,35458.523,35468.9,"Seattle has consistently focused our benefit district on supplementing bus service, providing free transit passes to those in need, providing other transit solutions.",10,,
23,0.97,35468.9,35470.902,"Thankfully, that's the proposal before us today.",10,,
24,0.97,35470.902,35477.775,Today we'll have an overview of the Seattle transportation benefit district and the proposal to renew the funding.,10,,
25,0.97,35477.775,35490.087,"In addition to hearing from our city's transportation officials, all of our meetings will include the own central staff expert on transportation Calvin chow.",10,,
26,0.97,35490.087,35492.69,"At the end, Council members can of course ask questions.",10,,
27,0.97,35492.69,35499.664,"You can send questions directly to our central staff for later, Calvin chow.",10,,
28,0.97,35499.664,35506.938,Regarding the schedule we will meet again July 17 at 10:00 to discuss and vote on amendments.,10,,
29,0.97,35506.938,35512.977,Please send ideas for amendments to central staff analyst Calvin chow early next week.,10,,
30,0.97,35512.977,35519.05,The goal is for us as full city Council to vote on final measure by Monday July 27.,10,,
31,0.97,35519.05,35529.126,That's because the deadline is August 4 to put this funding source on to the November ballot for voters to consider.,10,,
32,0.97,35529.126,35552.116,"The press release sent to the media Tuesday when the Mayor transmitted draft legislation to us included support from a broad coalition of Stakeholders, Mlk labor Council, urban League, ATU local 587, transportation choices coalition, downtown Seattle Association, rooted in rights, our transportation equity Workgroup.",10,,
33,0.97,35552.116,35561.125,I expect we'll hear public comment today that expresses common ground in wanting to provide more transit service and more funding for transit.,10,,
34,0.97,35561.125,35572.937,"I believe we have options, we have several options without needing to drastically amend the legislation before us but we can talk about that later today.",10,,
35,0.97,35572.937,35590.621,"If we successfully overturn initiative 976 in the courts, I- 976 we can immediately restore the $20 vehicle license fees and I will personally support doubling this revenue source immediately to $40, which we are allowed to do with our own authority.",10,,
36,0.97,35590.621,35602.633,At most I am interested in pursuing additional funding with King to expand transit and making progress on the collaboration we had during or before the pandemic struck.,10,,
37,0.97,35602.633,35613.844,Moving forward to preserve this Seattle funding for transit today does not prevent us from doing more across our region with transit partners at King County.,10,,
38,0.97,35613.844,35618.616,The ordinance as introduced explicitly caused for the cooperation to expand transit throughout our County.,10,,
39,0.97,35618.616,35633.397,To wrap up these remarks let me say I personally believe we must provide Seattle with the option to renew successful transportation benefit district before it expires.,10,,
40,0.97,35633.397,35634.498,"Benefit district's essential, affordable, green.",10,,
41,0.97,35634.498,35639.804,"Our economy, workers, Úenvironment are counting on us to preserve basic transit services.",10,,
42,0.97,35639.804,35645.142,Continuing this small tax is necessary as our economy reopens.,10,,
43,0.97,35645.142,35656.587,"We preserve transit subsidies seniors, students, and to be sure buses get people everywhere they need to go which includes boosting transit access to and from West Seattle.",10,,
44,0.97,35656.587,35669.367,"We look forward to working with Council colleagues, community Stakeholders, constituents, transportation on this vital transit measure.",10,,
45,0.97,35669.367,35672.203,Thank you for allowing me opening remarks and let's go to public comment.,10,,
46,0.97,35672.203,35675.373,At this time we will open remote public comment period.,10,,
47,0.97,35675.373,35683.714,I ask that everyone please be patient as we learn to operate this new system in real time and navigate through inevitable growing pains.,10,,
48,0.97,35683.714,35693.858,We are continuously looking for ways to fine tune the process and adding features to allow for additional means of public participation in Council meetings.,10,,
49,0.97,35693.858,35702.733,It remains strong intent of city Council to have public comment regularly included on meeting Agendas.,10,,
50,0.97,35702.733,35710.307,City Council reserves the right to modify these at any point if we deem the system is being abused.,10,,
51,0.97,35710.307,35714.311,I will moderate in the following manner.,10,,
52,0.97,35714.311,35717.415,We've got about 14 people signed up.,10,,
53,0.97,35717.415,35719.95,We will make the comment period 30 minutes.,10,,
54,0.97,35719.95,35722.353,Each Speaker will be given two minutes to speak.,10,,
55,0.97,35722.353,35728.592,I will call on two speakers at a time and in the order registered on the Council's Website.,10,,
56,0.97,35728.592,35743.207,"If you have not had a chance to register to speak but would like to, you can sign up before the end of the public comment period by going to the Website Seattle.Governor/Council.",10,,
57,0.97,35743.207,35746.877,The link for public comment is also on today's agenda.,10,,
58,0.97,35746.877,35758.322,"Once I call a name, staff will Unmute the appropriate microphone and automatic prompt of you have been Unmuted will be the Speaker's Cue that it is their turn to speak.",10,,
59,0.97,35758.322,35762.46,Please begin by stating your name and item you are addressing.,10,,
60,0.97,35762.46,35765.996,Public comment should relate to an item on today's agenda.,10,,
61,0.97,35765.996,35768.766,Speakers will hear a Chime when ten seconds are left.,10,,
62,0.97,35768.766,35778.375,If speakers do not end the comments at the end of the allotted time the microphone will be muted to allow us to call the next Speaker.,10,,
63,0.97,35778.375,35787.051,"Once you have completed, Disconnect from the line and if you continue to plan to follow the meeting, do so the Seattle channel or listening option on the agenda.",10,,
64,0.97,35787.051,35792.089,The public comment period is open and we will begin with the first two speakers on the list.,10,,
65,0.97,35792.089,35803.634,I'd like to hear from first from Anna from rooted and rights and then Ryan Packer.,10,,
66,0.97,35803.634,35804.869,"Go ahead, Anna.",10,,
67,0.97,35804.869,35805.136,Great.,11,,
68,0.97,35805.136,35805.302,Hi.,11,,
69,0.97,35805.302,35810.875,"I am program director of rooted in rights, part of disability rights Washington.",11,,
70,0.97,35810.875,35824.155,We support additional funding for transit but want to encourage Council to try to have ways to have Spdd support the region as we know we need to be funding public transit on a regional if not statewide basis.,11,,
71,0.97,35824.155,35835.332,"It is plummeted in the pandemic and there are areas in our city, areas in our County where poor Brown, black, immigrant folks live that are still heavily reliant.",11,,
72,0.97,35835.332,35840.271,We need to be sure those of us who are transit dependent can get where we need to go.,11,,
73,0.97,35840.271,35849.513,We need to be sure transit is serving the areas of higher need even if they are not within the city of Seattle.,11,,
74,0.97,35849.513,35852.817,The growth has priced many out of the borders of our city.,11,,
75,0.97,35852.817,35861.358,As we talk about the importance of equity we must do everything possible to Prioritize service to the areas of greatest needs.,11,,
76,0.97,35861.358,35870.301,I know there are constraints but we challenge you to find ways to expand passes for high Chool students and all students within the county.,11,,
77,0.97,35870.301,35884.348,Imagine in four years when you decide to go to voters to support a county wide measure how tremendous it would be to have support of our youth who have had access in our region to free transit passes.,11,,
78,0.97,35884.348,35884.882,Thank you.,11,,
79,0.97,35884.882,35886.15,"Thank you, Anna.",12,,
80,0.97,35886.15,35891.822,Next is Ryan Packer followed by Annie wise.,12,,
81,0.97,35891.822,35892.523,"Go ahead, Ryan.",12,,
82,0.97,35892.523,35894.758,Thank you.,13,,
83,0.97,35894.758,35897.061,My name is Ryan Packer.,13,,
