index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,20.086,21.221,It is 9:31 A.M.,0,,
1,0.97,21.221,27.16,Will the clerk please call the roll.,0,,
2,0.97,27.16,28.962,Council member Lewis.,1,,
3,0.97,28.962,29.262,Present.,2,,
4,0.97,29.262,30.263,Council member.,3,,
5,0.97,30.263,31.598,Present.,4,,
6,0.97,31.598,36.87,Council member.,5,,
7,0.97,36.87,37.17,Present.,6,,
8,0.97,37.17,37.57,Chair Strauss.,7,,
9,0.97,37.57,39.105,Present.,8,,
10,0.97,39.105,40.173,Five present.,9,,
11,0.97,40.173,40.473,Okay.,10,,
12,0.97,40.473,50.683,The land use and neighborhoods committee of the city of Seattle begin our--because this is the land use committee.,10,,
13,0.97,50.683,56.556,This is not intended to give us permission to do as we please after acknowledging.,10,,
14,0.97,56.556,63.663,It is a moment of reflection so we will take a pause and start with our land acknowledgment.,10,,
15,0.97,63.663,72.038,We begin by acknowledging we are on the traditional and ancestral lands of the first people of this region past and present.,10,,
16,0.97,72.038,90.023,"Again we start with this acknowledgment to recognize the fact we are guests on this land and must steward our guests as such, as guests.",10,,
17,0.97,90.023,98.731,"We most ensure we are Stewarding our land and work as the guests we are, as our time here is short.",10,,
18,0.97,98.731,98.998,Thank you.,10,,
19,0.97,98.998,102.235,We have four items on the agenda today.,10,,
20,0.97,102.235,110.21,Public hearing on the proposed comprehensive plan amendment to address the up--to update the name of single family zones to neighborhood residential.,10,,
21,0.97,110.21,117.35,We have a briefing and discussion on Council bill 120121.,10,,
22,0.97,117.35,129.596,Also we will have a public hearing and vote on Council bill 120108.,10,,
23,0.97,129.596,138.438,Finally we will have a resolution on resolution 32010.,10,,
24,0.97,138.438,143.109,The next meeting will be on Wednesday August 11th starting at 9:30 A.M.,10,,
25,0.97,143.109,151.417,"Before we begin if there is no objection, the agenda will be adopted.",10,,
26,0.97,151.417,153.92,Hearing no objection the agenda is adopted.,10,,
27,0.97,153.92,157.223,This morning we are having a public comment and a public hearing.,10,,
28,0.97,157.223,163.763,If you are a--if you are signed up for public comment you must be addressing the item on today's agenda.,10,,
29,0.97,163.763,168.768,This is not a stance I have been firm with since I first took office.,10,,
30,0.97,168.768,190.49,So I see a number of people are signed up to discuss issues not on the agenda or in the land use and neighborhoods committee namely West green Lake way North which many people have already heard my stance which we need to reopen the road with a two Lane protected bike Lane on the Lake side of the road.,10,,
31,0.97,190.49,193.86,This can be done immediately and we shouldn't be waiting months to do so.,10,,
32,0.97,193.86,205.405,"For folks who are signed up for public comment to testify about West green Lake way North while I agree with you, this is not the appropriate place for these public comments.",10,,
33,0.97,205.405,213.98,I will be attending a neighborhood Awes Souation in the and green Lake community council meeting tonight where is the appropriate place to discuss this topic.,10,,
34,0.97,213.98,219.752,At this time we will begin to open the remote public comment period for the items on today's agenda.,10,,
35,0.97,219.752,225.358,Before we begin I ask that everyone please be patient as we learn to operate this new system.,10,,
36,0.97,225.358,245.712,"While it remains our strong intent to have public comment regularly included, the city council reserves the right to end or eliminate this public comment period at any point if we deem the system is being abused or is unsuitable to allow our meetings to be conducted efficiently.",10,,
37,0.97,245.712,250.483,The public comment period is up to 10 minutes.,10,,
38,0.97,250.483,253.319,Each Speaker will be given one minute to speak.,10,,
39,0.97,253.319,257.357,We have about 30 people signed up for public comment and public hearing.,10,,
40,0.97,257.357,262.262,I will call on each Speaker by name and in the order of which they registered on the Website.,10,,
41,0.97,262.262,270.203,If you have not yet registered to speak and would like to you can seen up before the end of public comment by going to the Council's Website.,10,,
42,0.97,270.203,278.978,"Once I call on the Speaker's name, staff Lynn--will Unmute the appropriate microphone.",10,,
43,0.97,278.978,285.451,Please begin by stating your name and the item on the agenda in which you are addressing.,10,,
44,0.97,285.451,291.624,Speakers will hear a Chime when ten seconds are left of the a Lotted time.,10,,
45,0.97,291.624,309.375,If the Speaker does not end their public comments at the end of the a Lotted time provided the microphone be will be Unmuted to allow us to call on the next Speaker.,10,,
46,0.97,309.375,323.156,Again there is a separate public hearing for item 1 the proposed residential name change and for item 3 Council bill 121018.,10,,
47,0.97,323.156,334.867,"If you wish to speak about those items, please sign up for the appropriate public comment public Hahher hearing.",10,,
48,0.97,334.867,339.338,The public comment period is now open.,10,,
49,0.97,339.338,345.645,Can iron firm the folks in yellow from for the public hearing.,10,,
50,0.97,345.645,346.879,Is that correct?,10,,
51,0.97,346.879,349.615,That is correct.,11,,
52,0.97,349.615,351.084,Great.,12,,
53,0.97,351.084,358.791,"If you are here to speak about West green Lake way North, this is not the appropriate place.",12,,
54,0.97,358.791,365.598,Please do keep your comments focused on today's agenda items.,12,,
55,0.97,365.598,365.932,Good morning.,12,,
56,0.97,365.932,376.409,It appears to be an error.,13,,
57,0.97,376.843,376.976,Sorry.,13,,
58,0.97,376.976,378.177,She is not present?,14,,
59,0.97,378.177,384.717,That is correct.,15,,
60,0.97,384.717,385.251,Next is Blair.,16,,
61,0.97,385.251,385.685,"Good morning, Blair.",16,,
62,0.97,385.685,396.996,". that appears to be an error, too, I'm sorry.",17,,
63,0.97,396.996,397.23,Okay.,18,,
64,0.97,397.23,420.953,"Sylvia Stewart, are you with us?",18,,
65,0.97,420.953,421.654,Sylvia Stewart.,19,,
66,0.97,421.654,421.988,I'm here.,19,,
67,0.97,421.988,423.022,Hi Sylvia,20,,
68,0.97,423.022,438.671,I was originally signed up for green Lake but I have some--well I don't agree with changing the zoning from single family to the neighborhood whatever.,21,,
69,0.97,438.671,460.793,"Um, I think we should still have single family areas in the city and I realize we have to let other people be more dense and stuff like that but I feel like our city is special and we don't have to do it like Chicago, like New York and we don't have to just up zone and let developers have a hay day and build whatever they want anywhere.",21,,
70,0.97,460.793,496.195,"What we should do if we are going to keep our city beautiful is get some architects to look at each neighborhood in a fashion and find out what are the best--keeping the characters of that neighborhood, where are the best places to up Sxoen how could we do this in a way we keep our city beautiful for years to come and still save some single family areas which have the tree canopy and everything like that.",21,,
71,0.97,496.195,496.996,And do it that way.,21,,
72,0.97,496.996,504.937,Don't do it like--you don't have to do it like other cities do it or create sprawl or whatever.,21,,
73,0.97,504.937,508.941,Do it in a Seattle way.,21,,
74,0.97,508.941,512.144,That is my comment.,21,,
75,0.97,512.144,514.614,"Thank you, Sylvia.",22,,
76,0.97,514.614,519.652,Up next we have Elizabeth and Rachel.,22,,
77,0.97,519.652,524.724,I see we have Elizabeth here to speak about West green Lake North.,22,,
78,0.97,524.724,529.295,Again this is not the appropriate Committee for that comment.,22,,
79,0.97,529.295,532.265,"Elizabeth, are you with us?",22,,
80,0.97,532.265,533.165,"Yes, I am now.",23,,
81,0.97,533.165,533.466,I'm sorry.,23,,
82,0.97,533.466,541.974,I think I missed what you said but I think you don't want us to talk about the Rvs taking up parking.,23,,
83,0.97,541.974,547.046,This is not the select homelessness committee or the Trarns Pooration committee or the parks committee.,24,,
84,0.97,547.046,548.781,This is the land use committee.,24,,
85,0.97,548.781,551.851,If there is an item you would like to speak about.,24,,
86,0.97,551.851,553.653,Well the road closure.,25,,
87,0.97,553.653,555.788,The road closure around green Lake.,25,,
88,0.97,555.788,558.424,This is not the correct committee.,26,,
89,0.97,558.424,561.427,There will be a meeting tonight though I will be attending.,26,,
90,0.97,561.427,561.727,"Oh, okay.",27,,
91,0.97,561.727,561.994,I'm sorry.,27,,
92,0.97,561.994,569.969,Social media somebody--somebody recommended me to talk about the use of that road.,27,,
93,0.97,569.969,570.77,Okay.,27,,
94,0.97,570.77,577.143,I will see you tonight.,28,,
95,0.97,577.143,577.41,Thanks.,29,,
96,0.97,577.41,577.576,Bye.,29,,
97,0.97,577.576,589.488,"Clerk or--Mr. G, can--are there no further public commentators signed up?",30,,
98,0.97,589.488,599.398,"As far as I can tell, I believe it is all public hearing.",31,,
99,0.97,599.398,599.865,Great.,32,,
100,0.97,599.865,600.433,Thank you.,32,,
101,0.97,600.433,612.244,"Seeing as we have no additional speakers remotely present, we will move on to the next agenda item.",32,,
102,0.97,612.244,623.556,And Mr.--will you please read--or I guess our first item of business is a public hearing on the proposed comprehensive plan amendment to update the name.,32,,
103,0.97,623.556,628.995,Will you please read the short title of this into the record?,32,,
104,0.97,628.995,638.771,"Agenda item one, pro Prosed comprehensive plan amendment for neighborhood residential areas.",33,,
105,0.97,638.771,645.277,Can you provide a brief over view?,34,,
106,0.97,645.277,645.511,Sure.,35,,
107,0.97,645.511,652.985,Happy to provide that over view.,35,,
108,0.97,652.985,653.386,Good morning.,35,,
109,0.97,653.386,662.895,The proposed legislation is attached to my memo which is attached to the agenda.,35,,
