index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.339,7.874,.,0,,
1,0.97,7.874,8.742,Council member Straus.,1,,
2,0.97,8.742,9.175,Present.,2,,
3,0.97,9.175,14.881,Council member Herble.,3,,
4,0.97,14.881,17.217,Here.,4,,
5,0.97,17.217,24.157,Council member Juarez.,5,,
6,0.97,24.157,24.958,Council member Lewis.,5,,
7,0.97,24.958,25.291,Present.,6,,
8,0.97,25.291,29.329,Council member Moralas.,7,,
9,0.97,29.329,29.596,Here.,8,,
10,0.97,29.596,34.134,Council member Peterson.,9,,
11,0.97,34.134,43.209,"Council member SALANT, here.",10,,
12,0.97,43.209,46.546,"Council present Pro-Tim, 7, present.",10,,
13,0.97,46.546,59.626,Today is March 16 and the meeting of Seattle Council has come to order it is 2:07 thank you for joining us for calling the role.,10,,
14,0.97,59.626,117.383,"Allowing remote participation not providing public comment given the crisis that we have, we have a civil emergency proclamation on March third, 2020 and passed since then the governor and Seattle King County public health Department have issued recommendations on reducing the spread of the virus Cocomply with these recommendations and safety and welfare of the public and employees, well hold today until the end of March, this practice will continue to be evaluated on a weekly basis of public health issues and recommendations fourth coming, meeting remotely does not provide an opportunity for In- person public at this time, the city council is continuing to evaluate its evaluation.",11,,
15,0.97,117.383,121.821,Public comment via E- mail @ Seattle.Gov.,11,,
16,0.97,121.821,125.291,We know this meeting is being broadcast live on Seattle Channel.,11,,
17,0.97,125.291,134.667,If you can call the Council chambers' listen line a 206-684- 6544 you will be able to hear this meeting in Realtime.,11,,
18,0.97,134.667,144.344,This meeting is also being recorded for the public and it has the Website listed on the agenda for participating in this meeting.,11,,
19,0.97,144.344,153.987,Callings are requested at our last meeting to accommodate a phone option for individuals to try to call in and potentially record public comment.,11,,
20,0.97,153.987,182.081,I understand the clerk is operating public health given the public health recommendations we'll continue to assess other options for public comment electronically and by phone at this meeting today we do not have that option and appreciate the ongoing vigilance to keep our staff safe and the public safe.,11,,
21,0.97,182.081,188.955,I want to acknowledge Council member Juarez for being with us as well.,11,,
22,0.97,188.955,217.116,"Because the Council is participating electronically, the Council will need to suspend the rule, with that, if there is no objection, the Council rules will be suspended to allow Council members to be electronically in Bern but accepting it by phone, listing it by phone and by E-mail at today's regular council meeting.",11,,
23,0.97,217.116,239.606,"During no objection the Council rules are suspended the Council will participate electronically and public comment will not be on today's agenda, we know the Council clerk is sending out comment that we receive electronically to every single Council member, that each office has been busy with many constituents, appreciate due diligence with that.",11,,
24,0.97,239.606,256.99,We have a presentation today I want to share a few updates we briefly heard at Seattle King County on their response to the evolving Covid issue.,11,,
25,0.97,256.99,270.003,"Covid-19 is spreading in King County, as long as we follow Distanting recommendations aimed at slowing down the spread of the virus, we expect that case will continue to double every 5 to 7 days.",11,,
26,0.97,270.003,292.425,"Public health King County has warned us anyone who is sick should stay home and everyone should limit their exposure to others, as you heard from the governor's press conference moments ago the recommendation is for those who limit travel and unnecessary interactions with other people.",11,,
27,0.97,292.425,308.675,"Others with Covid-19 as well as close contact should follow public health guidance and due to hour aptitude, confirming or calling in if you suspect that you have Covid-19 or worried about it.",11,,
