index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,26.693,36.202,"Good morning, the February 12th meeting of the land use neighborhoods committee will get to order.",0,,
1,0.97,36.202,50.383,I'm Dan Strauss joined by Councilmember Pedersen and Councilmember Lewis.,0,,
2,0.97,50.383,57.323,"Hear nothing objection, the agenda will be adopted.",0,,
3,0.97,57.323,71.571,"I would like Toacknowledge the first people of the Seattle people, past and present, and I want to honor them in every way possible this is our first meeting.",1,,
4,0.97,71.571,81.948,"I would like to say how glad I am to be the chair of the committee, considering big issues about how we grow as a city and we keep what is unique to the city.",1,,
5,0.97,81.948,95.395,We will touch on everything from affording Housebility to climate Crisises.,1,,
6,0.97,95.395,110.844,"We are looking at backyard cottages, and using the land use code for child care more successful, considering comprehensive plan changes, and so much more.",1,,
7,0.97,110.844,152.752,"Today we have two great items on the agenda, a briefing and possible Revote on the 4600 Union Bay place, and a briefing from the Seattle zone and inspections on response to resolution 31902, calling for an update to the free protection ordinance, in order to hear more time from the public today, as I said we are postponing the reappointment of Dr. Tortelson on the next public meeting, on Wednesday, February 26th starting at 9:30 A.M.",1,,
8,0.97,152.752,154.22,Here in Council chambers.,1,,
9,0.97,154.22,159.526,With we will be taking public comment on items that appear on agenda.,1,,
10,0.97,159.526,179.646,"It's my first committee meeting, and from here I would like the record to reflect from here until throughout my tenure, I'm going to be very strict about public comment, and it means when I am chair t will only be items on the agenda, and I will be very strict about the 2 minutes or 1 minute pertaining to today.",1,,
11,0.97,179.646,185.318,It is not intended to be a reflection the participants in the audience today.,1,,
12,0.97,185.318,231.731,"It's how we set the standards moving forward all throughout the year, all throughout the 4 years, and so I do see a lot of people I am familiar with and I'm friends with and I enjoy speaking with, and public comment is a great way to express your opinions on what is before the committee today and also know that I would be happy to meet with anyone and everyone at a later date and Tme when it is not during committee and public comment, and please take no personal offense to the very strict rules around public comment, and today, the Mics will be turned off after the time that you have been allotted.",1,,
13,0.97,231.731,251.818,"So public comment is not allowed on item one, which is the contract Rezone of Union Bay place because it's a quasi judicial item, and the Council rules for ex Parte communication rules do apply here.",1,,
14,0.97,251.818,256.756,I invite everyone to speak to item number 2 that the majority of folks are here to talk about.,1,,
15,0.97,256.756,266.599,I will call up three names at a time because we have 31 people signed up.,1,,
16,0.97,266.599,270.503,If they got 2 minutes that would be an hour before the business of the committee.,1,,
