index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,22.856,23.156,Welcome.,0,,
1,0.97,23.156,29.028,"The January 13th, 2021, meeting of the land, use and neighborhoods committee will come to order.",0,,
2,0.97,29.028,29.629,It is 9:31 A.M ..,0,,
3,0.97,29.629,33.133,"I'm Dan Strauss, chair of the committee.",0,,
4,0.97,33.133,39.305,Will the clerk please capital the roll.,0,,
5,0.97,39.305,42.776,Councilmember Pedersen?,1,,
6,0.97,42.776,46.78,Here.,2,,
7,0.97,46.78,48.481,Councilmember Lewis?,3,,
8,0.97,48.481,48.982,Here.,4,,
9,0.97,48.982,49.482,Councilmember waters?,5,,
10,0.97,49.482,49.949,Here.,6,,
11,0.97,49.949,72.939,"The city council rules are silent on allowing remote meetings and electronic meeting toes to allow the committee to conduct the business, the Council rules will need to be suspended, if there are no objections, the Council rules will be suspended to allow the land, use and neighborhood's committee to meet remotely and participant electronically.",7,,
12,0.97,72.939,78.011,The Council rules are suspended and the Xhietie will continue with the remote meeting.,7,,
13,0.97,78.011,91.458,The committee of the is city of Seattle begins the committee by acknowledging we're on the traditional lands past and present represented in a number of tribes and as urban natives.,7,,
14,0.97,91.458,101.034,We honor with gratitude the land itself and the people of this land and start with this acknowledgement to recognize that we are guests on this land and should Steward our land as such.,7,,
15,0.97,101.034,102.802,And we should act like guests.,8,,
16,0.97,102.802,106.639,And we should act like guests.,9,,
17,0.97,106.639,107.44,Thank you.,10,,
18,0.97,107.44,115.014,"Thank you, Councilmember water Juarez.",11,,
19,0.97,115.014,115.482,We have two items.,11,,
20,0.97,115.482,130.964,The proposed updates on the construction code including the energy code and public hearing and possible vote on CB 119978 which extends the interim flood Plains that we adopted earlier this year to comply with Federal Emergency management requirements.,11,,
21,0.97,130.964,139.672,I had previously stated that we would be considering an application to extend the contract free zone of 110634Th Avenue at the meeting.,11,,
22,0.97,139.672,145.044,That will be considered at our January 27th meeting in order to meet noticing requirements.,11,,
23,0.97,145.044,151.751,"The next meeting of the land, use and neighborhoods Committee is on Wednesday, January 27th, starting at 9:30 A.M ..",11,,
24,0.97,151.751,161.261,"Before we begin, if there is no objection, the agenda will be adopted.",11,,
25,0.97,161.261,162.328,The agenda is adopted.,11,,
26,0.97,162.328,168.501,At this time we'll open the remote public comment period for items on today's agenda.,11,,
27,0.97,168.501,175.074,"Before we begin, I ask that everyone please be patient as we learn to operate this new system in real time.",11,,
28,0.97,175.074,198.398,"While it remains the intent to have public comment regularly included, the meet Yaeg agenda, the city council reserves the right to end the public comment if we deem the system is abused or unsuitable to allow the meetings to be conducted efficiently.",11,,
29,0.97,198.398,200.934,I will moderate the public comment.,11,,
30,0.97,200.934,202.235,It is up for ten minutes.,11,,
31,0.97,202.235,205.838,Each will be given two minutes to speak.,11,,
32,0.97,205.838,207.106,I will call each Speaker.,11,,
33,0.97,207.106,215.682,"If you have not registered to speak but would like to, sign up before the end of public comment by going to the Council's Website.",11,,
34,0.97,215.682,219.852,The public comment link is listed on today's agenda.,11,,
35,0.97,219.852,226.259,Once I call Speaker's name.,11,,
36,0.97,226.259,228.194,Staff will Unmute the appropriate Mic.,11,,
37,0.97,228.194,232.832,Please begin by speaking by stating your name and item in which you're addressing.,11,,
