index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,14.147,18.818,"Thank you and good afternoon, everybody.",0,,
1,0.97,18.818,20.854,Happy Valentine's day.,0,,
2,0.97,20.854,25.992,Today is February 14.,0,,
3,0.97,25.992,26.192,2022.,0,,
4,0.97,26.192,27.293,The Council briefing meeting will come to order.,0,,
5,0.97,27.293,31.531,The time is 2:03.,0,,
6,0.97,31.531,32.632,"Madam clerk, call the role.",0,,
7,0.97,32.632,37.937,Councilmember Herbold.,1,,
8,0.97,37.937,42.042,Councilmember Herbold.,1,,
9,0.97,42.042,44.21,Councilmember Lewis.,1,,
10,0.97,44.21,45.545,Councilmember Morales.,1,,
11,0.97,45.545,49.616,Councilmember Mosqueda.,1,,
12,0.97,49.616,51.618,Councilmember Nelson.,1,,
13,0.97,51.618,53.353,Councilmember Pedersen.,1,,
14,0.97,53.353,59.292,Councilmember Sawant . Council President Juarez.,1,,
15,0.97,59.292,66.266,Thank you.,2,,
16,0.97,66.266,67.167,Let's go to approval of the minutes.,2,,
17,0.97,67.167,71.271,"If there is no objection the minutes of February 7, 2022 will be adopted.",2,,
18,0.97,71.271,75.475,Hearing and seeing no objection the minutes are now adopted.,2,,
19,0.97,75.475,80.513,Let's go to the Presidents report.,2,,
20,0.97,80.513,88.855,"On today's agenda we will hear from our office of Intergovernmental relations, why are focused on the proposed state transportation package.",2,,
21,0.97,88.855,91.09,Councilmember Herbold will propose a proclamation.,2,,
22,0.97,91.09,95.195,Surrounding the Unreinforced masonry.,2,,
23,0.97,95.195,107.006,"As a reminder, tomorrow, the Mayor will be at our council meeting to deliver the state of the city address to the Council and the public at large.",2,,
24,0.97,107.006,113.546,We anticipate the state of the city address will be approximately 25 minutes.,2,,
25,0.97,113.546,127.026,And will be our opportunity to hear from our new Mayor and his perspective and priorities of his new administration.,2,,
26,0.97,127.026,129.028,"We will go to item number three and that is the state legislative session update, Oir.",2,,
27,0.97,129.028,133.166,I will handed over to Gael Tarleton.,2,,
28,0.97,133.166,133.833,Thank you Council President.,3,,
29,0.97,133.833,134.801,And members of the city council.,3,,
30,0.97,134.801,150.116,"We are here today to not only celebrate Valentine's day, but to celebrate the impending fiscal cut off in the house and Senate tomorrow at 5:00 P.M.",3,,
31,0.97,150.116,164.13,"Our state relations director, Quinn Majeski and are state lobbyists, Elsa Brwon will give you an update on major pieces of activity the last few days and today.",3,,
